name_7740#0,"""Truxtun"""
ssn_015060_0204#0,"""ถ้าสนใจ มาคุยกันหน่อยเป็นไง? ว่าไงล่ะ?"""
ssn_015060_0301#0,"""การจะรับมือกับศัตรูใน Rayjord Gorge ได้นั้น จำเป็นต้องหา Notable Kvaris Ackee มาเสียก่อน"""
ssn_015060_0302#0,"""สามารถหาได้ใน Northern Kvaris แต่เฉพาะช่วงเช้าหรือเที่ยงเท่านั้นนะ"""
ssn_015060_0303#0,"""ถ้ายังหาไม่เจอ ลองหาดูใหม่พรุ่งนี้ก็แล้วกัน"""
ssn_015060_0401#0,"""อ้อ งั้นเหรอ น่าเสียดายนะ แต่ก็เข้าใจล่ะ"""
ssn_015060_0402#0,"""ถ้าเปลี่ยนใจก็มาหาได้เลยนะ"""
ssn_015060_0501#0,"""ต่อไปก็ต้องใช้ Notable Kvaris Squid"""
ssn_015060_0502#0,"""สามารถหาได้ใน Central Kvaris แต่ต้องเป็นช่วงกลางคืนเท่านั้น ระวังตัวด้วยล่ะ"""
ssn_015060_1001#0,"""เยี่ยม ได้มาทั้ง Notable Kvaris Ackee และ Notable Kvaris Squid แล้วสินะ"""
ssn_015060_1002#0,"""เอาล่ะ ไปขั้นตอนต่อไปกันเลย ฟังให้ดีนะ"""
ssn_015060_1101#0,"""Leso ดูแลสินค้าหายากหลากหลายชนิดเลยล่ะ"""
ssn_015060_1102#0,"""ลองเอาอาหารที่เพิ่งรวบรวมมาไปแลกกับอุปกรณ์ป้องกันความหนาวเย็นกับเธอดูสิ"""
ssn_015060_1201#0,"""อ้อ งั้นเหรอ น่าเสียดายนะ แต่ก็เข้าใจล่ะ"""
ssn_015060_1202#0,"""ถ้าเปลี่ยนใจก็มาหาได้เลยนะ"""
ssn_015060_1301#0,"""ดูเหมือนจะได้มาแล้วสินะ"""
ssn_015060_1302#0,"""นั่นคือวัสดุกักเก็บความร้อนแบบใช้ครั้งเดียว ที่ช่วยให้ร่างกายอบอุ่นได้ดียิ่งกว่าพวก Quick Food เสียอีก"""
ssn_015060_1303#0,"""ถ้าคิดจะไปเยือน Rayjord Gorge เป็นเวลานานล่ะก็ ต้องมั่นใจนะว่าใช้นั่นเพื่อป้องกันตัวแล้ว"""
ssn_015060_2001#0,"""เอาล่ะ คิดว่าน่าจะครบหมดแล้วล่ะ ทีนี้มาพูดถึงศัตรูที่แข็งแกร่งใน Rayjord Gorge กันดีกว่า"""
ssn_015060_2002#0,"""ถ้าพร้อมเมื่อไหร่ก็บอกนะ จะได้เริ่มกันเลย"""
ssn_015060_2101#0,"""พวกมันถูกเรียกว่า 'Ancient Enemies' สำหรับช่วงเวลาที่ศัตรูธรรมดาไม่ท้าทายอีกต่อไป"""
ssn_015060_2102#0,"""พกอุปกรณ์กันหนาวไป ตรวจสอบอุปกรณ์ให้ดี แล้วมุ่งหน้าไปที่นั่นเลย"""
ssn_015060_2201#0,"""ก็ยุติธรรมดี ถ้ามีอารมณ์อยากไปเมื่อไหร่ก็บอกแล้วกัน"""
ssn_015060_2301#0,"""เป็นไงบ้าง ได้ต่อสู้กับ Ancient Enemies บ้างไหมตั้งแต่ที่เราคุยกันครั้งก่อน?"""
ssn_015060_2302#0,"""การมีอยู่ของศัตรูที่แข็งแกร่ง คือสิ่งที่ทำให้พวกเราแข็งแกร่งขึ้น"""
ssn_015060_2303#0,"""ฟังดูน่าขันนะ แต่นั่นคือความจริงล่ะ"""
