Title#0,"""Endless: Worlds Beyond"""
Area18S#0,"""VR Space (Seabed)"""
Area18L#0,"""ARKS Ship - VR Space (Seabed)"""
Area19S#0,"""VR Space (Moon) """
Area19L#0,"""ARKS Ship - VR Space (Moon)"""
Area20S#0,"""VR Space (Urban Area)"""
Area20L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area21S#0,"""VR Space (Devil Castle Grounds) """
Area21L#0,"""ARKS Ship - VR Space (Devil Castle Grounds)"""
Area22S#0,"""VR Space (Corrupted Forest) """
Area22L#0,"""ARKS Ship - VR Space (Corrupted Forest)"""
Area23S#0,"""VR Space (????)"""
Area23L#0,"""ARKS Ship - VR Space (????)"""
Area24S#0,"""VR Space (Ship Wreckage - Deck) """
Area24L#0,"""ARKS Ship - VR Space (ARKS Ship Wreckage - Deck)"""
Area25S#0,"""VR Space (Mothership) """
Area25L#0,"""ARKS Ship - VR Space (Mothership)"""
Area26S#0,"""VR Space (Skyscape) """
Area26L#0,"""ARKS Ship - VR Space (Skyscape)"""
Area27S#0,"""VR Space (Darker Den)"""
Area27L#0,"""ARKS Ship - VR Space (Darker Den)"""
Area28S#0,"""VR Space (Forest) """
Area28L#0,"""ARKS Ship - VR Space (Forest)"""
Area29S#0,"""VR Space (VR Arena Forest) """
Area29L#0,"""ARKS Ship - VR Space (VR Arena Forest)"""
Area30S#0,"""VR Space (Sub. Tunnels) """
Area30L#0,"""ARKS Ship - VR Space (Sub. Tunnels)"""
Area31S#0,"""VR Space (Shuttle)"""
Area31L#0,"""ARKS Ship - VR Space (Shuttle)"""
Area32S#0,"""VR Space (Shironia Fortress) """
Area32L#0,"""ARKS Ship - VR Space (Shironia Fortress)"""
Area33S#0,"""VR Space (Japanese Coastal Waters) """
Area33L#0,"""ARKS Ship - VR Space (Japanese Coastal Waters)"""
Area34S#0,"""VR Space (Epic Desert)"""
Area34L#0,"""ARKS Ship - VR Space (Epic Desert)"""
Area35S#0,"""VR Space (Cuent Eastern Plains)"""
Area35L#0,"""ARKS Ship - VR Space (Cuent Eastern Plains)"""
Area36S#0,"""VR Space (Verun Frontier Village) """
Area36L#0,"""ARKS Ship - VR Space (Verun Frontier Village)"""
Area37S#0,"""VR Space (Cuent Castle) """
Area37L#0,"""ARKS Ship - VR Space (Cuent Castle)"""
Area38S#0,"""VR Space (Epic Desert Northern Fort)"""
Area38L#0,"""ARKS Ship - VR Space (Epic Desert Northern Fort)"""
Area39S#0,"""VR Space (Louisa Lakefront) """
Area39L#0,"""ARKS Ship - VR Space (Louisa Lakefront)"""
Area40S#0,"""VR Space (????) """
Area40L#0,"""ARKS Ship - VR Space (????)"""
Area41S#0,"""VR Space (Place of Memories) """
Area41L#0,"""ARKS Ship - VR Space (Place of Memories)"""
Area1000S#0,"""VR Space (Enchanted Forest)"""
Area1000L#0,"""ARKS Ship - VR Space (Enchanted Forest)"""
Area1001S#0,"""VR Space (Urban Area)"""
Area1001L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area1002S#0,"""VR Space (Sanctum)"""
Area1002L#0,"""ARKS Ship - VR Space (Sanctum)"""
Area1003S#0,"""VR Space (Ruins)"""
Area1003L#0,"""ARKS Ship - VR Space (Ruins)"""
Area1004S#0,"""VR Space (Coast)"""
Area1004L#0,"""ARKS Ship - VR Space (Coast)"""
Area1005S#0,"""VR Space (Canyon)"""
Area1005L#0,"""ARKS Ship - VR Space (Canyon)"""
Area1006S#0,"""VR Space (Quarry)"""
Area1006L#0,"""ARKS Ship - VR Space (Quarry)"""
Area1007S#0,"""VR Space (Facility)"""
Area1007L#0,"""ARKS Ship - VR Space (Facility)"""
Area1008S#0,"""VR Space (Shironia)"""
Area1008L#0,"""ARKS Ship - VR Space (Shironia)"""
Area1009S#0,"""VR Space (Facility)"""
Area1009L#0,"""ARKS Ship - VR Space (Facility)"""
Area1010S#0,"""VR Space (Corrupted Lillipa)"""
Area1010L#0,"""ARKS Ship - VR Space (Corrupted Lillipa)"""
Area1011S#0,"""VR Space (Mining Base)"""
Area1011L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area1012S#0,"""VR Space (Tokyo)"""
Area1012L#0,"""ARKS Ship - VR Space (Tokyo)"""
Area1013S#0,"""VR Space (Las Vegas)"""
Area1013L#0,"""ARKS Ship - VR Space (Las Vegas)"""
Area1014S#0,"""VR Space (Corrupted Amduscia)"""
Area1014L#0,"""ARKS Ship - VR Space (Corrupted Amduscia)"""
Area1015S#0,"""VR Space (Kuron)"""
Area1015L#0,"""ARKS Ship - VR Space (Kuron)"""
Area1016S#0,"""VR Space (Volcanic Caves)"""
Area1016L#0,"""ARKS Ship - VR Space (Volcanic Caves)"""
Area1017S#0,"""VR Space (Mining Base)"""
Area1017L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area1018S#0,"""VR Space (Seabed)"""
Area1018L#0,"""ARKS Ship - VR Space (Seabed)"""
Area1019S#0,"""VR Space (Moon) """
Area1019L#0,"""ARKS Ship - VR Space (Moon)"""
Area1020S#0,"""VR Space (Urban Area)"""
Area1020L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area1021S#0,"""VR Space (Devil Castle Grounds) """
Area1021L#0,"""ARKS Ship - VR Space (Devil Castle Grounds)"""
Area1022S#0,"""VR Space (Corrupted Forest) """
Area1022L#0,"""ARKS Ship - VR Space (Corrupted Forest)"""
Area1023S#0,"""VR Space (????)"""
Area1023L#0,"""ARKS Ship - VR Space (????)"""
Area1024S#0,"""VR Space (Ship Wreckage - Deck) """
Area1024L#0,"""ARKS Ship - VR Space (ARKS Ship Wreckage - Deck)"""
Area1025S#0,"""VR Space (Mothership) """
Area1025L#0,"""ARKS Ship - VR Space (Mothership)"""
Area1026S#0,"""VR Space (Skyscape) """
Area1026L#0,"""ARKS Ship - VR Space (Skyscape)"""
Area1027S#0,"""VR Space (Darker Den)"""
Area1027L#0,"""ARKS Ship - VR Space (Darker Den)"""
Area1028S#0,"""VR Space (Forest) """
Area1028L#0,"""ARKS Ship - VR Space (Forest)"""
Area1029S#0,"""VR Space (VR Arena Forest) """
Area1029L#0,"""ARKS Ship - VR Space (VR Arena Forest)"""
Area1030S#0,"""VR Space (Sub. Tunnels) """
Area1030L#0,"""ARKS Ship - VR Space (Sub. Tunnels)"""
Area1031S#0,"""VR Space (Shuttle)"""
Area1031L#0,"""ARKS Ship - VR Space (Shuttle)"""
Area1032S#0,"""VR Space (Shironia Fortress) """
Area1032L#0,"""ARKS Ship - VR Space (Shironia Fortress)"""
Area1033S#0,"""VR Space (Japanese Coastal Waters) """
Area1033L#0,"""ARKS Ship - VR Space (Japanese Coastal Waters)"""
Area1034S#0,"""VR Space (Epic Desert)"""
Area1034L#0,"""ARKS Ship - VR Space (Epic Desert)"""
Area1035S#0,"""VR Space (Cuent Eastern Plains)"""
Area1035L#0,"""ARKS Ship - VR Space (Cuent Eastern Plains)"""
Area1036S#0,"""VR Space (Verun Frontier Village) """
Area1036L#0,"""ARKS Ship - VR Space (Verun Frontier Village)"""
Area1037S#0,"""VR Space (Cuent Castle) """
Area1037L#0,"""ARKS Ship - VR Space (Cuent Castle)"""
Area1038S#0,"""VR Space (Epic Desert Northern Fort)"""
Area1038L#0,"""ARKS Ship - VR Space (Epic Desert Northern Fort)"""
Area1039S#0,"""VR Space (Louisa Lakefront) """
Area1039L#0,"""ARKS Ship - VR Space (Louisa Lakefront)"""
Area1040S#0,"""VR Space (????) """
Area1040L#0,"""ARKS Ship - VR Space (????)"""
Area1041S#0,"""VR Space (Place of Memories) """
Area1041L#0,"""ARKS Ship - VR Space (Place of Memories)"""
Area2000S#0,"""VR Space (Enchanted Forest)"""
Area2000L#0,"""ARKS Ship - VR Space (Enchanted Forest)"""
Area2001S#0,"""VR Space (Urban Area)"""
Area2001L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area2002S#0,"""VR Space (Sanctum)"""
Area2002L#0,"""ARKS Ship - VR Space (Sanctum)"""
Area2003S#0,"""VR Space (Ruins)"""
Area2003L#0,"""ARKS Ship - VR Space (Ruins)"""
Area2004S#0,"""VR Space (Coast)"""
Area2004L#0,"""ARKS Ship - VR Space (Coast)"""
Area2005S#0,"""VR Space (Canyon)"""
Area2005L#0,"""ARKS Ship - VR Space (Canyon)"""
Area2006S#0,"""VR Space (Quarry)"""
Area2006L#0,"""ARKS Ship - VR Space (Quarry)"""
Area2007S#0,"""VR Space (Facility)"""
Area2007L#0,"""ARKS Ship - VR Space (Facility)"""
Area2008S#0,"""VR Space (Shironia)"""
Area2008L#0,"""ARKS Ship - VR Space (Shironia)"""
Area2009S#0,"""VR Space (Facility)"""
Area2009L#0,"""ARKS Ship - VR Space (Facility)"""
Area2010S#0,"""VR Space (Corrupted Lillipa)"""
Area2010L#0,"""ARKS Ship - VR Space (Corrupted Lillipa)"""
Area2011S#0,"""VR Space (Mining Base)"""
Area2011L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area2012S#0,"""VR Space (Tokyo)"""
Area2012L#0,"""ARKS Ship - VR Space (Tokyo)"""
Area2013S#0,"""VR Space (Las Vegas)"""
Area2013L#0,"""ARKS Ship - VR Space (Las Vegas)"""
Area2014S#0,"""VR Space (Corrupted Amduscia)"""
Area2014L#0,"""ARKS Ship - VR Space (Corrupted Amduscia)"""
Area2015S#0,"""VR Space (Kuron)"""
Area2015L#0,"""ARKS Ship - VR Space (Kuron)"""
Area2016S#0,"""VR Space (Volcanic Caves)"""
Area2016L#0,"""ARKS Ship - VR Space (Volcanic Caves)"""
Area2017S#0,"""VR Space (Mining Base)"""
Area2017L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area2018S#0,"""VR Space (Seabed)"""
Area2018L#0,"""ARKS Ship - VR Space (Seabed)"""
Area2019S#0,"""VR Space (Moon) """
Area2019L#0,"""ARKS Ship - VR Space (Moon)"""
Area2020S#0,"""VR Space (Urban Area)"""
Area2020L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area2021S#0,"""VR Space (Devil Castle Grounds) """
Area2021L#0,"""ARKS Ship - VR Space (Devil Castle Grounds)"""
Area2022S#0,"""VR Space (Corrupted Forest) """
Area2022L#0,"""ARKS Ship - VR Space (Corrupted Forest)"""
Area2023S#0,"""VR Space (????)"""
Area2023L#0,"""ARKS Ship - VR Space (????)"""
Area2024S#0,"""VR Space (Ship Wreckage - Deck) """
Area2024L#0,"""ARKS Ship - VR Space (ARKS Ship Wreckage - Deck)"""
Area2025S#0,"""VR Space (Mothership) """
Area2025L#0,"""ARKS Ship - VR Space (Mothership)"""
Area2026S#0,"""VR Space (Skyscape) """
Area2026L#0,"""ARKS Ship - VR Space (Skyscape)"""
Area2027S#0,"""VR Space (Darker Den)"""
Area2027L#0,"""ARKS Ship - VR Space (Darker Den)"""
Area2028S#0,"""VR Space (Forest) """
Area2028L#0,"""ARKS Ship - VR Space (Forest)"""
Area2029S#0,"""VR Space (VR Arena Forest) """
Area2029L#0,"""ARKS Ship - VR Space (VR Arena Forest)"""
Area2030S#0,"""VR Space (Sub. Tunnels) """
Area2030L#0,"""ARKS Ship - VR Space (Sub. Tunnels)"""
Area2031S#0,"""VR Space (Shuttle)"""
Area2031L#0,"""ARKS Ship - VR Space (Shuttle)"""
Area2032S#0,"""VR Space (Shironia Fortress) """
Area2032L#0,"""ARKS Ship - VR Space (Shironia Fortress)"""
Area2033S#0,"""VR Space (Japanese Coastal Waters) """
Area2033L#0,"""ARKS Ship - VR Space (Japanese Coastal Waters)"""
Area2034S#0,"""VR Space (Epic Desert)"""
Area2034L#0,"""ARKS Ship - VR Space (Epic Desert)"""
Area2035S#0,"""VR Space (Cuent Eastern Plains)"""
Area2035L#0,"""ARKS Ship - VR Space (Cuent Eastern Plains)"""
Area2036S#0,"""VR Space (Verun Frontier Village) """
Area2036L#0,"""ARKS Ship - VR Space (Verun Frontier Village)"""
Area2037S#0,"""VR Space (Cuent Castle) """
Area2037L#0,"""ARKS Ship - VR Space (Cuent Castle)"""
Area2038S#0,"""VR Space (Epic Desert Northern Fort)"""
Area2038L#0,"""ARKS Ship - VR Space (Epic Desert Northern Fort)"""
Area2039S#0,"""VR Space (Louisa Lakefront) """
Area2039L#0,"""ARKS Ship - VR Space (Louisa Lakefront)"""
Area2040S#0,"""VR Space (????) """
Area2040L#0,"""ARKS Ship - VR Space (????)"""
Area2041S#0,"""VR Space (Place of Memories) """
Area2041L#0,"""ARKS Ship - VR Space (Place of Memories)"""
Area3000S#0,"""VR Space (Enchanted Forest)"""
Area3000L#0,"""ARKS Ship - VR Space (Enchanted Forest)"""
Area3001S#0,"""VR Space (Urban Area)"""
Area3001L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area3002S#0,"""VR Space (Sanctum)"""
Area3002L#0,"""ARKS Ship - VR Space (Sanctum)"""
Area3003S#0,"""VR Space (Ruins)"""
Area3003L#0,"""ARKS Ship - VR Space (Ruins)"""
Area3004S#0,"""VR Space (Coast)"""
Area3004L#0,"""ARKS Ship - VR Space (Coast)"""
Area3005S#0,"""VR Space (Canyon)"""
Area3005L#0,"""ARKS Ship - VR Space (Canyon)"""
Area3006S#0,"""VR Space (Quarry)"""
Area3006L#0,"""ARKS Ship - VR Space (Quarry)"""
Area3007S#0,"""VR Space (Facility)"""
Area3007L#0,"""ARKS Ship - VR Space (Facility)"""
Area3008S#0,"""VR Space (Shironia)"""
Area3008L#0,"""ARKS Ship - VR Space (Shironia)"""
Area3009S#0,"""VR Space (Facility)"""
Area3009L#0,"""ARKS Ship - VR Space (Facility)"""
Area3010S#0,"""VR Space (Corrupted Lillipa)"""
Area3010L#0,"""ARKS Ship - VR Space (Corrupted Lillipa)"""
Area3011S#0,"""VR Space (Mining Base)"""
Area3011L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area3012S#0,"""VR Space (Tokyo)"""
Area3012L#0,"""ARKS Ship - VR Space (Tokyo)"""
Area3013S#0,"""VR Space (Las Vegas)"""
Area3013L#0,"""ARKS Ship - VR Space (Las Vegas)"""
Area3014S#0,"""VR Space (Corrupted Amduscia)"""
Area3014L#0,"""ARKS Ship - VR Space (Corrupted Amduscia)"""
Area3015S#0,"""VR Space (Kuron)"""
Area3015L#0,"""ARKS Ship - VR Space (Kuron)"""
Area3016S#0,"""VR Space (Volcanic Caves)"""
Area3016L#0,"""ARKS Ship - VR Space (Volcanic Caves)"""
Area3017S#0,"""VR Space (Mining Base)"""
Area3017L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area3018S#0,"""VR Space (Seabed)"""
Area3018L#0,"""ARKS Ship - VR Space (Seabed)"""
Area3019S#0,"""VR Space (Moon) """
Area3019L#0,"""ARKS Ship - VR Space (Moon)"""
Area3020S#0,"""VR Space (Urban Area)"""
Area3020L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area3021S#0,"""VR Space (Devil Castle Grounds) """
Area3021L#0,"""ARKS Ship - VR Space (Devil Castle Grounds)"""
Area3022S#0,"""VR Space (Corrupted Forest) """
Area3022L#0,"""ARKS Ship - VR Space (Corrupted Forest)"""
Area3023S#0,"""VR Space (????)"""
Area3023L#0,"""ARKS Ship - VR Space (????)"""
Area3024S#0,"""VR Space (Ship Wreckage - Deck) """
Area3024L#0,"""ARKS Ship - VR Space (ARKS Ship Wreckage - Deck)"""
Area3025S#0,"""VR Space (Mothership) """
Area3025L#0,"""ARKS Ship - VR Space (Mothership)"""
Area3026S#0,"""VR Space (Skyscape) """
Area3026L#0,"""ARKS Ship - VR Space (Skyscape)"""
Area3027S#0,"""VR Space (Darker Den)"""
Area3027L#0,"""ARKS Ship - VR Space (Darker Den)"""
Area3028S#0,"""VR Space (Forest) """
Area3028L#0,"""ARKS Ship - VR Space (Forest)"""
Area3029S#0,"""VR Space (VR Arena Forest) """
Area3029L#0,"""ARKS Ship - VR Space (VR Arena Forest)"""
Area3030S#0,"""VR Space (Sub. Tunnels) """
Area3030L#0,"""ARKS Ship - VR Space (Sub. Tunnels)"""
Area3031S#0,"""VR Space (Shuttle)"""
Area3031L#0,"""ARKS Ship - VR Space (Shuttle)"""
Area3032S#0,"""VR Space (Shironia Fortress) """
Area3032L#0,"""ARKS Ship - VR Space (Shironia Fortress)"""
Area3033S#0,"""VR Space (Japanese Coastal Waters) """
Area3033L#0,"""ARKS Ship - VR Space (Japanese Coastal Waters)"""
Area3034S#0,"""VR Space (Epic Desert)"""
Area3034L#0,"""ARKS Ship - VR Space (Epic Desert)"""
Area3035S#0,"""VR Space (Cuent Eastern Plains)"""
Area3035L#0,"""ARKS Ship - VR Space (Cuent Eastern Plains)"""
Area3036S#0,"""VR Space (Verun Frontier Village) """
Area3036L#0,"""ARKS Ship - VR Space (Verun Frontier Village)"""
Area3037S#0,"""VR Space (Cuent Castle) """
Area3037L#0,"""ARKS Ship - VR Space (Cuent Castle)"""
Area3038S#0,"""VR Space (Epic Desert Northern Fort)"""
Area3038L#0,"""ARKS Ship - VR Space (Epic Desert Northern Fort)"""
Area3039S#0,"""VR Space (Louisa Lakefront) """
Area3039L#0,"""ARKS Ship - VR Space (Louisa Lakefront)"""
Area3040S#0,"""VR Space (????) """
Area3040L#0,"""ARKS Ship - VR Space (????)"""
Area3041S#0,"""VR Space (Place of Memories) """
Area3041L#0,"""ARKS Ship - VR Space (Place of Memories)"""
Area4000S#0,"""VR Space (Enchanted Forest)"""
Area4000L#0,"""ARKS Ship - VR Space (Enchanted Forest)"""
Area4001S#0,"""VR Space (Urban Area)"""
Area4001L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area4002S#0,"""VR Space (Sanctum)"""
Area4002L#0,"""ARKS Ship - VR Space (Sanctum)"""
Area4003S#0,"""VR Space (Ruins)"""
Area4003L#0,"""ARKS Ship - VR Space (Ruins)"""
Area4004S#0,"""VR Space (Coast)"""
Area4004L#0,"""ARKS Ship - VR Space (Coast)"""
Area4005S#0,"""VR Space (Canyon)"""
Area4005L#0,"""ARKS Ship - VR Space (Canyon)"""
Area4006S#0,"""VR Space (Quarry)"""
Area4006L#0,"""ARKS Ship - VR Space (Quarry)"""
Area4007S#0,"""VR Space (Facility)"""
Area4007L#0,"""ARKS Ship - VR Space (Facility)"""
Area4008S#0,"""VR Space (Shironia)"""
Area4008L#0,"""ARKS Ship - VR Space (Shironia)"""
Area4009S#0,"""VR Space (Facility)"""
Area4009L#0,"""ARKS Ship - VR Space (Facility)"""
Area4010S#0,"""VR Space (Corrupted Lillipa)"""
Area4010L#0,"""ARKS Ship - VR Space (Corrupted Lillipa)"""
Area4011S#0,"""VR Space (Mining Base)"""
Area4011L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area4012S#0,"""VR Space (Tokyo)"""
Area4012L#0,"""ARKS Ship - VR Space (Tokyo)"""
Area4013S#0,"""VR Space (Las Vegas)"""
Area4013L#0,"""ARKS Ship - VR Space (Las Vegas)"""
Area4014S#0,"""VR Space (Corrupted Amduscia)"""
Area4014L#0,"""ARKS Ship - VR Space (Corrupted Amduscia)"""
Area4015S#0,"""VR Space (Kuron)"""
Area4015L#0,"""ARKS Ship - VR Space (Kuron)"""
Area4016S#0,"""VR Space (Volcanic Caves)"""
Area4016L#0,"""ARKS Ship - VR Space (Volcanic Caves)"""
Area4017S#0,"""VR Space (Mining Base)"""
Area4017L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area4018S#0,"""VR Space (Seabed)"""
Area4018L#0,"""ARKS Ship - VR Space (Seabed)"""
Area4019S#0,"""VR Space (Moon) """
Area4019L#0,"""ARKS Ship - VR Space (Moon)"""
Area4020S#0,"""VR Space (Urban Area)"""
Area4020L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area4021S#0,"""VR Space (Devil Castle Grounds) """
Area4021L#0,"""ARKS Ship - VR Space (Devil Castle Grounds)"""
Area4022S#0,"""VR Space (Corrupted Forest) """
Area4022L#0,"""ARKS Ship - VR Space (Corrupted Forest)"""
Area4023S#0,"""VR Space (????)"""
Area4023L#0,"""ARKS Ship - VR Space (????)"""
Area4024S#0,"""VR Space (Ship Wreckage - Deck) """
Area4024L#0,"""ARKS Ship - VR Space (ARKS Ship Wreckage - Deck)"""
Area4025S#0,"""VR Space (Mothership) """
Area4025L#0,"""ARKS Ship - VR Space (Mothership)"""
Area4026S#0,"""VR Space (Skyscape) """
Area4026L#0,"""ARKS Ship - VR Space (Skyscape)"""
Area4027S#0,"""VR Space (Darker Den)"""
Area4027L#0,"""ARKS Ship - VR Space (Darker Den)"""
Area4028S#0,"""VR Space (Forest) """
Area4028L#0,"""ARKS Ship - VR Space (Forest)"""
Area4029S#0,"""VR Space (VR Arena Forest) """
Area4029L#0,"""ARKS Ship - VR Space (VR Arena Forest)"""
Area4030S#0,"""VR Space (Sub. Tunnels) """
Area4030L#0,"""ARKS Ship - VR Space (Sub. Tunnels)"""
Area4031S#0,"""VR Space (Shuttle)"""
Area4031L#0,"""ARKS Ship - VR Space (Shuttle)"""
Area4032S#0,"""VR Space (Shironia Fortress) """
Area4032L#0,"""ARKS Ship - VR Space (Shironia Fortress)"""
Area4033S#0,"""VR Space (Japanese Coastal Waters) """
Area4033L#0,"""ARKS Ship - VR Space (Japanese Coastal Waters)"""
Area4034S#0,"""VR Space (Epic Desert)"""
Area4034L#0,"""ARKS Ship - VR Space (Epic Desert)"""
Area4035S#0,"""VR Space (Cuent Eastern Plains)"""
Area4035L#0,"""ARKS Ship - VR Space (Cuent Eastern Plains)"""
Area4036S#0,"""VR Space (Verun Frontier Village) """
Area4036L#0,"""ARKS Ship - VR Space (Verun Frontier Village)"""
Area4037S#0,"""VR Space (Cuent Castle) """
Area4037L#0,"""ARKS Ship - VR Space (Cuent Castle)"""
Area4038S#0,"""VR Space (Epic Desert Northern Fort)"""
Area4038L#0,"""ARKS Ship - VR Space (Epic Desert Northern Fort)"""
Area4039S#0,"""VR Space (Louisa Lakefront) """
Area4039L#0,"""ARKS Ship - VR Space (Louisa Lakefront)"""
Area4040S#0,"""VR Space (????) """
Area4040L#0,"""ARKS Ship - VR Space (????)"""
Area4041S#0,"""VR Space (Place of Memories) """
Area4041L#0,"""ARKS Ship - VR Space (Place of Memories)"""
Area127S#0,"""VR Space (Cuent Castle跡)"""
Area127L#0,"""ARKS Ship - VR Space (Cuent Castle跡)"""
NpcComMsg1#0,"""Starting an Endless Quest. Complete as many missions as you can within the time limit and earn a high score."""
NpcComMsg2#0,"""Your score and time are increased each time you complete a \""Mission Order\"". Good luck!"""
