11_voice_NPC_5085_104#0,"""The current situation? It's a long story so I'll summarize it for you."""
text08004#0,"""However, [Apprentice] survived that fight and tried to take Afin's sister, Yucreta as the new host."""
text08005#0,"""[Double] appeared and devoured [Apprentice] while she was in the midst taking over Yucreta."""
text08006#0,"""[Double] then retreated from the ARKS ship, not before abducting Yucreta."""
text08007#0,"""Yucreta was then manipulated by [Double] to do their bidding. She is not exactly a Dark Falz."""
text08008#0,"""Given that her she still retains her consciousness, she has potential to be an ARKS member."""
text08009#0,"""But she is also influenced by both [Double] and [Apprentice], which puts her in an awkward spot. """
text08010#0,"""That is why from now on, we need to observe her. This was also why I agreed to Afin's request."""
text08011#0,"""He would keep an eye on Yucreta on his own."""
text09001#0,"""<%me> and Matoi got captured within [Double]."""
text09002#0,"""Judging from the data, that is a seperate world. A seperate universe."""
text09003#0,"""A seperate universe in a seperate dimension from our universe...I should just call it a parallel universe."""
text09004#0,"""That being said, the universe within [Double] is significantly bigger than ours."""
text09005#0,"""There was something similar to that dimension in the research done by Photoners called subspace."""
text09006#0,"""It is not impossible to create one if you have the right knowledge and technology...Talking about this isn't going to change anything."""
text09007#0,"""[Double] uses that universe as a \""storeroom\"" of what they devoured, where copies are made and summoned into our universe at will."""
text09008#0,"""Copies of you and Matoi is possible since the both of you were in there before..."""
text09009#0,"""Let's not talk about it, it's great to see you both again."""
text09010#0,"""It may come at a price, but it's great that the both of you are safe."""
text10001#0,"""Matoi...absorbed all of the darkness within you and disappeared."""
text10002#0,"""Sara was present at that final moment, and I saw the records. At that point, there was nothing I could do."""
text10003#0,"""Her body was overflowing with darkness, more than a Dark Falz. That amount of darkness of [Profound Darkness]."""
text10004#0,"""I've mobilized ARKS to search for her whereabouts."""
text10005#0,"""And for that, I've disclosed information about Matoi to all of ARKS."""
text10006#0,"""You, and Matoi's special ability to absorb darkness."""
text10007#0,"""And the risk of that very ability, that incident 10 years ago."""
text10008#0,"""All information regarding [Profound Darkness] is now disclosed to the public."""
text10009#0,"""I should've done this from the start... I should've stopped the both of you."""
text10010#0,"""It was an oversight on my part, for thinking about others. I'll not make the same mistake twice..."""
text10011#0,"""ARKS will search for Matoi."""
text10012#0,"""I want you to rest after your health checkup. Please don't try anything reckless on your own."""
text10013#0,"""This is an order from the ARKS Administrator. I'll protect you."""
text10001#1,"""I guarantee you that all of ARKS is mobilized to find Matoi."""
text10002#1,"""I didn't order them to do so, everyone offered to help."""
text10003#1,"""……君が為してきたことに<br>無駄なことなんて何もなかったんだ。<br>今このときのために、今までがあった。"""
text10004#1,"""みんなの意志を一つにして<br>ただ一人を救うために力を尽くす。<br>……それが、今のアークスの姿なんだ。"""
text10005#1,"""ううん……違うか。<br>きっとこれが、人の姿なんだね。<br>……シオンにも見せてあげたかったな。"""
text10001#2,"""ぼくの演算の及ばない場所に<br>君とマトイは至ってしまったよ。"""
text10002#2,"""この結末は、予想できなかった。<br>全部が全部、ぼくの想定外さ。"""
text10003#2,"""でもね、きっとシオンにだって<br>この結末は演算できてなかったと<br>ぼくは思うよ。"""
text10004#2,"""ありえなかった未来を作り出す……<br>……それがきっと、シオンから君に<br>託された力の本質なんだろうね。"""
text10005#2,"""問題が全て解決されたわけじゃない。<br>ぼくたちにはまだやることが<br>たくさん残されている。"""
text10006#1,"""……けど今は、この新たな未来を<br>素直に喜んでいたいな。ははっ。"""
text10001#3,"""【深遠なる闇】は、依代となった<br>【仮面】によって、ナベリウスに<br>復活直前の状態で留められているんだ。"""
text10002#3,"""【深遠なる闇】が復活しようとし<br>君やアークスが戦い、力を削いだら<br>【仮面】の力によって復活前に戻る。"""
text10003#3,"""このサイクルを繰り返してるおかげで<br>復活は免れてはいるんだけど……<br>いつまで保たれるかはわからない。"""
text10004#3,"""だから今のうちに、この問題について<br>ぼくは徹底的に演算を行おうと思う。"""
text10005#3,"""答えが見つかる保証はないけれど<br>全てを救う方法を、探したいんだ。"""
text10001#4,"""ユクリータは【若人】ではなかった。<br>あくまで、その残滓を受けとったのみ。"""
text10002#4,"""しかし、そんなユクリータの内から<br>アウロラと名乗る女性が現れた。<br>彼女は自身を原初の【若人】と言う。"""
text10003#4,"""……なんとも、【若人】に関しては<br>イレギュラーなことが多すぎて<br>判断に困るよね。"""
text10004#4,"""でも、アウロラの言はあながち嘘でも<br>なさそうなんだ。"""
text10005#4,"""彼女の出現にあわせて、リリーパでの<br>ダーカーの活動が活発化している。"""
text10006#2,"""……いや、ダーカーの活動が活発になり<br>結果、ユクリータの中に残っていた<br>アウロラが目覚めた、というべきか。"""
text10007#1,"""リリーパにおけるダーカーの活発化は<br>おそらく【深遠なる闇】の影響だけど<br>……それだけではなさそうだ。"""
text10008#1,"""君自身のことはもちろん<br>アフィンやユクリータたちのことも<br>よろしく頼むよ。"""
skit00#0,"""Cancel"""
skit01#0,"""Oracle Fleet's Situation"""
skit02#0,"""Matoi's Situation"""
skit03#0,"""Mystery behind [Persona]"""
skit04#0,"""Wopal's Facility"""
skit05#0,"""Sara and Claris Claes"""
skit06#0,"""Corrupted Area"""
skit07#0,"""Sukuna-hime and Magatsu"""
skit08#0,"""The truth 10 years ago"""
skit09#0,"""Universe within Double"""
skit10#0,"""Matoi's whereabouts"""
skit11#0,"""[Profound Darkness] situation"""
skit12#0,"""[Apprentice]について"""
skit13#0,"""[深遠なる闇]について"""
