EnemyWeak#0,"""試し斬りにもならないの……"""
EnemyBoost#5,"""……ちょっと厄介そうですね。<br>気を引き締めていきましょう！"""
DestroyEnemy1#5,"""えっへん☆"""
DestroyEnemy2#5,"""やりました☆"""
DestroyEnemy3#5,"""ふしぎな魔法です☆"""
CondFreeze#5,"""ひゃっ、つめたっ！\u3000"""
CondBurn#5,"""あちちっ！"""
CondShock#5,"""やっ、しびれる……"""
CondPoison#5,"""ううっ、きもちわるい……"""
CondPanic#5,"""ハロウィンの魔女マジカル★シエラが<br>ほうきの妖精マロウィンと共に大活躍！<br>あなたのハートにジャストアタック☆"""
CondStan#5,"""あれっ、動けません！"""
CondMirage#5,"""ふわっ、見えません！"""
Die#5,"""やりたいこと、たくさんあるのに……"""
ThankHeal#5,"""ありがとうございます☆"""
ThankBuff#5,"""どうもです☆"""
ThankCure#5,"""た、助かりました！"""
DefeatEnemy#5,"""次は何が待ってるんでしょう？<br>楽しみですね☆"""
LevelUp#5,"""レベルアップ！ですねっ"""
InvokeSkill1#5,"""くらってください☆"""
InvokeSkill2#5,"""いっちゃいますよ☆"""
InvokeSkill3#5,"""さようなら☆"""
TechFire#0,"""ホカホカ☆ファイア！"""
TechIce#0,"""カチカチ☆アイス！"""
TechThunder#0,"""ビリビリ☆サンダー！"""
TechWind#0,"""フワフワ☆ウィンド！"""
TechLight#0,"""キラキラ☆ライティング！"""
TechDark#0,"""モヤモヤ☆ダークネス！"""
PBFull#5,"""マジカル★シエラのふしぎな魔法で<br>とっておきの、召喚しちゃいます☆"""
PBRelease#5,"""とっておき、いきますよ！"""
Avoid#5,"""無駄です☆"""
HealSelf#5,"""マジカル☆ヒーリング！"""
BuffSelf#5,"""マジカル☆パワーアップ！"""
HealOther#5,"""マジカル☆ヒーリング！"""
BuffOther#5,"""マジカル☆パワーアップ！"""
QuestStart1#5,"""行きましょう！<br>私もがんばりますよっ！"""
QuestEnd1#5,"""お疲れさまでした！<br>また連れてってくださいね☆"""
IncidentStart#5,"""何かが起こる予感がします……<br>注意してください！"""
IncidentSuccess#5,"""バッチリです！<br>お疲れさまでした☆"""
IncidentFailure#5,"""す、すみません……"""
PSE#5,"""あ、ＰＳＥですよ☆"""
PSELevelUp#5,"""ＰＳＥ、パワーアップです！"""
PSEBurst#5,"""きましたよ！<br>ＰＳＥバースト☆"""
HP30#5,"""痛いです痛いです！<br>マジカル★シエラ、大ピンチです！"""
HP10#5,"""ああ、お星さまが見えます……☆"""
ItemRare#5,"""いいもの、手に入れましたね！<br>おめでとうございます☆"""
DamageSmall#5,"""いたっ！"""
DamageMiddle#5,"""むみゃっ！"""
DamageLarge#5,"""きゃあっ！"""
Trap#5,"""ひゃあ！\u3000わ、罠！？<br>恥ずかしいです……"""
ThankTrapRescue#5,"""……ふぅ、助かりました！<br>ありがとうございます☆"""
TrapRescueOther#5,"""Are you ok?"""
MemberDamaged#5,"""無理しちゃダメです……"""
MemberDead#5,"""そんな……<br>一緒に未来を守ろうって<br>約束したじゃないですか……"""
AbilityExe#5,"""なんだか調子が出てきました！<br>じゃんじゃん行きますよーっと☆"""
AbilitySpecial#5,"""なんでもできちゃいそうです！<br>マジカル★シエラにおまかせあれ☆"""
Resurrect#5,"""不肖シエラ！<br>まだまだ頑張りますよ！"""
PartyJoin#5,"""/ci2 2 戦闘だって、私におまかせですっ"""
Marvelous#5,"""私も負けてられませんね！"""
IncidentJsApcBegin#5,"""/ci2 2 マジカル★シエラが、ぽわっと参上！<br>いけない子たちに、とっておきの<br>ふしぎな魔法をかけちゃいます☆"""
IncidentJsApcFailure#5,"""/ci4 2 そ、そんな……<br>ふしぎな魔法が通じないなんて……"""
IncidentJsApcSuccess#5,"""/ci2 2 やりました！\u3000これからも<br>マジカル★シエラのふしぎな魔法が<br>愛と希望をばらまきます☆"""
IncidentJsApcBeginEvo#5,"""/ci3 2 おやおや、ほしがりさんですね☆<br>マジカル★シエラのふしぎな魔法……<br>アンコールといきましょう！"""
EnemyWeak#6,"""ボクでも勝てそうニャ"""
EnemyLarge#6,"""大きいニャ"""
EnemyBoss#6,"""ニャ……強そうニャ"""
EnemyRare#6,"""ニャ、亜種か希少種ニャ？"""
EnemyBoost#6,"""ニャ、気合が入ってるニャ……"""
DestroyEnemy1#6,"""やったニャ！"""
DestroyEnemy2#6,"""勝てたのニャ！"""
DestroyEnemy3#6,"""オトモの力なのニャ！"""
CondFreeze#6,"""雪だるまみたいニャア……"""
CondBurn#6,"""アッツアッツすぎるニャア！"""
CondShock#6,"""ビリビリするニャア"""
CondPoison#6,"""フラフラするニャ"""
CondPanic#6,"""グルグルするニャ"""
CondStan#6,"""動けないけど置いていかないでニャ！"""
CondMirage#6,"""旦那さんどこにいるニャア……？"""
Die#6,"""おわかれさみしいニャ……"""
ThankHeal#6,"""ありがとうニャ！"""
ThankBuff#6,"""うれしいニャ！"""
ThankCure#6,"""元気がでたニャ！"""
DefeatEnemy#6,"""狩りが終わったニャ？"""
LevelUp#6,"""ハンターランクが上がったニャ？"""
InvokeSkill1#6,"""決めるニャ！"""
InvokeSkill2#6,"""任せるニャ！"""
InvokeSkill3#6,"""やっつけるニャ！"""
PBFull#6,"""これでばっちし、決めるのニャ！"""
PBRelease#6,"""ボクたちに任せるのニャ！"""
Avoid#6,"""ニャッと！"""
HealSelf#6,"""元気になるニャ！"""
BuffSelf#6,"""がんばるニャ"""
HealOther#6,"""ガマンはダメニャ"""
BuffOther#6,"""ムリはしないでニャ"""
QuestStart1#6,"""狩りが始まるニャ！"""
QuestEnd1#6,"""やったニャ、狩りが成功したニャ！"""
IncidentStart#6,"""な、なにか起きそうニャア……"""
IncidentSuccess#6,"""成功したニャ！"""
IncidentFailure#6,"""ニャア……ごめんなさいニャ……"""
PSE#6,"""ニャア？\u3000なにか始まるニャ？"""
PSELevelUp#6,"""ニャニャ？\u3000続けるといいのニャ？"""
PSEBurst#6,"""すごいニャ！\u3000びっくりニャ！"""
HP30#6,"""まだまだ大丈夫ニャ！"""
HP10#6,"""おやすみしちゃいそうニャ……"""
ItemRare#6,"""いいものゲットしたニャ？"""
DamageSmall#6,"""ニャ……"""
DamageMiddle#6,"""痛いニャッ"""
DamageLarge#6,"""負けないニャ……！"""
Trap#6,"""狩られちゃうニャ！"""
ThankTrapRescue#6,"""罠にかかってごめんなさいニャ……"""
TrapRescueOther#6,"""オトモの心得ニャ！"""
MemberDamaged#6,"""気をつけてニャ"""
MemberDead#6,"""おわかれはいやニャア……！"""
AbilityExe#6,"""狩魂なのニャ！"""
AbilitySpecial#6,"""オトモ狩人ニャ！"""
Resurrect#6,"""オトモは最後まで一緒ニャ"""
PartyJoin#6,"""/ci2 2 旦那さん、よろしくニャ"""
Marvelous#6,"""さすが旦那さんニャ！"""
IncidentJsApcBegin#6,"""/ci2 2 旦那さんニャ！<br>お願いニャ、助けてほしいのニャ！"""
IncidentJsApcFailure#6,"""/ci4 2 ごめんなさいニャ……<br>ボク、オトモとして失格ニャ"""
IncidentJsApcSuccess#6,"""/ci2 2 旦那さんのおかげニャ！<br>大成功だニャ！"""
IncidentJsApcBeginEvo#6,"""/ci3 2 ニャニャ……？<br>まだなにか起きそうなのニャ"""
EnemyWeak#7,"""いくよ！"""
EnemyLarge#7,"""こんなやつ、大きいだけ……！"""
EnemyBoss#7,"""負けないから！"""
EnemyRare#7,"""へー、珍しいやつだ！"""
EnemyBoost#7,"""ブーストされてたって<br>あたしが祓ってみせる！"""
DestroyEnemy1#7,"""Next!"""
DestroyEnemy2#7,"""この程度じゃ止まらない！"""
DestroyEnemy3#7,"""ありがとう、天叢雲！"""
CondFreeze#7,"""つ、冷たっ！\u3000ちょっと何コレ！"""
CondBurn#7,"""も、燃えてる！？\u3000消火消火！"""
CondShock#7,"""し、しびれるうううう……！"""
CondPoison#7,"""ど、毒……？\u3000気持ち悪い……"""
CondPanic#7,"""あはっはっはー！<br>あっちがこっちでそっちがどっち？"""
CondStan#7,"""か、身体が動かない……！"""
CondMirage#7,"""め、目が……ちかちかして……！"""
Die#7,"""ミスった……みんなごめん……！"""
ThankHeal#7,"""サンキュー！"""
ThankBuff#7,"""さっすが！\u3000助かったよ！"""
ThankCure#7,"""ふう、これでオッケー！"""
DefeatEnemy#7,"""さて、次行こう！"""
LevelUp#7,"""負けてられないね！"""
InvokeSkill1#7,"""迷いを断ち切る！"""
InvokeSkill2#7,"""あたしと天叢雲なら！"""
InvokeSkill3#7,"""一閃！"""
PBFull#7,"""あたしはもう、自分を騙さない！"""
PBRelease#7,"""これがあたしの……選択だ！"""
Avoid#7,"""Hah!"""
HealSelf#7,"""回復はきちんとしないとね"""
BuffSelf#7,"""手抜き手加減一切なし！"""
HealOther#7,"""大丈夫？\u3000回復するね！"""
BuffOther#7,"""万全の状態で挑もう！"""
QuestStart1#7,"""行こうか、天叢雲"""
QuestEnd1#7,"""おつかれさま！"""
IncidentStart#7,"""何かが……来る！"""
IncidentSuccess#7,"""よし、上出来上出来！"""
IncidentFailure#7,"""ま、気を落とさないで！<br>次行くよ！\u3000次！"""
PSE#7,"""これが、ＰＳＥ……"""
PSELevelUp#7,"""ＰＳＥが強くなったみたい"""
PSEBurst#7,"""すっごく綺麗……！<br>聖夜のベルが聞こえてきそう！"""
HP30#7,"""この程度じゃ折れないよ！"""
HP10#7,"""まだ、あたしは諦めない！"""
ItemRare#7,"""クリスマスのプレゼントだね！"""
DamageSmall#7,"""くっ！"""
DamageMiddle#7,"""ここからだ！！"""
DamageLarge#7,"""まずいか……！"""
Trap#7,"""げっ、罠！？"""
ThankTrapRescue#7,"""助かった、ありがとね！"""
TrapRescueOther#7,"""罠とか古典的ッ……！<br>すぐに助けるから！"""
MemberDamaged#7,"""Are you okay?"""
MemberDead#7,"""絶対に、許さないから……！"""
AbilityExe#7,"""力が、わいてくる！"""
AbilitySpecial#7,"""今なら一騎当千の活躍ができそう！"""
Resurrect#7,"""……休んでなんかいられないっての！"""
PartyJoin#7,"""/ci2 1 よーっし、頑張ろっかな。"""
Marvelous#7,"""相変わらずだね！"""
IncidentJsApcBegin#7,"""/ci2 1 あ、いいところに！<br>メリークリスマース……って<br>先にこいつら片付けなきゃ！"""
IncidentJsApcFailure#7,"""いろいろごめんね……！<br>トナカイは一旦撤退させてもらう！"""
