NameF#0,"""$(0)"""
result10#1,"""天野名雪"""
result11#1,"""ビートまりお"""
result12#1,"""汐月しゅう"""
result13#1,"""市来光弘"""
result14#1,"""モアイ岩下"""
result15#1,"""郡正夫"""
result16#1,"""みたらし"""
result17#1,"""テトラ"""
result18#1,"""ドルチェ"""
result19#1,"""§イチカ§"""
result20#1,"""マジカルロボ☆ゼクト"""
result21#1,"""牧野"""
result22#1,"""セラフィ"""
result23#1,"""ジェネ"""
result24#1,"""アネット"""
result25#1,"""アフタル"""
result26#1,"""モア"""
result27#1,"""ブルーノ"""
result28#1,"""リーン"""
result29#1,"""マトイ"""
result30#1,"""シエラ"""
result31#1,"""リサ"""
result32#1,"""ハリエット"""
result33#1,"""ウルク"""
result34#1,"""マリア"""
result35#1,"""テオドール"""
result36#1,"""レギアス"""
result37#1,"""星野メリッサ"""
result38#1,"""AOKAZE"""
result39#1,"""TUKA\u3000P"""
result40#1,"""サリア."""
result41#1,"""瀬流"""
result42#1,"""korochin"""
result43#1,"""v_akane_v"""
result44#1,"""コン＠I-Love-39"""
result45#1,"""pechiko"""
result46#1,"""MonG21"""
result47#1,"""PeeeeI"""
result48#1,"""ファントム＝G"""
result49#1,"""はやてs"""
result50#1,"""クレメンチーナ"""
result51#1,"""絢胤紅葉"""
result52#1,"""フェイとちゅうい"""
result53#1,"""exec_"""
result54#1,"""碧空翆"""
result55#1,"""SIGEBOI"""
result56#1,"""AstraeaN.A."""
result57#1,"""ashitubo3"""
result58#1,"""_ポコピン_"""
result59#1,"""You-RKB"""
result60#1,"""Lavinia."""
result61#1,"""美形村時輪"""
result62#1,"""斑鳩＠都心の卍は格がちげぇ!!"""
result63#1,"""AOR-"""
result64#1,"""タウラ・トミス"""
result65#1,"""ナオもぐ６７"""
result66#1,"""しらすぅどん"""
result67#1,"""なぁたろう"""
result68#1,"""w-g-zero"""
result69#1,"""月下亜梨子"""
result70#1,"""美麗亜"""
result71#1,"""天見社"""
result72#1,"""LINK0723"""
result73#1,"""ラルカディア"""
result74#1,"""tackce0655"""
result75#1,"""千兎世"""
result76#1,"""一之瀬奏"""
result77#1,"""米周"""
FullSize_Help#0,"""<c f0df60>運をためす事ができる不思議な祠です。<c>"""
Child_Menu1#0,"""運をためす"""
Child_Menu2#0,"""Return"""
