ssc_502100_0010#0,"""ใครอยู่น่ะ?!"""
ssc_502100_0400#0,"""'สามารถกำจัดศัตรูไปได้เท่าไหร่<br>และมีพวกพ้องรอดชีวิตมากแค่ไหน?'"""
ssc_502100_0410#0,"""หากต้องมีคนมากมายสละชีวิต คนที่<br>ต้องแบกรับภาระนั้นก็คือผู้บัญชาการเกลน (Guren)"""
ssc_502100_0420#0,"""และแน่นอนว่า<br>รวมถึงฉันที่เป็นผู้ช่วยด้วย"""
ssc_502100_0430#0,"""ทหารคนนั้นก็แค่<br>ทำในสิ่งที่เขาต้องทำเท่านั้นเอง"""
ssc_502100_0440#0,"""เพราะงั้น ได้โปรด ยืนหยัดขึ้น<br>และมองตรงไปยังอนาคตเถอะนะ"""
ssc_502100_0450#0,"""คานุย (Kanui)..."""
ssc_502100_0460#0,"""สิ่งที่ฉันจะพูดก็มีเท่านี้แหละ"""
ssc_502100_0470#0,"""...ขอบคุณนะ"""
ssc_502100_0480#0,"""ไม่เป็นไรหรอก ฉันต่างหากที่เสียมารยาท<br>เข้ามาแทรกบทสนทนาของพวกเธอน่ะ"""
ssc_502100_0490#0,"""ฉันจะกลับไปทำภารกิจ<br>ตรงนี้ต่อแล้วนะ ลาก่อน"""
ssc_502100_0500#0,"""...มันคงจะยากน่าดู<br>ที่จะจัดการกับความรู้สึกพวกนี้..."""
ssc_502100_0510#0,"""แต่คานุย (Kanui) พูดถูก ฉันต้องพยายาม<br>ก้าวต่อไปให้พ้นจากเรื่องนี้ให้ได้"""
ssc_502100_0520#0,"""และที่สำคัญที่สุดคือเพื่อ ARKS คนนั้น...<br>คนที่ยอมสละอนาคตของเขาเพื่อฉันน่ะ"""
