Title#0,"""MISSION : 시동"""
Area21L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000인터벌 에어리어 2"""
Area22S#0,"""인터벌 에어리어 3"""
Area22L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000인터벌 에어리어 3"""
Area23S#0,"""인터벌 에어리어 4"""
Area23L#0,"""아크스 쉽\u3000VR 공간 (사막)\u3000인터벌 에어리어 4"""
Area24S#0,"""인터벌 에어리어 5"""
Area24L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000인터벌 에어리어 5"""
Area25S#0,"""인터벌 에어리어 6"""
Area25L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000인터벌 에어리어 6"""
Area26S#0,"""인터벌 에어리어 7"""
Area26L#0,"""아크스 쉽\u3000VR 공간 (사막)\u3000인터벌 에어리어 7"""
Area27S#0,"""인터벌 에어리어 8"""
Area27L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000인터벌 에어리어 8"""
Area28S#0,"""인터벌 에어리어 9"""
Area28L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000인터벌 에어리어 9"""
Area29S#0,"""인터벌 에어리어 10"""
Area29L#0,"""아크스 쉽\u3000VR 공간 (사막)\u3000인터벌 에어리어 10"""
Area30S#0,"""인터벌 에어리어 11"""
Area30L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000인터벌 에어리어 11"""
Area31S#0,"""인터벌 에어리어 12"""
Area31L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000인터벌 에어리어 12"""
NpcComMsg1#0,"""잠시 후 챌린지를 시작합니다.<br>VR 에너지가 바닥날 때까지 5가지<br>미션을 클리어해 주세요."""
NpcComMsg2#0,"""각종 휴대품도 현지 조달입니다.<br>혹독한 훈련이지만 임기응변으로<br>대처해 주세요. 건투를 빕니다."""
UIQuestTargetOutlineSecond#0,"""10개의 미션을 클리어 하라!"""
UIQuestTargetDetailSecond#0,"""VR 에너지가 없어질 때까지<br>10개의 미션을 클리어 하라!"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 미션 1은 제가 네비게이트 하겠습니다.<br>우선 주변의 에너미를 격파하고<br>무기와 진로를 확보합시다."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 미션 2부터는 상세한 네비게이트를<br>하지 않을테니 스스로 힘으로 극복해<br>주세요. 그럼 무운을 빌겠습니다."""
NPCArea2#0,"""/atime2.5 /voice11_voice_navi07_015 미션 3입니다.<br>제대로 휴식을 취하셨나요?<br>슬슬 난이도가 올라갑니다."""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 미션 4입니다.<br>VR 에너지는 괜찮나요?<br>에너지 소진을 주의하세요."""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 미션 5입니다.<br>마지막 미션입니다.<br>조심해서 나아가 주세요. """
NPCArea5#0,"""/atime2.5 /voice11_voice_navi07_018 미션 6입니다. 여기서부터는<br>VR 에너지가 꺼질 때까지<br>전력을 다해주세요. """
NPCArea6#0,"""/atime2.5 /voice11_voice_navi07_019 미션 7입니다.<br>똑같은 광경이라고 해도 그 내용이<br>똑같진 않습니다. 주의하세요."""
NPCArea7#0,"""/atime2.5 /voice11_voice_navi07_015 미션 8입니다. 이미 눈치 채셨을지도 <br>모르겠지만 지도에 표시되지 않는<br>에너지 캡슐도 떨어져 있습니다."""
NPCArea8#0,"""/atime2.5 /voice11_voice_navi07_016 미션 9입니다.<br>남은 미션 앞으로 둘.<br>조금만 더 버텨주세요."""
NPCArea9#0,"""/atime2.5 /voice11_voice_navi07_017 미션 10입니다.<br>어떻게 굴러도 마지막 미션입니다.<br>죽을 힘을 다해 열심히 해 주세요. """
NPCArea10#0,"""/atime2.5 /voice11_voice_navi07_018 미션 11입니다.<br>3주차가 되어 난이도가 더 올라갑니다.<br>끝까지 있는 힘을 전부 쏟아냅시다."""
NPCArea11#0,"""/atime2.5 /voice11_voice_navi07_019 미션 12입니다.<br>이 난이도에도 견딜 수 있는 능력……<br>훌룡하다 그 말 밖에 안나옵니다."""
NPCArea12#0,"""/atime2.5 /voice11_voice_navi07_015 미션 13입니다.<br>전력을 다해 최선을 다해<br>최심부 도달을 목표로 해주세요. """
NPCArea13#0,"""/atime2.5 /voice11_voice_navi07_016 미션 14입니다.<br>최심부에 거의 다가와 있습니다.<br>2주차 최심부에."""
NPCArea14#0,"""/atime2.5 /voice11_voice_navi07_017 미션 15입니다.<br>여기를 넘으면 3주차는 끝입니다.<br>무운을 빕니다."""
NPCArea15#0,"""/atime2.5 /voice11_voice_navi07_018 미션 16입니다.<br>4주차의 시작입니다.<br>훨씬 더 난이도가 올라갈 겁니다."""
NPCArea16#0,"""/atime2.5 /voice11_voice_navi07_014 미션 17입니다.<br>훌륭한 성과입니다.다음 미션에서<br>약간의 정보를 제공해드릴게요."""
NPCArea17#0,"""/atime2.5 /voice11_voice_navi07_015 미션 18입니다.<br>이번 미션은, 이것이 마지막 주회입니다.<br>즉, 앞으로 3개의 미션이 남았습니다."""
NPCArea18#0,"""/atime2.5 /voice11_voice_navi07_016 미션 19입니다.<br>남은 미션 앞으로 둘.<br>조금만 더 버텨주세요."""
NPCArea19#0,"""/atime2.5 /voice11_voice_navi07_017 미션 2０입니다.<br>어떻게 굴러도 마지막 미션입니다.<br>죽을 힘을 다해 열심히해 주세요. """
NPCArea21#0,"""/atime2.5 /voice11_voice_navi07_002 인터벌 에어리어입니다.<br>시간 내에 보급을 실시하고<br>이후의 미션에 대비해 주세요. """
NPCArea22#0,"""/atime2.5 /voice11_voice_navi07_002 인터벌 에어리어입니다.<br>시간 내에 보급을 실시하고<br>이후의 미션에 대비해 주세요. """
NPCArea23#0,"""/atime2.5 /voice11_voice_navi07_002 인터벌 에어리어입니다.<br>시간 내에 보급을 실시하고<br>이후의 미션에 대비해 주세요. """
NPCArea24#0,"""/atime2.5 /voice11_voice_navi07_002 인터벌 에어리어입니다.<br>시간 내에 보급을 실시하고<br>이후의 미션에 대비해 주세요. """
