name_7245#0,"""เซียมมี่"""
ssn_019100_002_1109#0,"""แต่นี่มันกลับไปปลุก... ความกระหายในตัวขึ้นมาน่ะ"""
ssn_019100_002_1110#0,"""ค-คือว่า มันมีโครงสร้างผลึกที่เรียกว่า Autumn Iris อ-อ้างว่าสร้างมาจาก Photon..."""
ssn_019100_002_1111#0,"""สามารถหาตัวอย่างได้จาก Seasonal Enemy... ด-ได้ยินมาแบบนั้นนะ..."""
ssn_019100_002_1112#0,"""ถ-ถ้าหามาให้ได้... จะดีใจมากเลยล่ะ"""
ssn_019100_002_2001#0,"""ขอได้ไหม? Autumn Iris น-นั่นน่ะ"""
ssn_019100_002_2101#0,"""อืม... ขอบคุณนะ ขอบคุณมากที่ช่วย"""
ssn_019100_002_2102#0,"""คิดว่า... คงอยากจะทดสอบเพิ่มอีกสักหน่อยแล้วล่ะ น-แน่ใจนะ? ว่าเอาไว้ที่นี่ได้...?"""
ssn_019100_002_2103#0,"""อ้อ... เอ่อ..."""
ssn_019100_002_2104#0,"""เรื่องมัน... ไม่ค่อยดีเท่าไหร่"""
ssn_019100_002_2105#0,"""ค-คือว่า ได้ตัวเลขที่น่าเหลือเชื่อมาก็จริง แต่... มันไม่เสถียรเอามากๆ เลย"""
ssn_019100_002_2106#0,"""ปัญหาคือ ด-ดูเหมือนจะมีผลึกอีกชนิดหนึ่งที่มีความบริสุทธิ์สูงกว่านี้อีก... ตามที่แหล่งข่าวบอกมานะ"""
ssn_019100_002_2107#0,"""นักวิจัยเรียกมันว่า Autumn Lattice... ค-คิดว่างั้นนะ..."""
ssn_019100_002_2108#0,"""ก-ก็คือมันสามารถหาได้จาก Seasonal Enemy เหมือนกัน..."""
ssn_019100_002_2109#0,"""แต่มันจะหายากกว่า น-น่าจะนะ..."""
ssn_019100_002_2110#0,"""แต่ด-ดูเหมือนจะมีวิธีอื่นที่หาได้เหมือนกัน เดี๋ยวจะส่งรายละเอียดไปให้นะ"""
ssn_019100_002_2111#0,"""อ-เอ่อ... ถ้าไม่เป็นการรบกวนเกินไป... พอจะช่วยหามาให้อีกได้ไหม...?"""
ssn_019100_002_3001#0,"""...น-แน่ใจนะว่าให้ทั้งหมดนี่ได้เลย?"""
ssn_019100_002_3101#0,"""สุดยอด... ห-หมายถึงเธอน่ะสุดยอดไปเลย ไม่อยากจะเชื่อเลยว่าหาพวกนี้มาให้ได้ทั้งหมด..."""
ssn_019100_002_3102#0,"""แค่คิดว่ามันจะให้ข้อมูลอะไรบ้างก็ขนลุกไปหมดแล้ว... หึหึ... ฮี่ฮี่ฮี่ฮี่..."""
ssn_019100_002_3103#0,"""จะเริ่มเดี๋ยวนี้แหละ"""
ssn_019100_002_3104#0,"""ก-ก็เลย..."""
ssn_019100_002_3105#0,"""คิดว่า... มันน่าจะไปได้สวยล่ะมั้ง...?"""
ssn_019100_002_3106#0,"""แต่ยังมีปัญหา... บางอย่างที่ต้องแก้ไข คงต้องทดสอบเพิ่มเติม..."""
ssn_019100_002_3107#0,"""มันมี... ความไม่สอดคล้องกันหลายอย่างระหว่างการทดลอง"""
ssn_019100_002_3108#0,"""ต-แต่ว่า นี่เป็นก้าวที่ยิ่งใหญ่เลยล่ะ"""
ssn_019100_002_3109#0,"""ขอบคุณมากจริงๆ! เป็นหนี้บุญคุณอย่างมากเลย..."""
ssn_019100_002_3110#0,"""...ถ-ถ้าต้องการล่ะก็ สามารถมอบอาวุธแบบที่เสถียรแล้วให้ได้นะ..."""
ssn_019100_002_3111#0,"""เอาวัตถุดิบมาเพิ่มสิ... ย-ยินดีที่จะแลกเปลี่ยนให้เลยล่ะ"""
ssn_019100_002_3112#0,"""ง-งั้นก็ หวังว่าจะได้ร่วมงานกันอีกในเร็วๆ นี้นะ"""
ssn_019100_002_4001#0,"""ฮัลโหล? ฮัลโลลลล? เครื่องนี้มันใช้ได้หรือเปล่านะ? นี่ <%me> ใช่ไหม?"""
ssn_019100_002_4002#0,"""ขอโทษที่ติดต่อมาแบบปุบปับนะ ชื่อซิเตร ทำงานอยู่แผนกเสบียงน่ะ"""
ssn_019100_002_4003#0,"""ได้ยินเรื่องของ ARKS ที่เก่งมากๆ มาตลอด เลยอยากจะขอความช่วยเหลือหน่อย"""
ssn_019100_002_4004#0,"""มีศัตรูที่อยากให้ช่วยจัดการให้หน่อยน่ะ <%me>"""
ssn_019100_002_4005#0,"""พวก ARKS แนวหน้าคงจะชินกับการได้รับคำขอแบบนี้อยู่แล้วใช่ไหมล่ะ? ว่าไงล่ะ?"""
ssn_019100_002_4006#0,"""ลองดูหน่อยนะถ้ามีเวลา ขอบคุณล่วงหน้าล่ะ!"""
ssn_019100_002_4101#0,"""ไม่เจอกันนานเลยนะ <%me>! ซิเตรเอง"""
ssn_019100_002_4102#0,"""ยังคงพึ่งพาได้เหมือนเคยเลยนะ?"""
ssn_019100_002_4103#0,"""มีคำขอของตัวเองมาให้ช่วยด้วยล่ะ ถ้าว่างอยู่นะ"""
ssn_019100_002_4104#0,"""คิดว่าจะออกไปจัดการพวกศัตรูเหมือนเมื่อก่อนได้ไหม?"""
ssn_019100_002_4105#0,"""ไม่ใช่คำสั่งโดยตรงหรอกนะ เพราะงั้นจะไปทำตอนไหนก็ได้ที่สะดวกเลย"""
ssn_019100_002_4106#0,"""เอาล่ะ แล้วเจอกันนะ!"""
ssn_019100_002_4201#0,"""ซิเตร? เกิดอะไรขึ้นเหรอ?"""
ssn_019100_002_4202#0,"""ไม่เปลี่ยนไปเลยสักนิดนะ"""
ssn_019100_002_5001#0,"""ทางเราขาดแคลนวัตถุดิบอยู่เสมอเลย... สำหรับพัฒนาอาวุธน่ะ ถ้ามีติดตัวมา... บางทีอาจจะมีอะไรมาแลกเปลี่ยนให้ได้นะ?"""
ssn_019100_002_6001#0,"""มีอะไรเหรอ? ม-มีอะไรให้ช่วยหรือเปล่า?"""
npc_select_0001#0,"""ส่งมอบ Greenillcite 10 ชิ้น"""
npc_select_0002#0,"""ส่งมอบ Autumn Iris 10 ชิ้น"""
npc_select_0003#0,"""ส่งมอบ Autumn Lattice 2 ชิ้น"""
npc_select_0004#0,"""ยกเลิก"""
npc_select_0005#0,"""แลกเปลี่ยนไอเทม"""
npc_select_0006#0,"""อ-อ๊ะ คุณ... ขอโทษด้วยนะ แต่ของยังมีไม่พอ... ขอโทษจริงๆ..."""
npc_select_0007#0,"""อ-อ้อ... จะรออยู่ที่นี่ก็แล้วกันนะ แค่... รออยู่ตรงนี้..."""
npc_menu_0001#0,"""แลกเปลี่ยนไอเทมตามฤดูกาล (จนถึง $(0))"""
npc_menu_0002#0,"""แลกเปลี่ยนแต้มตามฤดูกาล (จนถึง $(0))"""
npc_menu_0003#0,"""ถามเกี่ยวกับอีเวนต์ตามฤดูกาล"""
npc_menu_0004#0,"""ปิดเมนู"""
npc_menu_0005#0,"""เกี่ยวกับอีเวนต์ตามฤดูกาล"""
npc_menu_0006#0,"""เกี่ยวกับตัวละครอีเวนต์ตามฤดูกาล"""
npc_menu_0007#0,"""เกี่ยวกับภารกิจรายวัน/รายสัปดาห์"""
npc_menu_0008#0,"""เกี่ยวกับ Mischief Symbol"""
npc_menu_0009#0,"""เกี่ยวกับการรวบรวมของตามฤดูกาล"""
npc_menu_0010#0,"""เกี่ยวกับ Region Mag ตามฤดูกาล"""
npc_menu_0011#0,"""เกี่ยวกับ Seasonal Enemy"""
npc_menu_0012#0,"""เกี่ยวกับ World Trial"""
npc_menu_0013#0,"""เกี่ยวกับ Stellar Gift Trial"""
npc_menu_0014#0,"""ช่างเถอะ"""
