name_7429#0,"""Cristobal"""
ssn_015030_0301#0,"""ทำได้ดีมาก รู้สึกยังไงบ้างล่ะที่ได้จัดการศัตรูที่แข็งแกร่งจริงๆ น่ะ?"""
ssn_015030_0302#0,"""อา ช่างเถอะ เรากำลังพูดถึงเธออยู่นะ น่าจะเคยจัดการกับตัวที่แข็งแกร่งกว่าพวกนั้นมาแล้วล่ะมั้ง"""
ssn_015030_0303#0,"""ยังไงก็ตาม นี่ก็เป็นผลลัพธ์ที่ดีอย่างที่ฉันคาดหวังไว้เลย"""
ssn_015030_0304#0,"""ถ้าเป็นแบบนี้ คงอีกไม่นานหรอกกว่าจะสำเร็จหลักสูตรการฝึกนี้ทั้งหมด"""
ssn_015030_0305#0,"""หืม? เป็นอะไรไป? คิดว่าฉันจะจบแค่นี้งั้นเหรอ?"""
ssn_015030_0306#0,"""ขอโทษทีนะ แต่พึ่งจะเริ่มต้นเท่านั้นเอง หลักสูตรการฝึกของเราไม่ใช่สิ่งที่คนที่มีความตั้งใจแค่ครึ่งๆ กลางๆ จะทำสำเร็จได้หรอกนะ"""
ssn_015030_0307#0,"""จริงๆ แล้ว จากกองกำลังทั้งหมดที่นี่ ยังไม่มีใครสำเร็จหลักสูตรนี้เลยสักคนเดียว"""
ssn_015030_0308#0,"""ฉันจะคอยดูนะว่าเธอจะไปได้ไกลแค่ไหนก่อนที่จะยอมแพ้"""
ssn_015030_0309#0,"""เมื่อพร้อมแล้ว ก็มาลุยสิ่งต่อไปในรายการได้เลย"""
ssn_015030_1001#0,"""โอ้ พร้อมแล้วงั้นเหรอ?"""
ssn_015030_1101#0,"""นี่คือจุดเริ่มต้นของหลักสูตรการฝึกที่แท้จริงของกองหน้า Kvaris"""
ssn_015030_1102#0,"""อยากรู้จังว่าจะไปได้ไกลแค่ไหน หวังว่าชัยชนะครั้งก่อนจะไม่ใช่แค่เรื่องบังเอิญนะ"""
ssn_015030_1201#0,"""ไม่ต้องรีบร้อน ใช้เวลาได้เต็มที่เลย"""
ssn_015030_1301#0,"""ทำได้ดีมาก"""
ssn_015030_1302#0,"""พนันได้เลยว่า Dread Enemies หลายๆ ตัวคงจะหนักหนาเอาการเลยล่ะสิ"""
ssn_015030_1303#0,"""อย่างไรก็ตาม คู่ต่อสู้ของเธอต่อจากนี้จะแข็งแกร่งยิ่งขึ้นไปอีก"""
ssn_015030_1304#0,"""เราปล่อยให้เกิดโศกนาฏกรรมอย่าง Aelio Town ขึ้นอีกไม่ได้ นั่นคือเหตุผลที่เราต้องฝึกฝนอย่างหนักยังไงล่ะ"""
ssn_015030_1305#0,"""...แต่นั่นไม่ใช่เหตุผลเดียวหรอกนะ"""
ssn_015030_1306#0,"""ฉันอยากจะขจัดความเสียใจของพวกที่ต่อสู้ที่ Aelio Town น่ะ"""
ssn_015030_1307#0,"""หืม? ทำไมฉันถึงสนใจเรื่อง Aelio Town นักน่ะเหรอ?"""
ssn_015030_1308#0,"""เคยมีช่วงเวลาที่ฉันประจำการอยู่ที่ Aelio Town น่ะ สมัยที่ยังเป็น ARKS มือใหม่อยู่เลย"""
ssn_015030_1309#0,"""หมู่บ้านนั้นทำให้ฉันผูกพัน และฉันก็ได้รู้จักผู้คนที่นั่นเป็นอย่างดี สิ่งที่ฉันเป็นอยู่ในทุกวันนี้ได้ก็เพราะ Garoa เลยล่ะ"""
ssn_015030_1310#0,"""เราจะเอาชนะในการต่อสู้กับ DOLLS ในนามของ Garoa และลูกน้องของเขา ฉันมั่นใจว่าเธอเองก็รู้สึกแบบเดียวกัน"""
ssn_015030_1311#0,"""ถ้าใช่ ก็จงฝึกฝนให้สำเร็จจนถึงที่สุดเถอะ เธอยังมีพื้นที่ให้พัฒนาได้อีกเยอะเลย"""
ssn_015030_2001#0,"""พักเสร็จแล้วใช่ไหม? มาเริ่มการฝึกต่อกันเถอะ"""
ssn_015030_2101#0,"""ถ้ารู้สึกอยากยอมแพ้ตรงนี้ ก็คงจะเทียบไม่ได้กับความแข็งแกร่งของ Garoa หรอกนะ"""
ssn_015030_2102#0,"""ใช้เขาเป็นแรงผลักดันสิ ตั้งเป้าหมายว่าจะเป็นระดับเดียวกับเขาให้ได้ในสักวันหนึ่ง"""
ssn_015030_2201#0,"""ยอมรับขีดจำกัดของตัวเองและพยายามก้าวข้ามมันไป แต่อย่าหักโหมจนได้รับบาดเจ็บล่ะ"""
ssn_015030_2301#0,"""ทำได้ดีมาก พักหายใจก่อนนะ"""
ssn_015030_2302#0,"""มีช่วงเวลาสั้นๆ ตอนที่ต่อสู้ เธอทำให้ฉันนึกถึง Garoa ในอดีตเลยล่ะ"""
ssn_015030_2303#0,"""ชายคนนั้นแข็งแกร่ง แต่ก็ไม่ใช่แค่นั้นหรอก"""
ssn_015030_2304#0,"""เหตุผลที่ Garoa แข็งแกร่งขึ้น น่าจะเป็นส่วนหนึ่งที่ทำให้เขาแข็งแกร่งได้ถึงขนาดนั้น"""
ssn_015030_2305#0,"""เขาต่อสู้ในฐานะผู้นำของ Aelio Town โดยแบกรับความหวังของคนทั้งหมู่บ้านไว้บนบ่า"""
ssn_015030_2306#0,"""หลังจากที่ได้รับรายงานการเสียชีวิตของเขา ฉันถึงได้ตระหนักว่าเขายินดีที่จะไปไกลแค่ไหน เศร้าใช่ไหมล่ะ?"""
ssn_015030_2307#0,"""ฟังนะ อย่าละทิ้งความตั้งใจของตัวเองเด็ดขาด มันจะเป็นแหล่งพลังที่ยิ่งใหญ่สำหรับเธออย่างแน่นอน"""
ssn_015030_2308#0,"""จงรับสิ่งนี้ไปในฐานะคำแนะนำจาก ARKS ที่อยากจะตระหนักเรื่องนี้ได้เร็วกว่านี้"""
ssn_015030_2309#0,"""และเราก็มาถึงช่วงสุดท้ายของการฝึกแล้ว พักผ่อนและบอกฉันเมื่อพร้อมที่จะลุยต่อนะ"""
ssn_015030_3001#0,"""เอาล่ะ นี่คือความท้าทายสุดท้ายจากฉันนะ"""
ssn_015030_3002#0,"""มาได้ไกลขนาดนี้แล้ว ตอนนี้มันก็เป็นเพียงแค่การต่อสู้ด้วยเจตจำนง ทำให้สำเร็จจนถึงตอนจบให้ได้ล่ะ"""
ssn_015030_3101#0,"""มาได้ไกลขนาดนี้แล้ว ตอนนี้มันก็เป็นเพียงแค่การต่อสู้ด้วยเจตจำนง"""
ssn_015030_3102#0,"""ฉันเชื่อว่าเธอมีสิ่งนั้นอยู่ในตัวแน่ๆ แสดงความมุ่งมั่นให้เห็นหน่อยสิ"""
ssn_015030_3201#0,"""ดูเหมือนจะยังเหนื่อยอยู่สินะ สูดหายใจลึกๆ พักผ่อนก่อน แล้วเดี๋ยวเรามาต่อกัน"""
ssn_015030_3301#0,"""ยอดเยี่ยมมาก นี่แหละคือสิ่งที่เรียกได้ว่าเป็นความสำเร็จอันยิ่งใหญ่อย่างแท้จริง"""
ssn_015030_3302#0,"""การตายของ Garoa เป็นความสูญเสียครั้งยิ่งใหญ่ของ ARKS โดยรวมอย่างไม่ต้องสงสัย"""
ssn_015030_3303#0,"""อย่างไรก็ตาม เป็นไปได้ว่า Garoa อาจจะทิ้งความหวังใหม่ไว้ให้ บางทีเธออาจจะเป็นความหวังนั้นก็ได้"""
ssn_015030_3304#0,"""ฉันภูมิใจมากที่ได้พบกับเธอในแบบนี้"""
ssn_015030_3305#0,"""ตอนนี้ เธอได้สำเร็จหลักสูตรการฝึกแล้ว แต่ควรจะท้าทายกับศัตรูที่แข็งแกร่งต่อไปด้วยนะ"""
ssn_015030_3306#0,"""น่าจะมีศัตรูที่เรายังไม่รู้จักอยู่ที่นี่ใน Kvaris ด้วยล่ะ"""
ssn_015030_3307#0,"""ถ้าบังเอิญเจอพวกมันเข้า ก็อยากจะให้ท้าทายศัตรูเหล่านั้นในแบบเดียวกันนะ"""
ssn_015030_3308#0,"""ฉันจะรอดูความก้าวหน้าของเธอเมื่อเวลาผ่านไปนะ"""
ssn_015030_3309#0,"""มาพยายามพัฒนาซึ่งกันและกันในฐานะเพื่อน ARKS กันต่อไปเถอะ"""
ssn_015030_3401#0,"""มาพยายามพัฒนาซึ่งกันและกันในฐานะเพื่อน ARKS กันต่อไปเถอะ"""
ssn_015030_3402#0,"""ฉันเชื่อว่าสักวันหนึ่ง เธอจะสามารถก้าวข้ามแม้กระทั่งคนอย่าง Garoa ได้แน่นอน"""
