text00#0,"""무엇이 궁금하니?"""
text01#6,"""캔디 박스 전용 소비 아이템에는<br>다음과 같은 것들이 있습니다.<br>■캔디 이레이저<br>세팅한 캔디를 삭제합니다.<br>펫 라보의 「펫 굿즈 샵」에서<br>구할 수 있습니다.<br><br>■캔디 리무버<br>캔디를 아이템 팩으로 되돌립니다.<br>「리사이클 샵」에서 구할 수 있습니다.<br><br>■캐러멜 크러셔<br>캐러멜 큐브를 삭제합니다.<br>「엑스큐브 교환 샵」에서<br>구할 수 있습니다."""
Title#6,"""펫이 기절했어!"""
text01#7,"""HP가 0이 된 펫은 전투 불능<br>상태가 되지만,<br>일정 시간이 지나면 부활해<br>다시 전투할 수 있습니다.<br><br>펫을 불러내지 않아도 일정 시간이 지나면<br>부활하므로 다른 펫이나 무기로 교체해<br>전투하십시오.<br><br>부활까지 걸리는 시간은 펫마다 다릅니다."""
Title#7,"""펫의 레어리티 진화란?"""
text01#8,"""「펫의 레어리티 진화」는<br>레어리티를 높여 레벨 상한을<br>올리는 기능입니다.<br><br>등록된 펫과 같은 종류이며<br>레어리티가 같거나 높은 에그를 준비해<br>펫 라보로 가십시오.<br><br>펫의 이름, 레벨, 플러스 값,<br>캔디 박스와 속성이 계승되며,<br>성격을 변경할 수 있습니다."""
Title#8,"""캔디를 작게 만들고 싶어!"""
text01#9,"""「캔디 압축」은 보유한<br>캔디를 작게 만들어 더 많은<br>캔디를 세팅할 수 있게 하는<br>기능입니다.<br><br>캔디 압축은 세팅된 캔디와<br>소지한 캔디 모두에<br>사용할 수 있습니다."""
Title#9,"""캔디 박스에 놓을 수 없는 칸이 있어!"""
text01#10,"""캔디 박스에는 다음과 같이<br>캔디를 넣을 수 없는 칸이 있습니다.<br><br>■젤리 큐브<br>\u3000펫 레벨이 50에 도달하면<br>\u3000자동으로 삭제됩니다.<br><br>■캐러멜 큐브<br>\u3000「캐러멜 크러셔」를 사용하면<br>\u3000삭제할 수 있습니다.<br><br>■페이퍼 큐브<br>\u3000삭제할 수 없습니다."""
Title#10,"""펫의 성격이란?"""
text01#11,"""펫은 성격에 따라 특성이 다릅니다.<br>성격에는 다음과 같은 종류가 있습니다.<br><br>・맑은 날을 좋아함<br>\u3000날씨가 맑을 때<br>\u3000주는 피해가 증가합니다.<br><br>・근성<br>\u3000가끔 치명상을 막고<br>\u3000몇 초간 위력 상승 및 무적.<br><br>・영리함<br>\u3000상태 이상에 걸린 에너미에게<br>\u3000주는 피해가 증가합니다."""
text02#3,"""・노력가<br>\u3000주는 피해와<br>\u3000PP 소비량이 증가합니다.<br><br>・민첩함<br>\u3000공격 시 PP 회복량이 증가합니다.<br><br>・상냥함<br>\u3000일정 시간 소환한 뒤 교체하면<br>\u3000교체한 펫의 HP를 회복합니다.<br><br>「성격」은 펫 라보에서<br>「펫의 레어리티 진화」를 할 때<br>선택한 에그의 성격으로 변경할 수 있습니다."""
Title#11,"""마론과 메론의 특징"""
text01#12,"""마론과 메론은 공격을 받은 횟수에 따라<br>몸이 점차 부풀며 특정 PA의<br>위력을 높일 수 있습니다.<br><br>・위력이 오르는 PA<br>「마론 스트라이크」<br>「메론 스트라이크」<br><br>이 PA를 적중시키면 펫은<br>기절하지만, 적에게 큰 피해를<br>줄 수 있습니다.<br>마론은 최대로 부푼 상태에서<br>일정 시간이 지나면 폭발해 플레이어에게<br>피해를 주므로 주의해야 합니다."""
text02#4,"""마론과 메론의 차이는 다음과 같습니다.<br><br>・마론 스트라이크<br>\u3000마론의 몸이 최대로 부풀 때까지<br>\u3000필요한 피격 횟수가 많지만,<br>\u3000한 방의 위력이 매우 높습니다.<br>\u3000시간이 지나 마론이 폭발하지 않도록<br>\u3000주의해서 사용해 주십시오.<br><br>・메론 스트라이크<br>\u3000마론보다 최대로 부풀 때까지 필요한<br>\u3000피격 횟수가 적은 대신 위력이 낮습니다.<br>\u3000단, 적중하기 직전에 PA를<br>\u3000다시 사용하면 여러 번 공격할 수 있습니다."""
Title#12,"""펫의 속성값 상한은?"""
text01#13,"""펫의 속성값은 레어리티에 따라<br>상한이 다릅니다.<br>구체적인 수치는 다음과 같습니다.<br><br>・★1~12\u3000 <yellow>상한 50<c><br>・★13 이상\u3000<yellow>상한 60<c><br><br>상한을 초과한 속성값은 버려지므로<br>주의해 주십시오."""
Title#13,"""비올라의 특징"""
text01#14,"""비올라는 PA 「비올라 체인지」를<br>사용해 성능을<br>변화시킬 수 있습니다.<br>비올라 체인지 사용 중에는 다음과 같은<br>성능으로 바뀝니다.<br><br>・PA 위력 및 방어력 상승<br>・PA 발동 속도 감소<br>・PP 회복 성능 감소<br><br>다시 사용하면 원래 상태로<br>돌아갈 수 있습니다.<br>상대와 상황에 따라 형태를 바꿔 가며 사용하면<br>전투를 유리하게 이끌 수 있습니다."""
Title#14,"""싱크로우의 특징"""
text01#15,"""싱크로우는 <yellow>서로 다른 PA를 연속으로<br>사용<c>하면 「연계」가 발생해<br>PA의 성능을 강화할 수 있습니다.<br><br>첫 PA를 사용한 뒤 두 번째부터<br>연속으로 사용한 PA는 「연계」로<br>강화됩니다.<br><br>「싱크로우 게키」는 현재 쌓인<br>「연계」를 소비해 위력이 상승합니다."""
text02#5,"""「연계」가 3단계에 이르면<br>플레이어 주위에 표식이 표시됩니다.<br>이 표식을 기준으로 「싱크로우 게키」를<br>사용하십시오.<br><br><red>「연계」는 펫이 PA 이외의<br>행동을 하면 취소됩니다.<c><br>적극적으로 PA를 연계해 전투를 유리하게 이끄십시오."""
Title#15,"""레어리티 진화로 펫의 형태를 바꾼다!"""
text01#16,"""일부 펫은 특정 에그를 사용해<br>레어리티 진화를 하면<br>다른 형태로 변합니다.<br><br>형태와 함께 일부 PA도 바뀌며,<br>능력치와 플러스 값 상한이 오릅니다.<br><br>또한 성격과 캔디 박스 상태,<br>펫의 레벨과 플러스 값은<br>모두 그대로 계승할 수 있습니다.<br><br><c ff4f3f>※변화 후에는 원래 형태로 돌아갈 수 없습니다.<c>"""
text02#6,"""형태 변화에 사용할 수 있는 에그는<br>아이템 상세 정보를 확인해 주십시오."""
Title#16,"""레드란의 특징"""
text01#17,"""레드란의 일부 PA는 적을 포착해<br>유도탄으로 조준 사격할 수 있습니다.<br><br>유도탄을 발사하는 PA는 각각 다음과 같은<br>특징이 있습니다.<br><br>・레드란 레이저<br>\u3000PA 버튼을 누르는 동안 적을 포착하고,<br>\u3000버튼을 놓으면 포착 지점에 레이저를 쏩니다.<br><br>・레드란 버스트<br>\u3000적 하나를 포착하고 PA 버튼을 누르는 동안<br>\u3000발사할 수 있는 탄환 수가 늘어납니다."""
text02#7,"""그 밖에도 유도탄을 이용해<br>발동하는 PA가 있습니다.<br><br>・레드란 마인<br>\u3000레드란 레이저, 레드란 그래비티,<br>\u3000레드란 버스트 중 하나를<br>\u3000적중시키면 폭발하는<br>\u3000탄환을 발사합니다.<br><br>상황에 맞춰 유도탄을<br>잘 활용해 보십시오."""
