ssc_501070_0010#0,"""(เสียงฮัมเพลงเบาๆ) หึม ฮืม~♪"""
ssc_501070_0270#0,"""พอมาคิดดูแล้ว เมื่อก่อนพวกชาวเมืองในเอลิโอทาวน์ (Aelio Town)<br>ก็มักจะร้องเพลงกันก่อนที่จะมีเรื่องใหญ่ๆ เกิดขึ้นเหมือนกันนะ..."""
ssc_501070_0280#0,"""ทุกคนจะมารวมตัวกัน ร้องเพลงและสนุกสนานกัน หลังจากนั้น ทุกคน<br>ก็จะหลับสนิทเป็นตาย แล้วก็พร้อมสำหรับการต่อสู้ในวันรุ่งขึ้นเลยล่ะ"""
ssc_501070_0290#0,"""บางทีบทเพลงอาจจะมีผลกระทบ<br>กับผู้คนตามธรรมชาติอยู่แล้วก็ได้นะ"""
ssc_501070_0300#0,"""อืมม... ก็แค่อยากจะมีความสามารถ<br>ที่จะสร้างแรงบันดาลใจให้ผู้คนได้แบบนั้นบ้างน่ะ เข้าใจไหม?"""
ssc_501070_0310#0,"""อ้อ จริงด้วย! คือว่า<br>ได้คุยกับนาเดเรห์ (Nadereh) มาใช่ไหมล่ะ?"""
ssc_501070_0320#0,"""เธอยอมให้เข้าไปในห้องของเธอด้วยล่ะ แล้ว<br>มันแบบว่า... น่าร้ากกกสุดๆ ไปเลย"""
ssc_501070_0330#0,"""เธอมีตุ๊กตาวางเรียงกันอยู่บนเตียง<br>เต็มไปหมดเลย แถมมีตุ๊กตาแรปปี้ (Rappy) สีชมพูด้วยนะ"""
ssc_501070_0340#0,"""ไปหาของแบบนั้น<br>มาจากไหนกันนะ?"""
ssc_501070_0350#0,"""บางทีสาวใช้ของเธอ<br>อาจจะเป็นคนทำให้ก็ได้นะ?"""
ssc_501070_0360#0,"""เดี๋ยวนะ หรือว่าเธอจะทำเองกันนะ...?"""
ssc_501070_0370#0,"""...อ๊ะ เดี๋ยวก่อน! นาเดเรห์ (Nadereh) ห้ามเอาไว้<br>ว่าอย่าเอาเรื่องห้องของเธอไปบอกใครนี่นา!"""
ssc_501070_0380#0,"""ขอโทษนะ ลืมทุกอย่างที่เพิ่งพูดไปเมื่อกี้ให้หมดเลยนะ!"""
