EnemyWeak#0,"""단숨에 쓸어 버린다"""
HP10#1,"""아직 당할 수는……"""
ItemRare#1,"""오, 좋은 걸 찾았네!"""
DamageSmall#1,"""윽"""
DamageMiddle#1,"""크윽!"""
DamageLarge#1,"""우왓!"""
Trap#1,"""뭐, 함정!?"""
ThankTrapRescue#1,"""아, 고마워, 살았어"""
TrapRescueOther#1,"""조심해서 가자!"""
MemberDamaged#1,"""무리하면 안 돼!"""
MemberDead#1,"""……감히 내 동료를!"""
AbilityExe#1,"""슬슬 기세가 오르는 느낌이야!"""
AbilitySpecial#1,"""이 기세로 밀어붙인다!"""
Resurrect#1,"""……미안, 방심했어"""
PartyJoin#1,"""/ci2 1 잘 부탁드립니다!"""
Marvelous#1,"""역시 대단해!"""
IncidentJsApcBegin#1,"""/ci2 2 죄송하지만 도와주세요!<br>답례 선물로 고민하다가<br>적에게 포위됐어요...!"""
IncidentJsApcFailure#1,"""아야……<br>집중하지 못해서 안 되겠네요.<br>죄송해요, 다시 준비해 올게요!"""
IncidentJsApcSuccess#1,"""/ci2 2 정말 감사합니다!<br>답례로 뭘 주면<br>기뻐할까요...?"""
IncidentJsApcBeginEvo#1,"""/ci5 2 선물을 생각한 건 맞지만……<br>아무래도 거북이 인형은 좀……"""
EnemyWeak#2,"""이 정도 녀석이라면!"""
EnemyLarge#2,"""쳇, 대형인가!"""
EnemyBoss#2,"""상대가 강적이라도!"""
EnemyRare#2,"""오, 희귀한 녀석이잖아!"""
EnemyBoost#2,"""이 녀석……보통이 아니야!"""
DestroyEnemy1#2,"""우선 하나!"""
DestroyEnemy2#2,"""방해하지 마라!"""
DestroyEnemy3#2,"""다음!"""
CondFreeze#2,"""큭……동결인가……!"""
CondBurn#2,"""연소……!?"""
CondShock#2,"""몸이 저려서……!"""
CondPoison#2,"""이런 독 따위에……!"""
CondPanic#2,"""안 돼. 머리가 혼란스러워……"""
CondStan#2,"""큭, 몸이……움직이지 않아……"""
CondMirage#2,"""시야가 이상해……!?"""
Die#2,"""꼴이 말이 아니네……<br>내가 할 수밖에 없다니……하하"""
ThankHeal#2,"""감사해!"""
ThankBuff#2,"""고마워!"""
ThankCure#2,"""후우, 살았다!"""
DefeatEnemy#2,"""자, 다음으로 가자!"""
LevelUp#2,"""축하한다!"""
InvokeSkill1#2,"""이거라면!"""
InvokeSkill2#2,"""어림없어!"""
InvokeSkill3#2,"""어떠냐!"""
TechFire#2,"""받아라!"""
TechIce#2,"""가라!"""
TechThunder#2,"""이거라면!"""
TechWind#2,"""어떠냐!"""
TechLight#2,"""그렇게 둘까 보냐!"""
TechDark#2,"""어림없어!"""
PBFull#2,"""이 기회는 놓치지 않아!"""
PBRelease#2,"""우오오!!"""
Avoid#2,"""흥!"""
HealSelf#2,"""위험했어!"""
BuffSelf#2,"""만전의 상태로 도전해야 해!"""
HealOther#2,"""무리하면 안 돼!"""
BuffOther#2,"""지금 엄호할게!"""
QuestStart1#2,"""좋아, 힘내자!"""
QuestEnd1#2,"""잘된 것 같아!"""
IncidentStart#2,"""이 기척……뭔가 온다!"""
IncidentSuccess#2,"""후우, 다행이다.<br>어떻게든 해결된 모양이야."""
IncidentFailure#2,"""……으음, 뭐가 잘못됐을까."""
PSE#2,"""이건……PSE?"""
PSELevelUp#2,"""좀 더 계속하자!"""
PSEBurst#2,"""왔다……!<br>PSE 버스트다!"""
HP30#2,"""이대로는……위험해"""
HP10#2,"""아직 당할 수는……"""
ItemRare#2,"""오, 좋은 걸 찾았네!"""
DamageSmall#2,"""윽"""
DamageMiddle#2,"""크윽!"""
DamageLarge#2,"""우왓!"""
Trap#2,"""뭐, 함정!?"""
ThankTrapRescue#2,"""아, 고마워, 살았어"""
TrapRescueOther#2,"""조심해서 가자!"""
MemberDamaged#2,"""무리하면 안 돼!"""
MemberDead#2,"""……감히 내 동료를!"""
AbilityExe#2,"""슬슬 기세가 오르는 느낌이야!"""
AbilitySpecial#2,"""이 기세로 밀어붙인다!"""
Resurrect#2,"""……미안, 방심했어"""
PartyJoin#2,"""/ci2 1 잘 부탁드립니다!"""
Marvelous#2,"""역시 대단해!"""
IncidentJsApcBegin#2,"""/ci2 2 저 용, 온몸이 엄청 반짝여.<br>답례는 반짝이는 게<br>좋으려나……아니, 이럴 때가 아니지!"""
IncidentJsApcFailure#2,"""아야……저질렀다……<br>먼저 물러날게요, 죄송합니다!"""
IncidentJsApcSuccess#2,"""/ci2 2 협력해 주셔서 감사합니다!<br>음, 반짝이는 거라면<br>기뻐해 주려나……"""
IncidentJsApcBeginEvo#2,"""/ci2 2 대, 대단해……!<br>아까보다 더 반짝여……!"""
EnemyWeak#3,"""후……잡병이 등장했나"""
EnemyLarge#3,"""쓸모없이 거대한 몸을 지닌 자인가"""
EnemyBoss#3,"""이 기척……그 녀석인가!"""
EnemyRare#3,"""이건……!<br>희귀한 존재가 느껴진다!"""
EnemyBoost#3,"""이 얼마나 불길한 기척인가……!"""
DestroyEnemy1#3,"""우선 하나!"""
DestroyEnemy2#3,"""내 길을 막는 자에겐<br>자비를 베풀지 않는다!"""
DestroyEnemy3#3,"""이것이 영원한 이별이다"""
CondFreeze#3,"""빙폭의 결계인가……!"""
CondBurn#3,"""지옥불의 침식인가……!"""
CondShock#3,"""뇌쇄의 계율인가……!"""
CondPoison#3,"""심독의 바늘인가……!"""
CondPanic#3,"""괴란의 계단인가……!"""
CondStan#3,"""속박의 그물인가……!"""
CondMirage#3,"""몽환의 미로인가……!"""
Die#3,"""엮여 있던 힘이……<br>무너진다……"""
ThankHeal#3,"""은혜는 잊지 않겠다!"""
ThankBuff#3,"""살았다!"""
ThankCure#3,"""수고를 끼쳤군!"""
DefeatEnemy#3,"""잠시나마 평화가 엮였군……<br>다음 전장으로 향하도록 하지"""
LevelUp#3,"""……더욱 강해졌나"""
InvokeSkill1#3,"""참!"""
InvokeSkill2#3,"""이것이 종언이다"""
InvokeSkill3#3,"""멸망을 내려 주지!"""
PBFull#3,"""유희는 종언을 맞이한다……"""
PBRelease#3,"""나의 벗이여! 부름에 응하라!"""
Avoid#3,"""후……"""
HealSelf#3,"""한 수가 미치지 못했군"""
BuffSelf#3,"""세계의 가호를 받자"""
HealOther#3,"""평안을 내려 주지!"""
BuffOther#3,"""힘을 나누어 주지!"""
QuestStart1#3,"""자, 끝없는 모험으로……!"""
QuestEnd1#3,"""더 높은 곳을 노려 보자!"""
IncidentStart#3,"""세계의 왜곡이……느껴진다!"""
IncidentSuccess#3,"""왜곡은 끊어 낸 모양이군!"""
IncidentFailure#3,"""이 얼마나 꼴사나운가……!"""
PSE#3,"""포톤이……울고 있다!"""
PSELevelUp#3,"""응답한 건가……우리의 마음에!"""
PSEBurst#3,"""들리는군……세계의 환희가!"""
HP30#3,"""궁지에서야말로 힘이 솟는다!"""
HP10#3,"""큭……<br>황천의 부름이 들린다……"""
ItemRare#3,"""귀중한 유물이군"""
DamageSmall#3,"""칫"""
DamageMiddle#3,"""크윽!"""
DamageLarge#3,"""제법이군!"""
Trap#3,"""비겁한 수를!"""
ThankTrapRescue#3,"""감사를 말로 다할 수 없군!"""
TrapRescueOther#3,"""방심은 금물이다."""
MemberDamaged#3,"""무리하지 마라"""
MemberDead#3,"""……용서하지 않는다"""
AbilityExe#3,"""그 누구도 날 막을 수 없다!"""
AbilitySpecial#3,"""지금의 나를 막을 수 있다 생각 마!"""
Resurrect#3,"""……종언의 때는 아직 먼 모양이군"""
PartyJoin#3,"""/toge /ci2 1 유구한 모험을 향해 떠나자!"""
Marvelous#3,"""훌륭하다!"""
IncidentJsApcBegin#3,"""/ci2 2 내 영혼의 동지여, 잘 왔다!<br>귀한 보물을 찾는 나와 함께<br>이 싸움에 참여해 다오!"""
IncidentJsApcFailure#3,"""큭……너무 방심했나……!<br>참으로 꼴사납군……!<br>미안하다, 먼저 물러나겠다!"""
IncidentJsApcSuccess#3,"""/toge /ci2 2 살았다, 감사하지!<br>미궁을 풀 주옥같은 보물은<br>반드시 찾아내겠다!"""
IncidentJsApcBeginEvo#3,"""/ci5 2 새로운 적의 기척……!<br>동지들과의 연회에 초대받은 건가!"""
EnemyWeak#4,"""이 정도 적이라면<br>한꺼번에 쓸어 버리겠소!"""
EnemyLarge#4,"""음, 제법 거물이오!"""
EnemyBoss#4,"""강적 등장인가……<br>정신 바짝 차려야겠소!"""
EnemyRare#4,"""오, 희귀한 기척이오!"""
EnemyBoost#4,"""이질적인 기척……방심하지 마시오!"""
DestroyEnemy1#4,"""베어도 원망 마시오!"""
DestroyEnemy2#4,"""끝이오!"""
DestroyEnemy3#4,"""처치했소!"""
CondFreeze#4,"""으음, 동결이오……!"""
CondBurn#4,"""으음, 연소이오……!"""
CondShock#4,"""음, 감전이오……!"""
CondPoison#4,"""으음……독이오……!"""
CondPanic#4,"""이건……뭐가 뭔지<br>모르겠소……!"""
CondStan#4,"""몸이 움직이지 않소……!"""
CondMirage#4,"""시야가……이상하오……"""
Die#4,"""당하고 말았소……"""
ThankHeal#4,"""고맙소!"""
ThankBuff#4,"""은혜 잊지 않겠소!"""
ThankCure#4,"""수고를 끼쳤소!"""
DefeatEnemy#4,"""정리됐군"""
LevelUp#4,"""경사로군!"""
InvokeSkill1#4,"""일섬!"""
InvokeSkill2#4,"""처치하겠소!"""
InvokeSkill3#4,"""거기군!"""
PBFull#4,"""전력으로 상대하겠소!"""
PBRelease#4,"""진정한 주역의 등장이오!"""
Avoid#4,"""흥!"""
HealSelf#4,"""어림없소!"""
BuffSelf#4,"""보조를 잊고 있었소"""
HealOther#4,"""방심은 금물이오"""
BuffOther#4,"""우선 보조부터 하겠소"""
QuestStart1#4,"""자, 가겠소!"""
QuestEnd1#4,"""역시 대단하오!"""
IncidentStart#4,"""이 기척……뭔가 오는 것이오?"""
IncidentSuccess#4,"""잘 대처할 수 있어<br>다행이오"""
IncidentFailure#4,"""미안하오, 소인이 미숙했소……<br>먼저 물러나겠소"""
PSE#4,"""포톤이 반응하는 것이오?"""
PSELevelUp#4,"""아직 멀었소!<br>계속 가겠소!"""
PSEBurst#4,"""정말 아름다운 상태로군……!"""
HP30#4,"""아직 멀었소!"""
HP10#4,"""이, 이 이상은 위험하오……!"""
ItemRare#4,"""오, 그건 희귀한 물건이오"""
DamageSmall#4,"""큭!"""
DamageMiddle#4,"""크악!"""
DamageLarge#4,"""이럴 수가……!"""
Trap#4,"""뭐!\u3000함정이오!?"""
ThankTrapRescue#4,"""살았소"""
TrapRescueOther#4,"""조심하시오!"""
MemberDamaged#4,"""괜찮소!?"""
MemberDead#4,"""……원수는 갚겠소!"""
AbilityExe#4,"""몸이 가벼워졌소!"""
AbilitySpecial#4,"""기세가 오르기 시작했소!"""
Resurrect#4,"""이런, 호되게 당했소"""
PartyJoin#4,"""/toge /ci2 1 잘 부탁하오!"""
Marvelous#4,"""훌륭하오!"""
IncidentJsApcBegin#4,"""/ci2 2 오오!\u3000마침 잘 왔소!<br>이 소동에 벗을 놓치고 말았소.<br>부디 힘을 보태 주시오."""
IncidentJsApcFailure#4,"""설마 실패로 끝날 줄이야……<br>벗들을 지켜보기 위해 소인은<br>한번 퇴각하겠소."""
IncidentJsApcSuccess#4,"""/ci2 2 도움에 감사드리오!<br>소인은 벗을 찾으러 가겠소.<br>그럼 또 만나시오!"""
IncidentJsApcBeginEvo#4,"""/ci3 2 젊은 벗들을 지키기 위해서라도<br>방해하는 무뢰배는 용서 못 하오!"""
EnemyWeak#5,"""쳇, 잡졸뿐이냐!"""
EnemyLarge#5,"""핫, 덩치만 큰 모양이군!"""
EnemyBoss#5,"""조금은 손맛이 있을 녀석이<br>나왔잖아!"""
EnemyRare#5,"""응?<br>저건 희귀한 녀석인가?"""
EnemyBoost#5,"""쳇, 성가신 느낌의<br>녀석이 나왔군……!"""
DestroyEnemy1#5,"""잡졸이!"""
DestroyEnemy2#5,"""방해돼!"""
DestroyEnemy3#5,"""짜증 나게 하지 마!"""
CondFreeze#5,"""동결이라고……장난하냐!"""
CondBurn#5,"""연소라고……장난하냐!"""
CondShock#5,"""감전이라고……장난하냐!"""
CondPoison#5,"""독이라고……장난하냐!"""
CondPanic#5,"""젠장!\u3000머리가 어질어질해!"""
CondStan#5,"""움직일 수 없다니……장난하냐!"""
CondMirage#5,"""젠장!\u3000조준이 흔들리잖아!"""
Die#5,"""어떻게 된 거야, 이건……!"""
ThankHeal#5,"""……고맙긴 하다"""
ThankBuff#5,"""센스 있잖아"""
ThankCure#5,"""……나쁘진 않군"""
DefeatEnemy#5,"""자, 얼른 다음으로 간다!"""
LevelUp#5,"""기껏해야 힘내 봐라"""
TechFire#3,"""사라져라, 잡졸!"""
TechIce#3,"""사라져라, 잡졸!"""
TechThunder#3,"""사라져라, 잡졸!"""
TechWind#3,"""사라져라, 잡졸!"""
TechLight#3,"""사라져라, 잡졸!"""
TechDark#3,"""사라져라, 잡졸!"""
PBFull#5,"""이 몸이 전부 해치워 주마!"""
PBRelease#5,"""이 몸에게 거역하는 놈은……박살 낸다!"""
Avoid#5,"""흥!"""
HealSelf#5,"""안됐구나!"""
BuffSelf#5,"""진심으로 박살 내 주마!"""
HealOther#5,"""물러나 있어, 굼벵이!"""
BuffOther#5,"""무리하지 말라고!"""
QuestStart1#5,"""얼른 끝낸다!"""
QuestEnd1#5,"""당연하잖아, 이 정도는"""
IncidentStart#5,"""뭐야, 뭐가 오는 거냐!"""
IncidentSuccess#5,"""헷, 이 정도냐!<br>시시하군!"""
IncidentFailure#5,"""뭐야 이건……<br>더럽게 재미없군!"""
PSE#5,"""오, 이게 PSE란 건가?"""
PSELevelUp#5,"""자, 자, 더 계속 간다!"""
PSEBurst#5,"""헷, 하면 되잖아!"""
HP30#5,"""우쭐대지 마라……!"""
HP10#5,"""이 몸이 몰리고 있다고……?<br>……장난하지 마!"""
ItemRare#5,"""아, 어이!<br>그거 희귀한 거잖아!"""
DamageSmall#5,"""쳇!"""
DamageMiddle#5,"""뭐라고……!"""
DamageLarge#5,"""젠장!"""
Trap#5,"""함정이라고!"""
ThankTrapRescue#5,"""……정말, 장난질이군"""
TrapRescueOther#5,"""시시한 것에<br>걸려들지 말라고!"""
MemberDamaged#5,"""나서지 마라!"""
MemberDead#5,"""그러니까 말했잖아!<br>……젠장!"""
AbilityExe#5,"""자, 어느 놈부터 사라지고 싶냐?"""
AbilitySpecial#5,"""전부 한꺼번에 날려 버리마!"""
Resurrect#5,"""제법이잖아, 벌레 같은 놈이!"""
PartyJoin#5,"""/ci1 1 도와줘도 좋다"""
Marvelous#5,"""흥, 제법이군"""
IncidentJsApcBegin#5,"""/ci2 1 이벤트 같은 건 정말 귀찮군……<br>마침 잘 왔어!<br>이 몸의 화풀이에 어울려라!"""
IncidentJsApcFailure#5,"""쳇, 너무 고민해서 산만해진 결과가<br>이 꼴이냐……!<br>못 해 먹겠군, 먼저 돌아가겠다!"""
IncidentJsApcSuccess#5,"""/ci2 2 끝났군!<br>그럼 이제 답례를 생각해야 하나...<br>대체 뭘 주면 되지?"""
IncidentJsApcBeginEvo#5,"""/ci3 2 어이!\u3000뭐든 덤벼라!<br>한꺼번에 쓰러뜨려 주마!"""
EnemyWeak#6,"""좋아, 약한 녀석이 왔군!"""
EnemyLarge#6,"""/toge 저런 건 덩치만 큰 놈이야<br>박살 내면 그만이다!"""
EnemyBoss#6,"""/toge 강적 등장이라는 거군!<br>조심해!"""
EnemyRare#6,"""좀처럼 보기 힘든 녀석이군!"""
EnemyBoost#6,"""어이, 어이, 저건 뭐야?<br>기합부터 다르잖아!"""
DestroyEnemy1#6,"""어떠냐!"""
DestroyEnemy2#6,"""좋아, 다음!"""
DestroyEnemy3#6,"""계속 간다!"""
CondFreeze#6,"""젠장, 동결이냐……!"""
CondBurn#6,"""우왓!<br>불타고 있잖아!"""
CondShock#6,"""큭……몸이 저려 버렸어!"""
CondPoison#6,"""독 따윈 시시해!"""
CondPanic#6,"""어이쿠, 어떻게 해야 하지!?"""
CondStan#6,"""뭐!\u3000몸이 안 움직여!"""
CondMirage#6,"""시야를 빼앗다니 비겁하잖아!<br>정정당당하게 싸워!"""
Die#6,"""젠장, 당해 버렸어!"""
ThankHeal#6,"""회복, 고맙다!"""
ThankBuff#6,"""좋아, 센스 있네!"""
ThankCure#6,"""고마워, 개운해졌어!"""
DefeatEnemy#6,"""여긴 정리됐군!<br>앞으로 나아가자!"""
LevelUp#6,"""또 레벨이 오른 모양이군!"""
InvokeSkill1#5,"""/toge 여기서 끝내 주마!"""
InvokeSkill2#5,"""해치워 주마!"""
InvokeSkill3#5,"""/toge 전력으로 간다!"""
PBFull#6,"""진심으로 간다!"""
PBRelease#6,"""/toge 상대로 부족함이 없어!"""
Avoid#6,"""흥!"""
HealSelf#6,"""회복도 필요하지!"""
BuffSelf#6,"""준비도 잊으면 안 되지!"""
HealOther#6,"""무리하지 말라니까!"""
BuffOther#6,"""이걸로 완벽해!"""
QuestStart1#6,"""자, 해치우자!"""
QuestEnd1#6,"""/toge 즐거웠어!<br>다음에 또 같이 가자!"""
IncidentStart#6,"""음!?\u3000뭔가 온다!"""
IncidentSuccess#6,"""최고의 결과군!"""
IncidentFailure#6,"""이런……<br>납득할 수 없는 결과야."""
PSE#6,"""오, 포톤이<br>활성화되기 시작했군!"""
PSELevelUp#6,"""이대로 계속 날뛰라는 거야!<br>계속한다!"""
PSEBurst#6,"""/toge 굉장하군, 이거!<br>우오오오!\u3000뜨거워지는데!"""
HP30#6,"""제법이잖아……!"""
HP10#6,"""젠장……!\u3000아직 멀었어!"""
ItemRare#6,"""/toge 그거 좋은 물건이야!<br>소중히 간직해!"""
DamageSmall#6,"""큭!"""
DamageMiddle#6,"""우왓!"""
DamageLarge#6,"""제법 하는군!"""
Trap#6,"""성가신 것을……!"""
ThankTrapRescue#6,"""미안, 폐를 끼쳤어!"""
TrapRescueOther#6,"""괜찮아!?"""
MemberDamaged#6,"""무리하지 마!<br>뒤로 물러나 있어!"""
MemberDead#6,"""/toge 날 화나게 했군!"""
AbilityExe#6,"""/toge 불타오르는데!"""
AbilitySpecial#6,"""/toge 좋아!\u3000나한테 맡겨!"""
Resurrect#6,"""/toge 난 아직 더 할 수 있어!"""
PartyJoin#6,"""/toge /ci2 1 잘 부탁한다!"""
Marvelous#6,"""역시 대단하군!"""
IncidentJsApcBegin#6,"""/toge /ci2 2 오, 마침 잘 왔어!<br>도와줄래!<br>동료와 떨어져 버렸거든!"""
IncidentJsApcFailure#6,"""실수했군……!<br>미안, 다시 준비해 올게……!"""
IncidentJsApcSuccess#6,"""/toge /ci2 2 이야, 싸움에 너무 열중해서<br>동료와 떨어져 버렸군!<br>고맙다, 살았어!"""
IncidentJsApcBeginEvo#6,"""/toge /ci3 2 아직 뭔가 더 일어나는 건가!<br>좋아, 즐겨 보자!"""
EnemyWeak#7,"""이 정도면 여유롭겠어요!"""
EnemyLarge#7,"""납작하게 깔리지 않도록<br>조심해서 가요……!"""
EnemyBoss#7,"""만만치 않은 상대 같네요!<br>기운 내서 가요!"""
EnemyRare#7,"""와, 희귀한 에너미네요!"""
EnemyBoost#7,"""이 분위기……<br>평범한 에너미가 아니에요……!"""
DestroyEnemy1#7,"""해냈어요!"""
DestroyEnemy2#7,"""아직 더 할 수 있어요!"""
DestroyEnemy3#7,"""깔끔하게 쓰러뜨렸어요!"""
CondFreeze#7,"""에취!<br>너, 너무 추워요!"""
CondBurn#7,"""뜨, 뜨거워!<br>뜨거워요!"""
CondShock#7,"""저, 저려……요……!"""
CondPoison#7,"""으으<br>기, 기분이 안 좋아요……"""
CondPanic#7,"""어라라……?<br>시야가 빙글빙글 돌아요~"""
CondStan#7,"""우, 움직일 수 없어……!"""
CondMirage#7,"""호오오……!<br>뭔가 세상이<br>흐릿하게 보여요!"""
Die#7,"""해야 할 일이……<br>있는데……"""
ThankHeal#7,"""감사합니다!"""
ThankBuff#7,"""살았어요!"""
ThankCure#7,"""후우……진정됐어요……"""
DefeatEnemy#7,"""계속 나아가요!"""
LevelUp#7,"""와아!<br>축하합니다!"""
InvokeSkill1#6,"""갑니다!"""
InvokeSkill2#6,"""이 일격으로!"""
InvokeSkill3#6,"""/toge 비장의……갑니다!!"""
PBFull#7,"""언제든 갈 수 있어요!"""
PBRelease#7,"""/toge 제 포톤……받아 주세요!!"""
Avoid#7,"""히얏!"""
HealSelf#7,"""아직 더 할 수 있어요!"""
BuffSelf#7,"""준비 완료예요!"""
HealOther#7,"""괜찮으신가요?"""
BuffOther#7,"""이걸로 완벽하네요!"""
QuestStart1#7,"""기운 내서 가요!"""
QuestEnd1#7,"""퀘스트 클리어예요!<br>에헤헷, 해냈네요!"""
IncidentStart#7,"""왠지 불길한 예감이 들어요……!"""
IncidentSuccess#7,"""하아……하아……<br>리더 덕분에<br>어떻게든 해냈어요!"""
IncidentFailure#7,"""죄송해요……제가<br>리더의 발목을 잡아서……"""
PSE#7,"""이건……PSE일까요?"""
PSELevelUp#7,"""레벨이 올랐어요!"""
PSEBurst#7,"""PSE 버스트!<br>몇 번을 봐도 아름답네요……!"""
HP30#7,"""하아……하아……<br>조금 지치기 시작했어요……"""
HP10#7,"""이제……쓰러질 것 같아요……"""
ItemRare#7,"""희귀한 아이템이네요!<br>축하합니다!"""
DamageSmall#7,"""으윽……!"""
DamageMiddle#7,"""꺅!"""
DamageLarge#7,"""우와아앗!!"""
Trap#7,"""으악!<br>함정에 걸렸어요!"""
ThankTrapRescue#7,"""살았어요!<br>감사합니다!"""
TrapRescueOther#7,"""괘, 괜찮으세요?"""
MemberDamaged#7,"""저에게 맡겨 주세요!"""
MemberDead#7,"""용서 못 해요……!"""
AbilityExe#7,"""힘이 넘쳐흘러요!"""
AbilitySpecial#7,"""왠지 저,<br>지금이라면 뭐든<br>할 수 있을 것 같아요!"""
Resurrect#7,"""저……아직 죽을 수 없어요."""
PartyJoin#7,"""/toge /ci2 1 잘 부탁드립니다!"""
Marvelous#7,"""역시 대단하세요!"""
IncidentJsApcBegin#7,"""/ci1 1 죄송합니다!<br>적이 너무 많아서 애먹고 있어요.<br>도와주시겠어요?"""
IncidentJsApcFailure#7,"""으윽, 죄송합니다.<br>제 힘이 부족한 탓에……"""
