Title#0,"""MISSION: Start"""
Area26S#0,"""Area de Descanso 7"""
Area26L#0,"""ARKS Ship - Espacio Virtual (Desierto) - Area de Descanso 7"""
Area27S#0,"""Area de Descanso 8"""
Area27L#0,"""ARKS Ship - Espacio Virtual (Volcan) - Area de Descanso 8"""
Area28S#0,"""Area de Descanso 9"""
Area28L#0,"""ARKS Ship - Espacio Virtual (Bosque) - Area de Descanso 9"""
Area29S#0,"""Area de Descanso 10"""
Area29L#0,"""ARKS Ship - Espacio Virtual (Desierto) - Area de Descanso 10"""
Area30S#0,"""Area de Descanso 11"""
Area30L#0,"""ARKS Ship - Espacio Virtual (Volcan) - Area de Descanso 11"""
Area31S#0,"""Area de Descanso 12"""
Area31L#0,"""ARKS Ship - Espacio Virtual (Bosque) - Area de Descanso 12"""
NpcComMsg1#0,"""The challenge will commence shortly. Porfavor complete the five missions before your VR energy runs out."""
NpcComMsg2#0,"""Also, you will have to scavenge what items you can during the mission. Though the training is harsh, please, be flexible and adapt yourselves to the situation at hand. We wish you good luck."""
UIQuestTargetOutlineSecond#0,"""Completa 10 misiones!"""
UIQuestTargetDetailSecond#0,"""Completa 10 misiones before<br>your VR energy runs out!"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 I shall guide you through mission 1. Begin al derrotar the nearby hostiles to secure weapons and a route forward."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 From mission 2 onwards, we will not be guiding you. So please, weather the challenges ahead using your own abilities. Good hunting."""
NPCArea2#0,"""/atime2.5 /voice11_voice_navi07_015 This is mission 3. Did you rest properly? Things will get steadily more difficult from here."""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 This is mission 4. How is your VR energy looking? Ten cuidado it doesn't run out."""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 This is mission 5, the last mission. Porfavor proceed with caution."""
NPCArea5#0,"""/atime2.5 /voice11_voice_navi07_018 This is mission 6. From here on out, Porfavor power on through with all your might until your VR energy runs out."""
NPCArea6#0,"""/atime2.5 /voice11_voice_navi07_019 This is mission 7. Even if it looks familiar, that doesn't mean it's the same as before. Watch out."""
NPCArea7#0,"""/atime2.5 /voice11_voice_navi07_015 This is mission 8. You may already have noticed, but there are energy capsules that don't appear on your map."""
NPCArea8#0,"""/atime2.5 /voice11_voice_navi07_016 This is mission 9. 2 missions remain. Hold out for just a little longer."""
NPCArea9#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea10#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１１です。<br>３週目なので難易度が更に上がります。<br>限界まで力を振り絞りましょう。"""
NPCArea11#0,"""/atime2.5 /voice11_voice_navi07_019 ミッション１２です。<br>この難易度にも耐えうる能力……<br>素晴らしいの一言につきます。"""
NPCArea12#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１３です。<br>全力をもって最善を尽くし<br>最深部到達を目指してください。"""
NPCArea13#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１４です。<br>最深部にだいぶ近づいて来ています。<br>３週目の、最深部に。"""
NPCArea14#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１５です。<br>ここを越えれば３週目終了です。<br>ご武運を。"""
NPCArea15#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１６です。<br>４週目のはじまりです。<br>更に難易度が上がりますよ。"""
NPCArea16#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション１７です。<br>素晴らしい成果です。次のミッションで<br>ちょっとした情報を提供しますね。"""
NPCArea17#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１８です。<br>本ミッションは、これが最後の周回。<br>つまり、残りは３ミッションです。"""
NPCArea18#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１９です。<br>残り２ミッション。<br>もうひと踏ん張りですよ。"""
NPCArea19#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション２０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea21#0,"""/atime2.5 /voice11_voice_navi07_002 Has llegado a una area de descanso. Utilice el tiempo disponible para obtener suministros y prepararse para la proxima mision."""
NPCArea22#0,"""/atime2.5 /voice11_voice_navi07_002 Has llegado a una area de descanso. Utilice el tiempo disponible para obtener suministros y prepararse para la proxima mision."""
NPCArea23#0,"""/atime2.5 /voice11_voice_navi07_002 Has llegado a una area de descanso. Utilice el tiempo disponible para obtener suministros y prepararse para la proxima mision."""
NPCArea24#0,"""/atime2.5 /voice11_voice_navi07_002 Has llegado a una area de descanso. Utilice el tiempo disponible para obtener suministros y prepararse para la proxima mision."""
