Title_Partyselect#0,"""파티 선택"""
QuestSelectCheck#0,"""이 퀘스트를 수주해도 괜찮으시겠습니까?"""
BattlePointNum#0,"""$(0)～"""
Title_Quest_Reward_3#0,"""퀘스트 보수"""
AttentionNewRoom#0,"""퀘스트를 수주합니다.<br><br>퀘스트 매칭이 취소되고<br>수주 중인 퀘스트는 파기됩니다.<br>괜찮으시겠습니까?"""
OrdersOptionBlock3#0,"""매칭 시작하기"""
NoMust_Quest_Conditions#0,"""없음"""
Title_TargetEnemy_Unknown#0,"""？？？"""
BattlePoint_Limit#0,"""전투력 $(0) 이상"""
level#0,"""Lv."""
Title_Quest_Clear_Failure_dot#0,"""클리어 조건：$(0)<br>실패 조건：$(1)"""
BattlePoint_Limit_Red#0,"""<yellow>전투력 $(0) 이상<c>"""
Level_Limit#0,"""Lv.$(0) 이상"""
Level_Limit_Red#0,"""<yellow>Lv.$(0) 이상<c>"""
Must_Parem_Text_Red#0,"""<yellow>권장 능력치 이상<c>"""
Must_Parem_Text#0,"""권장 능력치 이상"""
Btn_Quest_Order_Leader#0,"""퀘스트 시작하기"""
Btn_Quest_Order_Member#0,"""혼자서 퀘스트 시작하기"""
EnemyLvTitle#0,"""출현 에너미 Lv."""
EnemyLv#0,"""Lv.$(0)"""
EnemyLvWarning#0,"""<yellow>Lv.$(0)<c>"""
EnemyLvATTENTIONTitle#0,"""퀘스트 수주 확인"""
EnemyLvATTENTION#0,"""퀘스트에 출현하는 에너미보다<br>레벨이 5 이상 낮은 멤버가 있습니다.<br><br>퀘스트를 시작해도 괜찮으시겠습니까?<br><br><yellow>※エネミーレベルよりも<br>\u3000プレイヤー레벨이 ５以上低い場合は、<br>\u3000与えるダメージが大きく減少します。<c>"""
EnemyLvATTENTION2#0,"""퀘스트에 출현하는 에너미보다<br>레벨이 $(0) 이상 낮은 멤버가 있습니다.<br><br>퀘스트를 시작해도 괜찮으시겠습니까?<br><br><yellow>※에너미 레벨보다 플레이어 레벨이 $(0)이상 낮고<br>전투력이 일정치 이하일 경우<br>주는 데미지가 크게 감소합니다.<c>"""
None#0,"""정체 불명의 오류입니다. <br><br>[No.3000]"""
NotReceptQuestPartyGuest#0,"""당신은 파티 리더가 아니기 때문에<br>퀘스트를 수주할 수 없습니다."""
NotReceptQuestAlreadyQuest#0,"""당신은 파티 리더가 아니기 때문에<br>퀘스트를 수주할 수 없습니다.<br>(이미 퀘스트가 시작됐습니다.<br>출발 게이트로 가시는걸 추천합니다.)"""
NotFoundQuestSearch#0,"""조건에 해당하는 퀘스트를<br>찾지 못했습니다."""
NotFoundRoomSearch#0,"""조건에 해당하는 룸을<br>찾지 못했습니다."""
NotFoundPartyList#0,"""파티를 찾지 못했습니다."""
NotFoundQuestType#0,"""수주 가능한 퀘스트가 없습니다."""
NotFoundQuestList#0,"""수주 가능한 퀘스트가 없습니다."""
CantStartQuestNotFoundRoom#0,"""대상 룸을 찾을 수 없어<br>퀘스트를 시작할 수 없습니다."""
CantStartQuestCapacityOverRoom#0,"""룸 인원 초과로 참가하지 못했습니다"""
CantStartQuestCapacityOverRoom2#0,"""\u3000룸 인원 초과로 참가하지 못했습니다<br>\u3000인원에는 룸에 참가 예정인 플레이어도 포함되어 있으며<br>\u3000참가 인원에 반영되지 않을 수도 있습니다.<br>\u3000<br>\u3000<yellow>※참가 예정 유효기간은 1분이므로<br>\u3000\u3000시간을 두 고 다시 시도하면<br>\u3000\u3000참가가 가능한 경우도 있습니다.<c>"""
CantStartQuestNewRaidQuest#0,"""파티 멤버가<br>참가 조건인 에너미를 쓰러뜨리지 않아<br>퀘스트를 수주할 수 없습니다."""
CantStartQuestNotNotFoundParty#0,"""대상 파티를 찾을 수 없어<br>퀘스트를 시작할 수 없습니다."""
CantStartQuestCapacityOverParty#0,"""파티의 인원 초과로 인해 참가할 수 없습니다."""
CantStartQuestDifferencePasswordParty#0,"""패스워드가 틀려 참가할 수 없습니다."""
CantStartQuestAlreadyFinished#0,"""このパーティーは<br>すでにクエストを終了しているため、<br>참가할 수 없습니다."""
CautionNotSoloParty#0,"""現在パーティーを組んでいるため<br>他のブロックに移動することはできません。"""
CantStartQuestDifferenceCondition#0,"""이 파티의 참가 조건을 충족하지 못해<br>참가할 수 없습니다."""
CantStartQuestDifferenceConditionLine1#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)"""
CantStartQuestDifferenceConditionLine2#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)"""
CantStartQuestDifferenceConditionLine3#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CantStartQuestDifferenceConditionLine4#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CantStartQuestDifferenceConditionLine5#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CantStartQuestDifferenceConditionLine6#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)"""
CantStartQuestDifferenceConditionLine7#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)"""
CantStartQuestDifferenceConditionLine8#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)<br>・$(7)"""
QuestLevel#0,"""<pict mainclass_icon>Lv.$(0)～"""
PartyLevel#0,"""파티 참가 조건 레벨/Lv.$(1)～$(0)"""
FriendOnly#0,"""프렌드 한정"""
GuildOnly#0,"""팀 멤버 한정"""
PasswordNG#0,"""패스워드가 틀렸습니다"""
BurstIntoNG#0,"""퀘스트에 의해 도중 참가가 제한되어 있습니다"""
ReasonEventFlag#0,"""특수한 수주 조건"""
RareAreaNG#0,"""파티가 특별한 지역에 있음"""
CantStartQuestTimeLimitOver#0,"""퀘스트 수주 가능 기간이 지났습니다."""
CapacityOverParty#0,"""파티의 인원 제한"""
PlatformError#0,"""플랫폼 제한"""
RaidQuestDisable#0,"""참가 조건인 에너미를 쓰러뜨리지 않음"""
NotFoundPartyListtInBasnet#0,"""파티를 찾지 못했습니다."""
CantStartQuestClearCountLimit#0,"""파티 멤버가<br>퀘스트 클리어 횟수 제한을 초과하여<br>참가할 수 없습니다."""
QuestSubLevel#0,"""<pict subclass_icon>Lv.$(0)～"""
ClearCountLimit#0,"""퀘스트 클리어 횟수 제한 초과"""
CantStartQuestIgnoreQuest#0,"""이 퀘스트는 현재 수주할 수 없습니다. <br>자세한 사항은 플레이어즈 사이트를 확인해 주세요."""
IgnoreQuest#0,"""이 퀘스트는 현재 수주할 수 없습니다. <br>자세한 사항은 플레이어즈 사이트를 확인해 주세요."""
QuestDropPenalty#0,"""「파기 패널티」를 받은 멤버가 있습니다."""
CantStartQuestDropPenalty#0,"""아래의 이유로 파티 참가,<br>혹은 퀘스트 수주를 할 수 없습니다.<br><br>・「파기 패널티」를 받은 멤버가 있습니다."""
CantStartProhibitQuestDropTitleCnt#0,"""퀘스트 수주 메뉴 단말기"""
CantStartProhibitQuestDropTitleTlp#0,"""텔레포터"""
CantStartProhibitQuestDropForStart#0,"""현재 사용할 수 없습니다."""
TitleConfirmForQuest#0,"""퀘스트 수주 확인"""
CautionNon#0,"""알수없는 오류"""
CautionQuestLimitTimeOver#0,"""퀘스트 수주 가능 기간이 지났습니다."""
CautionQuestLevelNG#0,"""퀘스트 수주 조건을 충족하지 못했습니다."""
CautionQuestLevelNG2#0,"""파티 멤버 전원이<br>아래의 조건을 충족하지 못해<br>이 퀘스트를 수주할 수 없습니다.<br><br>・Lv.$(0)～"""
CautionQuestPartyMemberMax#0,"""파티 멤버가 $(0)명 이상이어서<br>이 퀘스트를 수주할 수 없습니다."""
CautionQuestPartyMemberJoinMax#0,"""참가 가능 인수가 $(0)명 이내인<br>퀘스트를 수주중이어서<br>이 파티에 참가할 수 없습니다."""
CautionQuestPlatform#0,"""파티 멤버 전원이<br>이하의 수주 조건을 충족하지 못해<br>이 퀘스트를 수주할 수 없습니다.<br><br>・$(0)"""
CautionQuestRaidQuest#0,"""퀘스트 조건을 충족하지 못해<br>수주할 수 없습니다."""
CautionMultiConditionLine1#0,"""파티 멤버 전원이<br>아래의 조건을 충족하지 못해<br>이 퀘스트를 수주할 수 없습니다.<br><br>・$(0)"""
CautionMultiConditionLine2#0,"""파티 멤버 전원이<br>아래의 조건을 충족하지 못해<br>이 퀘스트를 수주할 수 없습니다.<br><br>・$(0)<br>・$(1)"""
CautionMultiConditionLine3#0,"""파티 멤버 전원이<br>아래의 조건을 충족하지 못해<br>이 퀘스트를 수주할 수 없습니다.<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CautionMultiConditionLine4#0,"""파티 멤버 전원이<br>아래의 조건을 충족하지 못해<br>이 퀘스트를 수주할 수 없습니다.<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CautionMultiConditionLine5#0,"""파티 멤버 전원이<br>아래의 조건을 충족하지 못해<br>이 퀘스트를 수주할 수 없습니다.<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CautionQuestClearCountLimit#0,"""퀘스트 클리어 횟수 제한을 초과하여<br>이 퀘스트를 수주할 수 없습니다."""
CautionNothingQuest#0,"""이 퀘스트 타입의 퀘스트는 현재 1개도 없습니다."""
NotFoundQuestRecord#0,"""퀘스트 레코드가 존재하지 않습니다."""
CantStartQuestNewNetCafeQuest#0,"""파티 멤버가<br>넷 카페 프리미엄이 아니기 때문에<br>퀘스트를 수주할 수 없습니다."""
CantStartQuestOutExtraQuest#0,"""이 퀘스트의 캠페인 대상 기간이 만료됐습니다.<br>퀘스트를 다시 수주해 주세요."""
CantStartQuestInExtraQuest#0,"""이 퀘스트는 캠페인 대상 기간이 되었습니다.<br>퀘스트를 다시 수주해 주세요."""
CantStartCapacityOverInTraning#0,"""연습 퀘스트를 시작할 수 없었습니다.<br>이동하려 하는 블록이 혼잡한 경우,<br>잠시 시간을 들인 후 재시도해 주십시오.<br><br>※연속 퀘스트는 소속 쉽의<br>\u3000\u3000챌린지 블록에서 실행됩니다."""
