LobbyMap#0,"""Карта лобби"""
Npc80#0,"""Шии (День св. Валентина)"""
Npc81#0,"""Шии (Белый день)"""
Npc82#0,"""Администратор экипировки, Пурин"""
Npc83#0,"""Зено"""
Npc85#0,"""Сяо"""
Npc86#0,"""Эко"""
Npc87#0,"""Азанами"""
Npc91#0,"""Ио"""
Npc96#0,"""Шии (Дождливый 2015)"""
Npc97#0,"""Шии (4-я годовщина)"""
Npc98#0,"""Администратор Пути ARKS"""
Npc99#0,"""Шии (Лето 2015)"""
Npc121#0,"""Шии (Новый год 2015)"""
Npc118#0,"""Ульк"""
Npc125#0,"""Алиса"""
Npc134#0,"""Шии (Пасха 2015)"""
Npc150#0,"""Катори"""
Npc151#0,"""Сага"""
Npc153#0,"""Теодор"""
Npc160#0,"""Харти"""
Npc161#0,"""Спадия"""
Npc162#0,"""Клавдия"""
Npc163#0,"""Альто"""
Npc164#0,"""Нарис"""
Npc185#0,"""Матои"""
Npc192#0,"""Шии (Новолуние 2015)"""
Npc200#0,"""Эко"""
Npc5030#0,"""Кларис Крейс"""
Npc5108#0,"""Нагиса"""
Npc5158#0,"""Администратор PSO2es"""
Npc5186#0,"""Кларис Крейс"""
Npc5200#0,"""Акеони-химе Шики"""
Npc5201#0,"""Акеони-боу Одо"""
Npc5209#0,"""Мелрандия"""
Npc5210#0,"""Афин"""
Npc5213#0,"""Матои"""
Npc5215#0,"""Диана"""
Npc5230#0,"""Никс"""
Npc5241#0,"""Клара"""
Npc5244#0,"""Кизика"""
Npc5256#0,"""Филия"""
Npc5227#0,"""Юкрита"""
Npc5206#0,"""Аиони-химе Шики"""
Npc5207#0,"""Аиони-боу Одо"""
Npc5272#0,"""Ио"""
Npc5288#0,"""Лотти"""
Npc5289#0,"""Люберт"""
Npc5242#0,"""Пьетро"""
Npc5239#0,"""Сиерра"""
Npc5300#0,"""Роджио"""
Npc5313#0,"""Куна"""
Npc5254#0,"""Айка"""
Npc5238#0,"""Ару"""
Npc5297#0,"""Хицуги"""
Npc5306#0,"""Джина"""
Npc5292#0,"""Кларис Крейс"""
Npc5318#0,"""Ицуки"""
Npc5316#0,"""Ицуки"""
Npc5315#0,"""SORO"""
Npc5314#0,"""RINA"""
Npc5344#0,"""Администратор лиги ARKS, Мими"""
Npc5320#0,"""†コア†"""
Npc5323#0,"""Мусаши"""
Npc5319#0,"""Лилика"""
Npc5321#0,"""Юмико"""
Npc5322#0,"""ラスト侍"""
Npc5346#0,"""Кидд"""
Npc5347#0,"""Сильва"""
Npc5221#0,"""Итан"""
Npc5220#0,"""Карен"""
Npc5348#0,"""オーガキャッツ"""
Npc5349#0,"""マスターネズミ"""
Npc5296#0,"""Энга"""
Npc5361#0,"""Энга"""
Npc5345#0,"""Либер"""
Npc5222#0,"""Эмилия"""
Npc5363#0,"""Вивьен"""
Npc5360#0,"""Некки"""
Npc5326#0,"""Ару"""
Npc5324#0,"""Хицуги"""
Npc5378#0,"""Анетт"""
Npc5236#0,"""Кори"""
Npc5266#0,"""Ару"""
Npc5407#0,"""Джина"""
Npc5408#0,"""Бруно"""
Npc5412#0,"""Лайя"""
Npc5223#0,"""Люмия"""
Npc5430#0,"""Алма"""
Npc5437#0,"""Стратос"""
Npc5438#0,"""シャオ/オラクル管理者"""
Npc5453#0,"""Матои"""
Npc5454#0,"""Айка"""
Npc5455#0,"""Сиерра"""
Npc5456#0,"""シャオ/オラクル管理者"""
Npc5458#0,"""Сиерра"""
Npc5426#0,"""ヤミガラス"""
Npc5457#0,"""マトイ(ハロウィン)"""
Npc5427#0,"""アヴェンジャー"""
Npc5428#0,"""ブルージーレクイエム"""
Npc5462#0,"""パティ(クリスマス)"""
Npc5463#0,"""ティア(クリスマス)"""
Npc5482#0,"""レオンティーナ/アークスハンドブック案内係"""
Npc5459#0,"""ポリタン"""
Npc1056#0,"""ゼニス/宇宙を護る超人"""
Npc1057#0,"""ララノア/電光石火の女戦士"""
Npc5478#0,"""オークゥ(バレンタイン)"""
Npc5483#0,"""フル(バレンタイン)"""
Npc5479#0,"""エンガ(ホワイトデー)"""
Npc5499#0,"""Джина"""
Npc5505#0,"""Оку"""
Npc5506#0,"""Фул"""
Npc5510#0,"""ヒューイ(サマー)"""
Npc5526#0,"""ノクスカディナ"""
Npc5525#0,"""ライトニングエスパーダ"""
Npc5527#0,"""シューティングドライブ"""
Npc5519#0,"""ニレンカムイ"""
Npc5518#0,"""ラヴィス＝ブレイド"""
Npc5528#0,"""パートニャー"""
Npc5532#0,"""シエラ(ハロウィン)"""
Npc5533#0,"""ヒツギ（クリスマス）"""
Npc5534#0,"""コオリ（クリスマス）"""
Npc5535#0,"""アル（クリスマス）"""
Npc5542#0,"""アウロラ（バレンタイン）"""
Npc5543#0,"""ユクリータ（バレンタイン）"""
Npc5503#0,"""リサ"""
Npc5544#0,"""アフィン（ホワイトデー）"""
Npc5565#0,"""リュドミラ"""
Npc5567#0,"""アフタル"""
Npc5568#0,"""ホルシード"""
Npc5569#0,"""リーン"""
Npc5566#0,"""キョクヤ"""
Npc5570#0,"""ルコット"""
Npc5580#0,"""スペース・ツナ"""
Npc5581#0,"""フォルニスフィジス"""
Npc5582#0,"""ヤスミノコフ8000C"""
Npc5583#0,"""エルデトロス"""
Npc5584#0,"""アギト"""
Npc5589#0,"""ジェネ(サマー)"""
Npc5590#0,"""アネット(サマー)"""
Npc5591#0,"""ブルージーレクイエム(サマー)"""
Npc5597#0,"""みたらし"""
Npc5598#0,"""テトラ"""
Npc5599#0,"""§イチカ§"""
Npc5611#0,"""ルコット"""
Npc5613#0,"""ポポナ"""
Npc5620#0,"""ルーサー(クリスマス)"""
Npc5621#0,"""ハリエット(クリスマス)"""
Npc5624#0,"""ストラトス(バレンタイン)"""
Npc5625#0,"""キョクヤ(ホワイトデー)"""
Npc5634#0,"""マジカルロボ★ゼクト"""
Npc5635#0,"""牧野"""
Npc5636#0,"""ドルチェ"""
Npc5640#0,"""牧野"""
Npc5641#0,"""テトラ"""
Npc5643#0,"""§イチカ§"""
Npc5607#0,"""猫ノ宮♪"""
Npc6009#0,"""シー(独立記念日)"""
QuestCounter#0,"""Координатор (запад)"""
QuestCounter2#0,"""Координатор (восток)"""
QuestCounter3#0,"""Координатор"""
ClassCounter#0,"""Управляющий классами"""
Npc_CounterArks#0,"""Координатор команд"""
Npc_CounterArks2#0,"""Координатор титулов"""
CounterMd1#0,"""Сотрудник медицинского центра"""
CounterNetCafe#0,"""Сотрудник магазина NetCafe"""
ShopTrade#0,"""Сотрудник магазина переработки"""
ShopPoint#0,"""Магазин значков и воспоминаний"""
ShopReform1#0,"""Продавец предметов для комнаты"""
ShopReform2#0,"""FUN-магазин"""
ShopItem#0,"""Торговец предметами"""
ShopItem2#0,"""Эксперт по оружию"""
ShopItem3#0,"""Торговец предметами"""
ShopCostume1#0,"""Торговец костюмами"""
ShopCostume2#0,"""Торговец юнитами"""
CounterLab1#0,"""Сотрудник лаборатории предметов"""
CounterLab2#0,"""Сотрудник лаборатории предметов"""
ShopDisc#0,"""Торговец дисками"""
ShopWeapon#0,"""Торговец оружием"""
ShipBattle#0,"""Акума"""
ShipBattle2#0,"""Акумами"""
ShopBar#0,"""Бармен"""
Shop711#0,"""7-11 Oracle Branc"""
Npc2036#0,"""Сотрудник лаборатории питомцев"""
CounterSalon1#0,"""Ассистент салона красоты"""
ShopPoint2#0,"""Магазин обмена фотонных частиц"""
ShopPoint3#0,"""Магазин обмена экскубов"""
ShopTrade2#0,"""Сотрудник магазина редких камней"""
ShopTrade3#0,"""Сотрудник магазина маг. камней"""
ShopTrade4#0,"""Сотрудник по выдаче призов (север)"""
ShopTrade5#0,"""Сотрудник по выдаче призов (юг)"""
ShopTrade6#0,"""Работник магазина челендж-миль"""
Npc_ShopTreasure#0,"""Продавец магазина ценностей"""
Npc_PvShopPoint#0,"""Секретарь обмена боевых монет"""
Npc_ShopTrade4#0,"""アナトーリヤ/メダル交換ショップ店員"""
