TitleLogo_Enter#0,"""Нажмите ENTER"""
UseAgreement_Decide#1,"""Принять"""
UseAgreement_Cancel#1,"""Отказаться"""
UseAgreement_WebLink#1,"""Открыть условия"""
UseAgreementConfirm#1,"""При отказе от условий вы не сможете<br>продолжить игру.<br><br>Отказаться?"""
UseAgreementURL#1,"""http://pso2.jp/players/support/rule/"""
LoginIdSelect_Sega#0,"""Введите SEGA ID"""
LoginVita#0,"""オンラインログイン"""
LoginIdSelect_UserInfo#0,"""Изменить информацию пользователя"""
LoginIdSelect_UserInfo_v#0,"""ユーザー情報変更(Webページへ)"""
LoginIdSelect_AR#0,"""キャラクターポートレート"""
LoginIdSelect_CharaCreate#0,"""Создание персонажа"""
LoginIdSelect_Credit#0,"""Титры"""
LoginIdSelect_GameEnd#0,"""Выйти из игры"""
LoginIdSelect_OnlineManual#0,"""Онлайн-руководство"""
LoginIdSelect_ReturnTitle#0,"""Вернуться на стартовый экран"""
Title#0,"""Меню входа"""
TitleVita#0,"""Стартовое меню"""
UserInfoURL#0,"""https://USER-INFO-CHANGE-URL"""
UserInfoURLVita#0,"""https://USER-INFO-CHANGE-URL"""
FirstPlay_Message#0,"""Добро пожаловать в Phantasy Star Online 2!<br><br>Вам необходимо выбрать сервер - \""корабль\"" - и создать персонаж.<br><br><yellow>■Для новых игроков:<c><br>Пожалуйста, выберите \""Начать игру в первый раз\"".<br><br><yellow>■Если вас пригласил друг:<c><br>выберите корабль, на котором зарегистрирован ваш друг.<br><br><yellow>■Если вы уже играли в PSO2,<c><br>выберите ваш корабль."""
Recommand_Message#0,"""Игра начнётся заново.<br><br>Созданные далее персонажи будут зарегистрированы на корабле (сервере)<br><br><yellow>$(0)<c><br><br>Теперь вы будете играть на этом корабле.<br><br>※Если вас пригласил друг или вы желаете выбрать другой сервер, нажмите \""Назад\"" и выберите другой корабль."""
Recommand_Title_Vita#0,"""『ファンタシースターオンライン2』へようこそ！"""
Recommand_Message_Vita#0,"""このゲームでは、<green>「シップ」<c>と呼ばれるサーバーの<br>いずれかを選び、キャラクターを作成します。<br>作成したキャラクターは、選択したシップでのみ<br>プレイすることが可能です。<br><br>初めてプレイされる方は<green>「$(0)」<c>を<br>選択すると、より快適にプレイして頂けます。<br><br><yellow>別のシップを希望する方や、<br>お友達招待システムで招待されている方は、<br>任意のシップを選択してください。<c><br><br><red>※シップが別のキャラクターとは交流できません。<br>\u3000シップ移動にはアークスキャッシュ(AC)が必要です。<c>"""
Recommand_Start#0,"""Начать игру"""
Recommand_Back#0,"""Вернуться"""
LoginIdSelect_es#0,"""Подключиться к PSO2es"""
LoginIdSelect_es_Title#0,"""Ваши персонажи и подключение к PSO2es"""
LoginIdSelect_es_Message#0,"""『ＰＳＯ２ｅｓ』のキャラクターで『ＰＳＯ２』をプレイするには<br>『ＰＳＯ２ｅｓ』から連動処理を行う必要があります。<br><br>『ＰＳＯ２ｅｓ』ロビー画面の「ＰＳＯ２連動」メニューから<br>「今すぐ連動する」ボタンをタッチし<br>メニューの説明にしたがって、連動を完了してから<br>『ＰＳＯ２』にログインしてください。<br><br>\u3000<&URL pso2.jp_es_players_guide_beginners>"""
SegaID_URL#0,"""http://pso2.jp/ref/PC001/"""
LoginIdSelect_Sega#1,"""Войти с SEGA ID"""
LoginVita#1,"""ログインしてゲームを開始します"""
LoginIdSelect_UserInfo#1,"""Изменить информацию пользователя"""
LoginIdSelect_Credit#1,"""Просмотреть титры"""
LoginIdSelect_GameEnd#1,"""Выйти из игры"""
LoginIdSelect_es#1,"""『PSO2es』との連動について説明をします"""
ShipStatus_0#0,"""Нет данных"""
ShipStatus_1#0,"""Средняя заполненность"""
ShipStatus_2#0,"""Переполнен"""
ShipStatus_3#0,"""Заполнен"""
ShipStatus_4#0,"""Оффлайн"""
ShipStatus#0,"""Статус"""
CharaMax#0,"""Создание персонажа на этом корабле<br>временно недоступно из-за<br>его заполненности."""
TitleEpochLag#0,"""Объявление"""
NotifyEpochLag#0,"""ご利用中の環境の時刻設定と<br>現在の日時に、大幅な差があります。<br><br>ゲーム内の各種機能や表示など<br>一部の動作に影響する恐れがあります。<br><br>時刻を正しくご設定いただいた後、<br>ゲームを再起動されることを<br>おすすめいたします。<br><br>[No.2305]"""
FormName#0,"""Ввести код аутентификации"""
Message#0,"""Чтобы продолжить игру, необходимо<br>ввести [Mail Autentication Key].<br>Он был отправлен на почту,<br>привязанную к вашему SEGA ID."""
Send#0,"""Подтвердить"""
Reload#0,"""Отправить код аутентификации ещё раз"""
Cancel#0,"""Вернуться"""
Error#0,"""Код аутентификации отправлен на<br>почту, привязанную к вашему SEGA ID."""
MessageVitaLink#0,"""ご利用中の SEGA ID との連携を<br>開始するには<br><br>メール認証キーの登録が必要です。"""
FormName#1,"""Ввести одноразовый пароль"""
Notice#0,"""Введите одноразовый пароль.<br><br>Одноразовый пароль можно использовать<br>только в течение <yellow>1 минуты<c> после запроса.<br>Если время вышло, выберите<br>\""Повторный запрос\"".<br><br>Если пароль будет введён неверно <red>6 раз<c>,<br>ваш аккаунт будет заблокирован.<br>Информацию о разблокировке аккаунта<br>вы можете найти на игровом сайте."""
