01_MainLobby_001#0,"""Пока премиум активен, вы можете хранить до 40 клиентских заказов."""
01_MainLobby_122#0,"""В разделе [История сообщений], вы можете увидеть<br>информацию о недавних крафтах."""
01_MainLobby_123#0,"""[Хранилище персонажа] может хранить 300 предметов на персонаже. Кроме того<br>вы можете расширить это хранилище до 1000 предметов за АС."""
01_MainLobby_124#0,"""Предметы в вашем [Хранилище предметов] могут быть перенесены на другие корабли при переносе персонажа."""
01_MainLobby_125#0,"""Хранилище PSO2es доступно для использования в течение 30 дней после последнего захода в PSO2es."""
01_MainLobby_126#0,"""Послояная одежда состоит из трёх слоёв:<br>верхняя, основная и нижняя, или [Ou], [Ba] и [In]"""
01_MainLobby_127#0,"""В дополнение к одежде и частям, вы можете сменить свои аксессуары, волосы,<br>цвет тела и многое другое из [Изменения стиля] в главном меню."""
01_MainLobby_128#0,"""Вы можете проверить информацию о стиле других игроков,<br>используя меню [Ближайшие персонажи]."""
01_MainLobby_129#0,"""Вы можете изменить приоритет цвета одежды и внутренней одежды."""
01_MainLobby_130#0,"""При сохранении данных персонажа в салоне преображения, вы можете<br>перезаписать предыдущие данные, используя одно и то же имя."""
01_MainLobby_131#0,"""Вы можете настроить позицию оружия в разделе главного меню [Кастомизация]."""
01_MainLobby_132#0,"""4 эпизод продвигает только [Карта истории]."""
01_MainLobby_133#0,"""Отображаемое содержимое быстрого меню можно изменить используя <%MultiSelect>."""
01_MainLobby_134#0,"""Некоторые особые способности петомцев предоставляются только при оценке \""SPECIAL EGG?\""."""
01_MainLobby_135#0,"""Атрибуты петомцев могут быть изменены при перемещении сладости Ramune в коробку сладости"""
01_MainLobby_136#0,"""Блинчики увеличивают способности петомца могут быть получены<br>в лаборатории петомцев в обмен на различные предметы."""
01_MainLobby_137#0,"""Вы должны пройти путь ARKS, прежде чем начнёте<br>прохождение Карты истории 4 эпизода."""
01_MainLobby_138#0,"""\""Bonus Key\"" необходимый для бонусных квестов, может быть<br>получен только при прохождении рекомендуемых квестов."""
01_MainLobby_139#0,"""Обязательно воспользуйтесь предметами, срок действия которых<br>(например бонусные ключи), до истечения срока действия."""
01_MainLobby_140#0,"""Выбирая [Эпизод 4] при входе, вы можете использовать<br>карту истории для просмотра событий 4 эпизода."""
01_MainLobby_141#0,"""При использовании карты истории, вы можете проходить сюжетные квесты 4 эпизода."""
01_MainLobby_142#0,"""При спользовании карты истории, некоторые события не будут использовать челнок."""
01_MainLobby_143#0,"""Медтерминал и терминал склада расположены рядом со входом на командный мостик."""
01_MainLobby_144#0,"""При входе в режим 4 эпизода вы не можете использовать карту событий."""
01_MainLobby_145#0,"""При использовании бонусных ключей, вы можете играть в бонусные квесты,<br>которые дают много опыта, месеты и редкого дропа."""
01_MainLobby_146#0,"""Существуют различные виды бонусных ключей. Бонусные квесты,<br>которые они разблокировывают, также различны."""
01_MainLobby_147#0,"""Если вы пройдёте бонусный квест с более высокой сложностью,<br>то получите больше опыта и месеты, а так же более редкий дроп."""
01_MainLobby_148#0,"""Бонусные квесты можно пройти только в одиночку."""
01_MainLobby_149#0,"""Когда у вас вы экипируете кольцо умений,<br>убийство прагов даст кольцу опыт."""
01_MainLobby_150#0,"""Вы можете проверить статистику добычи в визифоне."""
01_MainLobby_151#0,"""В можете выполнить \""Тренировочные квесты\"" чтобы лучше узнать,<br>как играть за ваш класс."""
01_MainLobby_152#0,"""Если вы долго носите костюм со значком SG, то можете получить SG."""
01_MainLobby_153#0,"""При выборе \""Тренировочные кветы\"" у координатора,<br>вы можете практиковать умения классов и действия."""
01_MainLobby_154#0,"""Оружия NT становятся сильнее благодаря использованию<br>другого оружия в качестве материала."""
01_MainLobby_155#0,"""Вам необходимо использовать одно и то же оружие<br>в качестве материала для заточки NT оружия  до +35."""
01_MainLobby_156#0,"""Вы можете получить лист коллекции у Пурин, которая позволяет<br>собирать предметы и обменивать их на редкое оружие."""
01_MainLobby_157#0,"""Вы можете приобрести Star Gems в [Преобрести Star Gems] в меню АС."""
01_MainLobby_158#0,"""Во время определённых действий с лобби-экшенами в можете нажать <%NormalAttack> или <%PhotonArts><br>в середине цикла чтобы изменить поведение лобби-экшена."""
01_MainLobby_159#0,"""При определённых лобби-экшенах, вы можете выбрать [Реакция]<br>на другом игроке, чтобы выбрать сооветствующее действие реакции в лобби."""
01_MainLobby_160#0,"""Некоторые петомцы имеют редкие вариации,<br>которые можно разблокировать через более редкие яйца."""
03_MyRoom_001#0,"""При использовании премиума вы получаете<br>два дополнительных макета комнаты: А и Б."""
03_MyRoom_002#0,"""При использовании быстрого меню, вы можете<br>отправиться в командную комнату или свою комнату."""
03_MyRoom_003#0,"""Если вы поставите музыкальный автомат в вашей комнате,<br>вы сможете зарегистрировать музыкальные диски, чтобы разблокировать новые BMG."""
03_MyRoom_004#0,"""Комната, удобная для настройки вашего партнёра поддержки, Partner<br>Console можно приобрести в магазине вашей комнаты."""
03_MyRoom_005#0,"""Выбрав меню крафта в терминале комнаты другого игрока,<br>вы можете у него отправить запрос на крафт."""
03_MyRoom_006#0,"""Вы можете крафтить, проверять ваши запросы и менять настройки<br>вывески из меню крафта в терминале вашей комнаты."""
03_MyRoom_007#0,"""Вы можете просматривать сюжетные события в хонологическом порядке,<br>в меню [Хроника событий] терминала вашей комнаты."""
03_MyRoom_008#0,"""Вероятность успеха вашего партнёра поддержки будет выше,<br>если они все находятся в одной области."""
03_MyRoom_009#0,"""В визифоне вы можете использовать [Мой магазин] для поиска<br>до 4х способностей на предмет разом."""
03_MyRoom_010#0,"""В визифоне вы можете использовать [Мой магазин] для поиска<br>до предметов определённой редкости или выше."""
03_MyRoom_011#0,"""В визифоне вы можете использовать [Мой магазин] для поиска<br>костюмов и различных частей по полу."""
03_MyRoom_012#0,"""В визифоне вы можете использовать [Мой магазин] для поиска<br>предметов и различных билетов по подкатегориям."""
03_MyRoom_013#0,"""При покупке оружия 12 звёзд или выше, оно будет<br>зарегестрировано вами при покупке."""
03_MyRoom_014#0,"""Вы можете сохранить обновлённые настройки диска<br>способностей в опциии [Сохранить резервную настройку]."""
04_GuildRoom_001#0,"""Когда глава команды не заходит в игру более 30 дней,<br>менеджер может взять управление командой на себя."""
04_GuildRoom_002#0,"""Вы можете заблокировать/разблокировать комнату из меню [Расширения команды]."""
04_GuildRoom_003#0,"""Если ваше звание в команде менеджера или выше,<br>вы можете выгнять членов более низкого звания из команды."""
04_GuildRoom_004#0,"""Не член команды не может видеть содержимое доски<br>бъявлений команды, координатора, командный склад и т.д."""
04_GuildRoom_005#0,"""Не члены команды могут проверить рост фотонного<br>дерева, но не могут получать его эффекты."""
07_AmusementLobby_001#0,"""Монеты казино могут быть конвертированны<br>с использованием обменника монет в казино."""
07_AmusementLobby_002#0,"""Приобретённые монеты казино можно обменять на Lambda Grinder,<br>камуфляжи и многие другие призы координатора призов."""
07_AmusementLobby_003#0,"""Есть граффити группы лилипанов, скрытых в казино...?"""
07_AmusementLobby_004#0,"""Любые монеты, превышающие лимит владения, будут утеряны,<br>если вы отправитесь на квест. Как можно чаще меняйте их напризы!"""
07_AmusementLobby_005#0,"""В Месетан-тире можно поиграть в три волны за раз."""
07_AmusementLobby_006#0,"""Вы потеряете моенты, если будете стрелять в бомбы в месетан-тире."""
07_AmusementLobby_007#0,"""Интересно, что Амбра сделает в месетан-тире, если по нему не стрелять...?"""
07_AmusementLobby_008#0,"""Во время месетан-тира может появиться королева месетанов."""
07_AmusementLobby_009#0,"""В месетан-тире, когда ваш PSE поднимется, вы, вероятно, получите отличную волну."""
07_AmusementLobby_010#0,"""В Реппи-слотах, Реппи PSE шанс возникает, когда шкала Реппи заполнится."""
07_AmusementLobby_011#0,"""В Реппи-слотах, интересно, что произойдёт если вы выстроите все линии...?"""
07_AmusementLobby_012#0,"""В Реппи-слотах, если вы выстроите все линии, вы выиграете и получите ДЖЕКПОТ!"""
07_AmusementLobby_013#0,"""メセタンシューターでは肩越し視点操作に切り替わるため、<br>オプションのカメラ設定や、操作設定で細かい調整に対応できる。"""
07_AmusementLobby_014#0,"""В Блек Няке, чем больше игроков, тем проще получить Battle Bonyas."""
07_AmusementLobby_015#0,"""В Блек Няке, игрок с самой быстрой рукой во время Battle Bonyas, получит бонус."""
07_AmusementLobby_016#0,"""В Блек Няке, получив 3 особые карты, вы получите награду THREE SP."""
07_AmusementLobby_017#0,"""В Блек Няке, вы можете удвоить свою ставку, делая DOUBLE DOWN, но только при своём первом ходе."""
07_AmusementLobby_018#0,"""В Лили рулетке вы можете сделать ставку до двух очков зв игру."""
07_AmusementLobby_019#0,"""В Лили рулетке вы можете делать ставки тремя способами:<br>\""по цвету\"", \""по числу\"" и \"" по цвету и по номеру\""."""
07_AmusementLobby_020#0,"""リーリールーレットは、チャンスマスで停止すると当たりが増える。"""
07_AmusementLobby_021#0,"""リーリールーレットは、トリプルチャンスマスで停止すると・・・？"""
07_AmusementLobby_022#0,"""Есть ли случаи при которых Лили рулетка<br>одаривает 30-ти кратным призом или более...?"""
07_AmusementLobby_023#0,"""Когда вы достигните последнего этапа (30 этап) в Акума-слот, вы получите<br>бонус за завершение, который может позволить вам приобрести<br>большое уоличество монет казино."""
07_AmusementLobby_024#0,"""アークマスロットで３種類の図柄を揃えるとコンプリートボーナスを獲得できる。"""
07_AmusementLobby_025#0,"""アークマスロットは、１日のプレイ可能数に上限がある。"""
10_Dungeon_001#0,"""Хотите помочь с переводом? Свяжитесь с Sinitsa в публичном дискорде<br>команды перевода PSO2 (https://discord.gg/wxxCr4g)<br>или Денис Синица в группе в вконтакте (vk.com/lass_team)"""
10_Dungeon_002#0,"""Сопротивление атрибутам уменьшает урон от элемента на определённый процент."""
10_Dungeon_003#0,"""Когда у вашего мага кончается энергия, он не может выполнять триггер действия."""
10_Dungeon_004#0,"""По мере роста уровня вашего мага, сила его Фотон Бласта (PB) также увеличивается."""
10_Dungeon_005#0,"""Включив функцию [Автоматический подбор месеты] в меню опций,<br>вы будете подбирать месету просто подойдя к ней."""
10_Dungeon_006#0,"""Вы можете выбрать, будут ли уведомления о событиях появляться<br>во время их появления в меню опций."""
10_Dungeon_007#0,"""Вы можете установить цвет при уменьшении НР, чтобы он<br>соответствовал типу повреждений, полученных в меню опций"""
10_Dungeon_008#0,"""Враги, известные как \""Мутировавшие\"", по-разному эволюционировали по отношению<br>к своим сородичам. Потенциалы, которые увеличивают урон по животным<br>Набериуса, например, не будут работать на них."""
10_Dungeon_009#0,"""Враги, известные как \""Мутировавшие\"", по-разному эфволюционировали по отношению<br>к своим сородичам. Потенциалы, которые уменьшают урон, срабатывают<br>на даркерах, даже при столкновении с их мутировавшими сородичами."""
10_Dungeon_010#0,"""Особая способность 'Ultimate Buster' чрезвычайно эффективно, но только на мутировавших врагах."""
10_Dungeon_011#0,"""Оружия, выпавшие с врагов уровня 71+ (или других противников), может иметь способность<br>'Ultimate Buster', которая очень эффективна против врагов ультимейт-квестов."""
10_Dungeon_012#0,"""Используя party marker, вы можете разрешить другим участникам<br>местности с несколькими группами вступить в вашу группу."""
10_Dungeon_013#0,"""Party maker может быть создан только лидером группы, и может<br>быть размещен только в местностях для нескольких групп."""
10_Dungeon_014#0,"""Party maker нельзя поставить, если группа заполнена."""
10_Dungeon_015#0,"""Party maker может быть поставлен/убран из быстрого меню,<br>используя один из макетов 'Multiplayer'."""
10_Dungeon_016#0,"""Когда ваш маг достигнет 200 уровня, он он изучит мощное 'SP действие'."""
10_Dungeon_017#0,"""Один раз в день (за квест), если вы проходите рекомендуемый квест<br>с рангом А или выше, получите особую награду."""
10_Dungeon_018#0,"""Ваша стамина рыбалки и добычи пополнится обратно до 100 с течением времени."""
10_Dungeon_019#0,"""Уровни рыбалки и добычи увеличиваются за счёт достижений."""
10_Dungeon_020#0,"""Райдроид может двигаться с максимальной скоростью, увеличивая её,<br>пока отображается кольцо Just Attack."""
10_Dungeon_021#0,"""Райдроид будет восстанавливать РР, если вы пройдёте сквозь энергетическое кольцо."""
15_ChallengeCommon_001#0,"""チャレンジクエストではエリアの事を「ミッション」と呼び、<br>指定されたミッションのクリアを目標とするクエストである。"""
15_ChallengeCommon_002#0,"""チャレンジクエストではＶＲエネルギーと呼ばれる制限時間が存在する。<br>制限時間はエネルギーカプセルを取ることで延長できる。"""
15_ChallengeCommon_003#0,"""エネルギーカプセルによる制限時間の延長は、<br>チャレンジクエストごとに定められた最大量を超えて、延長することはできない。"""
15_ChallengeCommon_004#0,"""ＶＲエネルギーは時間経過により、徐々に減少していく他、<br>参加中のプレイヤーが戦闘不能になると大幅に減少する。"""
15_ChallengeCommon_005#0,"""ムーンアトマイザーを使用して、戦闘不能になったプレイヤーを復活させる事で<br>戦闘不能時に減少したＶＲエネルギーを回復する事ができる。"""
15_ChallengeCommon_006#0,"""チャレンジクエストでは、手に入れた武器やユニットをその場に置くことができる。<br>床に置ける上限数は全員合わせて160個である。"""
15_ChallengeCommon_007#0,"""チャレンジクエストでは一定ミッション進むと、インターバルエリアにたどり着く。<br>インターバルエリアではＶＲエネルギーは減少しない。"""
15_ChallengeCommon_008#0,"""チャレンジクエスト中のインターバルエリアでは、<br>リサイクルショップから武器、ユニット、消費アイテムの補充ができる。"""
15_ChallengeCommon_009#0,"""チャレンジクエスト中に誰か一人でもインターバルエリアに到達すると、<br>ミッション中の他プレイヤーは全員インターバルエリアへ強制転送される。"""
15_ChallengeCommon_010#0,"""チャレンジクエスト中に戦闘不能になってしまった際に、<br>そのままインターバルエリアへ転送されると、ＶＲエネルギーの回復は行われない。"""
15_ChallengeCommon_011#0,"""チャレンジマイルはチャレンジクエストのリザルトによる評価の他、<br>マイルクリスタルを拾う事でも獲得できる。"""
15_ChallengeCommon_012#0,"""チャレンジクエストのリザルトで獲得できるチャレンジマイルは、<br>パーティー人数や、戦闘不能帰還数でもボーナスを得ることができる。"""
15_ChallengeCommon_013#0,"""チャレンジクエスト内では各クラスのスキルがディスク化されており、<br>プレイヤーの好みや、メンバー内の相談などで自由に習得することができる。"""
15_ChallengeCommon_014#0,"""チャレンジマイルは所属シップのチャレンジマイル交換ショップで<br>各種アイテムや、チャレンジ専用の報酬と交換することができる。"""
15_ChallengeCommon_015#0,"""チャレンジモニュメントでは、チャレンジクエストにおける<br>ランキングを確認することができる。"""
15_ChallengeCommon_016#0,"""自己最高記録タグでは、チャレンジクエストにおける<br>自分の最高到達記録と、他のプレイヤーの最高到達記録を確認できる。"""
