RenameTitle#0,"""Изменить имя питомца"""
SaveMessage#0,"""В коробку сладостей будет добавлено следующее.<br>Вы уверены?"""
SaveMessage2#0,"""Уничтожение следующих сладостей.<br>Вы уверены?<br><br><c ff4f3f>※Уничтоженные сладости не могут быть восстановлены.<c><br><yellow>Требуется Candy Erasers: $(0)<br>(Имеется: $(1))<c>"""
CancelSaveMessage#0,"""Отмена изменений и возвращение.<br>Вы уверены?<br>(Сохраните изменения, нажав по кнопке \""Принять\"")"""
SaveResultMessage#0,"""Содержимое коробки сладостей<br>сохранено."""
Move#0,"""Переместить"""
Detach#0,"""Временно убрать"""
CandyList#0,"""Список сладостей"""
AllRemoverMessage#0,"""Все сладости из этой коробки сладостей<br>будут возвращены в инвентарь.<br>Вы уверены?<br><br><yellow>Требуется All Candy Removers: 1<br>(Имеется: $(0))<c>"""
AllRemoverResultMessage#0,"""Все сладости<br>возвращены в инвентарь."""
ItemPackErrorMessage#0,"""Недостаточно места в инвентаре, чтобы получить предметы."""
ConfirmTitle#0,"""Подтвердите использование предмета"""
CandySize#0,"""$(0)x$(1)"""
StatusTitle#0,"""Статус"""
Attribute#0,"""Сопр. атр."""
StatusNumber#0,"""$(0)<c ff9c70> (＋$(1))<c>"""
StatusPercent#0,"""$(0)%"""
StatusNumber2#0,"""(+$(0))"""
CandyTypeName1#0,"""Парфе"""
CandyTypeName2#0,"""Ролл"""
CandyTypeName3#0,"""Печенье"""
CandyTypeName4#0,"""Пирожное"""
CandyTypeName5#0,"""Рамунэ"""
CandyTypeName6#0,"""Блинчик"""
CandyTypeName7#0,"""Карамельная трость"""
CandyTypeName8#0,"""Сэндвич"""
CandyTypeName9#0,"""Мармелад"""
NumberUnlimited#0,"""20"""
StatusNumberMinus#0,"""$(0)<c 32cdff> (－$(1))<c>"""
StatusPercentPlus#0,"""$(0)%<c ff9c70> (＋$(1))<c>"""
StatusPercentMinus#0,"""$(0)%<c 32cdff> (－$(1))<c>"""
PetName#0,"""$(0) ($(1)-тип)"""
IceCrushTitle#0,"""Уничтожить карамельный кубик"""
RemoverTitle#0,"""Убрать сладость"""
IceCrushNumber#0,"""У вас есть """
RemoverNumber#0,"""У вас есть """
EraserNumber#0,"""キャンディーイレイサー"""
RemoverHelp#0,"""Пожалуйста, выберите одну сладость,<br>которую хотите вернуть в инвентарь.<br><br><yellow>Требуется Candy Removers: 1<c>"""
IceCrushHelp#0,"""Пожалуйста, выберите один карамельный<br>кубик, который хотите убрать.<br><br><yellow>Требуется Caramel Crushers: 1<c>"""
CompositeRemainTime1Minute#0,"""Перезарядка: < 1 минуты"""
CompositeRemainTime#0,"""Осталось: $(0) минут"""
CompositeRemainGauge#0,"""+$(0)（+<pict pet_stone_red>$(1)）"""
CompositeRemainGaugeExtendPay#0,"""+$(0)"""
CompositeRemainGaugeExtendNotPay#0,"""（+<pict pet_stone_red>$(0)）"""
MaxCountError#0,"""Вы не можете добавлять больше<br>сладостей этого типа."""
AttributeWarning#0,"""属性値が上限を超えてセットされたため、<br>上限値に合わせて、余剰分はカットされました。"""
IceClushRarityError#0,"""Не удалось убрать карамельный кубик."""
HP#0,"""HP"""
Strike#0,"""打撃力"""
Firearm#0,"""射撃力"""
Techinic#0,"""法撃力"""
Dex#0,"""技量"""
DfpStrike#0,"""打撃防御"""
DfpFirearm#0,"""射撃防御"""
DfpTechnic#0,"""法撃防御"""
Element#0,"""Атрибут"""
ItemErrorMessage#0,"""Недостаточно $(0)."""
MoveHelp#0,"""外すを選択するとセット済みのキャンディーが外れます。<br>もう一度セットしたい場合はキャンディーの追加から<br>外したキャンディーをセットしてください。"""
ParfaitErrorMessage#0,"""Вы не можете добавить парфе с тем же эффектом."""
Title#3,"""Синт. яйца"""
List_Title#0,"""Выбор яйца"""
List_CheckLockMessage#0,"""Скрыть заблокированные предметы"""
List_DirectBuy#0,"""Заряды синт.<pict StarGem>"""
List_PopupGuide#0,"""Пожалуйста, выберите яйцо для синт."""
Param_Title#0,"""Улучшенный питомец"""
DesideYesNo_Title#0,"""Синт. яйца"""
DesideYesNo_Msg#0,"""Синт. $(1)<br>в питомца \""$(0)\"".<br>Вы уверены?"""
DesideYesNo_MsgLock#0,"""Синт. $(1)<br>в питомца \""$(0)\"".<br>Вы уверены?<br><br><yellow>Вы выбрали заблокированный предмет.<c>"""
RareYesNo_Title#0,"""Синт. яйца"""
RareYesNo_Msg#0,"""Редкость этого яйца превышает $(0).<br>Вы действительно хотите использовать его для синт.?"""
Toast_Success#0,"""Синт. яйца завершён."""
Toast_SuccessName#0,"""$(1) синт.<br>в $(0)."""
SubstitutePetName#0,"""Питомец"""
SubstituteEggName#0,"""Яйцо"""
Warning_MaxLv_Title#0,"""Синт. яйца"""
Warning_MaxLv_Msg#0,"""レベルが上限のため、<br>経験値は獲得できません。<br><br>※プラス値のみ上げることが可能です。"""
Warning_MaxParam_Title#0,"""Синт. яйца"""
Warning_MaxParam_Msg#0,"""$(0)のプラス値が上限のため<br>これ以上、上がらないパラメータがあります。"""
Warning_MaxAll_Title#0,"""Синт. яйца"""
Warning_MaxAll_Msg#0,"""$(0)に<br>これ以上のエッグ合成は<br>効果がありません。"""
Warning_MaxAll_MsgPreLimitBreak#0,"""$(0)に<br>これ以上のエッグ合成は<br>効果がありません。<br><br>ゲートエリアにいるピエトロに話しかけて、<br>$(1)を<yellow>限界突破<c>しましょう。"""
Warning_LockEgg_Title#0,"""Синт. яйца"""
Warning_LockEgg_Msg#0,"""Заблокированные предметы не могут быть<br>использованы для синт. яйца."""
DirectBuy_EggSynthesisNum_MaxCount_Title#0,"""Подтверждение покупки предмета"""
DirectBuy_EggSynthesisNum_MaxCount_Msg#0,"""「合成可能数回復」は、$(0)回を超えて<br>購入することはできません。"""
DirectBuy_EggSynthesisNum_FromButton_Title#0,"""Подтверждение покупки предмета"""
DirectBuy_EggSynthesisNum_FromButton_Msg#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>$(0)の合成可能数を<br>SGでチャージすることができます。<br><br>「合成可能数回復」の購入確認画面に<br>進みますか？"""
DirectBuy_EggSynthesisNum_FromEmpty_Title#0,"""Подтверждение покупки предмета"""
DirectBuy_EggSynthesisNum_FromEmpty_Msg#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>$(0)の<br>合成可能数が不足しています。<br><br>「合成可能数回復」の購入確認画面に<br>進みますか？"""
DirectBuy_EggSynthesisNum_Confirm_Title#0,"""Подтверждение покупки предмета"""
DirectBuy_EggSynthesisNum_Confirm_Msg#0,"""以下のアイテムを$(0)SG(通常100SG)で購入し、<br>合成可能数を５個回復させます。<br>Are you sure?<br><yellow><br>※連続購入時、購入１回目～９回目までは<br>\u3000価格が割引されますが、回数が増えると<br>\u3000割引率が下がります。<c><br>※Number of purchases resets at 5am every day.<br>(Current SG: $(1))" =~ "以下のアイテムを$(0)SG（通常100SG）で購入し、<br>合成可能数を５個回復させます。<br>よろしいですか？<br><yellow><br>※連続購入時、購入１回目～９回目までは<br>\u3000価格が割引されますが、回数が増えると<br>\u3000割引率が下がります。<c><br>※購入回数は毎日朝5時にリセットされます。<br>（所持SG:$(1))"""
DirectBuy_EggSynthesisNum_Confirm_ItemName#0,"""Восстановление заряда синт."""
DirectBuy_EggSynthesisNum_Item01#0,"""Восстановление заряда синт. (1-й)"""
DirectBuy_EggSynthesisNum_Item02#0,"""Восстановление заряда синт. (2-й)"""
DirectBuy_EggSynthesisNum_Item03#0,"""Восстановление заряда синт. (3-й)"""
DirectBuy_EggSynthesisNum_Item04#0,"""Восстановление заряда синт. (4-й)"""
DirectBuy_EggSynthesisNum_Item05#0,"""Восстановление заряда синт. (5-й)"""
DirectBuy_EggSynthesisNum_Item06#0,"""Восстановление заряда синт. (6-й)"""
DirectBuy_EggSynthesisNum_Item07#0,"""Восстановление заряда синт. (7-й)"""
DirectBuy_EggSynthesisNum_Item08#0,"""Восстановление заряда синт. (8-й)"""
DirectBuy_EggSynthesisNum_Item09#0,"""Восстановление заряда синт. (9-й)"""
DirectBuy_EggSynthesisNum_Item10#0,"""Восстановление заряда синт. (10-й+)"""
DirectBuy_EggSynthesisNum_Success_Title#0,"""Предмет успешно приобретён"""
DirectBuy_EggSynthesisNum_Success_Msg#0,"""$(0)の<br>合成可能数を５つ追加しました。<br><br><yellow>※この５回分は、エッグ合成時の<br>\u3000獲得経験値量にボーナスがつきます。<c><br><br>※Number of purchases resets at 5am every day." =~ "$(0)の<br>合成可能数を５つ追加しました。<br><br><yellow>※この５回分は、エッグ合成時の<br>\u3000獲得経験値量にボーナスがつきます。<c><br><br>※購入回数は毎日朝5時にリセットされます。"""
DesideYesNo_MsgAdd_Title#0,"""Синт. яйца"""
DesideYesNo_MsgAdd_Header#0,"""Синт. $(1)<br>в питомца \""$(0)\""."""
DesideYesNo_MsgAdd_Lock#0,"""<yellow><br>Вы выбрали заблокированный предмет.<c>"""
DesideYesNo_MsgAdd_Rare#0,"""<yellow><br>レアリティ$(0)以上のアイテムが選択されています。<c>"""
DesideYesNo_MsgAdd_MaxLv#0,"""<yellow><br>$(0) достиг максимального уровня,<br>поэтому он не получит опыта.<c>"""
DesideYesNo_MsgAdd_MaxParam#0,"""<yellow><br>Так как $(0) достиг<br>предела характеристик, некоторые характеристики<br>могут перестать повышаться.<c>"""
DesideYesNo_MsgAdd_ReturnedEgg#0,"""<br>※これは、<c ff4f3f>「ペットをエッグに戻す」で作られたエッグ<c><br>\u3000です。本当に素材とするか、<yellow>再度ご確認ください。<c>"""
DesideYesNo_MsgAdd_Footer#0,"""<yellow><c><br>Вы уверены, что хотите выполнить синт. яйца?"""
Composition_Error_NoItem1#0,"""Нет предметов, которые могут быть использованы для синт. яйца."""
Composition_After_Title#0,"""Синт. яйца"""
Composition_After_ReleaseCandy_Msg#0,"""Ур.50を超えたため、<br>ペットのキャンディーボックスから<br>ゼリーキューブが解放されました。"""
Composition_After_LimitBreak_Msg#0,"""Ур.100に到達しました。<br><br>ゲートエリアにいるピエトロに話しかけて、<br>$(0)を<yellow>限界突破<c>しましょう。"""
Composition_After_MaxLv_Msg#0,"""Достигнут максимальный уровень."""
Title#4,"""Отпустить питомца"""
Message#0,"""$(0) будет отпущен.<br>Продолжить?<br><br><c ff4f3f>※Отпущенные питомцы не будут удалены из [Списка питомцев].<br>Это действие будет нельзя отменить.<c>"""
Success#0,"""Ваш питомец был отпущен."""
Message2#0,"""Этот питомец имеет редкость <yellow>7+<c>.<br>Вы действительно хотите отпустить его?"""
Title#5,"""Выход за пределы"""
Message#1,"""Произойдёт выход за пределы для следующего питомцев。<br>Вы уверены?<br><br>※Выход за пределы даёт возможность повышать уровень выше<yellow>Ур.101<c>。<br>※После выхода за пределы количество опыта, получаемого от <br>синт.<yellow>яиц низкой редкости<c>сильно уменьшается。"""
Success#1,"""Выбранный питомец успешно вышел за пределы。"""
ErrorServerBug#0,"""Не удалось соединиться с сервером.<br><br>Пожалуйста, попробуйте позже."""
ErrorClientBug#0,"""Произошла непредвиденная ошибка.<br><br>Пожалуйста, попробуйте позже."""
ErrorDBAccess#0,"""Не удалось получить доступ базе данных.<br><br>Пожалуйста, попробуйте позже."""
ErrorPetTypeInvalid#0,"""Неверный тип питомца。"""
ErrorPetHasFound#0,"""Вы уже владеете этим питомцем."""
ErrorPetNotFound#0,"""Питомец не найден."""
ErrorPetOwnership#0,"""オーナー登録されているペットです。"""
ErrorPetCanNotLimitBreak#0,"""限界突破の条件を満たしていないため、<br>ペットの限界突破に失敗しました。"""
ErrorPetRarityUnknown#0,"""ペットのレアリティが取得できませんでした。"""
ErrorPetLock#0,"""Нельзя выбрать<br>заблокированных питомцев."""
ErrorEggTypeInvalid#0,"""エッグの種類が正しくありません。"""
ErrorEggNotFound#0,"""Яйцо не найдено."""
ErrorEggOwnership#0,"""オーナー登録されているエッグです。"""
ErrorEggCanNotHatch#0,"""Из этого яйца невозможно вывести питомца.<br>Оно может быть использовано только в синт. яйца."""
ErrorEggRarityUnknown#0,"""Не удалось определить редкость яйца."""
ErrorEggLock#0,"""Нельзя выбрать<br>заблокированные яйца."""
ErrorCandyTypeInvalid#0,"""キャンディーの種類が正しくありません。"""
ErrorCandyNotFound#0,"""Не удалось найти сладости."""
ErrorCandyDuplicate#0,"""Не удалось добавить сладость."""
ErrorCandyOutOfBox#0,"""Не удалось добавить сладость."""
ErrorCandyNotArrangement#0,"""Не удалось добавить сладость."""
ErrorCandyTypeFull#0,"""Не удалось добавить сладость."""
ErrorCandyBoxInvalid#0,"""キャンディーボックスの状態が正しくない可能性があります。"""
ErrorNotInLobby#0,"""ペットラボの機能を使用することができません。"""
ErrorSupportInvalid#0,"""不明なアイテムが使用されました。"""
ErrorSupportLack#0,"""Отсутствуют предметы поддержки."""
ErrorPaidItemNotFound#0,"""合成可能数回復を持っていません。"""
ErrorPaidItemInvalid#0,"""不明なアイテムが使用されました。"""
ErrorMesetaLack#0,"""Недостаточно денег."""
ErrorMStoneLack#0,"""Недостаточно Star Gems."""
ErrorPetAddInvalid#0,"""不正なペットの追加が行なわれました。"""
ErrorPetAddMax#0,"""Достигнуто предельное количество зарегистрированных питомцев."""
ErrorPetDeleteInvalid#0,"""Не удалось отпустить питомца."""
ErrorPetRenameInvalid#0,"""Не удалось изменить имя питомца."""
ErrorPetRenameFilter#0,"""Не удалось изменить имя питомца<br>так как оно содержит недопустимые символы."""
ErrorCandyAddInvalid#0,"""Не удалось добавить сладость."""
ErrorCandyAddTypeFull#0,"""タイプ設置上限を超えているため、セットできませんでした。"""
ErrorCandyRemoveInvalid#0,"""キャンディーをアイテムに戻すことができませんでした。"""
ErrorCandyRemoveBackpackFull#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>使用できませんでした。"""
ErrorCandyRemoveItemLack#0,"""キャンディーリムーバーが足りないため、<br>アイテムに戻すことができませんでした。"""
ErrorCandyDeleteInvalid#0,"""キャンディーを削除することができませんでした。"""
ErrorCandyDeleteitemLack#0,"""キャンディーイレイサーが足りないため、<br>削除することができませんでした。"""
ErrorCandyCompressInvalid#0,"""Нельзя выполнить копрессию сладостей."""
ErrorCandyCompressItemInvalid#0,"""必要なアイテムが不正です。"""
ErrorCandyCompressItemNotFound#0,"""Отсутствуют требуемые предметы."""
ErrorCandyCompressItemLack#0,"""Отсутствуют требуемые предметы."""
ErrorCandyCompressSupportInvalid#0,"""補助アイテムが不正です。"""
ErrorCandyCompressSupportNotFound#0,"""Отсутствуют предметы поддержки."""
ErrorCandyCompressSupportLack#0,"""Отсутствуют предметы поддержки."""
ErrorCandyCompressMax#0,"""これ以上圧縮できません。"""
ErrorCandyCompressSettingInvalid#0,"""キャンディー圧縮の設定が不正です。"""
ErrorCandyCompressBackpackFull#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>圧縮できませんでした。 """
ErrorIceBlockInvalid#0,"""キャラメルキューブが不正です。"""
ErrorIceBlockNotFound#0,"""キャラメルキューブ以外が選択されました。"""
ErrorIceBlockLackOfRarity#0,"""補助アイテムのレアリティが不足しています。"""
ErrorIceBlockLackOfItem#0,"""キャラメルクラッシャーが足りないため、<br>キャラメルキューブを破壊できませんでした。"""
ErrorPetSynthesisInvalid#0,"""Невозможно выполнить синт. яйца."""
ErrorPetSynthesisSettingInvalid#0,"""エッグ合成できないアイテムが選択されました。"""
ErrorPetSynthesisMany#0,"""エッグ合成に複数アイテムが指定されました。"""
ErrorPetSynthesisPayMax#0,"""合成可能数が上限を超えるため、<br>合成可能数回復を購入することができません。"""
ErrorInheritanceCantGetCost#0,"""Не удалось определить необходимое количество месета."""
ErrorInheritancePetKindInvalid#0,"""ペット進化で指定したペットと異なるエッグの種類です。"""
ErrorInheritanceRarityLack#0,"""ペット進化で指定したエッグのレアリティが不足しています。"""
ErrorInheritancePotentialInvalid#0,"""ペット進化で指定したエッグのペット能力が間違っています。"""
ErrorEtc#0,"""Произошла непредвиденная ошибка.<br><br>Неклассифицированная ошибка ($(0))"""
