SubMenuTitle#0,"""Меню карты истории"""
AutoGuide#0,"""Рекомендуемое событие [$(0) - $(1) $(2)] добавлено в руководство."""
AcceptPopup1#0,"""Заказы по сюжетным квестам"""
AcceptPopup2#0,"""Посмотреть рекорды квеста"""
MessageTitle#0,"""Сообщение"""
WindowTitle#0,"""Принять квест"""
EventTitle#0,"""Перезапустить ивент"""
QuestMessage#0,"""Начнётся сюжетный квест, вы<br>будете перемещены в челнок.<br>Продолжить?"""
QuestSettledMessage#0,"""Начнётся сюжетный квест, вы<br>будете перемещены в челнок.<br>Продолжить?<br><br><c ffa800>※Вы уже завершили этот квест.<c>"""
QuestNotice#0,"""Начать сюжетный квест?<br><yellow>※Вы будете перемещены в челнок.<c><br>───────────────────────<br>Условие провала / Выберите \""Сдаться\"" после смерти."""
QuestSettledNotice#0,"""Начать сюжетный квест?<br><yellow>※Вы НЕ будете перемещены в челнок.<c><br><br><c ffa800>※Вы уже завершили этот квест.<c><br>───────────────────────<br>Условие провала / Выберите \""Сдаться\"" после смерти."""
QuestNoticeHard#0,"""Точно начать сюжетный квест?<br>\u3000<yellow>※Вы будете перемещены не в челнок,<br>\u3000\u3000\u3000а прямо на поле боя.<c><br>\u3000<yellow>※После прохождения в нормальном<br>режиме вы получите отметку и за<br>лёгкий.<c><br>───────────────────────<br>Условие провала / Выберите \""Сдаться\"" после смерти."""
QuestSettledNoticeHard#0,"""Are you sure you want to start a Story Quest?<br>\u3000<yellow>※Вы будете перемещены не в челнок,<br>\u3000\u3000\u3000а прямо на поле боя.<c><br>\u3000<yellow>※После прохождения в нормальном<br>режиме вы получите отметку и за<br>лёгкий.<c><br><br>\u3000<c ffa800>※Вы уже завершили этот квест.<c><br>───────────────────────<br>Условие провала / Выберите \""Сдаться\"" после смерти."""
QuestNoticeHard_F#0,"""ストーリークエストを受注しますがよろしいですか？<br>\u3000<yellow>※このクエストではキャンプシップには行かず<br>\u3000\u3000\u3000直接フィールドへ移動します<c><br>\u3000<yellow>※このクエストにイージーはありません<c><br>───────────────────────<br>Условие провала / Умереть или не успеть в срок."""
QuestSettledNoticeHard_F#0,"""ストーリークエストを受注しますがよろしいですか？<br>\u3000<yellow>※このクエストではキャンプシップには行かず<br>\u3000\u3000\u3000直接フィールドへ移動します<c><br>\u3000<yellow>※このクエストにイージーはありません<c><br><br>\u3000<c ffa800>※このクエストはクリア済みです<c><br>───────────────────────<br>Условие провала / Умереть или не успеть в срок."""
BridgeMessage#0,"""Сюжетные квесты доступны только на командном мостике.<br><yellow>※Вход на мостик расположен<br>на втором этаже зоны врат.<c> """
PartyMessage#0,"""Сюжетный квест нельзя проходить<br>в группе."""
EventMessage#0,"""Будет запущен выбранный ивент.<br>Продолжить?"""
EventSettledMessage#0,"""Будет запущен выбранный ивент.<br>Продолжить?<br><br><c ffa800>※Вы уже просмотрели этот ивент.<c>"""
EventNotice#0,"""Сюжетные ивенты доступны только на командном мостике.<br><yellow>※Вход на мостик расположен<br>на втором этаже зоны врат.<c> """
MatterLock#0,"""Фрагмент ещё не доступен."""
NonSynopsis#0,"""Нет доступных сюжетов."""
GetReward#0,"""<c ffa800>達成報酬は受け取り済みです。<c>"""
CompleteTitle#0,"""Подтверждение"""
Complete1#0,"""このマターボードは、全てのマターが探索済みの<br>状態です。<br>このマターボードをセットすることで、ロビーにいる<br>キャラクターや会話の内容などが変化します。<br><br>マターボードのセットを変更しますか？"""
Complete2#0,"""Карта событий установлена."""
MethodMessage#0,"""特定のクエストをクリアすることで<br>この先に進むことができます。<br><br>「この先のルートの解放条件」ウィンドウ内の<br> <yellow>[クエスト名]<c> に書かれたクエストをクリアすることで<br>次のピースが解放されます。<br><br>※そのクエストがまだ出現していない場合は、<br>\u3000他にまだクリアしていないクエストを<br>\u3000進めてみてください。"""
MethodOrderMessage#0,"""特定のクライアントオーダーを達成することで<br>この先に進むことができます。<br><br>右上の <yellow>[クライアントオーダー名]<c> に書かれた<br>オーダーを受注して、達成しましょう。<br><br>※そのオーダーがまだ出現していない場合は、<br>\u3000他にまだ達成していないオーダーを<br>\u3000進めてみてください。"""
ClearMessage#0,"""まとめて複数のルートが解放されました。"""
