Category_All#0,"""Всё"""
Key_BaseWearColor2Full#0,"""Цвет Ba 2"""
Key_InnerWearColor1Full#0,"""Цвет In 1"""
Key_InnerWearColor2Full#0,"""Цвет In 2"""
Key_HairColor1Full#0,"""Цвет волос 1"""
Key_HairColor2Full#0,"""Цвет волос 2"""
Key_EyebrowsColorFull#0,"""Цвет бровей"""
Key_EyeLashesColorFull#0,"""Цвет ресниц"""
Key_SetWearColor1Full#0,"""Цвет Se 1"""
Key_SetWearColor2Full#0,"""Цвет Se 2"""
Key_FullsetWearColor1Full#0,"""Цвет полного Se 1"""
Key_FullsetWearColor2Full#0,"""Цвет полного Se 2"""
Key_DefaultColor_Yellow#0,"""<yellow>Цвет по умолчанию<c>"""
Key_EyeColor_Right_Yellow#0,"""<yellow>Цвет правого глаза<c>"""
Key_EyeColor_Left_Yellow#0,"""<yellow>Цвет левого глаза<c>"""
Key_SkinMainColor_Yellow#0,"""<yellow>Цвет кожи<c>"""
Key_SkinSubColor_Yellow#0,"""<yellow>Подтон кожи<c>"""
Key_CastMainColor_Yellow#0,"""<yellow>Основной цвет<c>"""
Key_CastSubColor1_Yellow#0,"""<yellow>Доп. цвет 1<c>"""
Key_CastSubColor2_Yellow#0,"""<yellow>Доп. цвет 2<c>"""
Key_CastSubColor3_Yellow#0,"""<yellow>Доп. цвет 3<c>"""
Key_CostumeColorFull_Yellow#0,"""<yellow>Цвет костюма<c>"""
Key_OuterWearColor1Full_Yellow#0,"""<yellow>Цвет Ou 1<c>"""
Key_OuterWearColor2Full_Yellow#0,"""<yellow>Цвет Ou 2<c>"""
Key_BaseWearColor1Full_Yellow#0,"""<yellow>Цвет Ba 1<c>"""
Key_BaseWearColor2Full_Yellow#0,"""<yellow>Цвет Ba 2<c>"""
Key_InnerWearColor1Full_Yellow#0,"""<yellow>Цвет In 1<c>"""
Key_InnerWearColor2Full_Yellow#0,"""<yellow>Цвет In 2<c>"""
Key_HairColor1Full_Yellow#0,"""<yellow>Цвет волос 1<c>"""
Key_HairColor2Full_Yellow#0,"""<yellow>Цвет волос 2<c>"""
Key_EyebrowsColorFull_Yellow#0,"""<yellow>Цвет бровей<c>"""
Key_EyeLashesColorFull_Yellow#0,"""<yellow>Цвет ресниц<c>"""
Key_SetWearColor1Full_Yellow#0,"""<yellow>Цвет Se 1<c>"""
Key_SetWearColor2Full_Yellow#0,"""<yellow>Цвет Se 2<c>"""
Key_FullsetWearColor1Full_Yellow#0,"""<yellow>Цвет полного Se 1<c>"""
Key_FullsetWearColor2Full_Yellow#0,"""<yellow>Цвет полного Se 2<c>"""
Title_CategoryMenu#0,"""Меню редактирования"""
Operation_CategoryMenu#0,"""Подтвердить: <%Decide>\u3000Отменить: <%Cancel>\u3000Расстояние до камеры: <swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера вверх/вниз:<swguidetype CameraUpDown>\u3000Костюм надеть/снять: <%TabForward>\u3000Отмена: <swguidetype Undo>"""
Key_Category_Preset#0,"""Управление данными создания"""
Help_Category_Preset#0,"""Вы можете сохранять и загружать данные созданных персонажей."""
Key_Category_Face#0,"""Редактирование головы"""
Help_Category_Face#0,"""Можно настроить основные черты, изменив лицо и причёску."""
Key_Category_Body#0,"""Редактирование тела"""
Help_Category_Body#0,"""Можно скорректировать телосложение и цвет кожи, изменив тип тела."""
Key_Category_Fashion#0,"""Редактировать: стиль"""
Help_Category_Fashion#0,"""Можно изменить многослойную одежду и части, а также выбрать аксессуары."""
Key_Category_Other#0,"""Редактировать: прочее"""
Help_Category_Other#0,"""Можног изменить голос."""
Key_Category_CreateData#0,"""Создать данные"""
Help_Category_CreateData#0,"""Можно сохранять и загружать данные создания."""
Key_Category_Test#0,"""Различные тесты"""
Help_Category_Test#0,"""Можно проводить различные тесты связанные с вашим персонажем."""
Operation_Category_Test#0,"""Справочное меню различных тестов. Подтвердить: <%Decide>u3000 Отменить: <%Cancel>"""
Operation_EditItem#0,"""Подтвердить: <%Decide>\u3000Отменить: <%Cancel>\u3000Расстояние до камеры: <swguidetype CameraLength>\u3000Вращение камеры: <swguidetype CameraTurn>\u3000Камера вверх/вниз: <swguidetype CameraUpDown>\u3000Костюм надеть/снять: <%TabForward>\u3000Отменить: <swguidetype Undo>"""
Key_Item_FacePreset#0,"""Простое редактирование"""
Help_Item_FacePreset#0,"""Можете выбрать подготовленное лицо. Также можно изменить посредством морфинга."""
Key_Item_BodyPreset#0,"""Простое редактирование"""
Help_Item_BodyPreset#0,"""Можете изменить подготовленный шаблон формы тела. Также можете изменить посредством морфинга."""
Key_Item_Face#0,"""Лицо"""
Help_Item_Face#0,"""Можете выбрать вид лица. Также можно настроить характерные черты и размещение частей."""
Key_Item_HairAndHeadParts#0,"""Причёска и части головы"""
Help_Item_HairAndHeadParts#0,"""Можете выбрать причёску и части головы. Также можно изменить цвет."""
Key_Item_Neck#0,"""Окружность шеи"""
Help_Item_Neck#0,"""Можете отрегулировать окружность шеи."""
Key_Item_Eye#0,"""Зрачок"""
Help_Item_Eye#0,"""Можете изменить вариант зрачка. Также можно изменить цвет и скорректировать форму глаза."""
Key_Item_EyeDetail#0,"""Глаз"""
Help_Item_EyeDetail#0,"""Можете изменить вариант зрачка. Также можно изменить цвет и скорректировать форму глаза."""
Key_Item_Eyebrows#0,"""Брови"""
Help_Item_Eyebrows#0,"""Можете выбрать вариант бровей. Также можно изменить цвет, отрегулировать положение и густоту."""
Key_Item_Eyelashes#0,"""Ресницы"""
Help_Item_Eyelashes#0,"""Можете выбрать вариант ресниц. Также можно изменить цвет и отрегулировать положение."""
Key_Item_Nose#0,"""Нос"""
Help_Item_Nose#0,"""Можете отрегулировать размер и высоту носа."""
Key_Item_Mouth#0,"""Рот и зубы"""
Key_Item_Teeth#0,"""Зубы и язык"""
Help_Item_Mouth#0,"""Можете отрегулироватиь форму и размер рта. Также можно выбрать вариант зубов."""
Help_Item_Teeth#0,"""Можно настроить зубы и язык."""
Key_Item_EarAndHorn#0,"""Уши и рога"""
Help_Item_EarAndHorn#0,"""Можете выбрать варианты ушей и рогов. Также можно отрегулировать форму и размер."""
Key_Item_MakePattern#0,"""Макияж"""
Help_Item_MakePattern#0,"""Можете выбрать вариант макияжа и краски для лица."""
Key_Item_LineOfSight#0,"""Взгляд"""
Key_Item_BodyTypeSelect#0,"""Выбор типа тела"""
Help_Item_BodyTypeSelect#0,"""Можете выбрать тип тела. Прочие выбираемые части зависят от типа тела."""
Key_Item_ShapeAndBreast#0,"""Форма тела и грудь"""
Help_Item_ShapeAndBreast#0,"""Можете отрегулировать баланс между формой тела и областью груди."""
Key_Item_ArmAndHand#0,"""Плечи, руки и кисти"""
Help_Item_ArmAndHand#0,"""Можете отрегулировать баланс между плечами, руками и кистями рук."""
Key_Item_WaistAndLeg#0,"""Талия и ноги"""
Help_Item_WaistAndLeg#0,"""Можете отрегулировать баланс между талией и ногами."""
Key_Item_Skin#0,"""Кожа"""
Help_Item_Skin#0,"""Можете выбрать вариант кожи. Также можно отрегулировать блеск кожи и мышечную массу."""
Key_Item_BodyPaint#0,"""Рисунок на теле"""
Help_Item_BodyPaint#0,"""Можете выбрать вариант рисунка на теле. Также можно изменить приоритетность отображения."""
Key_Item_MyFashion#0,"""Мой стиль"""
Help_Item_MyFashion#0,"""Можно сохранить и выбрать свой личный стиль. Менять можно только предметы из инвентаря."""
Key_Item_Costume#0,"""Костюм"""
Help_Item_Costume#0,"""Можете выбрать костюм. Также можно изменить цвет."""
Key_Item_Layering#0,"""Послойная одежда"""
Help_Item_Layering#0,"""Можног выбрать нижнюю (In), верхнюю (Ba) и внешнюю (Ou) одежду. Также можно изменить цвет."""
Key_Item_CastParts#0,"""Части CAST'ов"""
Help_Item_CastParts#0,"""Можете выбрать части тела, руки и ноги. Также можно изменить цвет."""
Key_Item_DecorationsSetting#0,"""Настройка отображения украшений"""
Help_Item_DecorationsSetting#0,"""Можно изменить настройки отображения украшений для верхней одежды (Ba), набора одежды (Se) и частей CAST'ов."""
Key_Item_Accessory#0,"""Аксессуары"""
Help_Item_Accessory#0,"""Можете выбрать аксессуары. Также можно отрегулировать положение и наклон."""
Key_Item_Sticker#0,"""Стикер"""
Help_Item_Sticker#0,"""Можете выбрать стикер."""
Key_Item_Voice#0,"""Редактирование голоса"""
Help_Item_Voice#0,"""Можно выбрать голос. Также можно настроить высоту голоса."""
Key_Item_FacialCustom#0,"""Настройка выражения лица"""
Help_Item_FacialCustom#0,"""Можно настроить выражение лица."""
Key_Item_MotionCustom#0,"""Настройка движений"""
Help_Item_MotionCustom#0,"""Можете изменить движения персонажа."""
Key_Item_CreateData_Save#0,"""Сохранение данных"""
Help_Item_CreateData_Save#0,"""Можете сохранить резервные данные (файл резервной копии будет редактирован)"""
Key_Item_CreateData_Load#0,"""Загрузка данных"""
Help_Item_CreateData_Load#0,"""Загрузка сохранённых данных персонажа (отображается до 100 пунктов в установленном порядке)"""
Key_Item_MotionTest#0,"""Тест движений"""
Help_Item_MotionTest#0,"""Можете заставить своего персонажа совершать различные действия."""
Key_Item_LobbyActionTest#0,"""Тест лобби-экшена"""
Help_Item_LobbyActionTest#0,"""Можете заставить своего персонажа выполнить лобби-экшн."""
Key_Item_FieldTest#0,"""Проверка на области"""
Help_Item_FieldTest#0,"""Можете изменить фон на любой другой."""
Key_Item_LightingTest#0,"""Тест света"""
Help_Item_ExpressionTest#0,"""Можете протестировать выражения лица персонажа."""
Key_Item_ExpressionTest#0,"""Тест выражений лица"""
Help_Item_LightingTest#0,"""Можете изменить способ по которому свет попадает на персонажа."""
Key_Item_Random#0,"""Произвольное создание"""
Help_Item_Random#0,"""Случайная генерация персонажа."""
Key_Item_SyncOption#0,"""Автоматическая синхр-я"""
Help_Item_SyncOption#0,"""Настройка автоматической синхронизации типа тела вашего персонажа."""
Key_Item_EditMotionSelect#0,"""Настройка анимаций"""
Help_Item_EditMotionSelect#0,"""Можете изменить анимации во время редактивроания персонажа."""
Key_Item_MotionChange#0,"""Изменение анимации"""
Help_Item_MotionChange#0,"""Можете изменять анимацию, например позы в режиме ожидания или прыжок."""
Key_Item_RunMotionChange#0,"""Анимация бега"""
Help_Item_RunMotionChange#0,"""Можете изменить анимация бега."""
Key_Item_EmoteTypeSelect#0,"""Типы движений"""
Help_Item_EmoteTypeSelect#0,"""Можно изменить тип приоритетности движений для лобби-экшенов."""
Key_Item_EstheOption#0,"""Настройка камеры"""
Help_Item_EstheOption#0,"""Позволяет настроить работу камеры в салоне."""
Key_Item_CreateData_LoadFace#0,"""Считывание данных лица"""
Help_Item_CreateData_LoadFace#0,"""Считывает лицо и создаёт данные. (До 100 элементов в порядке названий) ※Не отображает цвет кожи"""
Key_Item_FaceEditMain_Simple#0,"""Голова"""
Help_Item_FaceEditMain_Simple#0,"""Можете выбрать варианты лица, причёмки, части головы и т.д."""
Key_Item_FaceEditSub_Simple#0,"""Прочее"""
Help_Item_FaceEditSub_Simple#0,"""Можете выбрать уши, зубы, язык, а также цвет волос."""
Key_Item_ArmAndHand_Simple#0,"""Руки"""
Help_Item_ArmAndHand_Simple#0,"""Позволяет отрегулировать баланс между рукой и кистью."""
Key_Item_BodyEditSub_Simple#0,"""Прочее"""
Help_Item_BodyEditSub_Simple#0,"""Можно выбрать рисунок для тела и настроить цвет."""
Key_Item_FaceAndHead_Simple#0,"""Лицо/Голова"""
Help_Item_FaceAndHead_Simple#0,"""Можно выбрать тип лица, причёску, цвет волос и т.д."""
Key_Item_AroundEyes_Simple#0,"""Вокруг глаз"""
Help_Item_AroundEyes_Simple#0,"""Можно выбрать макияж, глаза и ресницы, а также цвет глаз."""
Key_Item_EarHornAndMouth_Simple#0,"""Уши/Рога/Рот"""
Help_Item_EarHornAndMouth_Simple#0,"""Можно выбрать уши, рога, зубы и язык."""
Key_Item_ColorEdit#0,"""Масс управление цветом"""
Help_Item_ColorEdit#0,"""Позволяет устанавливать все изменяемые цвета разом."""
Key_Item_Toon#0,"""Мультяшное отображение"""
Help_Item_Toon#0,"""Настраивает отображение персонажей и их элементов внешнего вида в мультяшном (аниме) стиле."""
Title_SetAccessoryList#0,"""Экипировка аксессуаров"""
Param_SetAccessoryName#0,"""$(0)"""
Label_RemoveAll#0,"""Убрать всё"""
Label_RemoveAll_NoTag#0,"""Убрать всё"""
Label_Cost#0,"""Стоимость """
Label_Search#0,"""Поиск"""
Param_Cost_Now#0,"""$(0)"""
Param_Cost_Max#0,"""$(0)"""
Label_Cost_Slash#0,"""/"""
Title_AccessorySetting#0,"""Регулировка аксессуара"""
Label_AccessoryAttach#0,"""Положение"""
Label_AccessoryColor1#0,"""Настройка цвета 1"""
Label_AccessoryColor2#0,"""Настройка цвета 2"""
Label_AccessoryPosition#0,"""Позиция"""
Label_AccessoryRotation#0,"""Вращение"""
Label_AccessorySize#0,"""Размер"""
Label_SizeSyncMove#0,"""Момент-е измен-е размера"""
Label_X#0,"""X"""
Label_Y#0,"""Y"""
Label_Z#0,"""Z"""
Title_ColorSetting#0,"""Настройка цвета аксессуара"""
Label_ZoneDefault#0,"""По умолчанию"""
Label_ZoneSkin#0,"""Цвет кожи"""
Label_ZoneHair#0,"""Цвет волос"""
Label_ZoneEye#0,"""Цвет глаз"""
Label_ZoneCostume#0,"""Цвет костюма"""
Label_ZoneParts#0,"""Цвет частей"""
Title_AttachSetting#0,"""Выбор положения фиксации"""
Title_NowAttachPoint#0,"""На данный момент: """
Param_NowAttachPoint#0,"""$(0)"""
Sort_Default#0,"""Стандартная"""
Sort_Name#0,"""По имени"""
Sort_Cost#0,"""По стоимости"""
Popup_Select#0,"""Изменить"""
Popup_Select_NoTag#0,"""Изменить"""
Popup_Custom#0,"""Доп. настройки"""
Label_Custom#0,"""Доп. настройки"""
Popup_Copy#0,"""Скопировать"""
Popup_Paste#0,"""Вставить"""
Popup_Remove#0,"""Убрать"""
Popup_Favorite#0,"""Любимое"""
Message_CostOver#0,"""Невозможно расположить из-за превышения стоимости."""
Message_NotCopied#0,"""Источник копирования не установлен."""
Message_CopyFailed#0,"""Не удается скопировать."""
Button_Init#0,"""Сброс настроек"""
Button_Init_NoTag#0,"""Сброс настроек"""
Message_Init#0,"""Настройки сбросятся. Вы уверены?"""
Title_Init#0,"""Подтверждение сброса"""
Message_AllRemove#0,"""Все аксессуары будут убраны.<br>Вы уверены?"""
Title_AllRemoveCheck#0,"""Подтверждение снятия"""
Popup_Hint#0,"""Копирование и вставка аксессуаров"""
Label_Color#0,"""Редактирование цвета"""
Accessory_Coordinate#0,"""（X,Y,Z：$(0),$(1),$(2)）"""
Title_BodyPreset#0,"""Редакт-е шаблона формы тела"""
Label_BodyBaseType#0,"""Базовый тип тела"""
Label_BodyMorphing#0,"""Морфинг тела"""
Label_HeightSlider#0,"""Высота"""
Title_FacialCustom#0,"""Настройка выражений лица"""
Label_TestButton#0,"""Подтв-е выражений лица"""
Label_TestButton_NoTag#0,"""Подтв-е выражений лица"""
Label_Pause#0,"""Пауза"""
Label_DefaultButton#0,"""Сброс по умолчанию"""
Label_DefaultButton_NoTag#0,"""Сброс по умолчанию"""
Label_EyeSize#0,"""Размер радужной оболочки"""
Label_EyebrowUpDown_Right#0,"""Правая бровь: верх/низ"""
Label_EyebrowUpDown_Left#0,"""Левая бровь: верх/низ"""
Label_EyeCornerUpDown#0,"""Угол глаза: верх/низ"""
Label_EyeClose_Right#0,"""Левое веко: верх/низ"""
Label_EyeClose_Left#0,"""Правое веко: верх/низ"""
Label_EyebrowPrompt_Right#0,"""Настроение правой брови"""
Label_EyebrowPrompt_Left#0,"""Настроение левой брови"""
Label_MouthUpDown_Right#0,"""Рот-право: верх/низ"""
Label_MouthUpDown_Left#0,"""Рот-летов: верх/низ"""
Label_Tongue#0,"""Регулировка языка"""
Label_TongueHorizon#0,"""Язык лево/право"""
Label_TongueVertical#0,"""Язык верх/низ"""
Label_MouthForm_A#0,"""Положение рта（А）"""
Label_MouthForm_I#0,"""Положение рта（И）"""
Label_MouthForm_U#0,"""Положение рта（У）"""
Label_MouthForm_E#0,"""Положение рта（Э）"""
Label_MouthForm_O#0,"""Положение рта（О）"""
Label_EyebrowsMood_Right#0,"""Настроение брови（лево）"""
Label_EyebrowsMood_Left#0,"""Настроение брови（право）"""
Title_DefaultCheck#0,"""Подтверждение сброса"""
Message_DefaultCheck#0,"""Желаете установить по умолчанию. Вы уверены?"""
Label_SyncEyelib#0,"""Синхр-я регул-и века верх/низ"""
Label_SyncEyebrowPosition#0,"""Синхр-я регул-и бровей верх/низ"""
Label_SyncEyebrowMood#0,"""Синхр-я настроек настроения бровей"""
Label_SyncMouthShape#0,"""Синхр-я регулировки рта верх/низ"""
Title_HeadPreset#0,"""Редактирование заготовок лица"""
Label_FaceBaseType#0,"""Базовый тип лица"""
Label_FaceMorphing#0,"""Морфинг лица"""
Label_BaseType#0,"""Базовый тип лица $(0) $(1)"""
Label_FaceVariation#0,"""Вариация лица"""
Label_AdjustFaceOutline#0,"""Регулировка контура"""
Label_AdjustFaceParts#0,"""Регулировка частей лица"""
Label_HairAndHeadparts#0,"""Причёска и части головы"""
Label_HairArrange#0,"""Длинна чёлки"""
Label_HairColor#0,"""Настройка цвета волос"""
Label_EyePattern_Right#0,"""Образец правого зрачка"""
Label_EyePattern_Left#0,"""Образец левого зрачка"""
Label_SyncEye#0,"""Синхронизация глаз"""
Label_SyncEyeText#0,"""Синхронизация цвета зрачка"""
Label_EyeColor#0,"""Настройка цвета глаз"""
Label_AdjustEye#0,"""Регулировка глаз"""
Label_Eyebrows#0,"""Выбор бровей"""
Label_SyncEyebrows#0,"""Синхронизация цвета бровей"""
Label_SyncEyebrowsText#0,"""Синхр-я с цветом волос (1)"""
Label_EyebrowsColor#0,"""Настройка цвета бровей"""
Label_EyebrowsAlpha#0,"""Густота бровей"""
Label_EyeLashes#0,"""Выбор ресниц"""
Label_SyncEyeLashes#0,"""Настройки синхронизации цвета ресниц"""
Label_SyncEyeLashesText#0,"""Синхр-я с цветом ресниц (1)"""
Label_EyeLashesColor#0,"""Настройки цвета ресниц"""
Label_AdjustNoseSize#0,"""Регулировка размера носа"""
Label_AdjustNoseHeight#0,"""Регулировка высоты носа"""
Label_Tooth#0,"""Выбор зубов и языка"""
Label_Mouth#0,"""Регулировка рта"""
Label_Ear#0,"""Выбор ушей"""
Label_AdjustEar#0,"""Регулировка формы ушей"""
Label_Horn#0,"""Выбор рогов"""
Label_AdjustHorn#0,"""Регулировка формы рогов"""
Label_MakePattern1#0,"""Выбор рисунка макияжа 1"""
Label_MakePattern2#0,"""Выбор рисунка макияжа 2"""
Label_AdjustLineOfSight#0,"""Регулировка глаз"""
Label_AdjustEyeSize#0,"""Размер зрачков"""
Label_AdjustEyePosition#0,"""Положение зрачка лево/право"""
Label_AdjustNeckAngle#0,"""Регулировка угла шеи"""
Label_AdjustBody#0,"""Регулировка формы тела"""
Label_AdjustNeck#0,"""Регулировка окружности шеи"""
Label_AdjustBust#0,"""Регулировка груди"""
Label_UpperArmMuscle#0,"""Ширина плеч"""
Label_AdjustArm#0,"""Регулировка рук"""
Label_AdjustHand#0,"""Регулировка кисти"""
Label_AdjustWaist#0,"""Регулировка талии"""
Label_AdjustLeg#0,"""Регулировка ног"""
Label_Skin#0,"""Выбор патерна кожи"""
Label_SkinColor#0,"""Настройка цвета кожи"""
Label_SSS#0,"""Сила подцвета кожи"""
Label_SkinGloss#0,"""Регулировка блеска"""
Label_Muscle#0,"""Регулировка мышечной массы"""
Label_BodyPaint1#0,"""Выбор цвета для рисунка на теле 1"""
Label_BodyPaint2#0,"""Выбор цвета для рисунка на теле 2"""
Label_BodyPaintLayer#0,"""Порядок отображения"""
Label_LayerPriority1#0,"""1-й приоритет"""
Label_LayerPriority2#0,"""2-й приоритет"""
Label_LayerPriority3#0,"""3-й приоритет"""
DropdownItem_BodyPaint1#0,"""Рисунок на теле 1"""
DropdownItem_BodyPaint2#0,"""Рисунок на теле 2"""
DropdownItem_Inner#0,"""Внутренняя одежда (In)"""
Label_Costume#0,"""Выбор костюма"""
Label_CostumeColor#0,"""Настройка цвета костюма"""
Label_OuterWear#0,"""Выбор внешней одежды (Ou)"""
Label_OuterWearColor#0,"""Настройка цвета внешней одежды"""
Label_BaseWear#0,"""Выбор Ba/Se одежды"""
Label_BaseWearColor#0,"""Настройка цвета верхней одежды"""
Label_InnerWear#0,"""Выбор внутренней одежды (In)"""
Label_InnerWearColor#0,"""Настройка цвета внутренней одежды"""
Label_BodyParts#0,"""Выбор частей тела"""
Label_ArmParts#0,"""Выбор частей рук"""
Label_LegParts#0,"""Выбор частей ног"""
Label_PartsColor#0,"""Настройка цвета частей"""
Label_PartsColorSync#0,"""Сихронизация цвета"""
Label_Sticker#0,"""Выбор стикера"""
Label_LipPosition#0,"""Положение рта верх/низ"""
Label_EyebrowPosition#0,"""положение бровей лево/право"""
Label_EyeVerticalPosition#0,"""Полож-е радужной обол. верх/низ"""
Label_MakePatternDensity#0,"""Прозрачность макияжа 1"""
Label_MakePatternDensity2#0,"""Прозрачность макияжа 2"""
Label_Shoudler#0,"""Положение плеч верх/низ"""
Label_Thigh#0,"""Регулировка бедра"""
Label_Calf#0,"""Регулировка икр"""
Label_UpperArm#0,"""Регулировка предплечья"""
Label_HandThickness#0,"""Толщина руки"""
Label_FootSize#0,"""Размер стопы"""
Label_SyncHairColor#0,"""Настройки синхронизации цвета волос"""
Label_SyncHairColorText#0,"""Синхронизация 1 и 2 цвета волос"""
Label_SwitchBasewearParts#0,"""Настройка Ba/Se слоя украшений"""
Label_SwitchBasewearPartsText1#0,"""Скрыть Ba/Se слоя урашений (1)"""
Label_SwitchBasewearPartsText2#0,"""Скрыть Ba/Se слоя урашений (2)"""
Label_SwitchCastParts#0,"""Отображение украшений у CAST'ов"""
Label_SwitchHeadPartsHideText#0,"""Скрыть украшения частей головы"""
Label_SwitchBodyPartsHideText#0,"""Скрыть украшения частей тела"""
Label_SwitchArmHideText#0,"""Скрыть украшения частей рук"""
Label_SwitchLegHideText#0,"""Скрыть украшения частей ног"""
Label_SwitchOuterwear#0,"""Отображение украшений внешней (Ou) одежды"""
Label_SwitchOuterHide#0,"""Скрыть украшения внешней (Ou) одежды"""
Label_SwitchHead#0,"""Отображение аксессуаров головы"""
Label_SwitchHeadHide#0,"""Скрыть аксессуары головы"""
Label_SwitchFace#0,"""Декор настройки для отображения вариаций лиц"""
Label_SwitchFaceHide#0,"""Скрыть украшений для вариаций лиц"""
Label_SwitchInner#0,"""Настройка отображения In"""
Label_SwitchInnerHide#0,"""Скрыть In"""
Label_SyncEyelib#1,"""Синхронизация век"""
Label_SyncEyebrow#0,"""Синхронизация формы бровей"""
Label_SyncMouthShape#1,"""Синхронизация рта"""
Label_Detail#0,"""Подробная информация"""
Label_SyncBodyOption#0,"""Настройки автоматической синхронизации формы тела"""
