MissionProgress#0,"""Простая информация о миссии"""
MissionRate#0,"""$(0)%"""
MissionRateMax#0,"""<yellow>Выполнено<c>"""
Missionlist#0,"""Список миссий"""
MissionTimeLimitHead#0,"""Дата обновления"""
MissionDaily#0,"""Ежедневные миссии"""
MissionDailyLimit#0,"""0:00 JST ежедневно"""
MissionWeekly#0,"""Еженедельные миссии"""
MissionWeeklyLimit#0,"""13:00 JST ср."""
MissionTier#0,"""-"""
MissionTierLimit#0,"""-"""
MissionBoardCampaign#0,"""Компания"""
MissionBoardEvent#0,"""Событие"""
MissionBoardDailyWeekly#0,"""Дневное/Недельное"""
MissionBoardTutorial#0,"""Обучение"""
MissionBoardNumber#0,"""($(0))"""
MissionProgressNumber#0,"""$(0)/$(1)"""
MissionProgressComplete#0,"""<%Decide>Получено"""
CategoryMenu_GetAll#0,"""Получить все награды: ($(0))"""
MissionRewardConfirmTitle#0,"""Получение наград"""
MissionRewardConfirmMsg#0,"""Получение предметов в награду.<br>Продолжить?"""
MissionRewardConfirmMsgAll#0,"""Получение всех предметов в награду.<br>Продолжить?"""
MissionRewardConfirmYes#0,"""Да"""
MissionRewardConfirmNo#0,"""Нет"""
MissionRewardConfirm_limited_Title#0,"""Получение наград"""
MissionRewardConfirm_limited_Msg#0,"""Получение наград за миссии.<br>Продолжить?<br><br><yellow>※Вы можете получить эту награду только<br>один раз за аккаунт.<br>Пожалуйста, убедитесь, что вы получите его на нужном корабле.<c>"""
MissionRewardConfirm_limited_Yes#0,"""Да"""
MissionRewardConfirm_limited_No#0,"""Нет"""
MissionRewardConfirm_All_limited_Title#0,"""Получение наград"""
MissionRewardConfirm_All_limited_Msg#0,"""Получение наград за миссии.<br>Продолжить?<br><yellow>※Вы можете получить эту награду только<br>один раз за аккаунт.<br>Пожалуйста, убедитесь, что вы получите его на нужном корабле.<c><br>※Хотели бы вы получить предметы с ограничением на аккаунт сейчас?"""
MissionRewardConfirm_All_limited_Msg_Only#0,"""Получение наград за миссии.<br>Продолжить?<br><br><yellow>※Вы можете получить эту награду только<br>один раз за аккаунт.<br>Пожалуйста, убедитесь, что вы получите его на нужном корабле.<c>"""
MissionRewardConfirm_All_limited_Yes#0,"""Да"""
MissionRewardConfirm_All_limited_No#0,"""Нет"""
MissionReward_Error_Close#0,"""Закрыть"""
MissionReward_Error_Inventorylimit#0,"""Не удалось получить, потому что ваш инвентарь полон, или потому что у вас слишком много предметов в вашем инвентаре."""
MissionReward_Error_limitTime#0,"""Невозможно получить вознаграждение, потому что истек срок получения."""
MissionNoItem#0,"""Нет миссий за которые можно было бы получить награды."""
MissionGetReward_Header#0,"""Награда за миссию получена"""
MissionReward_RewardList_Header#0,"""Список наград"""
MissionReward_RewardList_Issue#0,"""Получены следующие награды:"""
MissionReward_RewardList_Next#0,"""Получить следующее"""
MissionReward_RewardList_Interrupt#0,"""Выкинуть"""
MissionReward_RewardList_Close#0,"""Закрыть"""
MissionNotice_Issue_Header#0,"""<c f0df60>Заказы получены<c>"""
MissionNotice_Issue_Description#0,"""Выполняй задания и получайте награды."""
MissionNotice_Issue_Number#0,"""...+$(0) прочее"""
MissionNotice_Achieve_Header#0,"""Завершено"""
MissionNotice_Achieve_Description#0,"""Получите награды с ARKS миссий"""
MissionNotice_Achieve_Number#0,"""...+$(0) прочее"""
SimpleStatus_NotOpen#0,"""Нет доступных миссий для принятия"""
SimpleStatus_SharedShip#0,"""Не удается подтвердить миссии на общем корабле"""
MissionBoardCategoryMenuDaily#0,"""Ежедневные миссии"""
MissionBoardCategoryMenuWeekly#0,"""Еженедельные миссии"""
MissionBoardCategoryMenuLimited#0,"""Ограниченные по времени"""
MissionBoardCategoryMenuGuidance#0,"""Главные миссии"""
MissionBoardCategoryMenuTier#0,"""-"""
MissionReward_Error_General_Header#0,"""Получение наград"""
MissionReward_Error_General_Msg#0,"""Невозможно получить награды.<br><br>Пожалуйста, попробуйте позже."""
MissionReward_Error_Inventorylimit_Header#0,"""Получение наград"""
MissionReward_Error_Inventorylimit_Msg#0,"""Невозможно получить, потому что ваш инвентарь полон, или потому что у вас слишком много предметов в инвентаре."""
MissionReward_Error_limitTime_Header#0,"""Получение наград"""
MissionReward_Error_limitTime_Msg#0,"""Невозможно получить вознаграждение, потому что истек срок получения."""
MissionTracking_Change_toast#0,"""Переключена миссия для отследивания."""
MissionTracking_Change_error#0,"""Эта миссия не может быть отслежена."""
MissionMenu_ItemDetail_NoItem#0,"""Нет предметов для награды."""
