wh_mainhelp#0,"""はじめに"""
wh_netcafe#0,"""カウンター / ネットカフェカウンター"""
wh_shop#0,"""ショップ / アイテムショップ"""
wh_rabo#0,"""ショップ / アイテムラボ"""
wh_exchange#0,"""ショップ / 交換ショップ"""
wh_recycling#0,"""ショップ / リサイクルショップ"""
wh_shop_simple#0,"""ショップ / 限定ショップ"""
wh_judgment#0,"""ショップ / 鑑定"""
wh_esthetic#0,"""ショップ / エステ"""
wh_funshop#0,"""ショップ / FUNショップ"""
wh_dailyshop_na#0,"""ショップ / おすすめショップ"""
wh_container#0,"""端末 / 倉庫"""
wh_guild_container#0,"""端末 / チーム倉庫"""
wh_partner_terminal#0,"""端末 / パートナー呼び出し端末"""
wh_myroom#0,"""端末 / マイルーム端末"""
wh_team_boost#0,"""端末 / フォトンツリー"""
wh_qu_eternal_terminal#0,"""端末 / エクストリーム端末"""
wh_qu_eternal_floorinfo#0,"""端末 / ステージ情報（エクストリームクエスト）"""
wh_qu_defense_console#0,"""端末 / 採掘基地端末"""
wh_charamake#0,"""Создание персонажа"""
wh_faintingmenu#0,"""Вас убили"""
wh_areamap#0,"""Карта местности"""
wh_keybordhelp#0,"""Справка клавиатуры"""
wh_partner_list#0,"""パートナーリスト"""
wh_supportpartner_menu#0,"""サポートパートナー / メニュー"""
wh_supportpartner_custom#0,"""サポートパートナー / 装備カスタム"""
wh_supportpartner_search#0,"""サポートパートナー / 探索指示"""
wh_craft_top#0,"""クラフト / クラフトメニュー"""
wh_craft_extend#0,"""クラフト / 武装エクステンド"""
wh_craft_tec_custom#0,"""クラフト / テクニックカスタマイズ"""
wh_craft_orders_created#0,"""クラフト / 依頼リスト"""
wh_craft_signboard#0,"""クラフト / 看板設定"""
wh_craft_visifon_top#0,"""クラフト / クラフト情報"""
wh_craft_search#0,"""クラフト / クラフター検索"""
wh_craft_user_order#0,"""クラフト / 他のプレイヤーへの発注"""
wh_craft_card_recipe#0,"""クラフト / データドライブを更新"""
wh_craft_card_create#0,"""クラフト / 時限能力データ作成"""
wh_shipbattle_goods#0,"""アークスシップ対抗戦 / 賞品ショップ"""
wh_shipbattle_mainmenu#0,"""クエスト / アークスシップ対抗戦"""
wh_shipbattle_reward#0,"""アークスシップ対抗戦 / 最終順位報酬"""
wh_shipbattle_points#0,"""アークスシップ対抗戦 / 累計勝ち点"""
wh_shipbattle_roundinfo#0,"""アークスシップ対抗戦 / ラウンド情報"""
wh_eventchronicle#0,"""イベントクロニクル"""
wh_accountlinkage_na#0,"""アカウント連携"""
wh_tl_co_011014_v#0,"""Телепайпы"""
wh_tl_co_011020_v#0,"""『戦闘不能』について"""
wh_tl_co_011021_v#0,"""『状態異常』について"""
wh_tl_co_011024_v#0,"""『ロックオン』について"""
wh_tl_co_011025_v#0,"""Just Attack'и"""
wh_tl_co_011064_v#0,"""『フォトンアーツ／テクニックディスク』について"""
wh_tl_co_011169_v#0,"""Зона Врат"""
wh_tl_co_011170_v#0,"""『ショップエリア』について"""
wh_tl_co_011187_v#0,"""Челнок"""
wh_tl_co_011190_v#0,"""Клиентские заказы"""
wh_tl_co_011196_v#0,"""Карта событий"""
wh_tl_co_011201_v#0,"""Команды"""
wh_tl_co_011215_v#0,"""Телепайпы"""
wh_tl_co_011221_v#0,"""『エクスキューブ』について"""
wh_tl_co_011224_v#0,"""Адванц квесты"""
wh_tl_co_011230_v#0,"""Управление персонажем"""
wh_tl_co_011231_v#0,"""『AC（アークスキャッシュ）』について"""
wh_tl_co_011232_v#0,"""『マップの表示切り替え』について"""
wh_tl_co_011233_v#0,"""『注目操作』について"""
wh_tl_co_011234_v#0,"""『スクリーンショットの撮影方法』について"""
wh_tl_co_011235_v#0,"""『プレイヤータッチ』について"""
wh_tl_co_011237_v#0,"""『トロフィー機能』について"""
wh_tl_co_011238_v#0,"""『チャットの始め方』について"""
wh_tl_co_011240_v#0,"""『操作設定』について"""
wh_tl_co_011242_v#0,"""『専用ブロック』と『共用ブロック』について"""
wh_tl_co_011243_v#0,"""Подтверждение входа"""
wh_tl_co_011244_v#0,"""『キャラクターポートレート機能』について"""
wh_tl_co_011245_v#0,"""『トロ』と『クロ』について"""
wh_tl_co_011254_v#0,"""『エクストリームクエスト』について"""
wh_tl_co_011256_v#0,"""Этапы экстрим-квестов"""
wh_tl_co_011257_v#0,"""『エクストリームクエスト』仮想アイテムについて"""
wh_tl_co_011258_v#0,"""Срочные испытания во время экстрим квестов"""
wh_tl_co_011259_v#0,"""『マターボードの進行とロビーの変化』について"""
wh_tl_co_011261_v#0,"""Карта бинго ARKS"""
wh_tl_co_012017_v#0,"""Смена оружия"""
wh_tl_co_021262_v#0,"""О Пути ARKS"""
wh_tl_co_021279_v#0,"""『サポートパートナー』について"""
wh_tl_co_021280_v#0,"""Управление партнёрами поддержки"""
wh_tl_co_021281_v#0,"""Тренировка защиты базы"""
wh_tl_co_021282_v#0,"""『採掘基地防衛戦：絶望』について"""
wh_tl_co_021285_v#0,"""Крафт"""
wh_tl_co_021287_v#0,"""『採掘基地防衛戦：侵入』について"""
wh_tl_mp_000239_v#0,"""『パーティーエリア』について"""
wh_tl_mp_000245_v#0,"""『PSE』について"""
wh_tl_np_010490_v#0,"""『Ежедневные заказы』"""
wh_tl_np_011041_v#0,"""『アークスシップ対抗戦』について"""
end#0,"""END"""
wh_pet#0,"""アイテムパック / ペット"""
wh_equip_note_menu#0,"""アイテムパック / コレクトファイル"""
wh_equip_accessory#0,"""装備 / アクセサリー変更"""
wh_pollute_form_list#0,"""装備 / ダークブラスト"""
wh_pollute_skill_list#0,"""装備 / ダークブラストスキル"""
wh_equip_fashion#0,"""装備 / ファッション編集"""
wh_fashioncat#0,"""装備 / コーデカタログ"""
wh_fashioncat_ranking#0,"""装備 / みんなのコーデを見る"""
wh_fashioncat_search#0,"""装備 / みんなのコーデから検索"""
wh_fashioncat_register#0,"""装備 / 自分のコーデを登録"""
wh_fashioncat_confirm#0,"""装備 / 登録中のコーデを確認"""
wh_fashioncat_profile#0,"""装備 / コーデ情報"""
wh_favfashion#0,"""装備 / ブックマーク"""
wh_storyboard_questrank#0,"""クエスト / ストーリークエストの難易度"""
wh_arksleague#0,"""クエスト / アークスリーグ"""
wh_recommend#0,"""クエスト / おすすめクエスト"""
wh_campaignquest#0,"""クエスト / キャンペーンクエスト"""
wh_missionboard#0,"""クエスト / アークスミッション"""
wh_missionpass#0,"""クエスト / ミッションパス"""
wh_sgemshop#0,"""ACメニュー / SGショップ"""
wh_sgshop#0,"""ACメニュー / スタージェム購入"""
wh_sirius_pointshop#0,"""ビジフォン / イドラポイント交換"""
wh_myset#0,"""カウンター / マイセット"""
wh_team_shop#0,"""カウンター / チーム専用ショップ"""
wh_equip_note#0,"""カウンター / コレクトファイル"""
wh_battle_counter#0,"""カウンター / バトルカウンター"""
wh_petrabo#0,"""ショップ / ペットラボ"""
wh_challengemile_shop#0,"""ショップ / チャレンジマイル交換ショップ"""
wh_treasure_shop#0,"""ショップ / トレジャーショップ"""
wh_challenge_ranking#0,"""端末 / チャレンジランキング"""
wh_arena_ranking#0,"""端末 / バトルランキング"""
wh_stylecounter#0,"""端末 / スタイルカウンター"""
wh_craft_pa_custom#0,"""クラフト / PAカスタマイズ"""
wh_am_trade_n#0,"""カジノ / 通常景品と交換"""
wh_am_trade_p#0,"""カジノ / 限定景品と交換"""
wh_battlecoin_shop#0,"""ショップ / バトルコイン交換ショップ"""
wh_questcounter_mltpt#0,"""カウンター / クエストカウンター"""
wh_mltpt_supplement#0,"""カウンター / 複数ブロックマッチング"""
wh_tl_co_021283_v#0,"""『PSO2es』との連動について"""
wh_tl_co_031373_v#0,"""Зона казино"""
wh_tl_co_031374_v#0,"""『オーダーアイテム』について"""
wh_tl_co_031376_v#0,"""Обмен на призы и ограничение CC"""
wh_tl_co_031381_v#0,"""『フォトンツリー』について"""
wh_tl_co_031382_v#0,"""Слияние команд"""
wh_tl_co_030003_v#0,"""『エピソード１＆２への戻り方』について"""
wh_tl_co_031391_v#0,"""Хроника событий"""
wh_tl_co_031396_v#0,"""Триггеры врагов"""
wh_tl_co_030012_v#0,"""Ультимейт квесты"""
wh_tl_co_031403_v#0,"""Враги ультимейт квестов"""
wh_tl_co_031406_v#0,"""Челлендж блоки"""
wh_tl_co_031407_v#0,"""Челендж квесты"""
wh_tl_co_031408_v#0,"""Общий корабль"""
wh_tl_co_031411_v#0,"""『アイテムの受け渡し』について"""
wh_tl_co_031404_v#0,"""Пришествие Аннигилятора"""
wh_tl_co_031410_v#0,"""Очищение Аннигиляторов"""
wh_tl_co_031409_v#0,"""『改良型A.I.S』について"""
wh_tl_co_031414_v#0,"""Маркер группы"""
wh_tl_co_031416_v#0,"""Открытые группы"""
wh_tl_co_031417_v#0,"""Уровень дружбы с партнёром"""
wh_tl_co_031418_v#0,"""『アドバンスリスクアップ』について"""
wh_tl_co_031419_v#0,"""ARKS-бол"""
wh_tl_co_031421_v#0,"""『オートドール』について"""
wh_tl_co_031422_v#0,"""『サポートパートナーのサブクラス』について"""
wh_tl_co_031424_v#0,"""SP авто-действие Mag'а"""
wh_tl_co_031426_v#0,"""Система поддержки A.R.K.S."""
wh_tl_co_031427_v#0,"""Телепайпы за Очки Квеста"""
wh_tl_co_031428_v#0,"""『アークスGP2016予選』について"""
wh_tl_co_031429_v#0,"""『クラスセット端末』について"""
wh_tl_co_031433_v#0,"""『クラスブースト』について"""
wh_tl_co_031435_v#0,"""『採掘基地防衛戦：終焉』について"""
wh_tl_co_031437_v#0,"""『独極訓練』について"""
wh_tl_co_031439_v#0,"""Усиления оружий за титулы"""
wh_tl_co_040000_v#0,"""『ダッシュパネル』について"""
wh_tl_co_040003_v#0,"""Магазин ценностей"""
wh_tl_co_040007_v#0,"""Поднятие уровня питомца"""
wh_tl_co_040008_v#0,"""Что есть \""Коробка сладостей\"""""
wh_tl_co_040009_v#0,"""Достижение питомцем предела 100 уровня"""
wh_tl_co_040010_v#0,"""Лаборатория питомцев"""
wh_tl_co_040017_v#0,"""Местоположение врагов"""
wh_tl_co_040018_v#0,"""Триггер квесты"""
wh_tl_co_040021_v#0,"""Режим Эп.1-Эп.3 и Эп.4-Эп.5"""
wh_tl_co_040022_v#0,"""Что лучше всего использовать питомцам"""
wh_tl_co_040023_v#0,"""『ストーリーボード』について"""
wh_tl_co_040026_v#0,"""Как призывать питомцев"""
wh_tl_co_040011_v#0,"""Командный мостик"""
wh_tl_co_040080_v#0,"""Кольца умений"""
wh_tl_co_040081_v#0,"""Усиление колец умений"""
wh_tl_co_040082_v#0,"""Информация о добыче"""
wh_tl_co_040083_v#0,"""Блюда добычи"""
wh_tl_co_040084_v#0,"""Комбо и лихорадка (Fever)"""
wh_tl_co_040085_v#0,"""Достижения и уровни"""
wh_tl_co_040091_v#0,"""Ограничение атрибута питомца"""
wh_tl_co_040050_v#0,"""『※※※※』について"""
wh_tl_co_040049_v#0,"""Тренировочные квесты"""
wh_tl_co_040051_v#0,"""『ライディングクエスト』について【応用編】"""
wh_tl_co_040052_v#0,"""『ライディングクエスト』について【基本編】"""
wh_tl_co_040053_v#0,"""『ライドロイド』について"""
wh_tl_co_011015_v#0,"""Step Attack'и"""
wh_tl_od_010409037_v#0,"""『ジャストガード』について"""
wh_tl_od_010424211_v#0,"""『チェイン』について"""
wh_tl_co_011022_v#0,"""Палитра оружия"""
wh_tl_co_011023_v#0,"""Вспомогательная палитра"""
wh_tl_co_011026_v#0,"""Слабые точки"""
wh_tl_od_010100201_v#0,"""Mag'и"""
wh_tl_co_011029_v#0,"""『フォトンブラスト』について"""
wh_tl_od_010200092_v#0,"""Вид из за плеча"""
wh_tl_od_010409211_v#0,"""『ムービングショット』について"""
wh_tl_od_010409221_v#0,"""『ウィークバレット』について"""
wh_tl_od_010409227_v#0,"""『トラップ』について"""
wh_tl_co_012012_v#0,"""Заряженные техники"""
wh_tl_co_011038_v#0,"""Мечи"""
wh_tl_co_011040_v#0,"""Цепные лэнсы"""
wh_tl_co_011042_v#0,"""『パルチザン』について"""
wh_tl_od_010200061_v#0,"""『ツインダガー』について"""
wh_tl_od_010200071_v#0,"""『ダブルセイバー』について"""
wh_tl_od_010200051_v#0,"""『ナックル』について"""
wh_tl_co_011050_v#0,"""『ガンスラッシュ』について"""
wh_tl_co_011052_v#0,"""Штурмовые винтовки"""
wh_tl_co_011054_v#0,"""『ランチャー』について"""
wh_tl_od_010200131_v#0,"""『ツインマシンガン』について"""
wh_tl_co_011058_v#0,"""『ロッド』について"""
wh_tl_co_011060_v#0,"""『タリス』について"""
wh_tl_od_010200181_v#0,"""『ウォンド』について"""
wh_tl_od_010200251_v#0,"""Заточка OT оружия"""
wh_tl_od_010200261_v#0,"""Заточка атрибута у OT оружия"""
wh_tl_od_010200271_v#0,"""Добавление особой способности"""
wh_tl_co_011120_v#0,"""S-ATK, R-ATK и T-ATK"""
wh_tl_co_011122_v#0,"""Атрибуты"""
wh_tl_co_011139_v#0,"""Когда инвентарь заполнен"""
wh_tl_co_011141_v#0,"""Окна помощи"""
wh_tl_co_011160_v#0,"""Ваша комната"""
wh_tl_co_011171_v#0,"""『クエストポイント』について"""
wh_tl_co_011202_v#0,"""Расширения команды"""
wh_tl_mb_000005_v#0,"""『マターボードのイベント』について"""
wh_tl_od_010102207_v#0,"""『サブクラス』について"""
wh_tl_od_010303007_v#0,"""Персонажи партнёры"""
wh_tl_od_010100522_v#0,"""『防具』について"""
wh_tl_od_010200471_v#0,"""Карта ARKS"""
wh_tl_co_011260_v#0,"""『マターボードの進め方』について"""
wh_tl_od_020387001_v#0,"""Катаны"""
wh_tl_od_020387061_v#0,"""Луки"""
wh_tl_od_020387007_v#0,"""『カタナギア』について"""
wh_tl_od_010200201_v#0,"""Очки умений (SP)"""
wh_tl_od_010200391_v#0,"""『メディカルセンター』について"""
wh_tl_od_010200381_v#0,"""Good Job'ы"""
wh_tl_co_011028_v#0,"""『マグの装備の仕方』について"""
wh_tl_co_011071_v#0,"""Как давать Mag'у предметы"""
wh_tl_od_010200441_v#0,"""Автотекст"""
wh_tl_od_020391001_v#0,"""Just Attack'и"""
wh_tl_od_020391061_v#0,"""『パーティー編成』について"""
wh_tl_od_030710001_v#0,"""Реактивные ботинки"""
wh_tl_od_030720001_v#0,"""Парные клинки"""
wh_tl_od_030710007_v#0,"""Gear реактивных ботинков"""
wh_tl_od_030720007_v#0,"""『デュアルブレードギア』について"""
wh_tl_co_031399_v#0,"""\""Pyroxene\"" и \""Spellstones\"""""
wh_tl_od_030730007_v#0,"""『複合テクニック』について"""
wh_tl_co_040020_v#0,"""Ближайшие персонажи"""
wh_tl_co_040046_v#0,"""Коллекция файлов"""
wh_tl_np_013442_v#0,"""『アークスリーグ』について"""
wh_tl_co_040027_v#0,"""Добавление умений юнитам"""
wh_tl_co_040120_v#0,"""Повышение уровня до 80"""
wh_tl_co_040090_v#0,"""OT и NT оружия"""
wh_tl_co_040092_v#0,"""『新世武器の強化』について"""
wh_tl_co_040093_v#0,"""Разблокировка потенциала у NT оружия"""
wh_tl_co_040094_v#0,"""Заточка атрибута у NT оружия"""
wh_tl_co_040095_v#0,"""Пробите ограничения на заточку"""
wh_tl_co_040096_v#0,"""Фактор особой способности"""
wh_tl_co_040035_v#0,"""『おすすめクエスト』について"""
wh_tl_co_040036_v#0,"""Бонусные квесты"""
wh_tl_co_040088_v#0,"""『幻創大和撃退に使用するＡ.Ｉ.Ｓ』について"""
wh_tl_co_040107_v#0,"""О раидроидах в квесте 'Гонка за Фантом Матерью'"""
wh_tl_co_040122_v#0,"""Правила боя за эмблемы"""
wh_tl_co_050002_v#0,"""Продвижение сюжете 5-го эпизода"""
wh_tl_co_050003_v#0,"""Смена эпизода"""
wh_tl_co_050012_v#0,"""Смена эпизода"""
wh_tl_mp_0005081_v#0,"""『バスタークエスト』について"""
wh_tl_mp_0005082_v#0,"""『フェイズ』について"""
wh_tl_mp_0005083_v#0,"""『シエラの支援』について"""
wh_tl_mp_0005084_v#0,"""『魔神兵器と魔神城の攻撃』について"""
wh_tl_mp_0005085_v#0,"""『アークス兵器』について"""
wh_tl_mp_0005086_v#0,"""『兵器セットの選択』について"""
wh_tl_co_050035_v#0,"""Dark Blast'ы"""
wh_tl_co_050037_v#0,"""Трансформация Dark Blast"""
wh_tl_co_050038_v#0,"""Умения и навыки Dark Blast"""
wh_tl_co_050039_v#0,"""『パニッシュメントナックル』について"""
wh_tl_co_050040_v#0,"""『ダークネスウォール』について"""
wh_tl_co_050041_v#0,"""『アルティメットインパクト』について"""
wh_tl_co_012004_v#0,"""Восстановление HP"""
wh_tl_co_031385_v#0,"""Очки умений (SP)"""
wh_tl_co_011203_v#0,"""Клиентские заказы команды"""
wh_tl_co_011188_v#0,"""Телепорт"""
wh_tl_od_010190017_v#0,"""『エネミーの攻撃属性』について"""
wh_tl_od_010100517_v#0,"""Сила атаки противника"""
wh_tl_od_010190037_v#0,"""『エネミーの部位破壊』について"""
wh_tl_co_040144_v#0,"""Делитесь своим стилем"""
wh_tl_co_050063_v#0,"""Регистрация анкеты и набор членов"""
wh_tl_co_050072_v#0,"""S-классовые особые способности"""
wh_tl_co_050074_v#0,"""Разблокировка квестов новых областей"""
wh_tl_co_057003_v#0,"""Бесконечный квест"""
wh_tl_co_050085_v#0,"""Форма Элдера"""
wh_tl_co_050086_v#0,"""Форма Лузера"""
wh_tl_co_050087_v#0,"""Повышение уровня до 90"""
wh_tl_co_050091#0,"""Аура Dark Blast"""
wh_tl_co_050096_v#0,"""Форма Аппрентис"""
wh_tl_co_051730_v#0,"""『深遠より出ずる狂気の仮面(仮』について"""
wh_tl_co_050104_v#0,"""Форма Дабла"""
wh_tl_co_058011_v#0,"""Обзор местности: Осколки других миров"""
wh_tl_co_050106_v#0,"""Изменение формы оружия"""
wh_tl_co_050114_v#0,"""Создание 15★ оружия Lightstream Xion"""
wh_tl_co_050113_v#0,"""Создание 15★ оружия Atlas EX"""
wh_tl_co_050112_v#0,"""Создание оружия 15★ Austere-NT"""
wh_tl_co_060010_v#0,"""Классы-преемники"""
wh_tl_co_060003_v#0,"""Свободные Исследования Ультра сложности"""
wh_tl_co_060011_v#0,"""Щит врага"""
wh_tl_co_060014_v#0,"""Армада Конца"""
wh_tl_co_061765_v#0,"""『A.I.Sヴェガ』について"""
wh_tl_co_060017_v#0,"""Комплексные Фотон Арты"""
wh_tl_co_060023_v#0,"""ПнК: Большой враг на боевом корабле"""
wh_tl_co_060035_v#0,"""＊＊＊"""
wh_tl_co_060021_v#0,"""13★ юниты"""
wh_tl_co_060047_v#0,"""О [Квестах разделения]"""
wh_tl_co_060048_v#0,"""Об этом квесте"""
wh_tl_co_060049_v#0,"""Награда за все очки"""
wh_tl_co_060050_v#0,"""Этап: Боевой манёвр"""
wh_tl_co_060051_v#0,"""Этап: Заправка в бою"""
wh_tl_co_060052_v#0,"""Этап: Бой на истребление"""
wh_tl_co_060053_v#0,"""Этап: Карательная экспедиция"""
wh_tl_co_060065#0,"""Последний бой: Меж пространством и временем"""
unknown#0,"""Неизвестно"""
base_system#0,"""Основы / Базовые системы"""
area_map#0,"""Корабль / Блок / Лобби / Ваша комната"""
area_casino#0,"""Зона казино"""
team#0,"""Комната"""
equip_wepon_type#0,"""Категории оружия и юнитов"""
equip_forge#0,"""Улучшение снаряжения / Коллекции"""
equip_pyroxene#0,"""Excube / Прочее"""
equip_skill_ring#0,"""Кольца умений"""
skill_class#0,"""Основы боя / Классовые умения"""
dark_blast#0,"""Dark Blast'ы"""
sub_partner#0,"""Партнёр поддержки"""
sub_mag_pet#0,"""Mag'и / Питомцы"""
story_arks_road#0,"""Путь ARKS"""
story_matter_board#0,"""Карта событий"""
story_event#0,"""Хроника событий"""
clientorder#0,"""Частные заказы"""
event_content#0,"""Временные события"""
quest_basic#0,"""Подготовка к квесту"""
quest_party#0,"""Группа"""
quest_permanent#0,"""Постоянные квесты"""
quest_emergency#0,"""Срочные квесты"""
quest_divide#0,"""Квесты разделения"""
quest_bastar#0,"""Бастер квесты"""
gathering#0,"""Сбор"""
enemy#0,"""Враги"""
cordecatalog#0,"""Каталог стиля"""
datanum#0,"""$(0)"""
