Title#0,"""Настройки"""
CommuTextTeamChat#0,"""Настройки облака чата команды"""
CommuTextLoginCall#0,"""Разрешить уведомления о входе друзей в игру"""
CommuTextLogWindow#0,"""Настройка обновления окна входа"""
CommuTextSymbolArt#0,"""Настройки Символ Артов"""
CommuTextCharaName#0,"""Отображение имени для чата команды/шёпота"""
CommuTextChatColor#0,"""Делает цвет окна соответствующим каналу чата, в котором было отправлено сообщение"""
CommuTextBattleImpossibleNotification#0,"""Иконки персонажей, выведенных из строя"""
CommuTextMyBattleImpossibleNotification#0,"""Ваша иконка, выведенного из строя персонажа"""
CommuRadioTeamChatAll#0,"""Показать все"""
CommuRadioTeamChatArea#0,"""Только в этой местности"""
CommuRadioTeamChatNone#0,"""Нет"""
CommuTabCustomCheckPublic#0,"""Публичный чат"""
CommuTabCustomCheckParty#0,"""Группа"""
CommuTabCustomCheckGuild#0,"""Команда"""
CommuTabCustomCheckReply#0,"""Шёпот"""
CommuTabCustomCheckSystem#0,"""Система"""
CommuTabCustomCheckNpc#0,"""キャラクター"""
CommuRadioLogWindowUp#0,"""Показывать новое сверху"""
CommuRadioLogWindowDown#0,"""Показывать новое снизу"""
CommuRadioLogChatColorOff#0,"""Не использовать цвет канала"""
CommuRadioLogChatColorOn#0,"""Использовать цвет канала"""
CommuHintMailQuote#0,"""Определяет цитирование писем в ответах."""
CommuHintShowUI#0,"""Определяет показ интерфейса <br>(включая окна) в скриншотах."""
CommuHintEnableAutoword#0,"""Если вы установите для авто-слов, <br>режим \""Отключены\"", то это<br>предотвратит их срабатывание."""
CommuHintDirectChat#0,"""Если включить, то все клавиши клавиатуры<br>могут быть использованы только для чата.<br>※[Блокировка прокрутки] может переключать это в любой момент."""
CommuHintCustomTab#0,"""Определяет контент, отображаемый в окне чата во вкладке \""Показать все"""
CommuHintShowLogAutoword#0,"""Определяет отображение авто-слов в окне чата."""
CommuHintDisableScrollLock#0,"""Отключает возможность использования [Блокировка прокрутки] для переключения прямого чата.<br><br>Если прямой чат не работает как положено, попробуйте включить<br>эту настройку. Это может исправить ошибку."""
CommuHintTeamChat#0,"""Определяет условия отображения<br>чата команды."""
CommuHintShowSymbolArt#0,"""Определяет скрывать или нет символ арты."""
CommuHintLoginCall#0,"""Когда вы войдёте в игру,<br>друзьям будет отправлено Уведомление о входе."""
CommuHintChatColor#0,"""Устанавливает цвет фона сообщений,<br>в соответствии с каналом чата."""
CommuHintBattleImpossible#0,"""Определяет отображение индикаторов<br>выведенных из строя персонажей.<br>Не влияет на Партнёров."""
CommuHintMyBattleImpossible#0,"""Определяет будут ли другие игроки видеть<br>индикатор, если вы будете выведены из строя.<br>Если у игрока этот пункт отключён,<br>то индикатор не отобразится у вас."""
CommuRadioIDName#0,"""Имя Player ID"""
CommuRadioCharaName#0,"""Имя персонажа"""
CommuHintWhisperIDName#0,"""Определяет показывать Player ID или имя персонажа в чате команды и шёпоте."""
ConfirmTitleWindowInit#0,"""Подтвердить сброс окон"""
ConfirmMessageWindowInit#0,"""Это вернёт все окна к их изначальным позициям и размерам.<br>Вы уверены?"""
ConfirmMessageWindowInitEnd#0,"""Все окна возвращены к изначальным настройкам."""
WindowTitleInitText#0,"""Сброс позиций окон"""
WindowInitHint#0,"""Это сбросит размер и расположение всех окон."""
WindowRadioButtonInitText#0,"""Сбросить окна к изначальным позициям и размерам"""
EstheTitleText#0,"""Отображение аксессуаров"""
EstheTitleTextShapeSync#0,"""Настройки физики в редакторе"""
EstheMessageShapeSync#0,"""Человеческие детали и детали CAST'а по-умолчанию редактируются одновременно.<br>Если хотите редактировать их отдельно, выберите \""Редактировать отдельно\"".<br>(Влияет только на внешний вид)"""
EstheHint#0,"""Вы можете установить тип окон в редакторе персонажа."""
EstheHintShapeSync#0,"""Человеческие тело и тело CAST'а по-умолчанию редактируются одновременно.<br>Если хотите редактировать их отдельно, выберите \""Редактировать отдельно\"".<br>(Влияет только на внешний вид)"""
EstheRadioButtonText1#0,"""Маленькое окно, отображающее все аксессуары"""
EstheRadioButtonText2#0,"""Большое окно с вкладками"""
EstheRadioButtonShapeSync1#0,"""Физика в реальном времени"""
EstheRadioButtonShapeSync2#0,"""Дискретная физика"""
ShootTextFileType#0,"""Формат скриншота"""
ShootTextShowUI#0,"""Показать интерфейс на скриншотах"""
ShootHintFileType#0,"""Формат сохранения скриншотов."""
ShootHintShowUI#0,"""Определяет показ интерфейса <br>(включая окна) в скриншотах."""
DrawFuncTextLightEffect#0,"""Динамическое освещение"""
DrawFuncTextLightGeoGraphy#0,"""Ландшафтное освещение"""
DrawFuncTextBloom#0,"""Свечение(Bloom)"""
DrawFuncTextDepth#0,"""Глубина резкости(DOF)"""
DrawFuncTextLightShaft#0,"""Объёмное освещение"""
DrawFuncTextBlur#0,"""Размытие"""
DrawFuncTextAntiAliasing#0,"""Сглаживание"""
DrawFuncTextSoftParticle#0,"""Мягкие частицы"""
DrawFuncTextAmbientOcclusion#0,"""Непрямое затенение объектов (Ambient Occlusion)"""
DrawFuncTextLimbDarkening#0,"""Затемнение краёв"""
DrawFuncTextCameraLight#0,"""Освещение камеры"""
DrawFuncTextColorTone#0,"""Кривая цветокоррекции"""
DrawFuncTextEdgeLight#0,"""Освещение на краях"""
DrawFuncTextEffectDraw#0,"""Уменьшение яркости эффектов"""
DrawFuncTextResolution#0,"""Настройка динамического разрешения"""
DrawFuncHintLightEffect#0,"""Включает или отключает динамическое освещение.<br>Отключение заметно повысит производительность."""
DrawFuncHintLightGeoGraphy#0,"""Включает или отключает освещение ландшафта.<br>Отключение заметно повысит производительность."""
DrawFuncHintBloom#0,"""Включает или отключает эффекты<br>при показе ярких объектов.<br>Отключение заметно повысит производительность."""
DrawFuncHintDepth#0,"""Симулирует фокусировку камеры, размытие отдалённых объектов.<br>Отключение заметно повысит производительность."""
DrawFuncHintLightShaft#0,"""Включает или отключает показ лучей света.<br>Отключение заметно повысит производительность."""
DrawFuncHintBlur#0,"""Включает или отключает эффект размытия.<br>Отключение заметно повысит производительность."""
DrawFuncHintAntiAliasing#0,"""Включает или отключает сглаживание.<br>Отключение заметно повысит производительность."""
DrawFuncHintSoftParticle#0,"""Включает или отключает мягкие частицы эффектов.<br>Отключение заметно повысит производительность."""
DrawFuncHintAmbientOcclusion#0,"""Позволяет падать теням от краёв.<br>Включено, когда качество графики установлено на 6.<br>Отключение заметно повысит производительность."""
DrawFuncHintLimbDarkening#0,"""Затемняет края экрана.<br>Включено, когда качество графики установлено на 6.<br>Отключение заметно повысит производительность."""
DrawFuncHintCameraLight#0,"""Устанавливает объем света, излучаемого камерой, что влияет на яркость картинки.<br>Установка значения 0 заметно повысит производительность."""
DrawFuncHintColorTone#0,"""Настраивает яркость, контраст и цветофильтр индивидуально для каждой локации.<br>Включено, когда качество графики установлено на 6.<br>Отключение заметно повысит производительность."""
DrawFuncHintEdgeLight#0,"""Настраивает количество света, падающего на края объектов.<br>Включено, когда качество графики установлено на 6.<br>Отключение заметно повысит производительность."""
DrawFuncHintEffectDraw#0,"""Настраивает яркость определённых эффектов.<br>Установка на \""Уменьшенная\"" сделает их тускней."""
DrawFuncHintResolution#0,"""Позволяет разрешению рендеринга автоматически уменьшаться для сохранения плавной частоты смены кадров.<br>Отключение позволит частоте смены кадров уменьшаться во время высоких нагрузок."""
DrawFuncButtonOn#0,"""Вкл"""
DrawFuncButtonOff#0,"""Выкл"""
DrawFuncButtonOn_Effect#0,"""Обычная"""
DrawFuncButtonOff_Effect#0,"""Уменьшенная"""
DrawDisplayTextDetailModelNum#0,"""Количество детализированных моделей"""
DrawDisplayTextReflectionQuality#0,"""Качество отражений"""
DrawDisplayTextShadowQuality#0,"""Качество теней"""
DrawDisplayTextScreenBrightness#0,"""Яркость экрана"""
DrawDisplayTextPBNum#0,"""Количество отображаемых Фотон Бластов"""
DrawDisplayHintDetailModelNum#0,"""Определяет сколько персонажей игроков будут отображаться<br>в полной детализации, например, с показом снаряжения.<br>Уменьшение количества повысит производительность."""
DrawDisplayHintReflectionQuality#0,"""Определяет качество отражений.<br>Уменьшение количества повысит производительность."""
DrawDisplayHintShadowQuality#0,"""Определяет качество теней.<br>Уменьшение количества повысит производительность."""
DrawDisplayHintScreenBrightness#0,"""Устанавливает яркость экрана.<br>Уменьшение количества уменьшит яркость экрана."""
DrawDisplayHintPBNum#0,"""Определяет количество отображаемых Фотон Бластов.<br>Отображение меньшего количества повышает производительность."""
SndVolumeTextBgm#0,"""Громкость музыки"""
SndVolumeTextSe#0,"""Громкость звуков"""
SndVolumeTextVoice#0,"""Громкость голоса"""
SndVolumeTextMovie#0,"""Громкость внутри-игровых роликов"""
SndVolumeHintBgm#0,"""Устанавливает громкость музыки."""
SndVolumeHintSe#0,"""Устанавливает громкость звуков."""
SndVolumeHintVoice#0,"""Устанавливает громкость голосов."""
SndVolumeHintMovie#0,"""Устанавливает громкость внутри-игровых роликов<br>на мониторах ARKS, установленных в лобби."""
SndPlayTextSurround#0,"""Объёмный звук"""
SndPlayTextGlobalFocus#0,"""Звук при неактивном окне"""
SndPlayButtonOn#0,"""Вкл"""
SndPlayButtonOff#0,"""Выкл"""
SndPlayHintSurround#0,"""Включает или отключает объёмный звук."""
SndPlayHintGlobalFocus#0,"""Определяет воспроизведение звука<br>при неактивном окне с игрой."""
CtrlKeyboardTitle#0,"""Настройки клавиатуры"""
CtrlTabTitleNView#0,"""Действие 1"""
CtrlTabTitleZView#0,"""Действие 2"""
CtrlTabTitleWindow#0,"""Окно"""
CtrlTabTitleOther#0,"""Другие"""
CtrlTabTitleShortcut#0,"""Сокращения"""
CtrlTabTitleAction#0,"""Действие"""
CtrlTabTitleLobbyAction#0,"""Лобби-экшны"""
CtrlTabTitleBasicSet#0,"""Основные настройки"""
CtrlMainCtgNameNView#0,"""Настройки действий 1"""
CtrlMainCtgNameZView#0,"""Настройки действий 2"""
CtrlMainCtgNameWindow#0,"""Настройки окна"""
CtrlMainCtgNameOther#0,"""Другие настройки"""
CtrlMainCtgNameShortcut#0,"""Настройки быстрых слов"""
CtrlMainCtgNameAction#0,"""Настройки действий"""
CtrlMainCtgNameLobbyAction#0,"""Настройки лобби-экшенов"""
CtrlSubCtgNameViewMove#0,"""Движение персонажа"""
CtrlSubCtgNameViewCamera#0,"""Изменить расстояние камеры"""
CtrlSubCtgNameViewAction#0,"""Действие"""
CtrlSubCtgNameViewActionSupport#0,"""Помощь в действиях"""
CtrlSubCtgNameViewMenu#0,"""Меню"""
CtrlSubCtgNameViewPalette#0,"""Смена главной палитры"""
CtrlSubCtgNameViewChat#0,"""Чат"""
CtrlSubCtgNameViewSubPalette#0,"""Открыть вспомогательную палитру"""
CtrlSubCtgNameViewMap#0,"""Показать карту"""
CtrlSubCtgNameWindowBasic#0,"""Принять/Отменить"""
CtrlSubCtgNameWindowChat#0,"""Чат"""
CtrlSubCtgNameWindowPage#0,"""Отправить страницу"""
CtrlSubCtgNameWindowTab#0,"""Отправить страницу"""
CtrlSubCtgNameWindowDetailTab#0,"""Отправить детальную вкладку окна"""
CtrlSubCtgNameWindowCtrlWindow#0,"""Изменить окно"""
CtrlSubCtgNameOtherShortcut#0,"""Быстрые команды"""
CtrlSubCtgNameOtherShortcutWord#0,"""Фразы быстрых команд"""
CtrlSubCtgNameOtherMainPalette#0,"""Вручную сменить главную палитру"""
CtrlSubCtgNameOtherSubPalette#0,"""Открыть под-палитру"""
CtrlSubCtgNameCtrlCtrl#0,"""Настройки быстрых команд"""
CtrlSubCtgNameCtrlWindow#0,"""Окно настройки быстрых слов"""
CtrlSubCtgNameBasic#0,"""Основные настройки"""
CtrlSubCtgNameAssist#0,"""Настройки помощи"""
CtrlSubCtgNameLobbyAction#0,"""Настройки клавиш действий."""
CtrlSubCtgNameActionMenu#0,"""Действия/Открыть меню"""
CtrlPresetNameRNViewRcm#0,"""Праворукая раскладка, обычная камера"""
CtrlPresetNameRZViewRcm#0,"""Праворукая раскладка, TPS-камера"""
CtrlPresetNameRNViewKbd#0,"""Праворукая раскладка, обычная камера"""
CtrlPresetNameRZViewKbd#0,"""Праворукая раскладка, TPS-камера"""
CtrlPresetNameLNViewRcm#0,"""Леворукая раскладка, обычная камера"""
CtrlPresetNameLZViewRcm#0,"""Леворукая раскладка, TPS-камера"""
CtrlPresetNameLNViewKbd#0,"""Леворукая раскладка, обычная камера"""
CtrlPresetNameLZViewKbd#0,"""Леворукая раскладка, TPS-камера"""
CtrlPresetNameRcm1#0,"""Стандартная 1"""
CtrlPresetNameRcm2#0,"""Стандартная 2"""
CtrlPresetNameNViewRcm1#0,"""Стандартная обычная камера 1"""
CtrlPresetNameNViewRcm2#0,"""Стандартная обычная камера 2"""
CtrlPresetNameZViewRcm1#0,"""Стандартная TPS-камера 1"""
CtrlPresetNameZViewRcm2#0,"""Стандартная TPS-камера 2"""
CtrlPresetNameRRcm#0,"""Под правую руку"""
CtrlPresetNameLRcm#0,"""Под левую руку"""
CtrlPresetNameCutom#0,"""Своя"""
CtrlPresetNameRcm#0,"""Рекомендованная"""
CtrlAssignNameMouseL#0,"""ЛКМ"""
CtrlAssignNameMouseR#0,"""ПКМ"""
CtrlAssignNameMouseM#0,"""СКМ"""
CtrlAssignNameMouseWheel#0,"""Колесо"""
CtrlAssignNameMouseX1#0,"""Боковая кнопка (X1)"""
CtrlAssignNameMouseX2#0,"""Боковая кнопка (X2)"""
CtrlFuncNameNone#0,"""Отсутствует"""
CtrlFuncNameMoveForward#0,"""Движение: Вперёд"""
CtrlFuncNameMoveRight#0,"""Движение: Направо"""
CtrlFuncNameMoveLeft#0,"""Движение: Налево"""
CtrlFuncNameMoveBack#0,"""Движение: Назад"""
CtrlFuncNameNormalAttack#0,"""Обычная атака"""
CtrlFuncNamePhotonArts#0,"""Умение/техника"""
CtrlFuncNameAvoid#0,"""Уклонение"""
CtrlFuncNameJump#0,"""Прыжок"""
CtrlFuncNameAccess#0,"""Доступ"""
CtrlFuncNameWeponAction#0,"""Действие оружия"""
CtrlFuncNameLockon#0,"""Фиксирование цели"""
CtrlFuncNameLockonNext#0,"""Смена цели"""
CtrlFuncNameChangeView#0,"""Смена вида"""
CtrlFuncNameCameraDistance#0,"""Изменить расстояние камеры"""
CtrlFuncNameCameraSelect#0,"""Выбор камеры"""
CtrlFuncNameCameraMoveUD#0,"""Двигать камеру вертикально"""
CtrlFuncNameAutoRun#0,"""Авто-бег"""
CtrlFuncNameRefuseFollowRun#0,"""Запрещать автоматическое следование за вами"""
CtrlFuncNameOpenMainMenu#0,"""Открыть Главное меню"""
CtrlFuncNameOpenSelectMenu#0,"""Открыть Меню выбора"""
CtrlFuncNameOpenEquip#0,"""Открыть Снаряжение"""
CtrlFuncNameOpenPlayerList#0,"""Персонажи рядом"""
CtrlFuncNameMainPaletteForward#0,"""Следующая главная палитра"""
CtrlFuncNameMainPaletteBack#0,"""Предыдущая главная Палитра"""
CtrlFuncNameMainPaletteA#0,"""Действие 1"""
CtrlFuncNameMainPaletteB#0,"""Действие 2"""
CtrlFuncNameMainPaletteC#0,"""Действие 3"""
CtrlFuncNameBackPallete#0,"""Переключиться на оборотную палитру"""
CtrlFuncNameMainPaletteUp#0,"""Последнее оружие"""
CtrlFuncNameMainPaletteDown#0,"""Первое оружие"""
CtrlFuncNameStartChat#0,"""Чат"""
CtrlFuncNameStartChatPublic#0,"""Начать публичный разговор"""
CtrlFuncNameStartChatParty#0,"""Начать разговор в группе"""
CtrlFuncNameStartChatGuild#0,"""Начать разговор в команде"""
CtrlFuncNameStartChatWhisper#0,"""Начать шёпот"""
CtrlFuncNameSubpaletteChange#0,"""Движение курсора под-палитры"""
CtrlFuncNameSubpalette#0,"""Открыть под-палитру"""
CtrlFuncNameSubpaletteForward#0,"""Вперёд по вспомогательной палитре"""
CtrlFuncNameSubpaletteLeft#0,"""Влево по вспомогательной палитре"""
CtrlFuncNameSubpaletteRight#0,"""Вправо по вспомогательной палитре"""
CtrlFuncNameCameraNear#0,"""Ближе к персонажу"""
CtrlFuncNameCameraFar#0,"""Дальше от персонажа"""
CtrlFuncNameCameraUp#0,"""Вверх"""
CtrlFuncNameCameraDown#0,"""Вниз"""
CtrlFuncNameCameraNext#0,"""Выбор следующей камеры"""
CtrlFuncNameCameraPrev#0,"""Выбор предыдущей камеры"""
CtrlFuncNameScreenShoot#0,"""Сделать Скриншот"""
CtrlFuncNameMovie#0,"""Записать видео"""
CtrlFuncNameDecide#0,"""Принять"""
CtrlFuncNameCancel#0,"""Отмена"""
CtrlFuncNameChangeMouseMode#0,"""Переключить режим мыши"""
CtrlFuncNameAllWindowClose#0,"""Закрыть Главное меню"""
CtrlFuncNameMultiSelect#0,"""Выбрать несколько"""
CtrlFuncNameFunction#0,"""Отменить"""
CtrlFuncNameMove#0,"""Сдвинуть предмет"""
CtrlFuncNamePageForward#0,"""Страница вперёд"""
CtrlFuncNamePageBack#0,"""Страница назад"""
CtrlFuncNameTabForward#0,"""Увеличить вкладку"""
CtrlFuncNameTabBack#0,"""Уменьшить вкладку"""
CtrlFuncNameWindowTabForward#0,"""Следующее окно"""
CtrlFuncNameWindowTabBack#0,"""Предыдущее окно"""
CtrlFuncNameChangeWindow#0,"""Изменить окно"""
CtrlFuncNameCtrlTabForward#0,"""Увеличить Панель действий"""
CtrlFuncNameCtrlTabBack#0,"""Уменьшить Панель действий"""
CtrlFuncNameCtrlException#0,"""Специальная операция"""
CtrlFuncNameStctWord#0,"""Использовать быстрые команды"""
CtrlFuncNameChangeToMainPalette#0,"""Сменить палитру"""
CtrlFuncNameChangeRadarMap#0,"""Изменить режим радара"""
CtrlFuncNameChangeAreaMap#0,"""Показать/Скрыть карту местности"""
CtrlFuncNameOpenItemPack#0,"""Открыть инвентарь"""
CtrlFuncNameOpenCustomize#0,"""Открыть меню настроек"""
CtrlFuncNameOpenMag#0,"""Открыть меню МАГа"""
CtrlFuncNameOpenPet#0,"""Питомец"""
CtrlFuncNameOpenEventItem#0,"""Предметы событий"""
CtrlFuncNameOpenEquipWeapon#0,"""Использовать оружие"""
CtrlFuncNameOpenEquipArmor#0,"""Использовать броню"""
CtrlFuncNameOpenSubpalette#0,"""Изменить вспомогательные палитры"""
CtrlFuncNameOpenFriend#0,"""Открыть список друзей"""
CtrlFuncNameOpenGuild#0,"""Настройки команды"""
CtrlFuncNameOpenParty#0,"""Настройки группы"""
CtrlFuncNameOpenMail#0,"""Открыть почту"""
CtrlFuncNameOpenNearCharacter#0,"""Персонажи рядом"""
CtrlFuncNameOpenCharaInfo#0,"""Открыть информацию о персонаже"""
CtrlFuncNameOpenLicense#0,"""Открыть список титулов"""
