Cancel#0,"""Отменить изменения"""
ConsumeCheckMessageSGColor#0,"""<pict StarGem><c 5fdf00>Использование предмета<c><br>Внесённые вами изменения потребуют<br>ниже перечисленных предметов.<br>Желаете применить изменения и покинуть салон?<br>・Если активен премиум-набор, вы можете<br>редактировать изменения в течение<br>60 минут, не тратя ещё один пропуск<br>в салон и пропуск на смену цвета.<br><br>※Пропуск на смену цвета позволяет только<br>изменить цвет одежды и частей CAST'ов."""
ConsumeCheckMessageSG#0,"""<pict StarGem><c 5fdf00>Использование предмета<c><br>Внесённые вами изменения потребуют<br>ниже перечисленных предметов.<br>Желаете применить изменения и покинуть салон?<br><br>・Если активен премиум-набор, вы можете<br>редактировать изменения в течение<br>60 минут, не тратя ещё один пропуск<br>в салон.<c>"""
ConsumeCheckMessage2Color#0,"""<c 5fdf00>Использование предмета<c><br>Внесённые вами изменения потребуют<br>ниже перечисленных предметов.<br>Желаете применить изменения и покинуть салон?<br><br>Если активен премиум-набор, вы можете<br>редактировать изменения в течение<br>60 минут, не тратя ещё один пропуск<br>в салон и пропуск на смену цвета.<br><br><yellow>※Пропуск на смену цвета позволяет только<br>изменить цвет одежды и частей CAST'ов.<c>"""
ItemCheckMessage2#0,"""<c 5fdf00>Использование предмета<c><br>Внесённые вами изменения потребуют<br>ниже перечисленных предметов.<br>Желаете применить изменения и покинуть салон?<br><br>Если активен премиум-набор, вы можете<br>редактировать изменения в течение<br>60 минут, не тратя ещё один пропуск<br>в салон и пропуск на смену цвета.<br><br>※Пропуск на смену цвета позволяет только<br>изменить цвет одежды и частей CAST'ов."""
BuyCheckMessageSG#0,"""<pict StarGem><c 1dedd7>Контент SG<c><br>Указанные ниже пропуски необходимы для<br>применения изменений.<br>Желаете потратить SG на их покупку?<br>(В наличии SG: $(0))<br><br>・Если активен премиум-набор, вы можете<br>редактировать изменения в течение<br>60 минут, не тратя ещё один пропуск<br>в салон.<c>"""
BuyCheckItemSG#0,"""$(0)($(1)SG)"""
CashIconAC#0,"""<white><pict Arcscash><c>"""
CashIconSG#0,"""<white><pict StarGem><c>"""
ColorChangePassIcon#0,"""<white><pict c_c_path><c>"""
Title#1,"""Салон"""
Result_0#0,"""Недействительно"""
Result_1_1#0,"""Вы использовали предмет для<br>изменения внешности.<br>Благодарим вас пользование услугами."""
Result_1_2#0,"""Оплата не нужна.<br>Благодарим вас пользование услугами."""
Result_1_3#0,"""Вы использовали предмет для<br>изменения внешности.<br>Благодарим вас пользование услугами.<br><br>У вас в запасе ещё 60 минут<br>на редактирование."""
Result_1_4#0,"""Оплата не нужна, так как у вас<br>ещё есть время редактирования.<br>Благодарим вас пользование услугами."""
Result_2#0,"""Возникла проблема с информацией<br>о изменении внешнего вида.<br>Ошибка [2000]"""
Result_3#0,"""Недостаточно АС<br>Проверьте ваши АС.<br><br>Ошибка [2001]"""
Result_4#0,"""Произошла системная ошибка.<br>Пожалуйста, повторите попытку позже."""
Result_5#0,"""Возникла ошибка связанная<br>с редактированием информации.<br>Ошибка [2002]"""
Result_6#0,"""У вас нет предмета.<br>Пожалуйста, проверьте его наличие."""
Result_7#0,"""Покупка не удалась.<br>Пожалуйста, проверьте, достаточно<br>ли у вас АС в наличии."""
Result_8#0,"""Покупка не удалась.<br>Возможна системная ошибка.<br>Пожалуйста, повторите попытку позже.<br><br>Ошибка [2003]"""
Title_SPCreate#0,"""Создание партнёра поддержки"""
Title_SPEdit#0,"""Салон партнёра поддержки"""
Result_SPCreate_ParamError#0,"""Было создано с неверными данными."""
Result_SPCreate_MaxError#0,"""Нельзя создать больше<br>партнёров поддержки."""
Result_SPCreate_ChargeError#0,"""Не удалось создать.<br>Пожалуйста, проверьте, достаточно<br>ли у вас АС в наличии."""
Result_SPCreate_SystemError#0,"""Произошла системная ошибка.<br>Пожалуйста, повторите попытку позже."""
Result_SPRemake_NoPartner#0,"""Было создано с неверными данными."""
Result_SPRemake_EquipError#0,"""Инвентарь заполнен."""
Result_SPRemake_ChargeError#0,"""Не удалось создать.<br>Пожалуйста, проверьте, достаточно<br>ли у вас АС в наличии."""
Result_SPRemake_SystemError#0,"""Произошла системная ошибка.<br>Пожалуйста, повторите попытку позже."""
Result_1_5#0,"""Приобретён/использован пропуск и внесены<br>изменения. Благодарим вас за пользование<br>нашими услугами.<br>После использования \""Пропуск для смены<br>цвета\"" вы можете повторно<br>отредактировать свои изменения без<br>использования пропуска в последующие<br>60 минут."""
Result_1_6#0,"""Приобретён/использован пропуск и внесены<br>изменения. Благодарим вас за пользование<br>нашими услугами.<br>После использования \""Пропуск для смены<br>цвета\"" и \""Пропуск в салон\"" вы можете<br>повторно отредактировать свои изменения<br>без использования пропуска в последующие<br>60 минут."""
Result_3_SG#0,"""Недостаточно SG.<br>Пожалуста, проверьте свои SG."""
Result_7_SG#0,"""Не удалось приобрести.<br>У вас не хватает SG"""
Result_9#0,"""Невозможно сохранить изменения, так как<br>в инвентаре не хватает места для<br>элементов внешнего вида, снятых<br>с партнёра поддержки.<br><br>Перед тем, как покинуть салон, верните<br>из своему партнёру поддержки."""
Result_10#0,"""Невозможно сохранить изменения, так как<br>в инвентаре нет места для элемента<br>внешнего вида, взятого из хранилища<br>персонажа.<br><br>Пожалуйста, снимите его перед тем, как<br>покинуть салон."""
Result_11#0,"""Нельзя сохранить изменения, так как рост<br>вашего персонажа (раздетого) ниже<br>минимального роста.<br>Пожалуйста, убедитесь, что ваш персонаж<br>(раздетый) ростом выше $(0) см.<br><yellow>※Для проверки роста персонажа без одежды<br>нажмите $(1).<c>"""
Result_12#0,"""Изменения цвета могли примениться<br>к костюмам многослойной одежды и<br>Se одежды, который нельзя<br>изменять. Пожалуйста, верните<br>цвет обратно, прежде чем<br>выходить из салона."""
Error_ImproperData_Exit#0,"""Нельзя сохранить изменения из-за проблемы<br>с текущими данными внешнего вида.<br><br>Пожалуйста, измените затронутые элементы<br>или загрузите свой стиль или данные<br>персонажа перед выходом из салона.<br><br>・Затронуто следующее:<br>$(0)"""
Error_ImproperData_LoadMyFashion#0,"""Невозможно сохранить стиль из-за<br>проблемы с текущими данными<br>внешнего вида."""
Error_ImproperData_InMyFashion#0,"""Нельзя сохранить стиль по причине<br>проблемы с текущими данными внешнего<br>вида.<br>Пожалуйста, примените другие сохранённые<br>данные из вышего стиля или замените<br>соответствующую часть в салоне.<br><br>・Затронуто следующее:<br>$(0)"""
Error_ImproperDataSaveMyFashion#0,"""Нельзя покинуть салон из-за проблемы<br>связанной с текущими данными внешнего<br>вида.<br>Пожалуйста, примените другие сохранённые<br>данные из вышего стиля или замените<br>соответствующую часть в салоне."""
Error_ImproperData_TypeNone#0,"""Другое"""
Error_ImproperData_TypeSelect#0,"""Предмет"""
Error_ImproperData_TypeRace#0,"""Раса"""
Error_ImproperData_TypeSex#0,"""Пол"""
Error_ImproperData_TypeVoice#0,"""Голос"""
Error_ImproperData_TypeSkinColor#0,"""Цвет кожи"""
Error_ImproperData_SelectType_MainParts#0,"""Костюм/ часть CAST'а"""
Error_ImproperData_SelectType_BodyPaint1#0,"""Рисунок для тела 1"""
Error_ImproperData_SelectType_BodyPaint2#0,"""Стикер"""
Error_ImproperData_SelectType_Eye#0,"""Глаза"""
Error_ImproperData_SelectType_Eyebrow#0,"""Брови"""
Error_ImproperData_SelectType_Eyelash#0,"""Ресницы"""
Error_ImproperData_SelectType_Face#0,"""Тип лица"""
Error_ImproperData_SelectType_FacePaint1#0,"""Тип лица"""
Error_ImproperData_SelectType_FacePaint2#0,"""Рисунок для тела 1"""
Error_ImproperData_SelectType_Hair#0,"""Причёска или часть головы"""
Error_ImproperData_SelectType_Acccessory1#0,"""1-й аксессуар"""
Error_ImproperData_SelectType_Acccessory2#0,"""2-й аксессуар"""
Error_ImproperData_SelectType_Acccessory3#0,"""3-й аксессуар"""
Error_ImproperData_SelectType_FacePaint3#0,"""Макияж 2"""
Error_ImproperData_SelectType_Leg#0,"""Ноги"""
Error_ImproperData_SelectType_Arm#0,"""Руки"""
Error_ImproperData_SelectType_Acccessory4#0,"""4-й аксессуар"""
Error_ImproperData_SelectType_Basewear#0,"""Нижнее бёлье"""
Error_ImproperData_SelectType_Innerwear#0,"""Внутренняя одежда"""
Error_ImproperData_SelectType_BodyPaint3#0,"""Макияж 2"""
Error_ImproperData_Select_Etc#0,"""Прочее"""
Error_ImproperData_SelectType_Skin#0,"""Кожа"""
Error_ImproperData_SelectType_Ears#0,"""Уши"""
Error_ImproperData_SelectType_Dental#0,"""Зубы"""
Error_ImproperData_SelectType_Horn#0,"""Рога"""
Error_ImproperData_SelectType_Accessory5#0,"""5-й аксессуар"""
Error_ImproperData_SelectType_Accessory6#0,"""6-й аксессуар"""
Error_ImproperData_SelectType_Accessory7#0,"""7-й аксессуар"""
Error_ImproperData_SelectType_Accessory8#0,"""8-й аксессуар"""
Error_ImproperData_SelectType_Accessory9#0,"""9-й аксессуар"""
Error_ImproperData_SelectType_Accessory10#0,"""10-й аксессуар"""
Error_ImproperData_SelectType_Accessory11#0,"""11-й аксессуар"""
Error_ImproperData_SelectType_Accessory12#0,"""12-й аксессуар"""
Result_SPCreate_ChargeError_SG#0,"""作成に失敗しました。<br>SGが不足している可能性がありますので、<br>ご確認ください。"""
Title#2,"""Салон"""
Message_1#0,"""再編集可能期間中のため、<br>「エステ利用パス」を消費せずに<br>編集が可能です。"""
Title_SPCreate#1,"""サポートパートナーキャラクタークリエイト"""
Title_SPEdit#1,"""サポートパートナーエステ"""
Message_6#0,"""再編集可能期間中のカラーチェンジパス<br>対象アイテムがあります。<br>\u3000<br>※対象アイテムには、アイテム一覧上で<br>   入店時の残り時間が表示されています。<br>※プレイヤーとの種族・性別の差により<br>   サポートパートナー側では再編集可能な<br>   アイテムが存在しない場合があります。<br>※プレイヤーが着用中のものは表示されません。"""
Message_7#0,"""再編集可能期間中のため、<br>「エステ利用パス」「カラーチェンジパス」を<br>消費せずに編集が可能です<br><br>※対象アイテムには、アイテム一覧上で入店時<br>   の残り時間が表示されています。<br>※プレイヤーとの種族・性別の差により<br>   サポートパートナー側では再編集可能な<br>   アイテムが存在しない場合があります。<br>※プレイヤーが着用中のものは表示されません。"""
Message_8#0,"""再編集可能期間中のカラーチェンジパス<br>対象アイテムがあります。<br>\u3000<br>※対象アイテムには、アイテム一覧上で<br>   入店時の残り時間が表示されています。<br>※キャストはカラー選択も対象になります。<br>※プレイヤーとの種族・性別の差により<br>   サポートパートナー側では再編集可能な<br>   アイテムが存在しない場合があります。<br>※プレイヤーが着用中のものは表示されません。"""
Message_9#0,"""再編集可能期間中のため、<br>「エステ利用パス」「カラーチェンジパス」を<br>消費せずに編集が可能です。<br>\u3000<br>※対象アイテムには、アイテム一覧上で<br>   入店時の残り時間が表示されています。<br>※キャストはカラー選択も対象になります。<br>※プレイヤーとの種族・性別の差により<br>   サポートパートナー側では再編集可能な<br>   アイテムが存在しない場合があります。<br>※プレイヤーが着用中のものは表示されません。"""
Message_2#0,"""再編集可能期間中のカラーチェンジパス<br>対象アイテムがあります。<br><br>※対象アイテムには、アイテム一覧上で<br>   入店時の残り時間が表示されています。<br>※アイテムパック、キャラ倉庫<br>   にあるアイテムのみ表示されます。<br>※サポートパートナーが着用中のアイテムが<br>   再編集中の場合は表示されません。"""
Message_3#0,"""再編集可能期間中のため、<br>「エステ利用パス」「カラーチェンジパス」を<br>消費せずに編集が可能です。<br><br>※対象アイテムにはアイテム一覧上で<br>   入店時の残り時間が表示されています。<br>※アイテムパック、キャラ倉庫にある<br>   アイテムのみ表示されます。<br>※サポートパートナーが着用中のアイテムが<br>   再編集中の場合は表示されません。"""
Message_4#0,"""再編集可能期間中のカラーチェンジパス<br>対象アイテムがあります。<br>キャストはカラー選択も対象になります。<br><br>※対象アイテムには、アイテム一覧上で<br>   入店時の残り時間が表示されています。<br>※アイテムパック、キャラ倉庫にある<br>   アイテムのみ表示されます。<br>※サポートパートナーが着用中のアイテムが<br>   再編集中の場合は表示されません。"""
Message_5#0,"""再編集可能期間中のため、<br>「エステ利用パス」「カラーチェンジパス」を<br>消費せずに編集が可能です。<br>キャストはカラー選択も対象になります。<br><br>※対象アイテムにはアイテム一覧上で<br>   入店時の残り時間が表示されています。<br>※アイテムパック、キャラ倉庫にある<br>   アイテムのみ表示されます。<br>※サポートパートナーが着用中のアイテムが<br>   再編集中の場合は表示されません。"""
Registered#0,"""<%Owner_icon>Зарегистрирован владелец"""
Unregistered#0,"""Требуется регистрация владельца"""
