EventInformation#0,"""Информация об ивенте"""
RoundCancel#0,"""Отменено"""
RoundFinish#0,"""<c ff0000>Завершено<c>"""
RoundNum#0,"""Раунд $(0)"""
TotalPointNum#0,"""$(0) очков"""
Unknown#0,"""？？？"""
CancelStr#0,"""-"""
WaitMsg#0,"""Сейчас будет объявлен итоговый рейтинг. Пожалуйста, подождите."""
ResultWaitMsg#0,"""Сейчас будут объявлен итоговый результат.<br>Пожалуйста, подождите."""
BoostRank#0,"""Рейтинг $(0)"""
TimeStart#0,"""С"""
TimeEnd#0,"""До"""
StarPoint#0,"""Звёзды"""
Npc_Title#0,"""Главный приз корабля ARKS"""
Npc_Explanation#0,"""<c f0df60>Можете уточнить подробности о раунде и рейтинге, а также обменять звзды на призы из магазина.<c>"""
Npc_Menu#0,"""GP Меню"""
Npc_RoundInfo#0,"""Информация о раунде"""
Npc_Ranking#0,"""Общий рейтинг"""
Npc_Shop#0,"""Магазин призов"""
Contents#0,"""Содержимое"""
Contents_00#0,"""Рэппи-слот"""
Contents_01#0,"""Блэк Няк"""
Contents_02#0,"""Месетан тир"""
YesText#0,"""Да"""
NoText#0,"""Нет"""
CloseText#0,"""Закрыть"""
OpenText#0,"""Открыть"""
Sort#0,"""Сортировать"""
Copy#0,""""""
Peaste#0,""""""
NextText#0,"""Следующий"""
PrevText#0,"""Предыдущий"""
DecideText#0,"""Подтвердить"""
CancelText#0,"""Отмена"""
OKText#0,"""OK"""
ReturnText#0,"""Назад"""
Switch_Vita#0,"""<pict Sign_TRIANGLE>Переключить"""
NumberFormat#0,"""$(0)/$(1)"""
NumberFormat2#0,"""($(0)/$(1))"""
NumberFormat3#0,"""$(0)($(1))"""
NumberFormatColor#0,"""<c ffa800>$(0)/$(1)<c>"""
NumberFormat2Color#0,"""(<c ffa800>$(0)/$(1)<c>)"""
ErrorMsg#0,"""Ошибка связи"""
StarNumText#0,"""x$(0)"""
DayAddText#0,""" ～ """
ItemName_00#0,"""「"""
ItemName_01#0,"""」 """
GetStar#1,"""Получены звёзды"""
ClearStar#0,"""Достигнут предел."""
GetStarMsg#0,"""Получено $(0) звёзд."""
GetStarMsg2#0,"""Получено $(0) звёзд и $(1) очков группы."""
GetStarMsg3#0,"""[$(0) звёзд]"""
ClearStarMsg#0,"""Достигнут предел."""
ClearStarMsg2#0,"""получено."""
NoItem#0,"""Нет"""
BoostRate#0,"""$(0)%"""
BoostDrop#0,"""Увеличен шанс редкоого дропа +$(0)%"""
BoostExp#0,"""Опыт +$(0)%"""
BoostEnemy#0,"""Увеличен шанс появления редких врагов +$(0)%"""
BoostCapability#0,"""Фактор 4 +$(0)%"""
BoostItem#0,"""Фактор 5+$(0)%"""
BoostMeseta#0,"""Месеты +$(0)%"""
BoostRound#0,"""Раундовый буст +$(0)%"""
BoostRoundHide#0,"""？"""
StarLimitMessage#0,"""Получено максимальное количество звёзд в этом раунде."""
Date#0,"""$(0)/$(1) $(2)時～"""
Date_v#0,"""$(0)/$(1) $(2)時～"""
StarMoney#0,"""$(0)<pict sb_star_icon>"""
GroupPoint#1,"""$(0)pt"""
GroupPoint2#0,"""$(0)/$(1)pt"""
GroupPoint3#0,"""<c ffa800>$(0)/$(1)pt<c>"""
PlayPoint#0,"""$(0)/$(1)体"""
PlayPoint2#0,"""$(0)/$(1)回"""
WinPoint#0,"""$(0) очков"""
StarNumberFormat#0,"""$(0)/$(1)<pict sb_star_icon> ($(2)<pict sb_star_icon>)"""
StarNumberFormat2#0,"""<c ffa800>$(0)/$(1)<c><pict sb_star_icon> ($(2)<pict sb_star_icon>)"""
Finish#0,"""Закончить"""
Number_00#0,"""$(0)/$(1)<pict sb_star_icon> """
Number_01#0,"""($(0)/$(1)<pict sb_star_icon>)"""
NumberColor_00#0,"""<c ffa800>$(0)/$(1)<c><pict sb_star_icon> """
NumberColor_01#0,"""(<c ffa800>$(0)/$(1)<c><pict sb_star_icon>)"""
GroupName_000#0,"""<pict sb_flag_3>Красный Рэппи"""
GroupName_001#0,"""<pict sb_flag_1>Синий Рэппи"""
GroupName_002#0,"""<pict sb_flag_5>Жёлтый Рэппи"""
GroupName_003#0,"""<pict sb_flag_2>Зелёный Рэппи"""
GroupName_004#0,"""<pict sb_flag_4>Белый Рэппи"""
GroupName_c000#0,"""<pict sb_flag_3><c 00ffff>Красный Рэппи<c>"""
GroupName_c001#0,"""<pict sb_flag_1><c 00ffff>Синий Рэппи<c>"""
GroupName_c002#0,"""<pict sb_flag_5><c 00ffff>Жёлтый Рэппи<c>"""
GroupName_c003#0,"""<pict sb_flag_2><c 00ffff>Зелёный Рэппи<c>"""
GroupName_c004#0,"""<pict sb_flag_4><c 00ffff>Белый Рэппи<c>"""
