Accessories_Name1#0,"""1-й аксессуар"""
NoOuterItemMsg#0,"""Нет верзней одежды"""
InvalidHyphen#0,"""－"""
Body_Name1#0,"""Окрас тела 1"""
Body_Name2#0,"""Окрас тела 2"""
Body_FormTitle#0,"""Окрас тела"""
Body_List_FormTitle#0,"""Окрас тела"""
NoAccessoriesMessage#1,"""Без окраса тела"""
Remove#1,"""Убрать"""
Favorite_Add#0,"""Добрать в избранное"""
Favorite_Delete#0,"""Убрать из избранного"""
Body_display_1#0,"""Приоритет 1"""
Body_display_2#0,"""Приоритет 2"""
Body_display_3#0,"""Приоритет 3"""
MoveMotion_1#0,"""Хотьба"""
MoveMotion_2#0,"""Парение в воздухе"""
Fashion_OtherFashion#0,"""Закладка"""
PageSwitch_PC#0,"""<%NextTabDetails>で切替"""
PageSwitch_Vita#0,"""<pict Sign_TRIANGLE>切替"""
Error_Title#0,"""エラー"""
Error_ImproperData_LoadMyFashion#0,"""この保存データは問題があるため<br>適用できません。<br><br>当該データをエステで修正するか<br>他のデータで上書き、もしくは削除してください。"""
Error_ImproperData_SaveMyFashion#0,"""現在の外見データは問題があるため<br>マイファッションへの保存ができません。<br><br>他のデータを適用するか、エステで修正してください。"""
FashionTab_New_Base#0,"""N-Нижнее бельё"""
FashionTab_Base#0,"""Нижнее бельё"""
FashionTab_New_Inner#0,"""N-Внутренняя одежда"""
FashionTab_Inner#0,"""Внутренняя одежда"""
Fashion_Incompatible#0,"""非対応"""
FashionTab_New_Body#0,"""N-ボディ"""
FashionTab_Body#0,"""ボディ"""
FashionTab_New_Arms#0,"""N-アーム"""
FashionTab_Arms#0,"""アーム"""
FashionTab_New_Legs#0,"""N-レッグ"""
FashionTab_Legs#0,"""レッグ"""
FashionTab_New_Outer#0,"""N-アウターウェア"""
FashionTab_Outer#0,"""アウターウェア"""
TopMenuTitle#0,"""Каталог стиля"""
TopMenuItem_Ranking#0,"""Смотреть стили всех"""
TopMenuItem_Search#0,"""Искать стили всех"""
TopMenuItem_Posting#0,"""Зарегистрировать свой стиль"""
TopMenuItem_Confirm#0,"""Подтвердить свой стиль"""
TopMenuItem_ConfirmNiceCnt#0,"""Подтвердить свой стиль ($(0))"""
TopMenuItem_ConfirmNiceCntStop#0,"""Подтвридить свой стиль (99+)"""
TopMenuItem_Release#0,"""Убрать регистрацию"""
TopMenuItem_Back#0,"""Вернуться"""
TitleProfile#0,"""Информация о стиле"""
LikeButton#0,"""Нравится"""
RegistButton#0,"""Зарегистрировать закладку"""
BackButton#0,"""Вернуться"""
