MYROOM#0,"""Ваша комната"""
SelectMenu_Warehouse#0,"""Из $(0)"""
SelectMenu_DeleteRoom#0,"""Убрать комнату"""
SelectMenu_RemovalAll#0,"""全て撤去(デバッグ用)"""
SelectMenu_Cancel#0,"""Назад"""
SelectMenu_Not_Item#0,"""Нет предметов"""
guide_move#0,"""Перемещение:"""
guide_rotation#0,"""Вращение:"""
guide_enter_cancel#0,"""Устан./убрать:"""
guide_enter_vita#0,"""Подтв-е: """
guide_cancel_vita#0,"""Вернуться: """
guide_move_key#0,"""↑↓←→"""
guide_move_pad#0,"""<%DirectionButton> / <%LStick>"""
guide_rotation_key#0,"""Ctrl + ← / Ctrl + →"""
guide_rotation_pad#0,""" <%TabBack> / <%TabForward>"""
guide_enter_cancel_key#0,"""<%Decide> / <%Cancel>"""
guide_enter_key_vita#0,"""<%Decide>"""
guide_cancel_key_vita#0,"""<%Cancel>"""
guide_enter_total_cost#0,"""Ограничение: """
guide_not_key#0,"""Ничего не использовать"""
ItemList_Title_RoomGoods#0,"""Список предметов для комнаты"""
ItemList_Title_Reform#0,"""Список билетов дял переделки"""
ItemList_Title_MovePass#0,"""Список билетов со сценариями"""
ItemList_Title_MusicDisc#0,"""Список муз-дисков"""
ItemList_Title_EntryMusic#0,"""Список зарегистрированных BGM"""
ItemList_Title_ItemList_Title_DisplayWeapon#0,"""Список оружий"""
ItemList_Title_ItemList_Title_DisplayWeaponAvatar#0,"""Список камуфляжей оружия"""
ItemList_Title_ItemList_Title_DecoGoods#0,"""Список украшений"""
ItemList_Title_ItemList_Title_PresentBox#0,"""Список подарочных коробок"""
ItemList_Title_ItemList_Title_PhotonGachanItemAdd#0,"""Список добавляемых предметов"""
ItemList_Title_ItemList_Title_PhotonGachanItemDelete#0,"""Список убираемых предметов"""
ItemList_Title_ItemList_Title_Recommended#0,"""Расстановка"""
ItemList_Title_Cost#0,"""Стоимость установки"""
ItemList_Title_Add_Current_Max#0,"""$(2) (Зарег-но: $(0)/$(1))"""
RoomCustmize_Title#0,"""Переделка комнаты"""
RoomCustmize_header1#0,"""Комната"""
RoomCustmize_header2#0,"""Команды темы"""
RoomCustmize_header3#0,"""Размер"""
RoomCustmize_Reform#0,"""Переделка"""
RoomCustmize_RoomSize#0,"""Расширение комнаты"""
RoomCustmize_CheckMessage#0,"""После переделки все украшения<br>будут удалены.<br>Желаете продолжить?"""
RoomCustmize_RoomSize_Middle#0,"""Небольшая"""
RoomCustmize_RoomSize_Large#0,"""Большая"""
PortalUnit_Title#0,"""Портал"""
PortalUnit_Move_Lobby#0,"""В лобби ARKS"""
BGMMenu_Title#0,"""Меню регистрации муз-дисков"""
BGMMenu_Entry#0,"""Регистрация муз-диска"""
BGMMenu_Play#0,"""Просмотр зарег-х муз-дисков"""
BGMMenu_Cancel#0,"""Назад"""
Reform_Room_Center#0,"""Центральная комната"""
Reform_Room_Left#0,"""Левая комната"""
Reform_Room_Rght#0,"""Правая комната"""
Reform_Room_None#0,"""Использовать билет расширения комнаты"""
Reform_UseInfo#0,"""Желаете использовать Remodel Pass?<br>※При использовании данного<br>билета все элементы комнаты<br>будут удалены."""
Reform_DeleteRoomInfo#0,"""Желаете удалить комнату?<br>※Все предметы в данной комнате<br>также удалятся."""
Reform_Playing#0,"""Переделка..."""
DeleteRoomGoods_SelectRoom_Playing#0,"""Удалены все предметы комнаты в указанной комнате."""
MovePass_UseInfo#0,"""Желаете воспользоваться Scenery Pass?<br>※Предметы комнаты не удалятся."""
DeleteRoomGoodsInSelectRoom_UseInfo_Title#0,"""Подтверждение удаления"""
DeleteRoomGoodsInSelectRoom_UseInfo#0,"""Желаете удалить все предметы,<br>установленные в данной комнате?"""
RoomSize_Delete#0,"""Удалить"""
ItemList_MenuTitle#0,"""Подробности предметов"""
ItemList_Install#0,"""Установка"""
Custmize_Main_Install#0,"""Установка"""
Custmize_Main_Delete#0,"""Убрать"""
Custmize_Main_1#0,"""Первый"""
Custmize_Main_2#0,"""Второй"""
Custmize_Main_3#0,"""Третий"""
Custmize_Main_4#0,"""Четвёртый"""
RoomGoodsSelectTitle#0,"""Выбор предметов комнаты"""
SelectMenu_Title_EntryMusicDisc#0,"""Регистрация муз-диска"""
ItemList_Title_ItemList_Title_PosterBoardGoods#0,"""Постеры"""
BGMMenu_Entry_UseInfo#0,"""Желаете зарегистрировать?"""
BGMMenu_Entry_UseInfo2#0,"""Зарегистрировать $(0) муз-диск?"""
RoomGoods_Action#0,"""Переместить предметы"""
RoomGoods_Removal#0,"""Убрать"""
RoomGoods_Cancel#0,"""Назад"""
RoomGoods_Motion_Default#0,"""Использовать трюк"""
RoomGoods_Motion_SitDown#0,"""Сесть"""
RoomGoods_Motion_Sleeping#0,"""Лечь"""
RoomGoods_Motion_Darts#0,"""Сыграть в дартс"""
RoomGoods_Motion_Bathe#0,"""Купаться"""
RoomGoods_Motion_Toilet#0,"""Поднять крышку"""
RoomGoods_Motion_Kusudama#0,"""Взломать"""
RoomGoods_Motion_Instrument#0,"""Играть"""
RoomGoods_Motion_SwitchOn#0,"""Нажать переключатель"""
RoomGoods_Motion_Yoga#0,"""Заняться йогой"""
RoomGoods_Motion_Paku#0,"""Положить в руку"""
RoomGoods_Motion_Barbel#0,"""Поднять тяжесть"""
RoomGoods_Motion_Use#0,"""Использовать"""
RoomGoods_Motion_RiceCakeMaking#0,"""Сделать моти"""
RoomGoods_Custmize_Gimmick#0,"""Скомбинировать предметы"""
RoomGoods_Custmize_Remove#0,"""Отменить комбинацию"""
RoomGoods_MessageInOut#0,"""Отредактировать сообщение"""
RoomGoods_PresentBox#0,"""Открыть $(0)"""
RoomGoods_GoodJob#0,"""Отправить Good Job"""
RoomGoods_GoodJob_Greeting#0,"""Отредактировать приветствие"""
RoomGoods_GoodJob_Thanks#0,"""Отред-ть благодарственное сообщение"""
RoomGoods_PlayingBGM#0,"""Выбрать BGM"""
RoomGoods_DefaultBGM#0,"""Сбросить BGM"""
RoomGoods_ChangeTune#0,"""Сменить мелодию"""
RoomGoods_DisplayWeapon#0,"""Отобразить оружие"""
RoomGoods_DisplayWeaponInfo#0,"""Просмотреть подробности оружия"""
RoomGoods_DisplayWeaponAvatar#0,"""Отобразить камуфляж оружия"""
RoomGoods_DisplayWeaponAvatarInfo#0,"""Просмотреть подробности камуфляжа"""
RoomGoods_MyShop#0,"""Активировать магазин"""
RoomGoods_Timer#0,"""Установить таймер"""
RoomGoods_GahaRecommended#0,"""Просмотреть избранные предметы"""
RoomGoods_GahaPlay#0,"""Крутить гачу"""
RoomGoods_GahaManagement#0,"""Управление гачей"""
RoomGoods_FatChecker#0,"""Проверить вес"""
RoomGoods_CashBox_Challenge#0,"""Взломать пароль"""
RoomGoods_CashBox_ChangeNum#0,"""Изменить номера"""
RoomGoods_CashBox_Confirmation#0,"""Проверить режим"""
RoomGoods_Mikiri_Challenge#0,"""Вызов"""
RoomGoods_Mikiri_Easy#0,"""Нормальный режим"""
RoomGoods_Mikiri_Normal#0,"""Сложный режим"""
RoomGoods_Mikiri_Hard#0,"""Очень сложный режим"""
RoomGoods_Mikiri_HiScore#0,"""Режим лучшего очка"""
RoomGoods_Mikiri_CheckRecord#0,"""Посмотреть рекорды"""
RoomGoods_SupportPartnerStandSet#0,"""Вызвать партнёра поддержки"""
RoomGoods_SaProjector#0,"""Установить Символ Арт"""
RoomGoods_OrgelPlay#0,"""Запустить музыкальную шкатулку"""
RoomGoods_OrgelStop#0,"""Остановить музыкальную шкатулку"""
RoomGoods_StrongBoxOpen#0,"""Открыть"""
RoomGoods_StrongBoxClose#0,"""Закрыть"""
RoomGoods_DiceShake#0,"""Бросить куб"""
RoomGoods_DiceEdit#0,"""Отред-ть сообщение"""
RoomGoods_BlackBoard#0,"""Проверить сообщения"""
RoomGoods_CameraShoot#0,"""Меню камеры"""
RoomGoods_CameraSetting#0,"""Местоположение"""
RoomGoods_CameraGuideShoot#0,"""Съёмка: """
RoomGoods_CameraGuideMove01#0,"""Угл: """
RoomGoods_CameraGuideMove02#0,"""Высота: """
RoomGoods_CameraGuideMove03#0,"""Поворот: """
RoomGoods_CameraGuideMove04#0,"""ズーム："""
RoomGoods_CameraGuideReset#0,"""Сброс камеры: """
RoomGoods_CameraGuideResetVita#0,"""Сброс камеры: """
RoomGoods_CameraGuideCancel#0,"""Вернуться: """
RoomGoods_CameraGuideShoot_key#0,"""<%Decide>"""
RoomGoods_CameraGuideMove01_key#0,"""Мышь"""
RoomGoods_CameraGuideMove02_key#0,"""<%MoveForward>/<%MoveBack>"""
RoomGoods_CameraGuideMove03_key#0,"""<%MoveLeft>/<%MoveRight>"""
RoomGoods_CameraGuideMove04_key#0,"""<%PaletteForce>/<%PaletteReverse>"""
RoomGoods_CameraGuideReset_key#0,"""<%NextTabDetails>"""
RoomGoods_CameraGuideCancel_key#0,"""<%Cancel>/Esc"""
RoomGoods_CameraGuideShoot_pad#0,"""<%Decide>"""
RoomGoods_CameraGuideMove01_pad#0,"""<%RStick>"""
RoomGoods_CameraGuideMove02_pad#0,"""<%LStick>(Верх/Низ)"""
RoomGoods_CameraGuideMove03_pad#0,"""<%LStick>(Лево/Право)"""
RoomGoods_CameraGuideMove04_pad#0,"""<%PaletteForce>/<%PaletteReverse>"""
RoomGoods_CameraGuideReset_pad#0,"""<%NextTabDetails>"""
RoomGoods_CameraGuideResetVita_pad#0,"""<%AllWindowClose>"""
RoomGoods_CameraGuideCancel_pad#0,"""<%Cancel>"""
RoomGoods_RaceMachine_Entry#0,"""Участвовать в гонке"""
RoomGoods_RoomRunnerRunning#0,"""Начать бег"""
RoomGoods_CraftCommonOwner#0,"""Меню крафта"""
RoomGoods_CraftCommonGuest#0,"""Просмотр запросов на крафт"""
RoomGoods_CraftOrderOwner#0,"""просмотр списка запросов"""
RoomGoods_CraftOrderGuest#0,"""Просмотреть заказы"""
RoomGoods_Shower#0,"""Принять душ"""
RoomGoods_StopShower#0,"""Прекратить мыться"""
RoomGoods_Motion_Hug#0,"""Обнять"""
RoomGoods_Motion_Ice#0,"""Скушать"""
RoomGoods_DioramaOn#0,"""Размещение ON"""
RoomGoods_DioramaOff#0,"""Размещение OFF (Сброс)"""
RoomGoods_DioramaBreak#0,"""Убрать"""
RoomGoods_DioramaReset#0,"""Отменить"""
RoomGoods_GolfPlay#0,"""Бросить вызов"""
RoomGoods_GolfScore#0,"""Посмотреть рекорды"""
RoomGoods_Tanzaku#0,"""Написать желание на Танзаку"""
RoomGoods_Access#0,"""Доступ"""
RoomGoods_PlayDrum#0,"""Играть на барабанах"""
RoomGoods_DrumpadGuideSnare#0,"""Игра на малых барабанах"""
RoomGoods_DrumpadGuideHighhat#0,"""Игра на хай-хэт тарелках"""
RoomGoods_DrumpadGuideHighTam#0,"""Игра на хай-томе"""
RoomGoods_DrumpadGuideLowTom#0,"""Игра на лоу-томе"""
RoomGoods_DrumpadGuideCymbal#0,"""Игра на крэш-тарелке"""
RoomGoods_DrumpadGuideDrum#0,"""Игра на бас-барабане"""
RoomGoods_DrumpadGuideReturn#0,"""Назад"""
RoomGoods_DrumpadGuideSnare_pad#0,"""：<%SubPaletteLeft>"""
RoomGoods_DrumpadGuideHighhat_pad#0,"""：<%PaletteReverse>"""
RoomGoods_DrumpadGuideHighTam_pad#0,"""：<%SubPaletteRight>"""
RoomGoods_DrumpadGuideLowTom_pad#0,"""：<%PhotonArts>"""
RoomGoods_DrumpadGuideCymbal_pad#0,"""：<%NormalAttack>"""
RoomGoods_DrumpadGuideDrum_pad#0,"""：<%Access>"""
RoomGoods_DrumpadGuideReturn_pad#0,"""：<%Cancel>"""
RoomGoods_DrumpadGuideSnare_key#0,"""Клав[1]"""
RoomGoods_DrumpadGuideHighhat_key#0,"""Клав[2]"""
RoomGoods_DrumpadGuideHighTam_key#0,"""Клав[3]"""
RoomGoods_DrumpadGuideLowTom_key#0,"""Клав[4]"""
RoomGoods_DrumpadGuideCymbal_key#0,"""Клав[5]"""
RoomGoods_DrumpadGuideDrum_key#0,"""Клав[6]"""
RoomGoods_DrumpadGuideReturn_key#0,"""Клав[7]"""
RoomGoods_DrumpadGuideOr#0,""" или """
RoomGoods_LightSourceChangeColor#0,"""Изменить цвет света"""
RoomGoods_LightSourceInvalid#0,"""Вовзвращение к нормальному освещению"""
RoomGoods_Closet#0,"""Отправиться в салон"""
PresentBox#0,"""Подарочная коробка для комнаты.<br>Установив её в чужой комнате, вы<br>сможете разместить предмет из своего<br>инвентаря в коробке. Активный премиум<br>необходим для установки и настройки<br>таковой, а для открытия<br>не обязателен.<br><br>Желаете установить подарочную коробку?"""
Common#0,"""Данный предмет станет доступен<br>только владельцу комнаты.<br><br>Желаете продолжить?"""
ob_1001_0000#0,"""ベーシック・テーマ"""
ob_1001_0001#0,"""ベーシック・テーマ"""
ob_1002_0000#0,"""モダン・テーマ"""
ob_1002_0001#0,"""モダン・テーマ"""
ob_1003_0000#0,"""ゴシック・テーマ／Ｒ"""
ob_1003_0001#0,"""ゴシック・テーマ／Ｒ"""
ob_1004_0000#0,"""クラシック・テーマ"""
ob_1004_0001#0,"""クラシック・テーマ"""
ob_1005_0000#0,"""ベーシック・テーマ／Ｂ"""
ob_1005_0001#0,"""ベーシック・テーマ／Ｂ"""
ob_1006_0000#0,"""ベーシック・テーマ／Ｐ"""
ob_1006_0001#0,"""ベーシック・テーマ／Ｐ"""
ob_1007_0000#0,"""モダン・テーマ／Ｙ"""
ob_1007_0001#0,"""モダン・テーマ／Ｙ"""
ob_1008_0000#0,"""モダン・テーマ／Ｂ"""
ob_1008_0001#0,"""モダン・テーマ／Ｂ"""
ob_1009_0000#0,"""ゴシック・テーマ／Ｂ"""
ob_1009_0001#0,"""ゴシック・テーマ／Ｂ"""
ob_1010_0000#0,"""ゴシック・テーマ"""
ob_1010_0001#0,"""ゴシック・テーマ"""
ob_1011_0000#0,"""クラシック・テーマ／Ｐ"""
ob_1011_0001#0,"""クラシック・テーマ／Ｐ"""
ob_1012_0000#0,"""クラシック・テーマ／Ｃ"""
ob_1012_0001#0,"""クラシック・テーマ／Ｃ"""
ob_1013_0000#0,"""スイーツ・テーマ"""
ob_1013_0001#0,"""スイーツ・テーマ"""
ob_1014_0000#0,"""スイーツ・テーマ／Ｂ"""
ob_1014_0001#0,"""スイーツ・テーマ／Ｂ"""
ob_1015_0000#0,"""スイーツ・テーマ／Ｃ"""
ob_1015_0001#0,"""スイーツ・テーマ／Ｃ"""
ob_1016_0000#0,"""チャイナ・テーマ"""
ob_1016_0001#0,"""チャイナ・テーマ"""
ob_1017_0000#0,"""チャイナ・テーマ／G"""
ob_1017_0001#0,"""チャイナ・テーマ／G"""
ob_1018_0000#0,"""チャイナ・テーマ／Ｂ"""
ob_1018_0001#0,"""チャイナ・テーマ／Ｂ"""
ob_1019_0000#0,"""ウェスタン・テーマ"""
ob_1019_0001#0,"""ウェスタン・テーマ"""
ob_1020_0000#0,"""ウェスタン・テーマ／Ｂ"""
ob_1020_0001#0,"""ウェスタン・テーマ／Ｂ"""
ob_1021_0000#0,"""ウェスタン・テーマ／Ｃ"""
ob_1021_0001#0,"""ウェスタン・テーマ／Ｃ"""
ob_1022_0000#0,"""オリエント・テーマ"""
ob_1022_0001#0,"""オリエント・テーマ"""
ob_1023_0000#0,"""予備枠"""
ob_1023_0001#0,"""予備枠"""
ob_1024_0000#0,"""予備枠"""
ob_1024_0001#0,"""予備枠"""
ob_1027_0000#0,"""オリエント・テーマ／Ｂ"""
ob_1027_0001#0,"""オリエント・テーマ／Ｂ"""
ob_1028_0000#0,"""オリエントテーマ／Ｃ"""
ob_1028_0001#0,"""オリエントテーマ／Ｃ"""
ob_1029_0000#0,"""レトロ・テーマ"""
ob_1029_0001#0,"""レトロ・テーマ"""
ob_1030_0000#0,"""オールド・テーマ"""
ob_1030_0001#0,"""オールド・テーマ"""
ob_1031_0000#0,"""ファンシー・テーマ"""
ob_1031_0001#0,"""ファンシー・テーマ"""
ob_1032_0000#0,"""レトロ・テーマ／G"""
ob_1032_0001#0,"""レトロ・テーマ／G"""
ob_1033_0000#0,"""レトロ・テーマ／Ｂ"""
ob_1033_0001#0,"""レトロ・テーマ／Ｂ"""
ob_1034_0000#0,"""オールド・テーマ／Ｂ"""
ob_1034_0001#0,"""オールド・テーマ／Ｂ"""
ob_1035_0000#0,"""オールド・テーマ／Ｃ"""
ob_1035_0001#0,"""オールド・テーマ／Ｃ"""
ob_1036_0000#0,"""ファンシー・テーマ／Ｂ"""
ob_1036_0001#0,"""ファンシー・テーマ／Ｂ"""
ob_1037_0000#0,"""ファンシー・テーマ／Ｃ"""
ob_1037_0001#0,"""ファンシー・テーマ／Ｃ"""
ob_1038_0000#0,"""ラボラトリー・テーマ"""
ob_1038_0001#0,"""ラボラトリー・テーマ"""
ob_1039_0000#0,"""ラボラトリー・テーマ"""
ob_1039_0001#0,"""ラボラトリー・テーマ"""
ob_1040_0000#0,"""ラボラトリー・テーマ"""
ob_1040_0001#0,"""ラボラトリー・テーマ"""
ob_1041_0000#0,"""エレガント・テーマ"""
ob_1041_0001#0,"""エレガント・テーマ"""
ob_1042_0000#0,"""エレガント・テーマ／Ｂ"""
ob_1042_0001#0,"""エレガント・テーマ／Ｂ"""
ob_1043_0000#0,"""ナイトクラブ・テーマ"""
ob_1043_0001#0,"""ナイトクラブ・テーマ"""
ob_1044_0000#0,"""ナイトクラブ・テーマ／Ｂ"""
ob_1044_0001#0,"""ナイトクラブ・テーマ／Ｂ"""
ob_1045_0000#0,"""ウッディ・テーマ"""
ob_1045_0001#0,"""ウッディ・テーマ"""
ob_1046_0000#0,"""ウッディ・テーマ／Ｂ"""
ob_1046_0001#0,"""ウッディ・テーマ／Ｂ"""
ob_1047_0000#0,"""ガッコ・テーマ"""
ob_1047_0001#0,"""ガッコ・テーマ"""
ob_1048_0000#0,"""ガッコ・テーマ／Ｂ"""
ob_1048_0001#0,"""ガッコ・テーマ／Ｂ"""
ob_1049_0000#0,"""リゾート・テーマ"""
ob_1049_0001#0,"""リゾート・テーマ"""
ob_1050_0000#0,"""予備枠"""
ob_1050_0001#0,"""予備枠"""
ob_1051_0000#0,"""ビンテージ・テーマ"""
ob_1051_0001#0,"""ビンテージ・テーマ"""
ob_1052_0000#0,"""予備枠"""
ob_1052_0001#0,"""予備枠"""
Title#0,"""Настройки параметров входа"""
If_All_OK#0,"""Все игроки"""
If_Friend_Guild_Member#0,"""Друзья и участники команды"""
If_Guild_Member#0,"""Только участники команды"""
If_Friend_Member#0,"""Только друзья"""
If_All_Not#0,"""Приватная (Только вы сможете войти)"""
PasswardInfo#0,"""Установить пароль (до 16-и символов)"""
Enter#0,"""Подтвердить"""
Enter_Hint#0,"""Настройки применены."""
Title#1,"""Ввод сообщения"""
MenuMessage#0,"""Сообщение для отображения"""
MenuFukidashi#0,"""Форма облачка"""
MenuManpu#0,"""Отображение меток"""
Title_Edit#0,"""Текущие настройки"""
MenuItem#0,"""Помещение предмета"""
MenuMeseta#0,"""Помещение месеты"""
Title_Meseta#0,"""Ввести объем месеты"""
Meseta_Message#0,"""Пожалуйста, укажите кол-во месеты, которое хотите подарить."""
Result_Title#0,"""Получить подарок"""
Result_MesseaeItem#0,"""Вы получили предмет:<br>$(0)."""
Result_MesseaeMeseta#0,"""Вы получили: $(0) месеты."""
Result_None#0,"""Там ничего не было."""
Title_Check#0,"""Подтвердить подарок"""
Check_MesseaeItem#0,"""$(0)<br>отправится в подарочную коробку.<br>Желаете продолжить?"""
Check_MesseaeMeseta#0,"""$(0) месеты<br>отправится в подарочную коробку.<br>Желаете продолжить?"""
Check_MesseaeNone#0,"""Желаете оставить подарочную коробку пустой?"""
Title#2,"""Терминал комнаты"""
Menu_Main#0,"""<c f0df60>Вы можете настроить предметы комнаты, сменить тему комнаты, переместить выбранный предмет и изменить настройки блокировки комнаты.<c>"""
Menu_Main_v#0,"""<c f0df60>ルームグッズを設置したり、ルームリフォーム（テーマ変更や部屋の増改築）、などが可能です。<c>"""
Menu_RoomGoods#0,"""<c f0df60>Установите выбранные предметы комнаты. Пожалуйста, будьте внимательны к таким параметрам, как габариты и ограничения предмета.<c>"""
Menu_RoomGoods_v#0,"""<c f0df60>ルームグッズを選択し、設置できます。<c><pict Sign_TRIANGLE><c ffa500>で倉庫アイコンと装備不可アイコンを切り替えます。<c>"""
Menu_RoomSelect#0,"""<c f0df60>リПожалуйста, выберите комнату для переделки. Для смены темы комнаты и переделки комнаты нужны соответствующие билеты.<c>"""
Menu_RoomSelect_v#0,"""<c f0df60>リフォームする部屋を選択してください。<c>"""
Menu_Reform#0,"""<c f0df60>Необходим билет для смены темы комнаты (билет типа 'Theme') или изменения размера (билет типа 'Remodel Room'). Любой может быть использован для расширения комнаты.<c>"""
Menu_Reform_v#0,"""<c f0df60>部屋のテーマ変更には「テーマ」系、サイズ変更には「リモデルーム」系パスが必要です。<c>"""
Menu_MovePass#0,"""<c f0df60>Пожалуйста, выберите куда использовать билет сценария. (Билет сценария можно получить через лотерею)<c>"""
Menu_BGM#0,"""<c f0df60>Регистрация муз-дисков. Зарегистрированные BGM можно проиграть с помощью музыкального автомата.<c>"""
Menu_BGMEntry#0,"""<c f0df60>Вы можете зарегистрировать BGM с муз-диска. Пожалуйста, выберите муз-диск для регистрации.<c>"""
Menu_BGMCheck#0,"""<c f0df60>Вы можете проигрываемый BGM в вашей комнате. Пожалуйста, выберите желаемый BGM.<c>"""
Menu_RoomLock#0,"""<c f0df60>Вы можете ограничить вход в комнату. Пожалуйста, укажите группу, которая будет допущена в вашу комнату.<c>"""
Menu_PresentBoxMain#0,"""<c f0df60>Вы можете поместить месету или предметы в подарочную коробку.<c>"""
Menu_PresentBoxItem#0,"""<c f0df60>Пожалуйста, выберите предмет, который будет помещён в подарочную коробку.<c>"""
Menu_PresentBoxMeseta#0,"""<c f0df60>Пожалуйста, выберите объём месеты, который хотите поместить в подарочную коробку.<c>"""
Menu_WeaponDisplay#0,"""<c f0df60>Вы можете отобразить голограмму оружия, которое есть у вас в наличии. Пожалуйста, выберите оружие для отображения.<c>"""
Menu_WeaponDisplayInfo#0,"""<c f0df60>Просмотрите подробности отображаемого оружия.<c>"""
Menu_WeaponAvatarDisplay#0,"""<c f0df60>пожалуйста, выберите камуфляж для отображения. Вы можете отобразить голограммой камуфляж, которым владеете.<c>"""
Menu_WeaponAvatarDisplayInfo#0,"""<c f0df60>Просмотрите подробности отображаемого камуфляжа.<c>"""
Menu_RoomGoodsAccess#0,"""<c f0df60>Вы можете использовать функции вашей комнаты. Кроме того, владелец может перемещать или убирать предметы.<c>"""
Menu_RoomGoodsAccess_v#0,"""<c f0df61>ルームグッズの機能を利用できます。マイルームの持ち主は移動、撤去を行うことができます。<c>"""
Menu_DecoGoods#0,"""<c f0df60>Выбранный предмет комнаты может содержать украшение. Пожалуйста, выберите украшение для установки.<c>"""
Menu_DecoGoods_v#0,"""<c f0df60>選択した箇所に1×1のルームグッズを設置できます。ルームグッズを選択してください。<c>"""
Menu_Message#0,"""<c f0df60>Вы можете настроить сообщение выводимое предметом комнаты.<c>"""
Menu_GoodJob#0,"""<c f0df60>Отправьте Good Job владельцу данной комнаты.<c>"""
Menu_GoodJob_Greeting#0,"""<c f0df60>Вы можете набрать собственное сообщение Good Job, которое будет отображаться при подходе к предмету.<c>"""
Menu_GoodJob_Thanks#0,"""<c f0df60>Вы можете набрать сообщение Good Job, которое будет отображаиться при использовании.<c>"""
Menu_SetTimer#0,"""<c f0df60>При установке таймера, сообщение отобразится по прошествию времени.<c>"""
Menu_PhotoGachan_Line_Up#0,"""<c f0df60>Проверьте призы Photogachan'а.<c>"""
Menu_PhotoGachan_Play#0,"""<c f0df60>Крутаните Photogachan один раз.<c>"""
Menu_PhotoGachan_Management#0,"""<c f0df60>Измените настройки Photogachan'а.<c>"""
Menu_Ceilling_RoomSelect#0,"""<c f0df60>Выберите комнату в которой нужно оформить потолок.<c>"""
