iidxNotFound#0,"""Ничего"""
iidx3_62_0_33#0,"""Водоросли чиринабэ<br>"""
iidx3_62_0_34#0,"""Жареный во фритюре змееголов<br>"""
iidx3_62_0_35#0,"""Роскошные морепродукты<br>"""
iidx3_62_0_36#0,"""Игольчатая галетта<br>"""
iidx3_63_0_1#0,"""Суп из морепродуктов<br>Равиоли из репы<br>"""
iidx3_63_0_2#0,"""Мидии с маслом<br>Рак-богомол на пару<br>"""
iidx3_63_0_4#0,"""Конфи из морепродуктов и фруктов<br>"""
iidx3_63_0_6#0,"""Салат из моллюсков<br>"""
iidx3_63_0_7#0,"""Брошетка из морепродуктов<br>"""
iidx3_63_0_8#0,"""Устрицы на гриле<br>"""
iidx3_63_0_10#0,"""Роскошные морепродукты<br>"""
iidx3_64_0_0#0,"""Темпура креветки<br>Мята менье<br>"""
iidx3_64_0_1#0,"""Суп из морепродуктов<br>Салат с сардиной<br>"""
iidx3_64_0_2#0,"""Крабовый крокет<br>Буррито с кальмарами<br>Крабы с грибами под яйцом<br>"""
iidx3_64_0_4#0,"""Рак-богомол на пару<br>Устрицы на гриле<br>"""
iidx3_64_0_5#0,"""Равиоли из репы<br>Салат из моллюсков<br>"""
iidx3_64_0_6#0,"""Ахидзё с зелёным луком <br>Жареные креветки-богомолы<br>"""
iidx3_64_0_7#0,"""Жареные креветки-богомолы<br>"""
iidx3_64_0_8#0,"""Крабы с грибами под яйцом<br>Суп из кукурузы Dengeki<br>"""
iidx3_64_0_9#0,"""Репейный бисквит с лопухом<br>"""
iidx3_65_0_0#0,"""Буррито с кальмарами<br>Ахидзё с зелёным луком <br>"""
iidx3_65_0_1#0,"""Осминожьи оладьи<br>"""
iidx3_65_0_2#0,"""Пирог со светлячками и кальмарами<br>"""
iidx3_68_0_0#0,"""Обёрнутые на гриле морепродукты<br>"""
iidx3_70_0_0#0,"""Вяленое мясо<br>Жаркое с мясом<br>Маринад<br>"""
iidx3_70_0_1#0,"""Вкусный бургер<br>Шикарный гамбургер<br>Караагэ<br>"""
iidx3_71_0_0#0,"""*R/Burn Guard<br>R/Freeze Guard<br>R/Shock Guard<br>"""
iidx3_71_0_1#0,"""*R/Effort Symbol Hu<br>"""
iidx3_71_0_2#0,"""*R/Effort Symbol Ra<br>"""
iidx3_71_0_3#0,"""*R/Effort Symbol Fo<br>"""
iidx3_71_0_4#0,"""*R/Effort Symbol Fi<br>"""
iidx3_71_0_5#0,"""*R/Effort Symbol Gu<br>"""
iidx3_71_0_6#0,"""*R/Effort Symbol Te<br>"""
iidx3_71_0_7#0,"""*R/Effort Symbol Br<br>"""
iidx3_71_0_8#0,"""*R/Effort Symbol Bo<br>"""
iidx3_71_0_10#0,"""*R/Effort Symbol Su<br>"""
