Gat_TitleStatus#0,"""Состояние сбора"""
Name_C0116#0,"""Сбор Volcanic Cavern Pineapple 2"""
Name_C0117#0,"""Сбор Amduscia Dragon Scale 1"""
Name_C0118#0,"""Сбор Volcanic Cavern Garnet 1"""
Name_C0119#0,"""Сбор в Тундре 1"""
Name_C0120#0,"""Сбор в Тундре 2"""
Name_C0121#0,"""Сбор в Тундре 3"""
Name_C0122#0,"""Сбор Tundra Onion 1"""
Name_C0123#0,"""Сбор Tundra Onion 2"""
Name_C0124#0,"""Сбор Green Tundra Apple 1"""
Name_C0125#0,"""Сбор Green Tundra Apple 2"""
Name_C0126#0,"""Сбор Naberdake 1"""
Name_C0127#0,"""Сбор в Тундре 1"""
Name_C0128#0,"""Сбор в Туннелях 1"""
Name_C0129#0,"""Сбор в Туннелях 2"""
Name_C0130#0,"""Сбор в Туннелях 3"""
Name_C0131#0,"""Сбор Tunnels Mushroom 1"""
Name_C0132#0,"""Сбор Tunnels Mushroom 2"""
Name_C0133#0,"""Сбор Tunnels Ginger 1"""
Name_C0134#0,"""Сбор Tunnels Ginger 2"""
Name_C0135#0,"""Сбор Lillipa Chokki 1"""
Name_C0136#0,"""Сбор Tunnels Peridot 1"""
Name_C0137#0,"""Сбор в Широнии 1"""
Name_C0138#0,"""Сбор в Широнии 2"""
Name_C0139#0,"""Сбор в Широнии 3"""
Name_C0140#0,"""Сбор Shironia Bean Sprouts 1"""
Name_C0141#0,"""Сбор Shironia Bean Sprouts 2"""
Name_C0142#0,"""Сбор Shironia Eggplant 1"""
Name_C0143#0,"""Сбор Shironia Eggplant 2"""
Name_C0144#0,"""Сбор в развалинах Харкотана 1"""
Name_C0145#0,"""Сбор Shironia Moonstone 1"""
Name_C0146#0,"""Сбор на Парящем континенте 1"""
Name_C0147#0,"""Сбор на Парящем континенте 2"""
Name_C0148#0,"""Сбор на Парящем континенте 3"""
Name_C0149#0,"""Сбор Skyscape Beans 1"""
Name_C0150#0,"""Сбор Skyscape Beans 2"""
Name_C0151#0,"""Сбор Skyscape Chestnut 1"""
Name_C0152#0,"""Сбор Skyscape Chestnut 2"""
Name_C0153#0,"""Сбор Amduscia Dragon Scale 1"""
Name_C0154#0,"""Сбор Skyscape Fluorite 1"""
Name_C0155#0,"""Сбор на Морском дне 1"""
Name_C0156#0,"""Сбор на Морском дне 2"""
Name_C0157#0,"""Сбор на Морском дне 3"""
Name_C0158#0,"""Сбор Seabed Shallot 1"""
Name_C0159#0,"""Сбор Seabed Shallot 2"""
Name_C0160#0,"""Сбор Seabed Lemon 1"""
Name_C0161#0,"""Сбор Seabed Lemon 2"""
Name_C0162#0,"""Сбор Vopar Shell 1"""
Name_C0163#0,"""Сбор Seabed Tanzanite 1"""
Name_C0164#0,"""Сбор в Святилище 1"""
Name_C0165#0,"""Сбор в Святилище 2"""
Name_C0166#0,"""Сбор в Святилище 3"""
Name_C0167#0,"""Сбор Sanctum Daikon 1"""
Name_C0168#0,"""Сбор Sanctum Daikon 2"""
Name_C0169#0,"""Сбор Sanctum Spinach 1"""
Name_C0170#0,"""Сбор Sanctum Spinach 2"""
Name_C0171#0,"""Сбор Amduscia Dragon Scale 1"""
Name_C0172#0,"""Сбор Sanctum Zircon 1"""
Name_C0173#0,"""Сбор в Куронии 1"""
Name_C0174#0,"""Сбор в Куронии 2"""
Name_C0175#0,"""Сбор в Куронии 3"""
Name_C0176#0,"""Сбор Kuron Lotus Root 1"""
Name_C0177#0,"""Сбор Kuron Lotus Root 2"""
Name_C0178#0,"""Сбор Kuron Burdock 1"""
Name_C0179#0,"""Сбор Kuron Burdock 2"""
Name_C0180#0,"""Сбор в развалинах Харкотана 1"""
Name_C0181#0,"""Сбор Kuron Hematite 1"""
Explain_C0000#0,"""<yellow>Выполнить 1 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0001#0,"""<yellow>Выполнить 8 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0002#0,"""<yellow>Выполнить 20 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0003#0,"""<yellow>Выполнить 30 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0004#0,"""<yellow>Выполнить 40 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0005#0,"""<yellow>Выполнить 50 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0006#0,"""<yellow>Выполнить 5 дополнительных сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c 73d882>\u3000※Повышенный шанс дополнительного сбора урожая во время<br>приготовления Seafood Soup.<c>"""
Explain_C0007#0,"""<yellow>Выполнить 10 дополнительных сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c 73d882>\u3000※Повышенный шанс дополнительного сбора урожая во время<br>приготовления Seafood Soup.<c>"""
Explain_C0008#0,"""<yellow>Выполнить 20 дополнительных сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c 73d882>\u3000※Повышенный шанс дополнительного сбора урожая во время<br>приготовления Seafood Soup.<c>"""
Explain_C0009#0,"""<yellow>Выполнить 30 дополнительных сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c 73d882>\u3000※Повышенный шанс дополнительного сбора урожая во время<br>приготовления Seafood Soup.<c>"""
Explain_C0010#0,"""<yellow>Выполнить 5 сборов редкостей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c d468a0>\u3000※Сбор редкостей происходит случайным образом во время<br>сбора.<c>"""
Explain_C0011#0,"""<yellow>Выполнить 10 сборов редкостей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c d468a0>\u3000※Сбор редкостей происходит случайным образом во время<br>сбора.<c>"""
Explain_C0012#0,"""<yellow>Выполнить 20 сборов редкостей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c d468a0>\u3000※Сбор редкостей происходит случайным образом во время<br>сбора.<c>"""
Explain_C0013#0,"""<yellow>Выполнить 30 сборов редкостей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c d468a0>\u3000※Сбор редкостей происходит случайным образом во время<br>сбора.<c>"""
Explain_C0014#0,"""<yellow>Сбор 10 овощей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: овощи<br><c 73d882>\u3000※Повышенный шанс сбора урожая овощей во время<br>приготовления салата из Forest Tomato.<c>"""
Explain_C0015#0,"""<yellow>Сбор 10 фруктов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: фрукт<br><c 73d882>\u3000※Повышенный шанс сбора урожая фруктов во время<br>приготовления жареного Grilled Coast Filefish.<c>"""
Explain_C0016#0,"""<yellow>Сбор 10 зерновых!<c><br>\u3000※Область: не определена<br>\u3000※Категория: зерно<br><c 73d882>\u3000※Повышенный шанс сбора урожая зерновых во время<br>приготовления Forest Tuna Carpaccio.<c>"""
Explain_C0017#0,"""<yellow>Сбор 10 минералов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: минералы<br><c 73d882>\u3000※Повышенный шанс сбора урожая минералов во время<br>приготовления Sashimi.<c>"""
Explain_C0018#0,"""<yellow>Выполнить 100 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0019#0,"""<yellow>Выполнить 200 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0020#0,"""<yellow>Выполнить 300 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0021#0,"""<yellow>Выполнить 400 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0022#0,"""<yellow>Выполнить 500 сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая"""
Explain_C0023#0,"""<yellow>Выполнить 50 дополнительных сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c 73d882>\u3000※Повышение шансов дополнительного сбора во время<br>приготовления [Seafood Soup].<c>"""
Explain_C0024#0,"""<yellow>Выполнить 75 дополнительных сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c 73d882>\u3000※Повышение шансов дополнительного сбора во время<br>приготовления [Seafood Soup].<c>"""
Explain_C0025#0,"""<yellow>Выполнить 100 дополнительных сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c 73d882>\u3000※Повышение шансов дополнительного сбора во время<br>приготовления [Seafood Soup].<c>"""
Explain_C0026#0,"""<yellow>Выполнить 125 дополнительных сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c 73d882>\u3000※Повышение шансов дополнительного сбора во время<br>приготовления [Seafood Soup].<c>"""
Explain_C0027#0,"""<yellow>Выполнить 150 дополнительных сборов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c 73d882>\u3000※Повышение шансов дополнительного сбора во время<br>приготовления [Seafood Soup].<c>"""
Explain_C0028#0,"""<yellow>Выполнить 50 сборов редкостей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c d468a0>\u3000※Во время сбора редкости выпадают<br> случайным образом.<c>"""
Explain_C0029#0,"""<yellow>Выполнить 75 сборов редкостей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c d468a0>\u3000※Во время сбора редкости выпадают<br> случайным образом.<c>"""
Explain_C0030#0,"""<yellow>Выполнить 100 сборов редкостей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c d468a0>\u3000※Во время сбора редкости выпадают<br> случайным образом.<c>"""
Explain_C0031#0,"""<yellow>Выполнить 125 сборов редкостей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c d468a0>\u3000※Во время сбора редкости выпадают<br> случайным образом.<c>"""
Explain_C0032#0,"""<yellow>Выполнить 150 сборов редкостей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: общая<br><c d468a0>\u3000※Во время сбора редкости выпадают<br> случайным образом.<c>"""
Explain_C0033#0,"""<yellow>Сбор 50 овощей!<c><br>\u3000※Область: не определена<br>\u3000※Категория: овощи<br><c 73d882>\u3000※Повышение шансов сбора овощей во время<br>приготовления Forest Tomato Salad.<c>"""
Explain_C0034#0,"""<yellow>Сбор 50 фруктов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: фрукты<br><c 73d882>\u3000※Повышение шансов сбора фрукта во время<br>приготовления Grilled Coast Filefish.<c>"""
Explain_C0035#0,"""<yellow>Сбор 50 зерновых!<c><br>\u3000※Область: не определена<br>\u3000※Категория: зерновые<br><c 73d882>\u3000※Повышение шансов сбора  зерновых во время<br>приготовления Forest Tuna Carpaccio.<c>"""
Explain_C0036#0,"""<yellow>Сбор 50 минералов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: минералы<br><c 73d882>\u3000※Повышение шансов получить минералы во время<br>приготовления Sashimi.<c>"""
Explain_C0037#0,"""<yellow>Сбор 10самоцветов!<c><br>\u3000※Область: не определена<br>\u3000※Категория: самоцветы<br><c 73d882>\u3000※Повышение шансов сборасамоцветов во время<br>приготовления Quarry Shark Soup.<c>"""
Explain_C0038#0,"""<yellow>10 попытка сбора в Лесу!<c><br>\u3000※Область: Лес<br>\u3000※Категория: не определена"""
Explain_C0039#0,"""<yellow>20 попытка сбора в Лесу!<c><br>\u3000※Область: Лес<br>\u3000※Категория: не определена"""
Explain_C0040#0,"""<yellow>30 попытка сбора в Лесу!<c><br>\u3000※Область: Лес<br>\u3000※Категория: не определена"""
Explain_C0041#0,"""<yellow>Сбор 3 Forest Tomatoes!<c><br>\u3000※Область: Лес<br>\u3000※Категория: овощи<br><c 73d882>\u3000※Повышение шансов сбора овощей во время<br>приготовления Forest Tomato Salad.<c>"""
Explain_C0042#0,"""<yellow>Сбор 10 Forest Tomatoes!<c><br>\u3000※Область: Лес<br>\u3000※Категория: овощи<br><c 73d882>\u3000※Повышение шансов сбора овощей во время<br>приготовления Forest Tomato Salad.<c>"""
Explain_C0043#0,"""<yellow>Сбор 3 Forest Rice!<c><br>\u3000※Область: Лес<br>\u3000※Категория: зерновые<br><c 73d882>\u3000※Повышение шансов сбора  зерновых во время<br>приготовления Forest Tuna Carpaccio.<c>"""
Explain_C0044#0,"""<yellow>Сбор 15 Forest Rice!<c><br>\u3000※Область: Лес<br>\u3000※Категория: зерновые<br><c 73d882>\u3000※Повышение шансов сбора  зерновых во время<br>приготовления Forest Tuna Carpaccio.<c>"""
Explain_C0045#0,"""<yellow>Сбор 3 Naberdake!<c><br>\u3000※Область: Лес<br>\u3000※Категория: овощи<br><c 73d882>\u3000※Повышение шансов сбора овощей во время<br>приготовления Forest Tomato Salad.<c>"""
Explain_C0046#0,"""<yellow>Сбор 3 Forest Emeralds!<c><br>\u3000※Область: Лес<br>\u3000※Категория: самоцветы<br><c 73d882>\u3000※Повышение шансов сборасамоцветов во время<br>приготовления Quarry Shark Soup.<c>"""
Explain_C0047#0,"""<yellow>10 попытка сбора в Руинах!<c><br>\u3000※Область: Руины<br>\u3000※Категория: не определена"""
Explain_C0048#0,"""<yellow>20 попытка сбора в Руинах!<c><br>\u3000※Область: Руины<br>\u3000※Категория: не определена"""
Explain_C0049#0,"""<yellow>30 попытка сбора в Руинах!<c><br>\u3000※Область: Руины<br>\u3000※Категория: не определена"""
Explain_C0050#0,"""<yellow>Сбор 3 Ruins Grapes!<c><br>\u3000※Область: Руины<br>\u3000※Категория: фрукты<br><c 73d882>\u3000※Повышение шансов сбора фрукта во время<br>приготовления Grilled Coast Filefish.<c>"""
Explain_C0051#0,"""<yellow>Сбор 15 Ruins Grapes!<c><br>\u3000※Область: Руины<br>\u3000※Категория: фрукты<br><c 73d882>\u3000※Повышение шансов сбора фрукта во время<br>приготовления Grilled Coast Filefish.<c>"""
Explain_C0052#0,"""<yellow>Сбор 3 Ruins Onions!<c><br>\u3000※Область: Руины<br>\u3000※Категория: овощи<br><c 73d882>\u3000※Повышение шансов сбора овощей во время<br>приготовления Ruins Salmon in Fruit Sauce.<c>"""
Explain_C0053#0,"""<yellow>Сбор 15 Ruins Onions!<c><br>\u3000※Область: Руины<br>\u3000※Категория: овощи<br><c 73d882>\u3000※Повышение шансов сбора овощей во время<br>приготовления Ruins Salmon in Fruit Sauce.<c>"""
Explain_C0054#0,"""<yellow>Сбор 3 Naberdake!<c><br>\u3000※Область: Руины<br>\u3000※Категория: овощи<br><c 73d882>\u3000※Повышение шансов сбора овощей во время<br>приготовления Ruins Salmon in Fruit Sauce.<c>"""
Explain_C0055#0,"""<yellow>Сбор 3 Ruins Amethyst!<c><br>\u3000※Область: Руины<br>\u3000※Категория: самоцветы<br><c 73d882>\u3000※Повышение шансов сбора драгоценных камней во время<br>приготовления Quarry Shark Soup.<c>"""
Explain_C0056#0,"""<yellow>10 попытка сбора на Побережье!<c><br>\u3000※Область: Побережье<br>\u3000※Категория: не определена"""
Explain_C0057#0,"""<yellow>20 попытка сбора на Побережье!<c><br>\u3000※Область: Побережье<br>\u3000※Категория: не определена"""
Explain_C0058#0,"""<yellow>30 попытка сбора на Побережье!<c><br>\u3000※Область: Побережье<br>\u3000※Категория: не определена"""
Explain_C0059#0,"""<yellow>Сбор 3 Coast Salt!<c><br>\u3000※Область: Побережье<br>\u3000※Категория: минералы<br><c 73d882>\u3000※Повышение шансов получить минералы во время<br>приготовления Sashimi.<c>"""
Explain_C0060#0,"""<yellow>Сбор 15 Coast Salt!<c><br>\u3000※Область: Побережье<br>\u3000※Категория: минералы<br><c 73d882>\u3000※Повышение шансов получить минералы во время<br>приготовления Sashimi.<c>"""
Explain_C0061#0,"""<yellow>Сбор 3 Coast Olives!<c><br>\u3000※Область: Побережье<br>\u3000※Категория: фрукты<br><c 73d882>\u3000※Повышение шансов сбора фрукта во время<br>приготовления Grilled Coast Filefish.<c>"""
Explain_C0062#0,"""<yellow>Сбор 15 Coast Olives!<c><br>\u3000※Область: Побережье<br>\u3000※Категория: фрукты<br><c 73d882>\u3000※Повышение шансов сбора фрукта во время<br>приготовления Grilled Coast Filefish.<c>"""
Explain_C0063#0,"""<yellow>Собрать 3 Vopar Shell!<c><br>\u3000※Область: Побережье<br>\u3000※Категория: другое<br><c 73d882>\u3000※Повышение шансов сбора других материалов во время<br>приготовления Tunnels Snail Salad.<c>"""
Explain_C0064#0,"""<yellow>Сбор 3 Coast Sapphire!<c><br>\u3000※Область: Побережье<br>\u3000※Категория: самоцветы<br><c 73d882>\u3000※Повышение шансов сбора драгоценных камней во время<br>приготовления Quarry Shark Soup.<c>"""
Explain_C0065#0,"""<yellow>10 попытка сбора в Токио!<c><br>\u3000※Область: Токио<br>\u3000※Категория: не определена"""
Explain_C0066#0,"""<yellow>20 попытка сбора в Токио!<c><br>\u3000※Область: Токио<br>\u3000※Категория: не определена"""
Explain_C0067#0,"""<yellow>30 попытка сбора в Токио!<c><br>\u3000※Область: Токио<br>\u3000※Категория: не определена"""
Explain_C0068#0,"""<yellow>Сбор 3 Tokyo Soybeans!<c><br>\u3000※Область: Токио<br>\u3000※Категория: зерновые<br><c 73d882>\u3000※Повышение шансов сбора  зерновых во время<br>приготовления Forest Tuna Carpaccio.<c>"""
Explain_C0069#0,"""<yellow>Сбор 15 Tokyo Soybeans!<c><br>\u3000※Область: Токио<br>\u3000※Категория: зерновые<br><c 73d882>\u3000※Повышение шансов сбора  зерновых во время<br>приготовления Forest Tuna Carpaccio.<c>"""
Explain_C0070#0,"""<yellow>Сбор 3 Earthrocks!<c><br>\u3000※Область: Токио<br>\u3000※Категория: минералы<br><c 73d882>\u3000※Повышение шансов получить минералы во время<br>приготовления Tokyo Madai Teriyaki.<c>"""
Explain_C0071#0,"""<yellow>Сбор 15 Earthrocks!<c><br>\u3000※Область: Токио<br>\u3000※Категория: минералы<br><c 73d882>\u3000※Повышение шансов получить минералы во время<br>приготовления Tokyo Madai Teriyaki.<c>"""
Explain_C0072#0,"""<yellow>Сбор 3 Empty Bottle!<c><br>\u3000※Область: Токио<br>\u3000※Категория: другое<br><c 73d882>\u3000※Повышение шансов сбора других материалов во время<br>приготовления Tunnels Snail Salad.<c>"""
Explain_C0073#0,"""<yellow>Сбор 3 Tokyo Opal!<c><br>\u3000※Область: Токио<br>\u3000※Категория: самоцветы<br><c 73d882>\u3000※Повышение шансов сбора драгоценных камней во время<br>приготовления Quarry Shark Soup.<c>"""
Explain_C0074#0,"""<yellow>砂漠で10回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：すべて"""
Explain_C0075#0,"""<yellow>砂漠で20回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：すべて"""
Explain_C0076#0,"""<yellow>砂漠で30回、採取しよう！<c><br>\u3000※エリア：砂漠<br>\u3000※対象カテゴリ：すべて"""
Explain_C0077#0,"""<yellow>Сбор 3 Desert サンショウ!<c><br>\u3000※Область: Пустыня<br>\u3000※Категория: овощи<br><c 73d882>\u3000※Повышение шансов сбора овощей во время<br>приготовления Forest Tomato Salad.<c>"""
Explain_C0078#0,"""<yellow>Сбор 15 Desert サンショウ!<c><br>\u3000※Область: Пустыня<br>\u3000※Категория: овощи<br><c 73d882>\u3000※Повышение шансов сбора овощей во время<br>приготовления Forest Tomato Salad.<c>"""
Explain_C0079#0,"""<yellow>Сбор 3 Desert Mangoes!<c><br>\u3000※Область: Пустыня<br>\u3000※Категория: зерновые<br><c 73d882>\u3000※Повышение шансов сбора  зерновых во время<br>приготовления Desert Crab Croquette.<c>"""
Explain_C0080#0,"""<yellow>Сбор 15 Desert Mangoes!<c><br>\u3000※Область: Пустыня<br>\u3000※Категория: зерновые<br><c 73d882>\u3000※Повышение шансов сбора  зерновых во время<br>приготовления Desert Crab Croquette.<c>"""
Explain_C0081#0,"""<yellow>Сбор 3 Lillipa Chokki!<c><br>\u3000※Область: Пустыня<br>\u3000※Категория: другое<br><c 73d882>\u3000※Повышение шансов сбора других материалов во время<br>приготовления Tunnels Snail Salad.<c>"""
Explain_C0082#0,"""<yellow>Сбор 3 Desert Topaz!<c><br>\u3000※Область: Пустыня<br>\u3000※Категория: драгоценные камни<br><c 73d882>\u3000※Повышение шансов сбора драгоценных камней во время<br>приготовления Quarry ウナギのうな重.<c>"""
Explain_C0083#0,"""<yellow>採掘場跡で10回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：すべて"""
Explain_C0084#0,"""<yellow>採掘場跡で20回、採取しよう！<c><br>\u3000※エリア：採掘場跡<br>\u3000※対象カテゴリ：すべて"""
