Title#0,"""Меню покупки"""
ExchangeUseTitle#0,"""スクラッチ景品交換券"""
ExchangeUseMessage#0,"""対応するACスクラッチの景品リストから<br>どれでも好きな景品を一つ選んで交換できる<br>『$(0)』を獲得しました。<br><br>今すぐ景品リストから交換しますか？<br><br><yellow>※景品と引き換えに交換券は消費されます。<br>※ACスクラッチゴールドの景品と交換はできません。<br>※対応するスクラッチの配信期間が過ぎると<br>\u3000景品と交換できなくなるのでご注意ください。<c>"""
ExchangeUseMessage_ItemPackFull#0,"""対応するスクラッチの景品リストから<br>どれでも好きな景品を一つ選んで交換できる<br>『$(0)』を獲得しました。<br><br><red>スクラッチ景品交換券を倉庫から取り出して<br>景品リストから交換してください。<c><br><br><yellow>※景品と引き換えに交換券は消費されます。<br>※ACスクラッチゴールドの景品と交換はできません。<br>※対応するスクラッチの配信期間が過ぎると<br>\u3000景品と交換できなくなるのでご注意ください。<c>"""
ExchangeUseButton1#0,"""はい"""
ExchangeUseButton2#0,"""いいえ"""
ExchangeConsumptionTitle#0,"""交換チケット消費確認"""
ExchangeConsumptionMessage#0,"""<yellow>$(0)<c>×1<br>と、選択したアイテムを交換します。<br>よろしいですか？<br><yellow>※以下のアイテム以外は消費されません。<c><br><br>（所持交換チケット：$(1)枚）"""
ExchangeConsumptionButton1#0,"""はい"""
ExchangeConsumptionButton2#0,"""いいえ"""
ExplanationMessage#0,"""<c f0df60>Выберите любое место и очистите его!<c>"""
Normal#0,"""Вы получили $(0)!"""
Complete#0,"""$(0) будут выданы в качестве подарка!"""
Count#0,"""（$(0)個）"""
Title_scratch#0,"""Список приобретённых предметов"""
scratch_message#0,"""Выиграны следующие призы!"""
GachaBonusGet#0,"""スクラッチ回数ボーナス！<br><br>$(0)を獲得しました！<br><br>このスクラッチ$(1)回で次のボーナスがもらえます！"""
GachaBonusGetSimple#0,"""スクラッチ回数ボーナス！<br><br>$(0)を獲得しました！<br><br> """
Title_bonus#0,"""Список заработанных бонусных предметов"""
bonus_message#0,"""<yellow>回数ボーナス<c>により<br>以下のアイテムを獲得しました！"""
exchange_message#0,"""景品と交換が完了しました。"""
Title#6,"""Подтверждение покупки"""
Message#1,"""Продолжить очищать?"""
Title#7,"""Подтверждение пополнения AC"""
Message#2,"""Недостаточно AC.<br>Вы хотите пополнить AC?"""
Title#8,"""Сообщение"""
Message_E1#0,"""Недостаточно AC. :c"""
Message_E2#0,"""アイテムパックの空き容量不足、<br>または対応するACスクラッチ券が<br>所持数の上限を超えているため<br>購入できません。"""
Message_E3#0,"""スクラッチを引くには<br>倉庫に十分な空き容量が必要です。<br><br>アイテムパックに空き容量があっても<br>スクラッチを引くことはできません。"""
Message_E4#0,"""Недостаточно FUN. :c"""
Message_E5#0,"""У вас нет пропуска."""
Message_E6#0,"""Чтобы играть в этот скретч,<br>в вашем инвентаре должно быть место<br>для двух предметов.<br>Пожалуйста, убедитесь, что у вас достаточно места."""
Message_E7#0,"""このスクラッチを引くには、<br>倉庫にアイテム<yellow>$(0)個<c>分の<br>空きが必要です。<br>十分に確保してからスクラッチを引いてください。"""
Message_E8#0,"""交換パスが足りません。"""
Message_E9#0,"""交換パスが間違っています。"""
Message_E10#0,"""ガチャの有効期限が過ぎています。"""
Message_E11#0,"""交換アイテムが間違っています。"""
Message_E12#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>交換できませんでした。"""
Message_E0#0,"""Возникла проблема, поэтому вы не можете сыграть в скретч.<br><br>Возможно, в вашем инвентаре не хватает места."""
Message_E100#0,"""問題が発生したため、<br>スクラッチを引けませんでした。<br><br>時間をおいて再度やり直してください。"""
denomination_1#0,"""AC"""
denomination_2#0,"""FUN"""
denomination_3#0,"""SG"""
none#0,"""Нет"""
times#0,"""連"""
TimesaleTitle#0,"""Ограниченная по времени распродажа!"""
PopupItem1#1,"""<red>$(1)<c>$(0)でスクラッチを引く"""
