OpenSpace#0,"""Открытое пространство"""
Notes_006#0,"""Этот заказ доступен до среды<br> 10:59."""
Notes_007#0,"""Срок для этого заказа был достигнут."""
Notes_008#0,"""Нельзя принять до $(0)<br>из-за недавнего выполнения."""
TargetName_Item#0,"""Доставка предмета"""
TargetName_Quest#0,"""Завершение квеста"""
TargetName_Errand#0,"""Сбор информации"""
TargetName_Weather#0,"""Наблюдение за погодой"""
TargetName_PSE#0,"""Руководство по игре"""
TargetName_Incident#0,"""Экстренное событие завершено"""
TargetName_GetItem#0,"""Доставка предмета"""
TargetName_Enemy#0,"""Ликвидация цели"""
TargetName_Tutorial#0,"""Руководство по игре"""
TargetName_Multi#0,"""Множество целей"""
TargetName_Class#0,"""Руководство по игре"""
TargetName_ClearedOrder#0,"""Заказ выполнен"""
TargetName_ClearOrderNum#0,"""Заказ выполнен"""
TargetName_GetCostPoint#0,"""Повысить риск"""
TargetName_Upstairs#0,"""Вбрать уровни с заданием"""
TargetName_KillDarkerApc#0,"""Ликвидация клонов ARKS"""
TargetName_TalkNpc#0,"""Сбор информации"""
TargetName_BreakBox#0,"""Разрушаемый контейнер"""
TargetName_EventFlag#0,"""Сбор информации"""
TargetName_AmusementAccess#0,"""Казино"""
TargetName_AmusementPlay#0,"""Казино"""
TargetName_AmusementBonus#0,"""Казино"""
TargetName_AmusementGetCoin#0,"""Казино"""
TargetName_AmusementShooterKill#0,"""Казино"""
TargetName_ShowItem#0,"""Показать элемент"""
TargetName_CreateCraft#0,"""Выполните крафт"""
TargetName_CraftAchievement#0,"""Достижение в крафте"""
TargetName_ClearedQuest#0,"""Завершение квеста"""
TargetName_Unconditional#0,"""Нет условий"""
TargetName_AmusementWin#0,"""Казино"""
TargetName_GetRidingPoint#0,"""Наберите очки вождения"""
TargetName_TitleAchieved#0,"""Получен титул"""
Target_Item#0,"""Доствавить [$(0)]"""
Target_Quest#0,"""Завершите [$(0)]"""
Target_Weather#0,"""Исследование: [$(0)]"""
Target_PSE#0,"""Появление [$(0)]"""
Target_Incident#0,"""Завершите [$(0)]"""
Target_GetItem1#0,"""Получите [$(1)]<br>ликвидируя цель [$(0)]."""
Target_GetItem2#0,"""Получите [$(2)]<br>ликвидируя цель Lv.$(0)＋ [$(1)]."""
Target_Enemy#0,"""Ликвидировать [$(0)]"""
Target_Item2#0,"""Собрать 1 или более [$(0)]"""
Target_Enemy2#0,"""Ликвидировать 1 или более [$(0)]"""
Target_Quest2#0,"""Выполнить [$(0)] 1 или более раз"""
Target_ClearedOrder#0,"""Завершите [$(0)]"""
Target_ClearOrderNum#0,"""Выполните все условия $(0)"""
Target_GetCostPoint1#0,"""Риск был дастигнут [$(0)] """
Target_GetCostPoint2#0,"""Зарабатывайте адванс риски на любой локации"""
Target_Upstairs1#0,"""Выполните [$(0)] уровень"""
Target_Upstairs2#0,"""Выполните уровни на любых экстрим заданиях"""
Target_KillDarkerApc#0,"""Ликвидация клонов ARKS"""
Target_BreakBox#0,"""Разрушаемый контейнер"""
Target_AmusementAccess#0,"""Доступно с $(0)"""
Target_AmusementPlay#0,"""Играй $(0)"""
Target_AmusementBonus#0,"""Зарабатывайте бонус на [$(0)]"""
Target_AmusementGetCoin#0,"""Выиграл [$(0)] монет"""
Target_AmusementShooterKill#0,"""Победите [$(0)] Месетана."""
Target_ShowItem#0,"""Показать $(0)"""
Target_CreateCraft#0,"""Выполняйте [$(0)] В [Мой крафт]."""
Target_CreateCraftAll#0,"""Выполняйте любой ккрафт в меню [Мой крафт]."""
Target_CraftAchievement#0,"""Открытые достяжения в крафте"""
Target_ClearedQuest#0,"""Завершите [$(0)]"""
Target_Unconditional#0,"""Нет условий"""
Target_AmusementWin#0,"""Выиграл [$(0)]"""
Target_AmusementWin_Nyau#0,"""Побейте Няу в [$(0)]"""
Target_GetRidingPoint1#0,"""Соберите $(0) очки вождения"""
Target_GetRidingPoint2#0,"""Соберите очки вождения"""
Target_TitleAchieved#0,"""Полученный титул [$(0)]"""
Reward_Mag#0,"""Маг"""
Reward_Skillpoint#0,"""Очки навыков ($arg0)"""
Reward_Myboostpoint#0,"""Ежедневный бонус $(0)%"""
NewOrderAdd#0,"""Новый клиен заказ(s) для $(0) быд добавлен."""
ErrorNotBelongGuild#0,"""Поскольку вы не в команде, вы не можете принимать командные заказы."""
AcceptMulti#0,"""Выбранные заказы были приняты."""
ErrorMulti#0,"""Не удалось принять заказы."""
ErrorLimitAfterJoin#0,"""You cannot accept Team Orders for<br>24 hours upon joining.<br><br>You can check the time you're able<br>to start Team Orders from the<br>Client заказ menu."""
MyBoostPoint#0,"""Ежедневный бонус увеличен $(0)%."""
StoryBoardReward#0,"""Награда за карту историй [$(0)] x$(1)!"""
StoryBoardRewardWithoutNumber#0,"""Награда за карту историй [$(0)]!"""
co#0,"""Частный заказ"""
mo#0,"""-"""
mb#0,"""Карта событий"""
do#0,"""Ежедневный заказ"""
so#0,"""-"""
go#0,"""Заказы команды"""
bo#0,"""-"""
Amusement_All#0,"""Любую игру в казино"""
Amusement_SlotRappy#0,"""Раппм слоты"""
Amusement_Shooter#0,"""Месетан шутер"""
Amusement_Blackjack#0,"""Блек няк"""
Amusement_Roulette#0,"""Ли Ли Рулетка"""
Amusement_SlotArkuma#0,"""Акума слоты"""
ShooterEnemy_All#0,"""Любой противник"""
ShooterEnemy_Bronze_Mesetan#0,"""Бронзовый месетан"""
ShooterEnemy_Silver_Mesetan#0,"""Серебряный месетан"""
ShooterEnemy_Gold_Mesetan#0,"""Золотой местан"""
ShooterEnemy_King_Mesetan#0,"""Король меметан"""
ShooterEnemy_Queen_Mesetan#0,"""Королева месетан"""
ShooterEnemy_Umblla#0,"""Амбра"""
ShooterEnemy_Myau#0,"""Няу"""
ShooterEnemy_Jackpot#0,"""Лампа"""
Craft_Extend#0,"""Крафт оборудование"""
Craft_Technic#0,"""Кастомизация техник"""
Craft_Decomposition#0,"""Разбор придмета"""
Craft_DataDrive#0,"""Обновить диск с настройками"""
Craft_TimeLimitCapability#0,"""Создать времянную способность"""
