Coin#0,"""Монет казино"""
shooter_help_key#0,"""Стрелять: <%NormalAttack>. Двигаться: <%MoveLeft>/<%MoveRight>. Камера: мышкой. Прервать игру: Esc."""
away_confirmation#0,"""Подтверждение выхода"""
away_button#0,"""Выйти"""
shooter_result#0,"""Итоги Месетан тира"""
shooter_result_comment#0,"""Продолжить игру?"""
acquisition_cc#0,"""Получено <pict AmusementCoin>"""
possession_cc#0,"""Всего <pict AmusementCoin>"""
rate_1#0,"""Бронзовый"""
rate_2#0,"""Серебряный"""
rate_3#0,"""Золотой"""
shooter_menu_item#0,"""$(0) режим"""
cc_with_icon#0,"""$(0)<pict AmusementCoin>"""
shooter_result_item#0,"""Играть за $(0)<pict AmusementCoin> ($(1) mode)"""
contents_info_title#0,"""Информация о Месетан тире"""
contents_info#0,"""<space>"""
contents_info_rate#0,"""$(0) режим"""
player_num#0,"""Игроков: $(1)/$(0)"""
shooter_menu_message#0,"""Играть в Месетан тире за $(0) <pict AmusementCoin>?<br><br>(У вас <pict AmusementCoin>: $(1))<br><br>В тире не будут отображаться<br>некоторые сообщения о событиях квестов<br>и о группе."""
shooter_menu_coin_message#0,"""Недостаточно монет казино."""
away_message#0,"""Вы получите выигранные монеты,<br>когда выйдете из Месетан тира.<br><br>Продолжить?"""
line_message#0,"""Терпение... <br>Пожалуйста, дождитесь спада<br>текущей волны."""
toast_playing#0,"""Нельзя присоединиться во время чужой игры."""
toast_burst_failed#0,"""У других игроков случился PSE Burst. Пожалуйста, подождите."""
toast_coin_message#0,"""Вы не можете продолжить игру, недостаточно монет."""
CampaignText#1,"""Усиление накопления уровня PSE"""
SuperCampaignText#1,"""<yellow>Супер-увеличение<c> множителя уровня PSE!"""
title_slot#0,"""Рэппи слотс"""
2gide_slot#0,"""<c f0df60>Играть в Рэппи слотс<c>"""
content_slot#0,"""Рэппи слотс"""
bet_maisu#0,"""Размер ставки"""
Coin#1,"""Монеты казино"""
slot_tonyu#0,"""Менять ставку"""
slot_help#0,"""Менять ставку\u3000\u3000\u3000/← →<br>Старт\u3000\u3000\u3000/Enter<br>Выход\u3000\u3000\u3000/Esc<br>Выигрыши\u3000\u3000\u3000/End<br>Справка\u3000\u3000\u3000\u3000/Home"""
slot_haitohyo#0,"""Комбинации"""
SlotInfo#0,"""Основная информация"""
SlotBonus#0,"""Кол-во бонусных побед"""
SlotMeter#0,"""Шкала Рэппи"""
SlotJackpot#0,"""ДЖЕКПОТ"""
SlotMenuPlay#0,"""Играть"""
SlotMenuBack#0,"""Вернуться"""
SlotMenuTitle#0,"""Информация о Рэппи слотс"""
BasicInfo#0,"""За 1 попытку: 1～5<pict AmusementCoin>"""
BonusNum#0,"""$(0) раз(а)"""
RappyOn#0,"""<pict slot_rappy_on>"""
RappyOff#0,"""<pict slot_rappy_off>"""
EndConfirmTitle#0,"""Подтверждение выхода"""
EndConfirm#0,"""Прекратить играть в Рэппи слотс?"""
CoinNum#0,"""$(0)<pict AmusementCoin>"""
InfoCoinNum#0,"""x $(0)"""
InfoStr00#0,"""+бонусная игра"""
InfoStr01#0,"""+1 к шкале"""
InfoCoin_01#0,"""x 100"""
InfoCoin_02#0,"""x 30"""
InfoCoin_03#0,"""x 15"""
InfoCoin_04#0,"""x 10"""
InfoCoin_05#0,"""x 8"""
InfoCoin_06#0,"""x 5"""
InfoCoin_07#0,"""x 3"""
Help_00#0,"""Менять ставку"""
Help_01#0,"""Старт"""
Help_02#0,"""Комбинации"""
Help_03#0,"""Закрыть"""
Help_04#0,"""Чат"""
Help_10#0,"""Клавиши [↑][↓]"""
Help_10a#0,"""<pict Alpha_UP><pict Alpha_DOWN>"""
Help_10b#0,"""<pict Sign_UP><pict Sign_DOWN>"""
Help_10c#0,"""<pict Number_UP><pict Number_DOWN>"""
Help_11#0,"""<%Decide>"""
Help_12#0,"""[←][End]"""
Help_12a#0,"""<pict Alpha_LEFT>"""
Help_12b#0,"""<pict Sign_LEFT>"""
Help_12c#0,"""<pict Number_LEFT>"""
Help_13#0,"""<%Cancel>/[ESC]"""
Help_13a#0,"""<%Cancel>"""
Help_14#0,"""<pict Sign_SELECT>"""
Help_14a#0,"""<pict Sign_START>"""
SlotInitMsg#0,"""-,---,---"""
NoCoinTitle#0,"""Ошибка монет казино"""
NoCoinMessage#0,"""У вас недостаточно монет казино."""
WaitLongMsg#0,"""一定時間ラッピースロットがプレイされなかったため退席しました。"""
ChanceModeExplanation#0,"""/mn17 Пи-пи-пи♪<br>WILD-символов становится больше! Как здорово! Пи-пи-пи!"""
BonusModeExplanation#0,"""/mn38 /toge Пи-пи-пи♪♪ WILD-символы дали Рэппи PSE Burst! Это твой шанс, зарабатывай монеты!"""
JackpotText#0,"""/mn22 /toge $(0)!<br>Пи-пи! Вот это да! Пи-пи-пи!"""
TipsText0#0,"""/mn9 Радужный WILD-символ заменяет любой другой! Пи-пи-пи!"""
TipsText1#0,"""/mn1 Следы лапок... Не повезло."""
TipsText2#0,"""/mn9 Когда шкала Рэппи заполнена, постарайся поймать WILD-символ! Пи-пи!"""
TipsText3#0,"""/mn9 Если WILD-символ застрял в середине, тебе выпал Рэппи PSE шанс!"""
TipsText4#0,"""/mn9 Во время Рэппи PSE Burst шансы на победу взлетают до небес!"""
TipsText5#0,"""/mn9 Когда все символы окажутся радужными, ты получишь джекпот! Пи-пи-пи!"""
TipsText6#0,"""/mn9 Когда сорвёшь джекпот, получишь много-много монет! Пи-пи-пи!"""
TipsText7#0,"""/mn9 В этой игре ты как будто бросаешь кубики. Может, подуешь на автомат, на удачу? Пи-пи-пи!"""
TipsText8#0,"""/mn9 Чем больше ставка, тем больше выигрыш!"""
TipsText9#0,"""/mn9 Когда выпадает Рэппи PSE шанс, ставку нельзя изменить, пока он не закончится!"""
TipsText10#0,"""/mn16 /moya Прекрасный денёк для джекпота, правда?"""
TipsText11#0,"""/moya /mn4 Пожалуйста, пожалуйста, пожалуйста, совпадите!"""
TipsText12#0,"""/mn15 Попробуй ещё раз, не сдавайся! Пи-пи-пи!"""
TipsText13#0,"""/mn7 О бог Рэппи, даруй нам удачу!"""
TipsText14#0,"""/mn10 Когда заберёшь джекпот, сможешь получить все-все призы, какие захочешь!"""
TipsText15#0,"""/mn20 Пи-пи-пи! Монеты скоро начнут вываливаться за край!"""
TipsText16#0,"""Хочу Рэппи PSE Burst! Пи-пи-пи!"""
TipsText17#0,"""Только не останавливайся... Тебе точно<br>выпадет Рэппи PSE Burst! Пи-пи-пи!"""
TipsText18#0,"""/mn1 Барабан так быстро крутится, не уследить! Пи-пи-пи!"""
TipsText19#0,"""/moya Хочу хоть раз увидеть джекпот своими глазами! Пи-пи-пи!"""
CampaignText#2,"""Шанс Рэппи PSE Burst"""
SuperCampaignText#2,"""<yellow>Супер-усиление<c> Рэппи PSE шанса!<br>WILD-символы выпадают <yellow>в два раза чаще!<c>"""
TopMenu#0,"""Меню"""
MenuSlot#0,"""Слотс"""
MenuShooter#0,"""Тир"""
SubMenuSlot#0,"""スロットメニュー"""
SlotAnimeTest#0,"""Тест анимации"""
SlotInfoTest#0,"""情報表示テスト"""
SubMenuGacha#0,"""Обменник монет"""
SubMenuBlackjack#0,"""Меню Блэк Няка"""
SlotInfo_01#0,"""Ставка"""
SlotInfo_02#0,"""Старт"""
SlotInfo_03#0,"""О выигрыше"""
SlotInfo_04#0,"""Закрыть"""
access#0,"""現在のジャックポットは$(0)枚です。<br><br><yellow>\u3000※ジャックポット枚数が500000に到達すると<br>\u3000ジャックポット発生確率アップ！<c>"""
balloon_help#0,"""Нажмите <%PhotonArts>, чтобы лопнуть шарик."""
RouletteFullScreenTitle#0,"""Лили-рулетка"""
RouletteGuide#0,"""<c f0df60>Играем в Лили-рулетку.<c>"""
RouletteTitle#0,"""Лили-рулетка"""
RouletteBETTitle#0,"""Лили-рулетка"""
RouletteBETMessageAa#0,"""<yellow>Вы можете сделать ещё $(0) ставки.<c>"""
RouletteBETMessageAb#0,"""<red>Одновременно можно сделать только 2 ставки.<c>"""
RouletteBETMessageB#0,"""<yellow>Выберите размер ставки.<c>"""
RouletteBETMessage#0,"""BETした場合結果を確認するまでエリア移動を<br>行わないことを推奨します。<br>正常に支払われない可能性があります。<br><br>自分のBET枚数：$(0)<pict AmusementCoin><br>全体のBET枚数：$(1)<pict AmusementCoin>"""
RouletteBETMessage2#0,"""<yellow>$(0) удвоил<c>"""
RouletteInfoTitle#0,"""Последние результаты"""
RouletteInfoHead1#0,"""<c ffc85a>Предыдущий<c>"""
RouletteInfoHead2#0,"""<c ffc85a>2<c>"""
RouletteInfoHead3#0,"""<c ffc85a>3<c>"""
RouletteInfoHead4#0,"""<c ffc85a>4<c>"""
RouletteInfoHead5#0,"""<c ffc85a>5<c>"""
RouletteInfoHead6#0,"""<c ffc85a>6<c>"""
RouletteInfoHead7#0,"""<c ffc85a>7<c>"""
RouletteInfoHead8#0,"""<c ffc85a>8<c>"""
RouletteInfoHead9#0,"""<c ffc85a>9<c>"""
RouletteInfoHead10#0,"""<c ffc85a>10<c>"""
RouletteInfoHead11#0,"""<c ffc85a>11<c>"""
RouletteInfoHead12#0,"""<c ffc85a>12<c>"""
RouletteInfoHead13#0,"""<c ffc85a>13<c>"""
RouletteInfoHead14#0,"""<c ffc85a>14<c>"""
RouletteInfoHead15#0,"""<c ffc85a>15<c>"""
RouletteInfoHead16#0,"""<c ffc85a>16<c>"""
RouletteInfoHead17#0,"""<c ffc85a>17<c>"""
RouletteInfoHead18#0,"""<c ffc85a>18<c>"""
RouletteInfoHead19#0,"""<c ffc85a>19<c>"""
RouletteInfoHead20#0,"""<c ffc85a>20<c>"""
RouletteColor1#0,"""Красное"""
RouletteColor2#0,"""Синее"""
RouletteColor3#0,"""Зелёное"""
RouletteMiss#0,"""Промах!"""
RouletteChance#0,"""Шанс!"""
RouletteBonus#0,"""Тройной шанс!"""
RouletteFailure#0,"""Провал!"""
RouletteResultAnd#0,"""и $(0)"""
RouletteResultFrame#0,"""【$(0)】"""
RouletteResultName#0,"""$(0)$(1)"""
RouletteColorMessage1#0,"""<red>$(0)<c>"""
RouletteColorMessage2#0,"""<blue>$(0)<c>"""
RouletteColorMessage3#0,"""<c 00552e>$(0)<c>"""
RoulettePayoutCoins#0,"""Вы выиграли $(0) монет."""
RoulettePayoutNone#0,"""Вы ничего не выиграли."""
RouletteBetSuccesss#0,"""Ставка сделана."""
RouletteBetErrorState#0,"""Время ставок ещё не пришло."""
RouletteBetErrorCoin#0,"""Недостаточно монет."""
RouletteBetErrorMaxCoin#0,"""Сюда нельзя поставить ещё больше."""
RouletteBetErrorMaxBet#0,"""Нельзя сделать больше ставок."""
RouletteCancelSuccesss#0,"""Ставки отменены."""
RouletteCancelErrorState#0,"""Фаза ставок завершена. Теперь их нельзя отменить."""
RouletteCancelErrorCoin#0,"""Вы не сделали ставок. Нечего отменять."""
RouletteBetTerminal#0,"""Терминал ставок"""
RouletteBetTerminalAccess#0,"""Поставить $(0)"""
RouletteBetMagnification#0,"""Множитель: $(0)x"""
RouletteBetNone#0,"""Нет"""
RouletteMenuBetCoins#0,"""Добавить $(0)<pict AmusementCoin>"""
RouletteMenuBetCancel#0,"""Отмена ставки"""
RouletteMenuClose#0,"""Вернуться"""
RouletteCampaignText#0,"""Повышенная вероятность двойного шанса"""
SuperRouletteCampaignText#0,"""<yellow>Крайне повышенная<с> вероятность двойного шанса!"""
RouletteBETInfo#0,"""Текущая ставка"""
RouletteBETCoinsDisplay#0,"""$(0)<pict AmusementCoin>"""
RouletteAnyNumber#0,"""１～５"""
RouletteNpc_ChanceSelectStart#0,"""/mn9"""
RouletteNpc_ChanceSelectEnd#0,"""-"""
RouletteNpc_RouletteStart#0,"""-"""
RouletteNpc_BetStart#0,"""-"""
RouletteNpc_BetEndNearly#0,"""/mn15"""
RouletteNpc_BetEnd#0,"""-"""
RouletteNpc_ChanceStart#0,"""/toge /mn22"""
RouletteNpc_BonusStart#0,"""/toge /mn22"""
RouletteNpc_RouletteEnd#0,"""-"""
RouletteNpc_ResultHit01#0,"""-"""
RouletteNpc_ResultHit02#0,"""-"""
RouletteNpc_ResultNoHit01#0,"""/mn4"""
RouletteNpc_ResultNoHit02#0,"""/mn1"""
RouletteNpc_ResultNoHit03#0,"""/mn2"""
RouletteNpc_Response01#0,"""/toge"""
RouletteNpc_Response02#0,"""-"""
RouletteNpc_TalkOne01#0,"""-"""
RouletteNpc_TalkOne02#0,"""-"""
RouletteNpc_TalkOne03#0,"""-"""
RouletteNpc_TalkOne04#0,"""-"""
RouletteNpc_TalkOne05#0,"""-"""
RouletteNpc_TalkOne06#0,"""-"""
RouletteNpc_TalkOne07#0,"""-"""
RouletteNpc_TalkOne08#0,"""-"""
RouletteNpc_TalkOne09#0,"""-"""
RouletteNpc_TalkOne10#0,"""-"""
RouletteNpc_ChanceResponse01#0,"""-"""
RouletteNpc_ChanceResponse02#0,"""/toge"""
RouletteNpc_Explosion#0,"""/toge"""
RouletteNpc_Name#0,"""Красный лилипанец"""
RouletteNpc_ChanceSelectStart#1,"""испытай удачу!"""
RouletteNpc_ChanceSelectEnd#1,"""Шансы установлены!"""
RouletteNpc_RouletteStart#1,"""Начинаем!"""
RouletteNpc_BetStart#1,"""Делайте ваши ставки!"""
RouletteNpc_BetEndNearly#1,"""Время для ставок почти вышло!"""
RouletteNpc_BetEnd#1,"""Ставки закрыты!"""
RouletteNpc_ChanceStart#1,"""$(0)_！"""
RouletteNpc_BonusStart#1,"""Круто, $(0)！"""
RouletteNpc_RouletteEnd#1,"""Результаты рулетки: $(0) $(1) $(2) $(3)"""
RouletteNpc_ResultHit01#1,"""$(0)<br>выиграл $(1)!"""
RouletteNpc_ResultHit02#1,"""$(1) другие тоже выиграли $(0)!"""
RouletteNpc_ResultNoHit01#1,"""В другой раз повезёт!"""
RouletteNpc_ResultNoHit02#1,"""Однажды ты победишь."""
RouletteNpc_ResultNoHit03#1,"""Придумай что-нибудь насчёт своей удачи!"""
RouletteNpc_Response01#1,"""Да в них плавать можно!"""
RouletteNpc_Response02#1,"""Вот так!"""
RouletteNpc_TalkOne01#1,"""Если выбирать только цвет или только номер, можно сделать 15 разных ставок."""
RouletteNpc_TalkOne02#1,"""В Рулетке Тройного Шанса вероятность победить в три раза больше!"""
RouletteNpc_TalkOne03#1,"""Каждая ставка может быть не больше 100 монет."""
RouletteNpc_TalkOne04#1,"""Вы можете сделать две ставки одномременно."""
RouletteNpc_TalkOne05#1,"""Пока фаза ставок не закончилась, монеты можно забрать с поля."""
RouletteNpc_TalkOne06#1,"""Проверьте свой личный рекорд."""
RouletteNpc_TalkOne07#1,"""Не напрягайтесь, это всего лишь игра!"""
RouletteNpc_TalkOne08#1,"""Рулетка не хранит записи о рекордах."""
RouletteNpc_TalkOne09#1,"""Если ставить только на цвет, выиграть будет проще."""
RouletteNpc_TalkOne10#1,"""Лови волну!"""
RouletteNpc_ChanceResponse01#1,"""Рулетка Шанса!"""
RouletteNpc_ChanceResponse02#1,"""Скрестите пальчики!"""
RouletteNpc_Explosion#1,"""Ну ты даёшь!"""
RouletteNpc_ChanceSelectStart#2,"""-"""
RouletteNpc_ChanceSelectEnd#2,"""-"""
RouletteNpc_RouletteStart#2,"""-"""
RouletteNpc_BetStart#2,"""-"""
RouletteNpc_BetEndNearly#2,"""/mn18"""
RouletteNpc_BetEnd#2,"""-"""
RouletteNpc_ChanceStart#2,"""/toge /mn20"""
RouletteNpc_BonusStart#2,"""/toge /mn20"""
RouletteNpc_RouletteEnd#2,"""-"""
RouletteNpc_ResultHit01#2,"""-"""
RouletteNpc_ResultHit02#2,"""-"""
RouletteNpc_ResultNoHit01#2,"""/mn2"""
RouletteNpc_ResultNoHit02#2,"""/mn8"""
RouletteNpc_ResultNoHit03#2,"""-"""
RouletteNpc_Response01#2,"""-"""
RouletteNpc_Response02#2,"""/mn22"""
RouletteNpc_TalkOne01#2,"""-"""
RouletteNpc_TalkOne02#2,"""-"""
RouletteNpc_TalkOne03#2,"""-"""
RouletteNpc_TalkOne04#2,"""-"""
RouletteNpc_TalkOne05#2,"""-"""
RouletteNpc_TalkOne06#2,"""-"""
RouletteNpc_TalkOne07#2,"""-"""
RouletteNpc_TalkOne08#2,"""-"""
RouletteNpc_TalkOne09#2,"""-"""
RouletteNpc_TalkOne10#2,"""-"""
RouletteNpc_ChanceResponse01#2,"""-"""
RouletteNpc_ChanceResponse02#2,"""/toge"""
RouletteNpc_Explosion#2,"""/toge"""
RouletteNpc_Name#1,"""Синий лилипанец"""
RouletteNpc_ChanceSelectStart#3,"""チャンスマスを決定します"""
RouletteNpc_ChanceSelectEnd#3,"""チャンスマスが決定しました"""
RouletteNpc_RouletteStart#3,"""ルーレットスタートします"""
RouletteNpc_BetStart#3,"""BETタイム開始です"""
RouletteNpc_BetEndNearly#3,"""BETタイム終了が間近です"""
RouletteNpc_BetEnd#3,"""BETタイム終了です"""
RouletteNpc_ChanceStart#3,"""$(0)に止まりました"""
RouletteNpc_BonusStart#3,"""$(0)です！"""
RouletteNpc_RouletteEnd#3,"""ルーレット：結果は$(0)$(1)$(2)$(3)です"""
RouletteNpc_ResultHit01#3,"""当選者は$(0)<br>$(1)枚獲得しました"""
RouletteNpc_ResultHit02#3,"""$(0)枚、$(1)名が獲得しました"""
RouletteNpc_ResultNoHit01#3,"""厳しい結果でした"""
RouletteNpc_ResultNoHit02#3,"""次のゲームが勝負です"""
RouletteNpc_ResultNoHit03#3,"""勝ちを諦めたら負けです"""
RouletteNpc_Response01#3,"""Я так рад за тебя!"""
RouletteNpc_Response02#3,"""素晴らしい！"""
RouletteNpc_TalkOne01#3,"""数字賭けの配当は5倍です"""
RouletteNpc_TalkOne02#3,"""チャンスマス停止は期待が膨らみます"""
RouletteNpc_TalkOne03#3,"""1箇所にBETできるのは100枚迄です"""
RouletteNpc_TalkOne04#3,"""最大２箇所迄BETが可能です"""
RouletteNpc_TalkOne05#3,"""過去の履歴は判断材料になります"""
RouletteNpc_TalkOne06#3,"""直感を信じることも大事です"""
RouletteNpc_TalkOne07#3,"""勝ち負けよりも収支が重要です"""
RouletteNpc_TalkOne08#3,"""BETタイム中はBETのキャンセルができます"""
RouletteNpc_TalkOne09#3,"""履歴を参考にするのも手です"""
RouletteNpc_TalkOne10#3,"""稀に連続して同じ結果が出ます"""
RouletteNpc_ChanceResponse01#3,"""チャンスルーレットです"""
RouletteNpc_ChanceResponse02#3,"""期待したいですね"""
RouletteNpc_Explosion#3,"""不覚っ！"""
RouletteNpc_ChanceSelectStart#4,"""/mn6"""
RouletteNpc_ChanceSelectEnd#4,"""-"""
RouletteNpc_RouletteStart#4,"""-"""
RouletteNpc_BetStart#4,"""-"""
RouletteNpc_BetEndNearly#4,"""/mn17"""
RouletteNpc_BetEnd#4,"""-"""
RouletteNpc_ChanceStart#4,"""/toge /mn16"""
RouletteNpc_BonusStart#4,"""/toge /mn16"""
RouletteNpc_RouletteEnd#4,"""-"""
RouletteNpc_ResultHit01#4,"""-"""
RouletteNpc_ResultHit02#4,"""-"""
RouletteNpc_ResultNoHit01#4,"""/mn13"""
RouletteNpc_ResultNoHit02#4,"""-"""
RouletteNpc_ResultNoHit03#4,"""/moya"""
RouletteNpc_Response01#4,"""/moya"""
RouletteNpc_Response02#4,"""-"""
RouletteNpc_TalkOne01#4,"""-"""
RouletteNpc_TalkOne02#4,"""-"""
RouletteNpc_TalkOne03#4,"""-"""
RouletteNpc_TalkOne04#4,"""-"""
RouletteNpc_TalkOne05#4,"""-"""
RouletteNpc_TalkOne06#4,"""-"""
RouletteNpc_TalkOne07#4,"""-"""
RouletteNpc_TalkOne08#4,"""-"""
RouletteNpc_TalkOne09#4,"""-"""
RouletteNpc_TalkOne10#4,"""-"""
RouletteNpc_ChanceResponse01#4,"""-"""
RouletteNpc_ChanceResponse02#4,"""/toge"""
RouletteNpc_Explosion#4,"""/toge"""
