Title#0,"""Тренировочный центр ARKS"""
Q_Event001_04_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в вулканических пещерах Амдускии."""
Q_Event001_05_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага на парящем континенте Амдускии."""
Q_Event001_06_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в пустыне Лилипы."""
Q_Event001_07_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в тоннелях Лилипы."""
Q_Event001_08_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в карьере Лилипы."""
Q_Event001_09_MES#0,"""ARKS готовится к крупномасштабной операции на зараженном Материнском корабле."""
Q_Event001_10_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в области Широнии Харкотана."""
Q_Event001_11_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в области Куронии Харкотана."""
Q_Event001_51_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на Набериусе."""
Q_Event001_52_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на Амдускии."""
Q_Event001_53_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на Лилипе."""
Q_Event001_54_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на Вопаре."""
Q_Event001_55_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на Харкотане."""
Q_Event001_90_MES#0,"""ARKS готовятся к крупномасштабной операции в ответ на активность врага в нескольких зонах."""
Q_Event001_91_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на нескольких планетах."""
Q_Event002_MES#0,"""Доступно Срочное задание. Мы проводим крупномасштабную операцию с участием всех членов ARKS. Обратитесь к координатору для получения дальнейших указаний."""
Q_Event003_MES#0,"""Крупномасштабная операция была успешно завершена. Благодарим сотрудничество."""
R_Event004_MES#0,"""Мы обрабатываем результаты Interrupt Ranking. Ждите дальнейших объявлений."""
R_Event005_MES#0,"""Результаты Interrupt Rankings были обновлены. Пожалуйста, обратитесь к ближайшим Визифонам. Сегодняшний лучший игрок - <%TSE_AllTopPlayer_Name>. Поздравляем!"""
Q_Event006_MES#0,"""Внимание всем ARKS! Большое количество даркеров приближаются к кораблю ARKS!"""
Q_Event007_MES#0,"""Внимание всем ARKS! Корабль ARKS был атакован даркерами! Все члены ARKS, свяжитесь с координаторами для начала срочной спасательной операции!"""
W_Event008_MES#0,"""Закончился еженедельный рейтинг! Начался подсчёт результатов. Пожалуйста, оставайтесь на связи."""
W_Event009_MES#0,"""Результаты еженедельного рейтинга были обновлены! Вы можете проверить информацию у ближайшего Визифона."""
Q_Event010_MES#0,"""Внимание всем ARKS! Дарк Фальц [Элдер] и Дарк Фальц [Лузер] были замечены в окресностях флотилии."""
RD_Event001_MES#0,"""Внимание всем ARKS! Дарк Фальц замечен в окрестностях флотилии ARKS!"""
RD_Event002_MES#0,"""Внимание всем ARKS! Дарк Фальц атаковал флот ARKS! Всем действующим ARKS, перехватить и вступить в бой!"""
RD_Event003_MES#0,"""Руки Фальца разрушены на 0%! Энергия Дарк Фальца продолжает восполняться. Всем действующим ARKS, продолжать бой!"""
RD_Event004_MES#0,"""Руки Фальца разрушены на 20%! Энергия Дарк Фальца продолжает восполняться. Всем действующим ARKS, продолжать бой!"""
A_Event001_MES#0,"""Внимание всем ARKS! Объявляем подготовку к масштабному исследованию аномальных пространственных искажений в глубоком космосе."""
A_Event002_MES#0,"""Внимание всем ARKS! Мы проводим масштабную операцию с участием всех членов ARKS для исследования аномальных пространственных искажений в космосе. Обратитесь к координатору для получения дальнейших указаний."""
D_Event001_MES#0,"""Внимание всем ARKS! Множество Даркеров Приближается к району горнодобывающей базы Лилипы."""
D_Event002_MES#0,"""Внимание всем ARKS! Горнодобывающая база Лилипы была атакована Даркерами! Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
D_Event003_MES#0,"""Внимание всем ARKS! Множество Даркеров Приближается к району первой горнодобывающей базы Лилипы."""
D_Event004_MES#0,"""Внимание всем ARKS! Первая горнодобывающая база Лилипы была атакована Даркерами! Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
D_Event005_MES#0,"""Внимание всем ARKS! Множество Даркеров Приближается к району второй горнодобывающей базы Лилипы."""
D_Event006_MES#0,"""Внимание всем ARKS! Вторая горнодобывающая база Лилипы была атакована Даркерами! Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
D_Event007_MES#0,"""Внимание всем ARKS! Множество Даркеров Приближается к району третьей горнодобывающей базы Лилипы."""
D_Event008_MES#0,"""Внимание всем ARKS! Третья горнодобывающая база Лилипы была атакована Даркерами! Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
D_Event009_MES#0,"""Эй, ARKS! Я - Некки! Я собираюсь запустить специальные испытания, чтобы проверить ваши навыки! Опробуйте же их!"""
D_Event010_MES#0,"""Я отправил моё испытание координаторам! Вперёд! Попробуйте!"""
D_Event011_MES#0,"""Эй, ARKS! Спасибо, что согласились на испытание! Надеюсь, мы сможем заняться этим снова!"""
D_Event012_MES#0,"""Внимание всем ARKS! В ближайшее время будет объявление об участии всех ARKS в особой операции. Не переключайтесь."""
D_Event013_MES#0,"""Срочная миссия! Был выполнен запрос об участии всех ARKS в особой операции. Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
LS_Event001_MES#0,"""Мы готовим концерт в Торговой Зоне! Надеемся увидеть всех вас!"""
LS_Event002_MES#0,"""Концерт проходит прямо в Торговой Зоне! Не пропустите!"""
LS_Event003_MES#0,"""Спасибо за внимание! Для вас пела Куна, до встречи!"""
M_Event001_MES#0,"""Скоро начнётся прямая трансляция в торговой зоне."""
M_Event002_MES#0,"""Прямая трансляция в торговой зоне началась."""
RD_Event005_MES#0,"""Руки Фальца разрушены на 40%! Дарк Фальц слабеет. Это ваш шанс!"""
RD_Event006_MES#0,"""Руки Фальца разрушены на 60%! Хорошая работа."""
RD_Event007_MES#0,"""Руки Фальца разрушены на 80%! Подтверждаем, огромный урон был нанесён Дарк Фальцу. Убейте его!"""
RD_Event008_MES#0,"""Крайний срок нападения приближается. Мы будем не в состоянии защититься. Всем ARKS приложить больше усилий!"""
RD_Event009_MES#0,"""Крайний срок нападения приближается. Мы будем не в состоянии защититься. Всем ARKS приложить больше усилий!"""
RD_Event010_MES#0,"""Крайний срок нападения приближается. Мы будем не в состоянии защититься. Всем ARKS приложить больше усилий!"""
RD_Event011_MES#0,"""Крайний срок нападения приближается. Мы будем не в состоянии защититься. Всем ARKS приложить больше усилий!"""
RD_Event012_MES#0,"""Срок нападения близок. Мы сможем начать вторую фазу, если достигнем нашей цели."""
RD_Event013_MES#0,"""Наша атака не удалась... Оставить атакуемый корабль ARKS; все выжившие корабли ARKS вывести в безопасное место."""
RD_Event014_MES#0,"""Атака удалась! Приступить ко второму этапу! Уничтожить Дарк Фальца, пока он ослаблен!"""
RD_Event015_MES#0,"""Атака Дарк Фальц успешно отражена. Всем действующим ARKS, спасибо за сотрудничество."""
RD_Event016_MES#0,"""シップ全体で30分間に<%Sint64Arg1>体フクロウを討伐せよ！"""
RD_Event017_MES#0,"""Внимание всем ARKS! Наши датчики показывают приближение Дарк Фальц Лузера на зараженном Материнском корабле."""
RD_Event018_MES#0,"""Это чрезвычайная ситуация. В настоящий момент мы начинаем тотальную атаку на Апостолов Дарк Фальц Лузера. Все действующие ARKS, отправляйтесь на зараженный Материнский Корабль."""
RD_Event019_MES#0,"""Стремительно приближается крайний срок операции. Хоть мы и выполнили нашу цель, продалжайте нападение!"""
RD_Event020_MES#0,"""Стремительно приближается крайний срок операции. Мы ещё не достигли нашей цели. Мы рассчитываем на помощь всех действующих ARKS."""
RD_Event021_MES#0,"""Мы заблокированы в координатах Дарк Фальц Лузера. Похоже он использует остатки Апостолов чтобы сохранить свою силу. Приказ всем действующим ARKS: выдвигайтесь и немедленно уничтожьте его."""
RD_Event022_MES#0,"""Мы заблокированы в координатах Дарк Фальц Лузера. Приказ всем действующим ARKS: выдвигайтесь и немедленно уничтожьте его."""
RD_Event023_MES#0,"""В настоящее время мы ведём бой с Дарк Фальц Лузером. Всем действующим ARKS немедленно обратиться к координаторам для получения дальнейших распоряжений."""
Q_TwiceEvent001_01_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в лесах Набериуса."""
Q_TwiceEvent001_02_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в тундре Набериуса."""
Q_TwiceEvent001_03_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в руинах Набериуса."""
Q_TwiceEvent001_04_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в вулканических пещерах Амдускии."""
Q_TwiceEvent001_05_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага на парящем континенте Амдускии."""
Q_TwiceEvent001_06_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в пустыне Лилипы."""
Q_TwiceEvent001_07_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в тоннелях Лилипы."""
Q_TwiceEvent001_08_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в карьере Лилипы."""
Q_TwiceEvent001_09_MES#0,"""ARKS готовится к крупномасштабной операции на зараженном Материнском корабле."""
Q_TwiceEvent001_10_MES#0,"""ARKS готовится к крупномасштабной операции в ответ на активность врага в области Широнии Харкотана."""
Q_TwiceEvent001_51_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на Набериусе."""
Q_TwiceEvent001_52_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на Амдускии."""
Q_TwiceEvent001_53_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на Лилипе."""
Q_TwiceEvent001_54_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на Вопаре."""
Q_TwiceEvent001_55_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на Харкотане."""
Q_TwiceEvent001_90_MES#0,"""ARKS готовятся к крупномасштабной операции в ответ на активность врага в нескольких зонах."""
Q_TwiceEvent001_91_MES#0,"""ARKS получили инструкции при подготовке к крупномасштабной операции подавления на нескольких планетах."""
Q_TwiceEvent002_MES#0,"""Первое срочное задание активно. Мы ведем крупномасштабную операцию с участием всех ARKS. Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
Q_TwiceEvent003_MES#0,"""Второе срочное задание активно. Мы ведем крупномасштабную операцию с участием всех ARKS. Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
D_TwiceEvent001_MES#0,"""Внимание всем ARKS! Фиксируем активность Даркеров на нескольких горнодобывающих базах Лилипы. Всем подготовиться к операции по обороне."""
D_TwiceEvent002_1_MES#0,"""Ведётся первая срочная операция обороны. Первая горнодобывающая база Лилипы была атакована Даркерами! Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
D_TwiceEvent003_1_MES#0,"""Ведётся первая срочная операция обороны. Вторая горнодобывающая база Лилипы была атакована Даркерами! Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
D_TwiceEvent004_1_MES#0,"""Ведётся первая срочная операция обороны. Третья горнодобывающая база Лилипы была атакована Даркерами! Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
D_TwiceEvent002_2_MES#0,"""Ведётся вторая срочная операция обороны. Первая горнодобывающая база Лилипы была атакована Даркерами! Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
D_TwiceEvent003_2_MES#0,"""Ведётся вторая срочная операция обороны. Вторая горнодобывающая база Лилипы была атакована Даркерами! Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
D_TwiceEvent004_2_MES#0,"""Ведётся вторая срочная операция обороны. Третья горнодобывающая база Лилипы была атакована Даркерами! Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
RD_Event024_MES#0,"""Внимание всем ARKS! Мы обнаружили всплеск энергии на Харкотане. Классовое событие \""Магацу\"" неизбежно."""
RD_Event025_MES#0,"""Это чрезвычайная ситуация. Магацу появились и вторгаются Харуготане в провинции Широния. Всем сотрудникам, перехватить и уничтожить врагов."""
RD_Event026_MES#0,"""Атака Магацу была отражена. Всех действующих ARKS, благодарим за сотрудничество."""
RD_Event027_MES#0,"""Внимание всем ARKS! Приступить к преследованию Магацу на Харкотане. Всем действующим ARKS, отправиться и немедленно уничтожить Магацу."""
RD_Event028_MES#0,"""Преследование Магацу завершено. Всем действующим ARKS, спасибо за сотрудничество."""
RD_Event029_MES#0,"""Внимание всем ARKS! [Дабл] и [Глубокая Тьма] замечены в атмосфере Набериуса."""
RD_Event030_MES#0,"""Внимание всем ARKS! Ведётся операция по уничтожению [Дабл] и [Глубокая Тьма]. Всем действующим ARKS, доложиться координаторам для участия в срочной миссии."""
RD_Event031_MES#0,"""Атака Дарк Фальц [Дабл] и [Глубокая Тьма] была отражена. Всем действующим ARKS, спасибо за сотрудничество."""
RD_Event040_MES#0,"""Внимание всем ARKS! Фиксируем активность Дарк Фальц [Апрентис] на планете Лилипа. Действующие ARKS, подготовьтесь к вылету."""
RD_Event041_MES#0,"""Внимание всем ARKS! Приступить к отражению атаки Дарк Фальц [Апрентис] на горнодобывающую базу планеты Лилипа. Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
RD_Event042_MES#0,"""Атака Дарк Фальц [Апрентис] была отражена. Всем действующим ARKS, спасибо за сотрудничество."""
RD_Event043_MES#0,"""Внимание всем ARKS! Подтверждаем появление супер-огромной активности фантомов на Земле. В настоящее время проводится разработка плана."""
RD_Event044_MES#0,"""Внимание всем ARKS! Начать выполнение плана по отражению супер-огромной активности фантомов на Земле. Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
LS_Event004_MES#0,"""アークスの皆さま、地球親善大使の小林幸子でございます。これより、ショップエリアにてステージライブを行います。皆さま、どうぞお集まりくださいませ。"""
LS_Event005_MES#0,"""アークスの皆さま、地球親善大使の小林幸子でございます。まもなく、ショップエリアにてステージライブを行います。さぁ皆さま、宴のはじまりです！"""
RD_Event045_MES#0,"""Внимание всем ARKS! Аномальные показания были обнаружены на спутнике Земли. В настоящее время ведётся военная подготовка."""
RD_Event046_MES#0,"""Внимание всем ARKS! Началась операция против ESC-A Фальц Мать на спутнике Земли. Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
RD_Event047_MES#0,"""ESC-A Фальц Мать была побеждена. Всем действующим ARKS, спасибо за сотрудничество."""
RD_Event048_MES#0,"""Внимание всем ARKS! Мы засекли признаки появления Деус ESC-A на Земле. В настоящее время ведётся военная подготовка."""
RD_Event049_MES#0,"""Внимание всем ARKS! Началась операция против Деус ESC-A на Земле. Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
RD_Event050_MES#0,"""Деус ESC-A снова появился на Земле. Мы начали новую операцию, которая была ограничена 80 уровнем или вышедействующими ARKS, чтобы победить его. Просьба ко всем действующим ARKS, пожалуйста, обратитесь к координатору для получения дальнейших указаний."""
RD_Event051_MES#0,"""Деус ESC-A был побеждён. Всем действующим ARKS, спасибо за сотрудничество."""
RD_Event052_MES#0,"""現在、地球にて再発生した超巨大反応に対し、Lv.80以上のアークスに限定し、撃退作戦を展開中です。対象のアークス各員はクエストカウンターより任務への参加をお願いします。"""
RD_Event053_MES#0,"""超巨大反応の撃退に成功しました。アークス各員の協力に感謝します。"""
R_Event001_MES#0,"""Мы начинаем Interrupt Rankings в <%TSE_OpenLimetTime>. Будьте готовы принять участие!"""
R_Event002_MES#0,"""Мы проводим Time Attack Rankings. Текущее задание -[<%TSE_TA_Quset_Name> - <%TSE_TA_Quset_Difficulty>]. Соревнование завершится в <%TSE_EndTime>."""
R_Event003_MES#0,"""Соревнование Time Attack ranking завершено."""
R_Event004_MES#1,"""Мы обрабатываем результаты Interrupt Ranking. Ждите дальнейших объявлений."""
R_Event005_MES#1,"""Результаты Interrupt Rankings были обновлены. Пожалуйста, обратитесь к ближайшим Визифонам. Сегодняшний лучший игрок - <%TSE_AllTopPlayer_Name>. Поздравляем!"""
R_Event006_MES#0,"""Мы проводим Enemy Defeat Rankings. В этот раз ваша цель - <%TSE_Kill_Enamy_Level>+ <%TSE_Kill_Enamy_Name>. Соревнование завершится в <%TSE_EndTime>."""
R_Event007_MES#0,"""現在、タイムアタックランキング開催中です。対象は「<%TSE_TA_Quset_Name> <%TSE_TA_Quset_Difficulty>」。<%TSE_EndTime>までの集計です。対象のクエストはすべての難度でクリア報酬メセタにボーナスがつきます！"""
T_Event001_MES#0,"""Начался подсчёт командных рейтингов. Следите за объявлениями."""
T_Event002_MES#0,"""Рейтинг команд был обновлён. Вы можете проверить детали у ближайшего Визифона. Победители этого месяца - [<%TSE_AllTopPlayer_Name>], [<%TSE_AllTopCharactor_Name>]. Поздравляем!"""
P_Event001_MES#0,"""Боевые ранги были подсчитаны. Пожалуйста, заберите ваши награды у Мими на вашем корабле у администратора Лиги ARKS."""
P_Event002_MES#0,"""Боевые ранги были подсчитаны. Пожалуйста, дождитесь окончания."""
P_Event003_MES#0,"""Начался ранговый боевой период. Пожалуйста, проверьте ранговую информацию из главного меню."""
TimeBomb_Title#0,"""Деактивация временных бомб"""
TimeBomb_Message#0,"""Пожалуйста, выберите кнопку<br>для отключения детонатора."""
TimeBomb_1#0,"""Верхний"""
TimeBomb_2#0,"""Средний"""
TimeBomb_3#0,"""Нижний"""
TimeBomb_Cancel#0,"""Выйти"""
PartyMakerMessage1#0,"""Дополнительно не возможно<br>разместить маркер группы<br>поскольку максимальное колличество<br>уже размещено."""
PartyMakerMessage2#0,"""Маркер группы был удалён.<br><br>Продолжить?"""
PartyMakerMessageTitle1#0,"""Подтверждение удаления маркера группы"""
ClearTime#0,"""Время прохождения $(0):$(1).$(2)"""
Totalorb#0,"""Всего боевых монет"""
KillMvp#0,"""Боль. убийств НЦИ"""
AtkDamageMvp#0,"""Наиб. кол. урона нанесено НЦИ"""
DefDamageMvp#0,"""Наиб. кол. урона получено НЦИ"""
CrystalMvp#0,"""Боль. собранных эмблем НЦИ"""
DeathMvp#0,"""Наим. кол. смертей НЦИ"""
PlayerName#0,"""$(0)"""
KillScore#0,"""$(0)人"""
DamageScore#0,"""$(0)"""
CrystalScore#0,"""$(0)個"""
DeathScore#0,"""$(0)回"""
MvpNone#0,"""<c c0c0c0>нету<c>"""
OtherPlayerNum#0,"""& $(0) прочее"""
BattleCoinDetail#0,"""Рспределение боевых монет"""
BattleCoin#0,"""Боевые монеты"""
BattleResult#0,"""Результаты боя"""
Task#0,"""Боевое достижение"""
Win#0,"""Победил"""
Lose#0,"""Проиграл"""
Draw#0,"""Ничья"""
GetMvp#0,"""НЦИ"""
GetMvpSupport#0,"""Поддержка НЦИ"""
RareWeaponPickup#0,"""----"""
RareWeaponPickup_Num#0,"""----"""
AtkDamage100Over_Repdigit#0,"""Урон нанесёный репдигидом (3+)"""
DefDamage100Over_Repdigit#0,"""Урон полученый репдигитом (3+)"""
FightAlone#0,"""----"""
FightAlone_Num#0,"""----"""
ManyKillWeapon#0,"""Боль. убийств с исполь. $(0)"""
ManyDeathWeapon#0,"""Чаще всего убивают исп. $(0)"""
WeaponType_Sword#0,"""Мечами"""
WeaponType_WiredLance#0,"""Цепыми лэнсами"""
WeaponType_Partisan#0,"""Партизанами"""
WeaponType_TwinDagger#0,"""Парными кинжалами"""
WeaponType_DoubleSaber#0,"""Двойными глефами"""
WeaponType_Knuckle#0,"""Кастетами"""
WeaponType_Saber#0,"""Ганслэшами"""
WeaponType_AssaultRifle#0,"""Винтовками"""
WeaponType_Launcher#0,"""Гранатометами"""
WeaponType_TwinMachinegun#0,"""Двойными пп"""
WeaponType_Rod#0,"""Родами"""
WeaponType_Talis#0,"""Талисами"""
WeaponType_Wand#0,"""Вандами"""
WeaponType_Katana#0,"""Катанами"""
WeaponType_CompoundBow#0,"""Луками"""
WeaponType_JetBoots#0,"""Реактивными ботинками"""
WeaponType_DualBlade#0,"""Парными клинками"""
WeaponType_Takt#0,"""Тактами"""
Kill_Num#0,"""Убито $(0)"""
RainbowCrystal_Num#0,"""Получено $(0)+ радужных эмблем"""
EnemyCrystal_Num#0,"""Получено $(0)+ эмблем врагов"""
KillBeforeOneDie_Num#0,"""Достижение в $(0) убийств после смерти"""
GetOrb_Num#0,"""$(0)<pict poka_btl_coin>"""
Arp#0,"""Инфо очков арены"""
Rank#0,"""Ранг"""
GetArp#0,"""Очков арены получено"""
TotalArp#0,"""Всего очков арены"""
OrbInfo#0,"""Инфо боевых монет"""
GetOrbBase#0,"""Осн. боевые монеты"""
QuestBonus#0,"""Бонус событие"""
ClearBonus#0,"""Бонус награждения"""
TotalBonus#0,"""Всего бонусов"""
GetArpNum#0,"""$(0)ARP"""
BonusPoint#0,"""+$(0)%"""
GetOrbBase_Num#0,"""$(0)<pict poka_btl_coin>"""
Ranking#0,"""Ранг - ЛЕГЕНДА"""
Place#0,"""Место"""
OtherClearTaskNum#0,"""Другое $(0) место"""
MvpPlayerName#0,"""Имя игрока"""
MvpScore#0,"""Записано"""
MvpCoin#0,"""Получено"""
