ssc_504060_0010#0,"""เอาล่ะ มาคุยกันต่อเถอะ"""
ssc_504060_0160#0,"""ผู้คนทั่วไปไม่ต้องต่อสู้กันอีกต่อไป และด้วยเหตุนี้<br>พลัง Photon โดยเฉลี่ยจึงลดน้อยลงไปตามกาลเวลาน่ะ"""
ssc_504060_0170#0,"""กองกำลังทหารก็เช่นเดียวกันนะ<br>กองทัพแทบจะไม่มีความจำเป็นเลยถ้าไม่มีศัตรูน่ะ"""
ssc_504060_0180#0,"""เพื่อต่อสู้กับพวก Starless ทีมของเซเฟตโต้ (Zephetto) จึงได้ศึกษาเกี่ยวกับ<br>กองกำลังรบที่แข็งแกร่งที่สุดจากสงครามเมื่อ 1,000 ปีก่อนน่ะ"""
ssc_504060_0190#0,"""พวกเขาถูกเรียกว่า 'ARKS' ไงล่ะ"""
ssc_504060_0200#0,"""เพื่อที่จะฟื้นคืนพลังของเหล่า ARKS เหล่านี้<br>เขาจึงได้สร้างองค์กรขึ้นมา..."""
ssc_504060_0210#0,"""และนั่นก็คือจุดเริ่มต้นของประวัติศาสตร์ Resurgent ARKS ล่ะ"""
ssc_504060_0220#0,"""เซเฟตโต้ (Zephetto) อ้างว่ามีความเป็นไปได้สูงมาก<br>ที่พวก Starless จะกลับมาในอีก 500 ปีน่ะ"""
ssc_504060_0230#0,"""เขาเผยแพร่ข่าวการกลับมาของพวกมัน โดยสนับสนุนว่า<br>การสร้าง ARKS คือโอกาสที่ดีที่สุดในการต่อสู้กับพวกมันล่ะ"""
ssc_504060_0240#0,"""ดังนั้น ผู้คนที่เห็นด้วยกับคำพูดของเขา จึงได้เข้า<br>ร่วมด้วยภายใต้ธงของ Resurgent ARKS น่ะ"""
ssc_504060_0250#0,"""ทำไมเขาถึงบอกว่าพวก Starless จะกลับมาในอีก 500 ปีล่ะ?"""
ssc_504060_0260#0,"""เซเฟตโต้ (Zephetto) มองเห็นอนาคตได้หรืออะไรทำนองนั้นงั้นเหรอ?"""
ssc_504060_0270#0,"""เซเฟตโต้ (Zephetto) ได้ทำการวิจัย<br>การเคลื่อนไหวของพวก Starless ด้วยตัวเองน่ะ"""
ssc_504060_0280#0,"""เขาค้นพบว่ามีความผันผวนของห้วงมิติเวลาที่น่าทึ่ง<br>เกิดขึ้นทั่วทั้งจักรวาลเป็นช่วงๆ อย่างสม่ำเสมอล่ะ"""
ssc_504060_0290#0,"""ความผันผวนบางส่วนก็เล็กน้อย<br>ในขณะที่ความผันผวนอื่นๆ ก็มีขนาดใหญ่ล่ะ"""
ssc_504060_0300#0,"""สิ่งที่เกิดขึ้นเมื่อ 500 ปีก่อนคือความผันผวนขนาดเล็กน่ะ"""
ssc_504060_0310#0,"""และมีการคาดการณ์ว่าความผันผวนขนาดใหญ่แบบนั้น<br>จะเกิดขึ้นในอีก 500 ปีต่อมาล่ะ"""
ssc_504060_0320#0,"""ซึ่งนี่ก็สอดคล้องกับ<br>การเผชิญหน้ากับพวก Starless ในปัจจุบันไงล่ะ"""
ssc_504060_0330#0,"""ถึงแม้ความสัมพันธ์เชิงเหตุและผลที่แน่นอนระหว่าง<br>สองเรื่องนี้จะยังไม่เป็นที่เข้าใจอย่างถ่องแท้ก็เถอะ"""
ssc_504060_0340#0,"""อย่างน้อยก็ไม่ใช่โดยพวกชาวเลเซียล (Lecielan) ล่ะนะ"""
ssc_504060_0350#0,"""ช่วยบอกเรื่องอื่นเกี่ยวกับเซเฟตโต้ (Zephetto) ให้ฟังอีกได้ไหม?"""
ssc_504060_0360#0,"""ช่วยบอกเรื่องอื่นเกี่ยวกับ Resurgent ARKS ให้ฟังอีกได้ไหม?"""
ssc_504060_0370#0,"""...บอกสิ่งที่รู้ไปหมดแล้วล่ะ"""
ssc_504060_0380#0,"""ไม่เคยเก็บงำความสนใจ<br>หรือความสงสัยในเรื่องพวกนี้มากนักหรอกนะ"""
ssc_504060_0390#0,"""บางทีเซเฟตโต้ (Zephetto) อาจจะจงใจไม่บอกอะไรให้มากกว่านี้ก็ได้นะ..."""
ssc_504060_0400#0,"""หรือบางที เขาอาจจะปิดบังเรื่องราวทั้งหมดไว้ก็ได้"""
ssc_504060_0410#0,"""บางทีภายในของเลเซียล (Leciel) อาจจะมีคำตอบที่กำลังตามหาอยู่ก็ได้นะ..."""
ssc_504060_0420#0,"""..."""
ssc_504060_0430#0,"""ฟาเรีย (Pharia) ขอพึ่งพาให้ช่วย<br>เหลือการสืบสวนของเราต่อไปได้ไหม?"""
ssc_504060_0440#0,"""ได้สิ"""
