ssc_504030_0010#0,"""...หืม"""
ssc_504030_0190#0,"""ในตอนแรก ดูเหมือนว่าจะมีชิ้นส่วน<br>ของมันขาดหายไปนับไม่ถ้วนเลยครับ"""
ssc_504030_0200#0,"""จากการวิเคราะห์โครงสร้างของมัน พวกเขารู้ว่ามันจะต้อง<br>ใช้เวลามากมายมหาศาลในการผลิตพวกมันทั้งหมดขึ้นมาครับ"""
ssc_504030_0210#0,"""มันไม่สามารถนำกลับมาใช้งานได้ในยุค<br>ของปู่หรือยุคของพ่อของผมครับ"""
ssc_504030_0220#0,"""โปรเจกต์นี้ตั้งใจจะส่งมอบให้ผม แต่ว่า...<br>ก็มีเหตุการณ์หลายอย่างเกิดขึ้นซะก่อนครับ"""
ssc_504030_0230#0,"""ถึงแม้ว่าเราจะสามารถทำให้มันยิงได้แล้ว<br>แต่มันก็ยังมีจุดที่ต้องปรับปรุงอีกมากครับ"""
ssc_504030_0240#0,"""โดยเฉพาะอย่างยิ่งในเรื่องความทนทาน<br>ของชิ้นส่วนที่เราผลิตขึ้นมาครับ"""
ssc_504030_0250#0,"""ความจริงแล้ว... นานมาแล้ว<br>เคยมีการทดสอบยิงไปครั้งหนึ่งครับ"""
ssc_504030_0260#0,"""...คุณรู้จักภูเขาที่อยู่ทางฝั่งย่านการค้า (Shop Area)<br>ที่คุณสามารถมองเห็นได้แต่ไกลนั่นไหมครับ?"""
ssc_504030_0270#0,"""...เดี๋ยวนะ หรือว่าคุณกำลังหมายความว่า..."""
ssc_504030_0280#0,"""ภูเขามาฮินา ปาริ (Mt. Mahina Pari) งั้นเหรอ?"""
ssc_504030_0290#0,"""ใช่ครับ รูปร่างพระจันทร์เสี้ยวของภูเขาลูกนั้นคือผลพวง<br>จากการยิงครั้งแรกของเซ็นทรัลแคนนอน (Central Cannon) ครับ"""
ssc_504030_0300#0,"""ถูกต้องครับ รูปร่างของภูเขาลูกนั้นคือ<br>ผลพวงจากการทดสอบยิงครั้งนั้นครับ"""
ssc_504030_0310#0,"""เดิมทีพวกเขาตั้งใจจะยิงด้วยกำลังที่ต่ำกว่านั้นมาก<br>แต่เนื่องจากข้อผิดพลาดในการตั้งค่า มันจึงยิงออกไปด้วยกำลังสูงสุดครับ"""
ssc_504030_0320#0,"""มันทำให้ลำกล้องปืนเสียหาย รวมไปถึงชิ้นส่วนของหน่วยควบคุมด้วยครับ"""
ssc_504030_0330#0,"""นี่เป็นการเปิดเผยให้เห็นถึงข้อบกพร่องในการออกแบบของมันครับ"""
ssc_504030_0340#0,"""สำหรับผมแล้ว ความทรงจำเกี่ยวกับความล้มเหลวครั้งนั้น<br>เป็นเรื่องที่น่าอับอายสำหรับผมเลยล่ะครับ แต่ว่า..."""
ssc_504030_0350#0,"""ในฐานะนักวิจัย ผมมองว่ามันเป็นสัญญาณว่าการพัฒนา<br>กำลังมีความคืบหน้า มันก็เลยเป็นความรู้สึกที่ผสมปนเปกันไปครับ"""
ssc_504030_0360#0,"""กล่าวคือ ด้วยการลองผิดลองถูก ในที่สุด<br>เราก็มาถึงขั้นที่สามารถใช้งานได้จริงแล้วครับ"""
ssc_504030_0370#0,"""แต่น่าเสียดาย ที่มันไม่ใช่สิ่งที่เรา<br>จะสามารถใช้เวลาค่อยๆ ทำไปได้ครับ"""
ssc_504030_0380#0,"""เพื่อที่จะซ่อมแซมมันเพิ่มเติม<br>จำเป็นต้องใช้ความพยายามมากกว่านี้ครับ"""
ssc_504030_0390#0,"""เพื่อจุดประสงค์นั้น ผมหวังพึ่งพาสิ่งยิ่งใหญ่<br>จากคุณ มาน่อน และไอน่า เลยล่ะครับ"""
ssc_504030_0400#0,"""ขอขอบคุณอีกครั้งสำหรับความพยายาม<br>อย่างต่อเนื่องของคุณนะครับ"""
