ssc_504050_0010#0,"""หืม?"""
ssc_504050_0210#0,"""มีการโจมตีระบบดาวอื่นๆ น้อยมากค่ะ<br>ดังนั้นจึงอาจจะเรียกไม่ได้เต็มปากว่าเป็นการ 'ขับไล่' หรอกนะคะ"""
ssc_504050_0220#0,"""หลังจากที่พวก Starless ได้ทำลายระบบดาวที่ห่างไกลไปแล้ว<br>พวกมันก็ดูเหมือนจะมุ่งเป้าไปที่ระบบดาวที่อยู่ติดกัน แต่ทว่า..."""
ssc_504050_0230#0,"""หลังจากนั้นไม่นาน พวกมันก็หายตัวไปอย่างกะทันหันเลยค่ะ"""
ssc_504050_0240#0,"""ไปซ่อนตัวอยู่ที่ไหนสักแห่งหรือเปล่า?"""
ssc_504050_0250#0,"""พวกล่าถอยไปงั้นเหรอ?"""
ssc_504050_0260#0,"""ใช่ครับ"""
ssc_504050_0270#0,"""ผู้คนในยุคนั้นก็ดูเหมือนจะคิดแบบเดียวกัน<br>เห็นได้ชัดว่าพวกเขาได้ดำเนินการค้นหาขนานใหญ่เพื่อตามหาพวกมัน"""
ssc_504050_0280#0,"""แต่อย่างไรก็ตาม ไม่ว่าพวกเขาจะพยายามค้นหามากแค่ไหน<br>ก็ไม่พบร่องรอยของพวกมันเลยแม้แต่นิดเดียว..."""
ssc_504050_0290#0,"""ถูกต้องแล้วล่ะ การซ่อนตัวก็เรื่องหนึ่ง แต่พวกเขา<br>ไม่พบแม้กระทั่งร่องรอยของการอพยพหลบหนีเลย"""
ssc_504050_0300#0,"""บางทีอาจจะมีบางอย่างเกิดขึ้นทางฝั่งพวกมัน<br>ที่ทำให้ต้องล่าถอยไปก็เป็นได้นะ"""
ssc_504050_0310#0,"""...หรืออย่างน้อยผู้คนในยุคนั้นก็คิดแบบนั้น แต่ทว่า..."""
ssc_504050_0320#0,"""จากการสืบสวนในเวลาต่อมา พวกเขา<br>ไม่พบร่องรอยการล่าถอยอย่างกะทันหันใดๆ เลยล่ะ"""
ssc_504050_0330#0,"""แถมยังไม่พบอะไรที่<br>บ่งชี้ว่าพวกมันไปซ่อนตัวด้วย"""
ssc_504050_0340#0,"""ไม่ว่าจะมองในมุมไหน<br>พวก Starless ก็แค่หายไปอย่างกะทันหันเท่านั้นเอง"""
ssc_504050_0350#0,"""ถึงอย่างนั้น มันก็ไม่ได้เปลี่ยนแปลงความจริงที่ว่า<br>มีชีวิตนับไม่ถ้วนสูญเสียไปจากการโจมตีอย่างไม่หยุดหย่อนของพวกมันหรอกนะ"""
ssc_504050_0360#0,"""เมื่อตระหนักถึงภัยคุกคามที่มีอยู่จริงนี้<br>ก็มีกลุ่มคนที่ตัดสินใจจะลงมือทำอะไรบางอย่างขึ้นมา"""
ssc_504050_0370#0,"""และด้วยเหตุนั้น Resurgent ARKS จึงได้ถูกก่อตั้งขึ้นล่ะ"""
ssc_504050_0380#0,"""...อ้า แต่ก่อนที่จะคุยกันต่อ<br>ตอนนี้เราพักกันก่อนดีกว่า"""
ssc_504050_0390#0,"""พร้อมเมื่อไหร่ก็กลับมานะ<br>แล้วค่อยคุยกันต่อ"""
