ssc_504070_0010#0,"""ไง เธอเองเหรอ"""
ssc_504070_0230#0,"""พวกเธอสามคน คงจะกลายเป็นเสาหลัก<br>ที่คอยแบกรับอนาคตของ ARKS เอาไว้แน่ๆ"""
ssc_504070_0240#0,"""แต่ถึงอย่างนั้น ก็ขอย้ำอีกหลายๆ รอบเลยนะ<br>ว่าจะพึ่งพาแค่พลังของพวกเธอฝ่ายเดียวไม่ได้หรอก"""
ssc_504070_0250#0,"""หาก ARKS แต่ละคนไม่แข็งแกร่งขึ้นล่ะก็<br>สักวันหนึ่งพวกเราคงจะเดินหน้าต่อไปไม่ได้"""
ssc_504070_0260#0,"""ตราบใดที่การต่อสู้ยังคงดำเนินต่อไปน่ะนะ……"""
ssc_504070_0270#0,"""ตอนนี้เรากำลังดำเนินการสร้างโครงสร้างเพื่อการนั้นอยู่"""
ssc_504070_0280#0,"""เรื่องการประสานงานระหว่างภูมิภาค<br>ก็มีกรณีที่ประสบความสำเร็จจากการต่อสู้ครั้งก่อนเป็นตัวอย่างแล้ว"""
ssc_504070_0290#0,"""หลังจากนี้<br>ก็อยากจะมุ่งเน้นไปที่การปฏิบัติงานที่เป็นหนึ่งเดียวกันให้มากขึ้นนะ"""
ssc_504070_0300#0,"""เริ่มจากการเรียนรู้กลยุทธ์ของแต่ละฝ่าย<br>แล้วนำมาประยุกต์ใช้ร่วมกันก่อน"""
ssc_504070_0310#0,"""นอกจากนั้น เรายังได้รับความร่วมมือจากชาวลูเซลัน (Lecielan)<br>ในการพัฒนาอุปกรณ์ใหม่ๆ ด้วย"""
ssc_504070_0320#0,"""และที่ขาดไม่ได้เลยก็คือ การฝึกฝน ARKS หน้าใหม่"""
ssc_504070_0330#0,"""ทางเราได้ตัดสินใจมอบหมายให้ไอน่า<br>เป็นคนดูแลเหล่านักเรียนฝึกหัดรุ่นที่ 2 ต่อแล้วล่ะ"""
ssc_504070_0340#0,"""สักวันหนึ่ง อาจจะมีวันที่ ARKS แต่ละคน<br>ได้รับพลังที่ทัดเทียมกับเธอก็ได้นะ"""
ssc_504070_0350#0,"""ฉันก็หวังให้เป็นแบบนั้นนะ"""
ssc_504070_0360#0,"""ตัวคนเดียว แบกรับไว้ไม่ไหวหรอก"""
ssc_504070_0370#0,"""อื้อ<br>คาดหวังเอาไว้ได้เลย"""
ssc_504070_0380#0,"""การช่วยแบ่งเบาภาระนั้นลงแม้เพียงสักนิด<br>ก็คือหน้าที่ของพวกเราล่ะนะ"""
ssc_504070_0390#0,"""ทุกคนเฝ้ามองแผ่นหลังของเธอแล้วเติบโตขึ้นทีละก้าว<br>เหมือนอย่างที่ไอน่าคุงและมาน่อนคุงเป็นยังไงล่ะ"""
ssc_504070_0400#0,"""ฉันอยากให้เธอ<br>เป็นความหวังของพวกเราต่อไปนะ"""
ssc_504070_0410#0,"""พวกเราขอฝากความหวังไว้ที่เธอ ผู้พิทักษ์ (Guardian)"""
