Title#0,"""Endless: Memories Beyond"""
Area1012L#0,"""ARKS Ship - VR Space (Tokyo)"""
Area1013S#0,"""VR Space (Las Vegas)"""
Area1013L#0,"""ARKS Ship - VR Space (Las Vegas)"""
Area1014S#0,"""VR Space (Corrupted Amduscia)"""
Area1014L#0,"""ARKS Ship - VR Space (Corrupted Volcanic Caves)"""
Area1015S#0,"""VR Space (Earth Guide Underground)"""
Area1015L#0,"""ARKS Ship - VR Space (Earth Guide Underground)"""
Area1016S#0,"""VR Space (Volcanic Caves)"""
Area1016L#0,"""ARKS Ship - VR Space (Volcanic Caves)"""
Area1017S#0,"""VR Space (Mining Base)"""
Area1017L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area1018S#0,"""VR Space (Sealed Grounds)"""
Area1018L#0,"""ARKS Ship - VR Space (Sealed Grounds)"""
Area1019S#0,"""VR Space (Moon)\u3000"""
Area1019L#0,"""ARKS Ship - VR Space (Moon)"""
Area1020S#0,"""VR Space (Yggdrasil)"""
Area1020L#0,"""ARKS Ship - VR Space (Yggdrasil)"""
Area1021S#0,"""VR Space (Devil Castle Grounds)\u3000"""
Area1021L#0,"""ARKS Ship - VR Space (Devil Castle Grounds)"""
Area1022S#0,"""VR Space (Corrupted Forest)\u3000"""
Area1022L#0,"""ARKS Ship - VR Space (Corrupted Forest)"""
Area1023S#0,"""VR Space (????)"""
Area1023L#0,"""ARKS Ship - VR Space (????)"""
Area1024S#0,"""VR Space (ARKS Ship Wreckage - Deck)\u3000"""
Area1024L#0,"""ARKS Ship - VR Space (ARKS Ship Wreckage - Deck)"""
Area1025S#0,"""VR Space (Mothership)\u3000"""
Area1025L#0,"""ARKS Ship - VR Space (Mothership)"""
Area2000S#0,"""VR Space (Forest)"""
Area2000L#0,"""ARKS Ship - VR Space (Forest)"""
Area2001S#0,"""VR Space (Urban Area)"""
Area2001L#0,"""ARKS Ship - VR Space (Urban Area)"""
Area2002S#0,"""VR Space (Sanctum)"""
Area2002L#0,"""ARKS Ship - VR Space (Sanctum)"""
Area2003S#0,"""VR Space (Ruins)"""
Area2003L#0,"""ARKS Ship - VR Space (Ruins)"""
Area2004S#0,"""VR Space (Coast)"""
Area2004L#0,"""ARKS Ship - VR Space (Coast)"""
Area2005S#0,"""VR Space (Coast)"""
Area2005L#0,"""ARKS Ship - VR Space (Coast)"""
Area2006S#0,"""Quarry"""
Area2006L#0,"""ARKS Ship - VR Space (Quarry)"""
Area2007S#0,"""VR Space (Mothership)"""
Area2007L#0,"""ARKS Ship - VR Space (Mothership)"""
Area2008S#0,"""VR Space (Shironia)"""
Area2008L#0,"""ARKS Ship - VR Space (Shironia)"""
Area2009S#0,"""VR Space (Floating Facility)"""
Area2009L#0,"""ARKS Ship - VR Space (Floating Facility)"""
Area2010S#0,"""VR Space (Corrupted Lillipa)"""
Area2010L#0,"""ARKS Ship - VR Space (Corrupted Lillipa)"""
Area2011S#0,"""VR Space (Corrupted Ruins)"""
Area2011L#0,"""ARKS Ship - VR Space (Corrupted Ruins)"""
Area2012S#0,"""VR Space (Tokyo)"""
Area2012L#0,"""ARKS Ship - VR Space (Tokyo)"""
Area2013S#0,"""VR Space (Las Vegas)"""
Area2013L#0,"""ARKS Ship - VR Space (Las Vegas)"""
Area2014S#0,"""VR Space (Corrupted Amduscia)"""
Area2014L#0,"""ARKS Ship - VR Space (Corrupted Volcanic Caves)"""
Area2015S#0,"""VR Space (Earth Guide Underground)"""
Area2015L#0,"""ARKS Ship - VR Space (Earth Guide Underground)"""
Area2016S#0,"""VR Space (Volcanic Caves)"""
Area2016L#0,"""ARKS Ship - VR Space (Volcanic Caves)"""
Area2017S#0,"""VR Space (Mining Base)"""
Area2017L#0,"""ARKS Ship - VR Space (Mining Base)"""
Area2018S#0,"""VR Space (Sealed Grounds)"""
Area2018L#0,"""ARKS Ship - VR Space (Sealed Grounds)"""
Area2019S#0,"""VR Space (Moon)\u3000"""
Area2019L#0,"""ARKS Ship - VR Space (Moon)"""
Area2020S#0,"""VR Space (Yggdrasil)"""
Area2020L#0,"""ARKS Ship - VR Space (Yggdrasil)"""
Area2021S#0,"""VR Space (Devil Castle Grounds)\u3000"""
Area2021L#0,"""ARKS Ship - VR Space (Devil Castle Grounds)"""
Area2022S#0,"""VR Space (Corrupted Forest)\u3000"""
Area2022L#0,"""ARKS Ship - VR Space (Corrupted Forest)"""
Area2023S#0,"""VR Space (????)"""
Area2023L#0,"""ARKS Ship - VR Space (????)"""
Area2024S#0,"""VR Space (ARKS Ship Wreckage - Deck)\u3000"""
Area2024L#0,"""ARKS Ship - VR Space (ARKS Ship Wreckage - Deck)"""
Area2025S#0,"""VR Space (Mothership)\u3000"""
Area2025L#0,"""ARKS Ship - VR Space (Mothership)"""
Area30S#0,"""Interval Area 1"""
Area30L#0,"""ARKS Ship - VR Space\u3000Interval Area 1"""
Area31S#0,"""Interval Area 2"""
Area31L#0,"""ARKS Ship - VR Space\u3000Interval Area 2"""
Area32S#0,"""Interval Area 3"""
Area32L#0,"""ARKS Ship - VR Space\u3000Interval Area 3"""
Area33S#0,"""Interval Area 4"""
Area33L#0,"""ARKS Ship - VR Space (ESC-A Tower - Top Floor)\u3000Interval Area 4"""
Area34S#0,"""Interval Area 5"""
Area34L#0,"""ARKS Ship - VR Space\u3000Interval Area 5"""
Area35S#0,"""Interval Area 6"""
Area35L#0,"""ARKS Ship - VR Space\u3000Interval Area 6"""
Area1030S#0,"""Interval Area 7"""
Area1030L#0,"""ARKS Ship - VR Space\u3000Interval Area 7"""
Area1031S#0,"""Interval Area 8"""
Area1031L#0,"""ARKS Ship - VR Space\u3000Interval Area 8"""
Area1032S#0,"""Interval Area 9"""
Area1032L#0,"""ARKS Ship - VR Space\u3000Interval Area 9"""
Area1033S#0,"""Interval Area 10"""
Area1033L#0,"""ARKS Ship - VR Space (ESC-A Tower - Top Floor)\u3000Interval Area 10"""
Area1034S#0,"""Interval Area 11"""
Area1034L#0,"""ARKS Ship - VR Space\u3000Interval Area 11"""
Area1035S#0,"""Interval Area 12"""
Area1035L#0,"""ARKS Ship - VR Space\u3000Interval Area 12"""
Area2030S#0,"""Interval Area 13"""
Area2030L#0,"""ARKS Ship - VR Space\u3000Interval Area 13"""
Area2031S#0,"""Interval Area 14"""
Area2031L#0,"""ARKS Ship - VR Space\u3000Interval Area 14"""
Area2032S#0,"""Interval Area 15"""
Area2032L#0,"""ARKS Ship - VR Space\u3000Interval Area 15"""
Area2033S#0,"""Interval Area 16"""
Area2033L#0,"""ARKS Ship - VR Space (ESC-A Tower - Top Floor)\u3000Interval Area 16"""
Area2034S#0,"""Interval Area 17"""
Area2034L#0,"""ARKS Ship - VR Space\u3000Interval Area 17"""
Area2035S#0,"""Interval Area 18"""
Area2035L#0,"""ARKS Ship - VR Space\u3000Interval Area 18"""
Area40S#0,"""VR Space (Devil Castle Grounds)"""
Area40L#0,"""ARKS Ship - VR Space (Devil Castle Grounds)"""
NpcComMsg1#0,"""Starting an Endless Quest. Try to reach as far as you can and earn a score."""
NpcComMsg2#0,"""Your scores and time are increased each time you complete a \""Mission Order\"", with that Good Luck!"""
UIQuestTargetOutlineSecond#0,"""Push it to the limit!"""
UIQuestTargetDetailSecond#0,"""Complete Missions to increase the limit!"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 ミッション１は私がナビゲートします。<br>まずは周囲のエネミーを撃破して<br>武器と進路を確保しましょう。"""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション２からは詳細なナビゲートを<br>行いませんので、自身の力で乗り切って<br>ください。それではご武運を。"""
NPCArea2#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション３です。<br>しっかりと休憩はできましたか？<br>そろそろ難易度が上がってきますよ。"""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション４です。<br>ＶＲエネルギーは大丈夫ですか？<br>エネルギー切れにご注意を。"""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション５です。<br>最後のミッションとなります。<br>心してお進みください。"""
NPCArea5#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション６です。ここからは<br>ＶＲエネルギーの切れるまで<br>全力で頑張ってください。"""
NPCArea6#0,"""/atime2.5 /voice11_voice_navi07_019 ミッション７です。<br>同じ光景だとしても、その内容が<br>同じとは限りません。ご注意を。"""
NPCArea7#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション８です。すでにお気づきかも<br>しれませんが、マップに表示されない<br>エネルギーカプセルも落ちていますよ。"""
NPCArea8#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション９です。<br>残り２ミッション。<br>もうひと踏ん張りですよ。"""
NPCArea9#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea10#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１１です。<br>３週目なので難易度が更に上がります。<br>限界まで力を振り絞りましょう。"""
NPCArea11#0,"""/atime2.5 /voice11_voice_navi07_019 ミッション１２です。<br>この難易度にも耐えうる能力……<br>素晴らしいの一言につきます。"""
NPCArea12#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１３です。<br>全力をもって最善を尽くし<br>最深部到達を目指してください。"""
NPCArea13#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１４です。<br>最深部にだいぶ近づいて来ています。<br>３週目の、最深部に。"""
NPCArea14#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１５です。<br>ここを越えれば３週目終了です。<br>ご武運を。"""
NPCArea15#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１６です。<br>４週目のはじまりです。<br>更に難易度が上がりますよ。"""
NPCArea16#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション１７です。<br>素晴らしい成果です。次のミッションで<br>ちょっとした情報を提供しますね。"""
NPCArea17#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１８です。<br>本ミッションは、これが最後の周回。<br>つまり、残りは３ミッションです。"""
NPCArea18#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１９です。<br>残り２ミッション。<br>もうひと踏ん張りですよ。"""
NPCArea19#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション２０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea21#0,"""/atime2.5 /voice11_voice_navi07_002 インターバルエリアとなります。<br>時間内に補給を行い<br>以降のミッションに備えてください。"""
NPCArea22#0,"""/atime2.5 /voice11_voice_navi07_002 インターバルエリアとなります。<br>時間内に補給を行い<br>以降のミッションに備えてください。"""
NPCArea23#0,"""/atime2.5 /voice11_voice_navi07_002 インターバルエリアとなります。<br>時間内に補給を行い<br>以降のミッションに備えてください。"""
NPCArea24#0,"""/atime2.5 /voice11_voice_navi07_002 インターバルエリアとなります。<br>時間内に補給を行い<br>以降のミッションに備えてください。"""
