TEST#0,"""Isso é um teste."""
Code622_Code#0,"""Não foi possivel mudar para quarto."""
Code622_Message#0,"""Uma vez que o quarto selecionado está cheio, voce não pode ir até lá."""
Code623_Title#0,"""Escolha de Quarto"""
Code623_Code#0,"""Não foi possivel mudar para quarto."""
Code623_Message#0,"""Não é possivel encontrar servidor de quartos."""
Code624_Title#0,"""Escolha de Quarto"""
Code624_Code#0,"""Não foi possivel mudar para quarto."""
Code624_Message#0,"""Por conta de uma restrição de entrada, voce não pode ir até este quarto."""
Code625_Title#0,"""Escolha de Quarto"""
Code625_Code#0,"""Não foi possivel mudar para quarto"""
Code625_Message#0,"""Por conta de uma restrição de entrada, voce não pode ir até este quarto."""
Code626_Title#0,"""Escolha de Quarto"""
Code626_Code#0,"""Não foi possivel mudar para quarto"""
Code626_Message#0,"""Por conta de problemas no servidor/sistema, voce não pode ir até aquele quarto."""
Code627_Title#0,"""Escolha de Quarto"""
Code627_Code#0,"""Não foi possivel mudar para quarto"""
Code627_Message#0,"""voce não pode ir até aquele quarto pois voce não tem permissão, ou porque o quarto expirou."""
Code628_Title#0,"""Escolha de Quarto"""
Code628_Code#0,"""Não foi possivel mudar para quarto"""
Code628_Message#0,"""voce não pode ir até aquele quarto pois o dono do quarto não tem permissão, ou porque o quarto expirou."""
Code630_Title#0,"""Comunicação do Servidor"""
Code630_Code#0,"""Sem resposta do servidor."""
Code630_Message#0,"""Sua conexão foi perdida, voltando para a tela inicial."""
Code633_Title#0,"""Ir ao Meu Quarto"""
Code633_Code#0,"""Não foi possivel mudar para Meu Quarto"""
Code633_Message#0,"""Meu Quarto Selecionado está muito cheio para se mudar para."""
Code634_Title#0,"""Ir ao Meu Quarto"""
Code634_Code#0,"""Não foi possivel mudar para Meu Quarto"""
Code634_Message#0,"""Não foi possivel encontrar o servidor do quarto."""
Code635_Title#0,"""Ir ao Meu Quarto"""
Code635_Code#0,"""Não foi possivel mudar para Meu Quarto"""
Code635_Message#0,"""Por conta de restriçoes do quarto, voce não pode ir ate la."""
Code636_Title#0,"""Ir ao Meu Quarto"""
Code636_Code#0,"""Não foi possivel mudar para Meu Quarto"""
Code636_Message#0,"""Por conta de restriçoes do quarto, voce não pode ir ate la."""
Code637_Title#0,"""Ir ao Meu Quarto"""
Code637_Code#0,"""Não foi possivel mudar para Meu Quarto"""
Code637_Message#0,"""Impossivel de mudar<br>por conta de problmeas do sistema servidor."""
Code638_Title#0,"""Ir ao Meu Quarto"""
Code638_Code#0,"""Não foi possivel mudar para Meu Quarto"""
Code638_Message#0,"""Porque o tempo de vigencia expirou, não foi possivel mudar."""
Code639_Title#0,"""Ir ao Meu Quarto"""
Code639_Code#0,"""Não foi possivel mudar para Meu Quarto"""
Code639_Message#0,"""Porque o tempo de vigencia expirou, não foi possivel mudar."""
Code640_Title#0,"""Checagem de Versão"""
Code640_Code#0,"""A versao de jogo do cliente não corresponde."""
Code640_Message#0,"""O jogo não atualizou com sucesso. Por favor execute uma verificação de arquivos. Se necessário, por favor desinstale e reinstale."""
Code641_Title#0,"""Checagem do Cliente"""
Code641_Code#0,"""Erro encontrado com o cliente do jogo."""
Code641_Message#0,"""O jogo não atualizou com sucesso. Por favor execute uma verificação de arquivos. Se necessário, por favor desinstale e reinstale."""
Code642_Title#0,"""Transferencia de Bloco"""
Code642_Code#0,"""Não é possivel mudar para o bloco selecionado."""
Code642_Message#0,"""O bloco selecionado não foi encontrado. Transferencia abortada."""
Code643_Title#0,"""Transferencia de Bloco"""
Code643_Code#0,"""Não é possivel mudar para o bloco selecionado."""
Code643_Message#0,"""Por conta de uma limitação do bloco, voce não pode mudar para aquele bloco."""
Code644_Title#0,"""Transferencia de Bloco"""
Code644_Code#0,"""Não é possivel mudar para o bloco selecionado."""
Code644_Message#0,"""Por conta de problemas do servidor/sistema, voce não pode mudar para aquele bloco."""
Code645_Title#0,"""Transferencia de Servidor"""
Code645_Code#0,"""Não é possivel mudar para o servidor selecionado."""
Code645_Message#0,"""O servidor selecionado está muito ocupado.<br>Transferencia falhada."""
Code646_Title#0,"""Transferencia de Servidor"""
Code646_Code#0,"""Não é possivel mudar para o servidor selecionado."""
Code646_Message#0,"""O servidor selecionado está muito ocupado.<br>Transferencia falhada."""
Code647_Title#0,"""Transferencia de Servidor"""
Code647_Code#0,"""Não é possivel mudar para o servidor selecionado."""
Code647_Message#0,"""Por conta de restrições secundárias do servidor, a transferencia falhou."""
Code648_Title#0,"""Transferencia de Servidor"""
Code648_Code#0,"""Não é possivel mudar para o servidor selecionado."""
Code648_Message#0,"""Por causa de um problema do sistema, voce não pode transferir para este servidor."""
Code649_Title#0,"""Ir ao Quarto da Guilda"""
Code649_Code#0,"""Não é possivel mudar para o Quarto da Guilda."""
Code649_Message#0,"""O servidor está em manutenção. Por favor confira o site oficial para mais informações."""
Code650_Title#0,"""Escolher o Quarto da Guilda"""
Code650_Code#0,"""Não é possivel mudar para o Quarto da Guilda."""
Code650_Message#0,"""Não é possivel mudar para o Quarto da Guilda pois não conseguimos nos conectar ao servidor do Quarto da Guilda.<br><br>Por favor tente novamente mais tarde."""
Code651_Title#0,"""Escolher o Quarto da Guilda"""
Code651_Code#0,"""Não foi possivel mudar para o Quarto da Guilda."""
Code651_Message#0,"""voce não pode mudar para um quarto da guilda pois voce não esta em uma guilda. Por favor, verifique suas informações da guilda."""
Code652_Title#0,"""Escolher o Quarto da Guilda"""
Code652_Code#0,"""Não foi possivel mudar para o Quarto da Guilda."""
Code652_Message#0,"""Não foi possivel mudar para um quarto da guilda pois sua guilda ainda não obteve um quarto da guilda.<br>"""
Code653_Title#0,"""Escolher o Quarto da Guilda"""
Code653_Code#0,"""Não foi possivel mudar para o Quarto da Guilda."""
Code653_Message#0,"""Um erro de comunicação ocorreu durante a Ir ao o quarto da guilda. Por favor espere um pouco e tente novamente."""
Code654_Title#0,"""Escolher o Quarto da Guilda"""
Code654_Code#0,"""Não foi possivel mudar para o Quarto da Guilda."""
Code654_Message#0,"""Voce não pode mudar para o quarto da Guilda pois voce não é um oficial ou lider da Guilda."""
Code655_Title#0,"""Escolher o Quarto da Guilda"""
Code655_Code#0,"""Não foi possivel mudar para o Quarto da Guilda."""
Code655_Message#0,"""O servidor está em manutenção. Por favor confira o site oficial para mais informações."""
Code656_Title#0,"""Escolher o Quarto da Guilda"""
Code656_Code#0,"""Não foi possivel mudar para o Quarto da Guilda."""
Code656_Message#0,"""O servidor do Quarto da Guilda não foi encontrado. Por favor tente novamente mais tarde."""
Code657_Title#0,"""Escolher o Quarto da Guilda"""
Code657_Code#0,"""Não foi possivel mudar para o Quarto da Guilda."""
Code657_Message#0,"""Não foi possivel mudar para aquele quarto da guilda pois voce não pertence a guilda. Por favor verifique suas informações da guilda."""
Code658_Title#0,"""Escolher o Quarto da Guilda"""
Code658_Code#0,"""Não foi possivel mudar para o Quarto da Guilda."""
Code658_Message#0,"""Não foi possivel mudar paara o quarto da guilda pois sua guilda ainda não obteve um quarto da guilda.<br>"""
Code659_Title#0,"""Escolher o Quarto da Guilda"""
Code659_Code#0,"""Não foi possivel mudar para o Quarto da Guilda."""
Code659_Message#0,"""Um erro de comunicação ocorreu durante a Ir ao o quarto da guilda. Por favor espere um pouco e tente novamente."""
Code660_Title#0,"""Escolher o Quarto da Guilda"""
Code660_Code#0,"""Não foi possivel mudar para o Quarto da Guilda."""
Code660_Message#0,"""voce não pode mudar para o quarto da guilda pois voce não é um oficial ou lider da guilda."""
Code700_Title#0,"""Transferencia de Bloco"""
Code700_Code#0,"""Voce não pode mudar para o bloco selecionado."""
Code700_Message#0,"""Voce so pode mudar para este bloco se voce tiver Premium ativo. Transferencia de bloco cancelada."""
Code701_Title#0,"""Transferencia de Bloco"""
Code701_Code#0,"""Voce não pode mudar para o bloco selecionado."""
Code701_Message#0,"""Voce não pode mudar para este bloco na sua plataforma de sistema."""
Code710_Title#0,"""Conteudo de Conjunto Premium"""
Code710_Code#0,"""Este conteudo esta disponivel apenas para membros premium."""
Code710_Message#0,"""Para adquirir Premium, compre o \""Conjunto Premium\"" na Loja de AC no menu principal."""
Code711_Title#0,"""Conteudo de Conjunto Premium"""
Code711_Code#0,"""Conjunto Premium expirou."""
Code711_Message#0,"""O conjunto premium para usar este conteudo expirou. Para adquirir premium, compre o \""Conjunto Premium\"" na Loja de AC no menu principal."""
Code712_Title#0,"""Falta de AC"""
Code712_Code#0,"""Voce não tem AC suficiente para este <br> uso."""
Code712_Message#0,"""Para reabestecer seu AC (ARKS Cash), por favor selecione \""Adquirir AC\"" na Loja de AC no menu principal."""
Code810_Title#0,"""Perigo"""
Code810_Code#0,"""Uma queixa foi registrada contra o cliente."""
Code810_Message#0,"""Se voce não conseguir se comportar de uma maneira correta no futuro, seu uso do serviço pode estar em perigo. Por favor refira-se a pagina de contato do Phantasy Star Online 2 se voce tiver perguntas/duvidas."""
Code811_Title#0,"""Perigo"""
Code811_Code#0,"""Uma queixa foi registrada contra o cliente."""
Code811_Message#0,"""Se voce não conseguir se comportar corretamente de agora em diante, encerraremos seu acesso ao servidor. Por favor refira-se a pagina de contato do Phantasy Star Online 2 se voce tiver perguntas/duvidas."""
Code812_Title#0,"""Banido"""
Code812_Code#0,"""O cliente foi banido de usar este servico."""
Code812_Message#0,"""Voce foi banido de usar o servico - Por favor refira-se a pagina de contato do Phantasy Star Online 2 se voce tiver perguntas/duvidas."""
Code813_Title#0,"""Banido"""
Code813_Code#0,"""O cliente foi temporariamente banido de usar este servico."""
Code813_Message#0,"""Seu acesso ao servidor do Phantasy Star Online 2 foi temporariamente suspenso até %d. Por favor refira-se a pagina de contato do Phantasy Star Online 2 se voce tiver perguntas/duvidas."""
Code814_Title#0,"""Banido"""
Code814_Code#0,"""O cliente foi banido de usar este servico. """
Code814_Message#0,"""Voce foi banido de usar o servico - Por favor refira-se a pagina de contato do Phantasy Star Online 2 se voce tiver perguntas/duvidas."""
Code815_Title#0,"""Utilidade Restrita"""
Code815_Code#0,"""O cliente foi banido de usar este servico."""
Code815_Message#0,"""Voce foi banido de usar este servico - Por favor refira-se a pagina de contato do Phantasy Star Online 2 se voce tiver perguntas/duvidas."""
Code911_Title#0,"""Confirmacao de Janela"""
Code911_Code#0,"""AUm erro assumido ocorreu."""
Code911_Message#0,"""Por favor verifique seu sistema e ambiente ao jogar Phantasy Star Online 2. Se voce tiver duvidas, por favor contate o fornecedor/fabricante do seu PC."""
SignOut_PS4#0,"""Desconectado da PlayStation® Network.<br>Volte a tela inicial."""
TokuteiURL#0,"""<&URL pso2_players_support_rule_tokutei>"""
TokuteiURL_v#0,"""<&URL pso2_players_support_rule_tokutei_vita>"""
TokuteiURL_c#0,"""<&URL pso2_players_support_rule_tokutei_cloud>"""
Code661_Title#0,"""Escolher Quarto da Guilda"""
Code661_Code#0,"""Não foi possivel mudar para o quarto da guilda."""
Code661_Message#0,"""Não foi possivel mudar para o Quarto da Guilda<br> por conta de restricoes de entrada estabelecidas."""
Code662_Title#0,"""Transferencia de Servidor"""
Code662_Code#0,"""Não foi possivel mudar para o servidor selecionado."""
Code662_Message#0,"""クエストが開始されているため、<br>サーバーに移動できませんでした。"""
Code704_Title#0,"""Transferencia de Bloco"""
Code704_Code#0,"""Não foi possivel mudar para o bloco selecionado."""
Code704_Message#0,"""<yellow>①Obtenha o titulo do \""Ceu e Inferno\""<c>.<br><yellow>②Obtenha um titulo por refinar uma arma de raridade ★13+<br> para +35 ou se [Summoner], colocar um pet de raridade ★13<br>no Lv.120.<c><br><yellow>③Obtenha um titulo por usar um set completo de <br>units ★12 refinadas ao +10<c>"""
Code730_Title#0,"""Transferencia de Servidor"""
Code730_Code#0,"""Não foi possivel mudar para o servidor selecionado."""
Code730_Message#0,"""Transferencia falhou pois oo servidor selecionado está ocupado."""
Code731_Title#0,"""Transferencia de Servidor"""
Code731_Code#0,"""Não foi possivel mudar para o servidor selecionado."""
Code731_Message#0,"""O servidor selecionado não foi encontrado.<br>Transferencia falhou."""
Code732_Title#0,"""Transferencia de Servidor"""
Code732_Code#0,"""Não foi possivel mudar para o servidor selecionado."""
Code732_Message#0,"""Por conta de restricoes secundarias do servidor, voce não pode ser transferido."""
Code733_Title#0,"""Transferencia de Servidor"""
Code733_Code#0,"""Não pode mudar para o servidor selecionado."""
Code733_Message#0,"""Não foi possivel mudar para o servidor selecionado<br>por conta de um erro no sistema."""
SystemMesSegaID#0,"""Validando SEGA ID..."""
SystemMesSegaID_v#0,"""Validando SEGA ID."""
SystemMesAtherID#0,"""Validando SEGA ID..."""
SystemMesLobbyWait#0,"""Esperando resposta do servidor de lobby."""
SystemMesServerWait#0,"""Esperando resposta do servidor."""
SystemMesGameDataWait#0,"""Informacao do jogo obtida"""
SystemMesCharaDataWait#0,"""Informacao do personagem obtida."""
SystemMesGameShut#0,"""Desconectado do servidor."""
SystemMesServerShut#0,"""Desconectado por conta de um pedido do servidor."""
SystemMesNetWorkShut#0,"""O tempo da conexao esgotou. Por favor verifique suas configuracoes de conexao e rede."""
SystemMesBusy#0,"""Comunicando..."""
SystemGmAlertFormMessage#0,"""Aceitar essa mensagem."""
SystemGmAlertFormMessageTitle#0,"""Aviso do GM"""
SystemGmMessageFormMessageTitle#0,"""Mensagem do GM"""
EmergencyStopMessage#0,"""Tem um problema com a utilidade selecionada, e seu uso foi restringido enquanto esta sendo investigado.<br>Por favor consulte Bumped.org ou o site do jogador para detalhes."""
EmergencyStopMessageTitle#0,"""Uso Restrito"""
EmergencyStopItemMessage#0,"""現在、選択したアイテムに問題が発生しており<br>調査のため取引を制限しています。<br>詳しくはプレイヤーズサイトをご確認ください。"""
EmergencyStopItemMessageTitle#0,"""特定アイテムの取引制限"""
Toast_StoryQuestAnnounce#0,"""Por favor comece a Quest da Historia do [EPISODIO 1] \""Conhecendo a Xion\""."""
RestrictionTitle#0,"""機能制限"""
RestrictionMessageInfo#0,"""この機能のご利用には、SEGA IDとの連携が必要です。<br><br>SEGA IDと連携すると<br>\u3000・他のプラットフォームでのゲームプレイ<br>\u3000・ワンタイムパスワードの利用<br>ほか、便利なサービスをご利用頂けます。<br><br>ログインメニューの「SEGA IDと連携する」から<br>SEGA IDの取得と連携ができます。"""
Yes#0,"""Sim"""
No#0,"""Não"""
Decide#0,"""Confirmar"""
Cancel#0,"""Cancelar"""
Next#0,"""Proximo"""
Prev#0,"""Anterior"""
Close#0,"""Fechar"""
Return#0,"""Voltar"""
CloseHint#0,"""Fechar"""
HelpHint#0,"""Ajuda"""
Level#0,"""Lv."""
Colon#0,""":"""
Slash#0,"""/"""
Hyphen#0,"""-"""
Asterisk#0,"""*"""
Plus#0,"""+"""
Greater#0,""">"""
Less#0,"""<"""
WaveDash#0,"""～"""
Cross#0,"""×"""
MultiSelecting#0,"""Selecionando multiplos..."""
MultiDrop#0,""" - ($(0))"""
DropText#0,"""$(0)"""
MultiDropText#0,"""$(1) - ($(0))"""
SubmenuType_StyleChange#0,"""Alterar formato de exibicao"""
SubmenuType_Help#0,"""Ajuda"""
Title#0,"""Mensagem"""
CaptureMessage#0,"""Captura de tela salva."""
CaptureMessage2#0,"""Captura de tela salva."""
CaptureMessage3#0,"""Captura de tela salva."""
CaptureErrorMessage01#0,"""Não foi possivel salvar a captura de tela: sem espaco suficiente."""
MovieStartMessage#0,"""Gravacao de video iniciada."""
MovieEndMessage#0,"""Gravacao de video encerrada."""
MovieErrorMessage01#0,"""Não foi possivel gravar video: sem espaco suficiente."""
MovieErrorMessage02#0,"""Gravacao de video interrompida: sem espaco suficiente."""
Bubble_Chatter1#0,"""・・・"""
Bubble_Chatter2#0,"""・・・"""
Bubble_Chatter3#0,"""・・・"""
Bubble_Chatter4#0,"""・・・"""
Bubble_Chatter5#0,"""・・・"""
Bubble_Chatter6#0,"""・・・"""
Bubble_Chatter7#0,"""・・・"""
Bubble_Chatter8#0,"""・・・"""
Bubble_Chatter9#0,"""・・・"""
Bubble_Chatter10#0,"""・・・"""
CheckTextOpen#0,"""Não mostre esta janela novamente."""
ClosableMessageTitle#0,"""Mensagem"""
ClosableMessageButton#0,"""Fechar"""
PlayerIDName#0,"""Nome ID do Jogador"""
PlayerID#0,"""ID do Jogador"""
CharaName#0,"""Nome do Personagem"""
LevelNum#0,"""Lv.$(0)"""
SubmenuType_Edit#0,"""Customizar"""
SubmenuType_SearchMode#0,"""Mudar modo de busca"""
BeginLookAtCamera#0,"""Comecou a olhar para a camera."""
EndLookAtCamera#0,"""Parou de olhar para a camera."""
NoName#0,"""Nenhum"""
Percent#0,"""％"""
PercentNum#0,"""$(0)％"""
Title#1,"""Raca"""
Human#0,"""Humano"""
Newman#0,"""Neohumano"""
Cast#0,"""CAST"""
Dewman#0,"""Deohumano"""
All#0,"""Todas as racas"""
NoHuman#0,"""Não-Humano"""
NoNewman#0,"""Não-Neohumano"""
NoCast#0,"""Não-Cast"""
NoDewman#0,"""Não-Deohumano"""
Title#2,"""Genero"""
Male#0,"""Masculino"""
Female#0,"""Feminino"""
All#1,"""Todos"""
Class#0,"""Classe"""
Main#0,"""Classe Principal"""
Sub#0,"""Subclasses"""
None#0,"""Nenhum"""
Job00#0,"""HUNTER"""
Job01#0,"""RANGER"""
Job02#0,"""FORCE"""
Job03#0,"""FIGHTER"""
Job04#0,"""GUNNER"""
Job05#0,"""TECHER"""
Job06#0,"""BRAVER"""
Job07#0,"""BOUNCER"""
Job08#0,"""CHALLENGER"""
Job09#0,"""SUMMMONER"""
Job10#0,"""BATTLE WARRIOR"""
Job11#0,"""HERO"""
Job12#0,"""PHANTOM"""
Job13#0,"""ETOILE"""
Job14#0,"""LUSTER"""
All#2,"""Todas as Classes"""
SaveAccount#0,"""Salvar Nome da Conta"""
SavePassword#0,"""Salvar Senha"""
Logout_Title#0,"""Sair do Jogo"""
Logout_Message#0,"""Voce tem certeza de que quer sair?"""
Logout_Wait_Message#0,"""Saindo..."""
AutoLogoutWarning_Title#0,"""Aviso"""
AutoLogoutWarning_Message#0,"""<c ff9c70>■Aviso de Desconexao Automatica■<c><br><br>Voce não iniciou uma<br>Quest de Desafio em algum tempo.<br><br>Se voce não fechar esta janela <br>dentro de <yellow>$(0)<c>, voce vai ser<br>desconectado automaticamente.<br><br><yellow>※Esta utilidade é habilitada apenas<br>na Nave de Desafios.<c>"""
AutoLogoutDone_Title#0,"""Aviso"""
AutoLogoutDone_Message#0,"""<yellow>Voce não iniciou uma Quest dentro <br>do tempo previsto, entao voce foi automaticamente desconectado.<c><br><br>※Na Nave de Desafios, se voce não comecar uma Quest dentro de<br>um determinado periodo de tempo, voce sera automaticamente desconectado.<br><br>Voltando para a tela inicial."""
AutoLogoutWarning_Message_InChallengeShip#0,"""<c ff9c70>■Aviso de Desconexao Automatica■<c><br><br>Voce não iniciou uma<br>Quest de Desafio em algum tempo.<br><br>Se voce não fechar esta janela <br>dentro de <yellow>$(0)<c>, voce vai ser<br>desconectado automaticamente.<br><br><yellow>※Esta utilidade é habilitada apenas <br>na Nave de Desafios.<c>"""
AutoLogoutDone_Message_InChallengeShip#0,"""<yellow>Voce não iniciou uma Quest dentro <br>do tempo previsto, entao voce foi automaticamente desconectado.<c><br><br>※Na Nave de Desafios, se voce não comecar uma Quest dentro de<br>um determinado periodo de tempo, voce sera automaticamente desconectado.<br><br>Voltando para a tela inicial."""
AutoLogoutWarning_Message_InPokaShip#0,"""<c ff9c70>■Aviso de Desconexao Automatica■<c><br>Na Arena de Batalha, se o pareamento não for iniciado dentro de um determinado periodo de tempo, voce sera automaticamente desconectado.<c><br><br>Voce pode fechar esta janela dentro de <yellow>$(0)<c><br> para interromper o logout automatico e continuar jogando."""
AutoLogoutDone_Message_InPokaShip#0,"""<yellow>Pareamento não foi iniciado dentro<br>do tempo previsto, entao voce foi automaticamente desconectado.<c><br><br>※Na Arena de Batalha, se o pareamento não for iniciado dentro de<br>um determinado periodo de tempo, voce sera automaticamente desconectado.<br><brVoltando para a tela inicial."""
LogKind_All#0,"""Log: Todos"""
LogKind_Custom#0,"""Log: Exibir Todos"""
LogKind_Public#0,"""Log: Por Perto"""
LogKind_Party#0,"""Log: Equipe"""
LogKind_Guild#0,"""Log: Guilda"""
LogKind_System#0,"""Log: Sistema"""
LogKind_NPC#0,"""Log: Personagens"""
LogKind_Whisper#0,"""Log: Sussurro"""
LogKind_Channel#0,"""-"""
LogBalloon_All#0,"""0. Ver Todos"""
LogBalloon_Custom#0,"""0. Ver Todos"""
LogBalloon_Public#0,"""1. Por Perto"""
LogBalloon_Party#0,"""<pict Equipe>2. Equipe"""
LogBalloon_Guild#0,"""<pict Guilda>3. Guilda"""
