msc_022010_0010#0,"""ขอบคุณทุกคนที่มารวมตัวกันที่นี่ครับ"""
msc_022010_0370#0,"""ช่วงนี้ฉันปล่อยให้เป็นหน้าที่ของคานุย (Kanui)<br>ในการดูแลเรื่องการต่อสู้ทั้งหมดเลยน่ะ"""
msc_022010_0380#0,"""ถึงเวลาที่ฉันจะต้องแบ่งเบา<br>ภาระของเธอมาบ้างแล้วล่ะ"""
msc_022010_0390#0,"""ฉันจะคอยดูแลมาน่อนให้ด้วย"""
msc_022010_0400#0,"""...เข้าใจแล้วครับ ขอบคุณมากนะครับ"""
msc_022010_0410#0,"""ถ้าคุณคิดว่ามีใครที่เหมาะสมกับทีมสำรวจ<br>ก็บอกผมได้เลยนะครับ"""
msc_022010_0420#0,"""เข้าใจแล้ว"""
msc_022010_0430#0,"""ส่วนทางนี้... ดูเหมือนว่าจะมีแค่ฉันคนเดียวแฮะ"""
msc_022010_0440#0,"""ไอน่า บางครั้งฉันอาจจะ<br>เรียกให้เธอมาช่วยบ้างนะ"""
msc_022010_0450#0,"""เมื่อถึงตอนนั้น<br>ฉันจะหวังพึ่งเธอนะ"""
msc_022010_0460#0,"""เกลน (Glen)...?"""
msc_022010_0470#0,"""ส่วนเวลาที่เหลือ เธอควรจะทุ่มเท<br>ให้กับภารกิจที่ครอว์ฟอร์ด (Crawford) มอบหมายให้ซะ"""
msc_022010_0480#0,"""พวกเธอสองคนได้รับความรับผิดชอบ<br>ในการปกป้องอนาคตของ ARKS เลยนะ"""
msc_022010_0490#0,"""..."""
msc_022010_0500#0,"""ค่ะ... ฉันเข้าใจแล้ว"""
msc_022010_0510#0,"""นั่นคือเรื่องทั้งหมดที่คุณอยากจะคุยใช่ไหม?"""
msc_022010_0520#0,"""ฉันจำเป็นต้องรู้จำนวนคนคร่าวๆ ก่อน<br>ที่จะตัดสินใจอะไรแน่นอนในส่วนของฉันน่ะ"""
msc_022010_0530#0,"""ข-เข้าใจแล้วครับ"""
msc_022010_0540#0,"""แผนการปฏิบัติงานสำหรับทีมสำรวจ<br>จะถูกกำหนดไว้เมื่อถึงเวลาอันควรครับ"""
msc_022010_0550#0,"""..."""
