11_voice_NPC_19_100#0,"""……こんにちは。<br>私に、何か用？"""
sq02_020#0,"""...But I don't understand what's going on right now. We have to be prepared for anything."""
sq13_010#0,"""...Shiva, the Goddess of Demise. We don't know many details about her, but her power...<br>That much, we do understand."""
11_voice_NPC_5019_104#11,"""...I thought defeating the [Profound Darkness] would allow us to finally achieve peace...<br>It seems that wasn't the case."""
11_voice_NPC_5019_104#12,"""...We were so blinded by their power that we didn't notice they'd reached the core."""
ep6_sq00_02#0,"""...But not everyone is in despair. I'm certain that's because of you. I've seen the way you never give up."""
ep6_sq00_03#0,"""...We won't give up either. We'll support each other in whatever way we need to."""
11_voice_NPC_5019_103#0,"""...This is our responsibility. Because of our incompetence, we have lost something incomparably important..."""
ep6_sq01_02#0,"""...But maybe there's still hope? I can see it in your eyes."""
ep6_sq01_03#0,"""...Then I shall place all my bets on that hope. I'll do anything. Just say the word."""
ep6_sq02_01#0,"""...This is great. This is really, really great."""
ep6_sq02_02#0,"""...We will never lose him again. Him, or anything else important.<br>...I will do anything I can to make sure of that."""
11_voice_NPC_5019_103#1,"""...Shiva is very dangerous. She toys with us so easily...<br>It's as if she enjoys our suffering."""
ep6_sq02_01_02#0,"""...She is arrogant. But arrogance leads to overconfidence. We may have a chance."""
ep6_sq03_02_01_01#0,"""...We've been in difficult situations before, but this is the most critical of all."""
ep6_sq03_02_01_02#0,"""...Therefore, I will do everything I can to assist."""
text01#0,"""...Thank you for all you've done. Is your body alright?"""
11_voice_NPC_5019_100#16,"""...I'm glad we won. And I'm especially glad that we never gave up. Of course, that's all thanks to you."""
text03#0,"""We don't know what will happen in the future. But whatever it is...<br>Let's take it at our own pace."""
