Npc_7001001#0,"""마논"""
Npc_7607001#0,"""아제"""
Npc_7608001#0,"""옷토"""
Npc_7609001#0,"""모리에"""
Npc_7610001#0,"""웨이크스"""
Npc_7611001#0,"""난델"""
Npc_7612001#0,"""호크시"""
Npc_7613001#0,"""토우엔"""
Npc_7615001#0,"""디노"""
Npc_7616001#0,"""마사"""
Npc_7617001#0,"""라스키나"""
Npc_7618001#0,"""세이머"""
Npc_7619001#0,"""발메"""
Npc_7622001#0,"""켄진스"""
Npc_7623001#0,"""노리시모"""
Npc_7625001#0,"""에딕"""
Npc_7628001#0,"""레라크"""
Npc_7629001#0,"""리라사"""
Npc_7631001#0,"""카프티"""
Npc_7632001#0,"""루루"""
Npc_7633001#0,"""니코"""
Npc_7634001#0,"""로로"""
Npc_7635001#0,"""스라"""
Npc_7636001#0,"""베라"""
Npc_7637001#0,"""쥬리"""
Npc_7638001#0,"""아네스트"""
Npc_7642001#0,"""랄"""
Npc_7643001#0,"""렛지스"""
Npc_7645001#0,"""루디"""
Npc_7646001#0,"""빌"""
Npc_7648001#0,"""파인"""
Npc_7649001#0,"""버지"""
Npc_7653001#0,"""마틸다"""
Npc_7654001#0,"""코뮤나"""
Npc_7655001#0,"""웨슬리"""
Npc_7656001#0,"""세그렛트"""
Npc_7657001#0,"""아디라"""
Npc_7658001#0,"""라도맥"""
Npc_7660001#0,"""스탓기"""
Npc_7661001#0,"""바시니아"""
Npc_7662001#0,"""단트레이"""
Npc_7663001#0,"""샤르키"""
Npc_7664001#0,"""호냥"""
Npc_7667001#0,"""네스카"""
Npc_7687001#0,"""트레이시스"""
Npc_7688001#0,"""디멘테르나"""
Npc_7690001#0,"""니무로드"""
Npc_7691001#0,"""우프"""
Npc_7693001#0,"""이리다"""
Npc_7694001#0,"""라이썬더"""
Npc_7695001#0,"""츠카노"""
Npc_7696001#0,"""무리야"""
Npc_7700001#0,"""셰리던"""
Npc_7702001#0,"""치코냐"""
Npc_7705001#0,"""린체"""
Npc_7707001#0,"""마린"""
Npc_7708001#0,"""식사중커플남"""
Npc_7709001#0,"""식사중커플여"""
Npc_7710001#0,"""루스란"""
Npc_7711001#0,"""로아라"""
Npc_7712001#0,"""게파르트"""
Npc_7713001#0,"""라스터"""
Npc_7714001#0,"""그라트"""
Npc_7717001#0,"""비버리"""
Npc_7718001#0,"""월라스"""
Npc_7719001#0,"""라텔"""
Npc_7720001#0,"""루이커트"""
Npc_7727001#0,"""산티"""
Npc_7729001#0,"""베르냅"""
Npc_7733001#0,"""설리번"""
Npc_7734001#0,"""달레인"""
Npc_7735001#0,"""샤자"""
Npc_7736001#0,"""호프백"""
Npc_7737001#0,"""예나"""
Npc_7738001#0,"""이어하트"""
Npc_7739001#0,"""테레사"""
Npc_7740001#0,"""트랙스탠"""
Npc_7746001#0,"""아티"""
Npc_7761001#0,"""웨스터"""
Npc_7762001#0,"""다이아"""
Npc_7763001#0,"""듀플리스"""
Npc_7764001#0,"""스즈란"""
Npc_7765001#0,"""세토"""
Npc_7771001#0,"""토키와"""
Npc_7772001#0,"""키누"""
Npc_7774001#0,"""미노리"""
Npc_7775001#0,"""츠쿠시"""
Npc_7776001#0,"""야쿠모"""
Npc_7903001#0,"""다루게"""
Npc_7904001#0,"""다츄아"""
Npc_7905001#0,"""샤말"""
Npc_7906001#0,"""샨 레이"""
Npc_7907001#0,"""호사냐"""
Npc_7908001#0,"""홀로맨"""
Npc_7909001#0,"""에그자"""
Npc_7910001#0,"""베스테"""
Npc_7991001#0,"""쿠로"""
Npc_7992001#0,"""시로"""
Npc_7993001#0,"""Npc_7993001"""
Npc_7994001#0,"""Npc_7994001"""
Npc_7995001#0,"""Npc_7995001"""
Npc_ArksTrainer#0,"""아크스 교관"""
Npc_CounterQuest1#0,"""퀘스트 카운터: 관리관"""
Npc_CounterSalon1#0,"""에스테 : 점원"""
Npc_CounterLab1#0,"""아이템 랩 : 강화 기사"""
Npc_ClassCounter#0,"""클래스 카운터 : 관리관"""
Npc_EmergencyCounter#0,"""긴급 퀘스트 관리관"""
Npc_KitchenPolice#0,"""푸드 스탠드 : 점원"""
Npc_Appraiser#0,"""아이템 랩 : 감정사"""
Npc_MyShop#0,"""마이 샵 : 점원"""
Npc_ItemShop#0,"""아이템 샵 : 점원"""
Npc_RecycleShop#0,"""아이템 트레이더"""
Npc_Restaurant#0,"""레스트 코너 : 안내원"""
Npc_MineralResearcher#0,"""아크스 광석 연구원"""
Npc_Communication#0,"""아크스 정보지원관"""
Npc_WeatherResearcher#0,"""아크스 기상 연구원"""
Npc_Telegraphist#0,"""아크스 통신사"""
Npc_SeniorTelegraphist#0,"""아크스 상급 통신사"""
Npc_MagEngineer#0,"""아크스 기계 기술자"""
Npc_MeleeInstructor#0,"""아크스 타격 교관"""
Npc_MeleeInstructor2#0,"""파이터 교관"""
Npc_RangeInstructor#0,"""아크스 사격 교관"""
Npc_RangeInstructor2#0,"""거너 교관"""
Npc_CasterInstructor#0,"""아크스 법격 교관"""
Npc_CasterInstructor2#0,"""텍터 교관"""
Npc_Seasonal#0,"""아크스 특이 현상 연구원"""
Npc_MiniGame#0,"""ミニゲームNPC（仮）"""
Npc_BraverInstructor#0,"""아크스 복합기능 교관"""
Npc_DrillInstructor#0,"""아크스 훈련교관"""
Npc_AdDrillInstructor#0,"""아크스 상급 훈련교관"""
Npc_Commissariat#0,"""아크스 후방 지원관"""
Npc_PPResearcher#0,"""아크스 특이현상 조사원"""
Npc_RappyFunBro#0,"""랍피 무지 좋아하는 형씨"""
Npc_TeamActivitySupporter#0,"""팀 활동 지원관"""
Npc_KvarisExpeditionCaptain#0,"""크바리스 선발대장"""
Npc_EnviromentalResearcher#0,"""아크스 환경 조사원"""
Npc_CanyonSupplyManager#0,"""레이요르드 협만 대책반 물자 관리원"""
Npc_CanyonCaptain#0,"""레이요르드 협만 대책반장"""
Npc_CanyonSoldier#0,"""레이요르드 협만 대책반 일원"""
Npc_ARKSTechnologist#0,"""아크스 기술 연구원"""
Npc_ARKSCombatSupport#0,"""아크스 전투 지원관"""
Npc_ARKSEquipmentDeveloment#0,"""아크스 장비 개발부원"""
Npc_ARKSAdvancedCommunication#0,"""아크스 상급 정보지원관"""
Npc_ARKSSummoner#0,"""아크스 조수 교관"""
Npc_ARKSComprehensiveTactics#0,"""아크스 종합 전술 교관"""
Npc_ARKSTechDev#0,"""아크스 기술 개발부원"""
Npc_Stia1#0,"""스티아 선발대 제1소대장"""
Npc_Stia2#0,"""스티아 선발대 제2소대장"""
Npc_Stia3#0,"""스티아 선발대 제3소대장"""
Npc_ArksSupplyManager#0,"""리아크스 물자 관리원"""
Npc_ArksTechDevSupport#0,"""아크스 기술 개발 지원관"""
Npc_Linker#0,"""아크스 총검 교관"""
Npc_Creative#0,"""아크스 건축 연구원"""
Npc_Lucieran#0,"""루시엘 환경 조정원"""
