r01_gd_flo_wi#0,"""Fuwan"""
r01_gd_sol_ribold#0,"""Bomux Gun"""
r01_gd_ins_ba#0,"""Destragras"""
r01_unk_rap_mo#0,"""Tsukimi Rappy"""
r01_unk_rap_ha#0,"""Scythe Rappy"""
r02_gd_flo_th#0,"""Sand Fuwan"""
r02_gd_pyc_ba#0,"""Sand Tinos"""
r02_gd_gos_ba#0,"""Sand Koron"""
r02_gd_sol_sw#0,"""Dezas Sword"""
r02_gd_sol_ri#0,"""Dezas Gun"""
r02_gd_sol_lu#0,"""Dezas Launcher"""
r02_gd_sol_gs#0,"""Dezas Slash"""
r02_gd_gor_ba#0,"""Sand Rororon"""
r02_gd_gor_bald#0,"""Sand Rororox"""
r02_gd_for_ba#0,"""Sandotts"""
r02_gd_bra_ba#0,"""Brancle"""
r02_gd_mtl_ba#0,"""Metis"""
r02_gd_box_ba#0,"""Sand Nagrus"""
r02_gd_phe_ba#0,"""Sand Oruq"""
r02_gd_sip_ba#0,"""Lysentos"""
r02_gd_cas_mi#0,"""Fortes Launcher"""
r02_gd_cas_el#0,"""Fortes Laser"""
r02_gd_kic_ba#0,"""Kelkund"""
r02_gd_sna_ba#0,"""Lenus Retem"""
r02_gd_sna_rai#0,"""Lenus Vera"""
r02_gd_gia_hm#0,"""Snidael Hammer"""
r02_gd_gia_rai#0,"""Snidael Vera"""
r02_alt_sin_ba#0,"""Mummidog"""
r02_alt_dwf_ba#0,"""Savallk"""
r02_alt_dks_ba#0,"""Kero Gero"""
r02_alt_hrp_ba#0,"""Saval Ange"""
r02_alt_snk_ba#0,"""Glass Nex"""
r02_alt_tkm_ba#0,"""Ruffinbear"""
r02_alt_tig_ba#0,"""Clawper"""
r02_alt_dvs_ba#0,"""Bubble Crab"""
r02_ani_rbt_a#0,"""Ramul Sunny"""
r02_ani_bis_a#0,"""Ramul Patt"""
r02_ani_bis_b#0,"""Ramul Pattie"""
r02_ani_bir_b#0,"""Ramul Birdie"""
r02_ani_sli_a#0,"""Ramul Otterica"""
r02_ani_kit_a#0,"""Ramul Voks"""
r02_ani_cam_a#0,"""Camellio"""
r02_ani_cam_b#0,"""Camellia"""
r02_ani_hip_a#0,"""Pippotan"""
r02_ani_hip_b#0,"""Hippoko"""
r02_ani_boa_a#0,"""Ramul Noxi"""
r01_unk_rap_ch#0,"""Tonna Rappy"""
r02_gd_god2_ba#0,"""Dark Falz"""
r03_gd_flo_th#0,"""スノウフワン"""
r03_gd_pyc_ba#0,"""スノウティノス"""
r03_gd_tyu_ba#0,"""ジャンゲス"""
r03_gd_sol_sw#0,"""ザムス・ソード"""
r03_gd_sol_ri#0,"""ザムス・ガン"""
r03_gd_sol_lu#0,"""ザムス・ランチャー"""
r03_gd_sol_gs#0,"""ザムス・スラッシュ"""
r03_gd_gor_ba#0,"""スノウロロン"""
r03_gd_gor_bald#0,"""スノウロロクス"""
r03_gd_for_ba#0,"""フリッツ"""
r03_gd_bkt_ba#0,"""リンシャン"""
r03_gd_abn_ba#0,"""プロクタス・エアル"""
r03_gd_abn_ba2#0,"""プロクタス・リテナ"""
r03_gd_hum_cl#0,"""アムス・クローネ"""
r03_gd_phe_ba#0,"""スノルク"""
r03_gd_wic_ba#0,"""レリーヌ"""
r03_gd_pan_ba#0,"""パンゴラン"""
r03_gd_gia_ice#0,"""レイダル・ソード"""
r03_gd_tur_ba#0,"""クロコダラス"""
r03_gd_tur_rai#0,"""クロコダラス・ヴェラ"""
r03_gd_hum_ba#0,"""アムス・クヴァリス"""
r03_gd_hum_rai#0,"""アムス・ヴェラ"""
r02_gd_god2_ex#0,"""ダークファルス"""
r03_alt_sin_ba#0,"""チルディドッグ"""
r03_alt_sin_ba2#0,"""フリージドッグ"""
r03_alt_dks_ba#0,"""ヒエルゲロ"""
r03_alt_dks_ba2#0,"""チベタゲロ"""
r03_alt_wlf_ba#0,"""チルディロン"""
r03_alt_wlf_ba2#0,"""フリージロン"""
r03_alt_cli_ba#0,"""チルディキュリオ"""
r03_alt_cli_ba2#0,"""フリージキュリオ"""
r03_alt_hog_ba#0,"""チルディンホッグ"""
r03_alt_hog_ba2#0,"""フリージンホッグ"""
r03_alt_snk_ba#0,"""チルディスネッグ"""
r03_alt_snk_ba2#0,"""フリージスネッグ"""
r03_alt_tig_ba#0,"""チルディロウパー"""
r03_alt_tig_ba2#0,"""フリージロウパー"""
r03_alt_tao_ba#0,"""マーカライド"""
r03_ani_rbt_a#0,"""ルミィサニィ"""
r03_ani_bis_a#0,"""ルミィパット"""
r03_ani_bir_a#0,"""ルミィバーディ"""
r03_ani_sli_a#0,"""ルミィオタリカ"""
r03_ani_kit_a#0,"""ルミィフォクス"""
r03_ani_rei_a#0,"""ポロロ"""
r03_ani_fih_a#0,"""コマンタ"""
r03_non_rob_a#0,"""ホーバック"""
r01_unk_emp_ba#0,"""エンペ・ラッピー"""
r01_unk_emp_babi#0,"""グレト・ラッピー"""
r01_unk_emp_10av#0,"""セレモ・エンペラッピー"""
r01_unk_emp_10avbi#0,"""セレモ・グレトラッピー"""
r02_gd_kpy_ba#0,"""イクサブジン"""
r02_alt_cli_ba#0,"""Sava Curio"""
r02_alt_wlf_ba#0,"""Sava Wauron"""
r02_alt_tis_ba#0,"""Sava Discythe"""
r01_unk_rap_wi#0,"""Nordi Rappy"""
r02_alt_hog_ba#0,"""Savainehog"""
r02_nat_gdn_ba#0,"""Guardine Loa"""
r02_nat_wol_sm#0,"""Gulf Deloa"""
r02_nat_wol_bi#0,"""Fangulf Deloa"""
r02_nat_bir_ba#0,"""Agnis Deloa"""
r02_nat_gma_ba#0,"""Spardan A Deloa"""
r02_nat_gma_gu#0,"""Spargun Loa"""
r02_nat_gma_bo#0,"""Sparzyle Loa"""
r02_nat_armma_ba#0,"""Armarongo"""
r02_nat_can_gu#0,"""Signo Gun Loa"""
r02_nat_zmr_rs#0,"""Gilnach Loa"""
r02_nat_hmc_ba#0,"""Dingell Loa"""
r02_nat_bea_ba#0,"""Dunebear"""
r01_nat_fan_tmsp#0,"""Sand Banther"""
r02_nat_trf_ba#0,"""グランマイザー"""
r01_unk_tan_ba#0,"""カプタン"""
r01_unk_rap_1ng#0,"""アニバ・ラッピー"""
r03_nat_bea_mon#0,"""イエーデ・ロア"""
r03_nat_wol_sm#0,"""ガルフル・ロア"""
r03_nat_wol_bi#0,"""ファンガルフル・ロア"""
r03_nat_bir_ba#0,"""アギニス・ザロア"""
r03_nat_armma_ba#0,"""ブリザロンゴ"""
r03_nat_bea_ice#0,"""ケーニヒスイエーデ"""
r03_nat_fan_icem#0,"""アイスバンサー"""
r03_nat_fan_icef#0,"""アイスバンシー"""
r03_alt_hog_sm#0,"""チルディンヘッジ"""
r03_alt_hog_sm2#0,"""フリージンヘッジ"""
r03_alt_tao_ba2#0,"""マーカライダ"""
r01_nat_bea_robi#0,"""ロックベア・ジオ"""
r03_gd_mrt_ba#0,"""リモータス"""
r04_gd_zrf_ba#0,"""ニルス・スティア"""
r04_gd_zrf_rai#0,"""ニルス・ヴェラ"""
r01_gd_dra_cm#0,"""ネクス"""
r04_gd_flo_fl#0,"""ラーヴァフワン"""
r04_gd_pyc_ba#0,"""ラーヴァティノス"""
r03_nat_mam_sm#0,"""マルモス・ロア"""
r03_nat_mam_de#0,"""ゾ・マルモス"""
r03_gd_ksg_ba#0,"""ヴァーディアス"""
r03_gd_rkt_ba#0,"""ビッツ"""
r04_gd_mtl_ba#0,"""ラーヴァメティウス"""
r04_gd_leg_ba#0,"""ストラディス"""
r04_gd_sip_ba#0,"""ブレゼントス"""
r04_ani_rbt_a#0,"""フラムサニィ"""
r04_ani_brs_a#0,"""フラムパット"""
r04_ani_bir_a#0,"""フラムバーディ"""
r04_ani_sli_a#0,"""フラムオタリカ"""
r04_ani_kit_a#0,"""フラムフォクス"""
r04_ani_rei_a#0,"""フラムポロロ"""
r04_ani_fih_a#0,"""フラムコマンタ"""
r04_gd_god3_ba#0,"""ダークファルス・エイジス"""
r04_gd_ufo_gr#0,"""ダーレット・アタッカー"""
r04_gd_ufo_fl#0,"""ダーレット・シューター"""
r04_alt_bat_ba#0,"""フレイレイ"""
r04_alt_bat_ba2#0,"""サンダレイ"""
r04_alt_chk_ba#0,"""コワードリ"""
r04_alt_crb_ba#0,"""バサルピオン"""
r04_alt_nod_ba#0,"""スラグヘッド"""
r04_alt_shp_ba#0,"""ロックハウンド"""
r04_alt_shp_ba2#0,"""シュタインハウンド"""
r04_alt_slm_ba#0,"""ボワークロウル"""
r04_alt_slm_th#0,"""ビガークロウル"""
r04_alt_tat_ba#0,"""クリスナクル"""
r04_alt_vdr_ba#0,"""ダークレムナス"""
r04_alt_vdr_ba2#0,"""ボルトレムナス"""
r04_gd_mog_ba#0,"""ドルドリス"""
r04_gd_mog_rai#0,"""ドルドリス・ヴェラ"""
r04_gd_nyb_ba#0,"""エンゴウク"""
r04_gd_pun_ba#0,"""ブースタス"""
r04_gd_sol_ax#0,"""ガザス・アックス"""
r04_gd_sol_ri#0,"""ガザス・ガン"""
r04_gd_sol_lu#0,"""ガザス・ランチャー"""
r04_gd_sol_gs#0,"""ガザス・スラッシュ"""
r04_gd_gor_ba#0,"""ラーヴァロロン"""
r04_gd_gor_bald#0,"""ラーヴァロロクス"""
r04_gd_for_ba#0,"""ヴァニッツ"""
r04_gd_akm_ba#0,"""ダークマギルス"""
r02_gd_kic_wi#0,"""ケルクンド"""
r01_gd_ktn_wi#0,"""ブジン"""
r04_gd_box_ba#0,"""ブレズナグルス"""
r03_gd_sol_swbo#0,"""ボルザムス・ソード"""
r03_gd_sol_ribo#0,"""ボルザムス・ガン"""
r01_unk_emp_mo#0,"""ツキミ・エンペラッピー"""
r01_unk_emp_mobi#0,"""ツキミ・グレトラッピー"""
r01_gd_dra_old#0,"""ネクス・エアリオ"""
r01_unk_emp_atm#0,"""ヤオロ・エンペラッピー"""
r01_unk_emp_atmbi#0,"""ヤオロ・グレトラッピー"""
r01_unk_tan_kn#0,"""キングカプタン"""
r04_alt_nod_ba2#0,"""マッグヘッド"""
r04_alt_wlf_ba#0,"""ダスクロン"""
r04_alt_tis_ba#0,"""ダスクディサイズ"""
r04_alt_dvs_ba#0,"""ダスククラッブ"""
r04_alt_tkm_ba#0,"""グリンベアル"""
r04_nat_armma_ba#0,"""ヴォルガロンゴ"""
r01_unk_rap_atm#0,"""ヤオロ・ラッピー"""
r01_unk_rap_ud1#0,"""ドルズ・ラッピー"""
r01_unk_rap_ud2#0,"""スペキュ・ラッピー"""
r04_gd_nyb_ex#0,"""イクサエンゴウク"""
r04_nat_rpt_ba#0,"""ディッグ・ロア"""
r04_nat_frp_sh#0,"""ソル・ディガーラ・ロア"""
r04_nat_dwl_sm#0,"""ノーディラン・ロア"""
r04_nat_dwl_ba#0,"""フォードラン・ロア"""
r04_nat_dbt_ba#0,"""バリドラン・ロア"""
r04_gd_gia_fl#0,"""フレイダル・ソード"""
r05_stl_sls_ba#0,"""ダークファルス・ソウラス"""
r04_nat_bea_ba#0,"""ヴォルグベア"""
r04_nat_gdn_ba#0,"""ガーディナン・ヴォロア"""
r04_nat_wol_sm#0,"""ガルフ・ヴォロア"""
r04_nat_wol_bi#0,"""フォンガルフ・ヴォロア"""
r04_nat_bir_ba#0,"""アギニス・ヴォロア"""
r04_nat_gma_ba#0,"""スパルダンＡ・ヴォロア"""
r04_nat_gma_gu#0,"""スパルガン・ヴォロア"""
r04_nat_can_gu#0,"""シグノガン・ヴォロア"""
r01_unk_emp_ch#0,"""セント・エンペラッピー"""
r04_non_scr_a#0,"""スカウトワスプ"""
r04_non_trt_a#0,"""ビーハイヴＥ"""
r01_unk_emp_chbi#0,"""セント・グレトラッピー"""
r01_unk_emp_wi#0,"""ノルディ・エンペラッピー"""
r01_unk_emp_wibi#0,"""ノルディ・グレトラッピー"""
r05_stl_mtl_ba1#0,"""へびめた強化型"""
r04_nat_cry_ba#0,"""クォーツ・スコーディン"""
r01_unk_emp_ea#0,"""フルル・エンペラッピー"""
r01_unk_emp_eabi#0,"""フルル・グレトラッピー"""
r05_gd_gho_ba#0,"""マリオネス"""
r05_stl_solri_ba#0,"""バロウグ・ガン"""
r05_stl_solsw_ba#0,"""バロウグ・ソード"""
r01_alt_wlf_bi#0,"""ワウロン・ジオ"""
r01_nat_armma_bi#0,"""ガロンゴ・ジオ"""
r04_non_dro_a#0,"""ハイドローム"""
r05_stl_pnr_ba#0,"""ハルヴァルディ"""
r05_stl_mrt_ba1#0,"""バルブレッダ"""
r05_stl_bbd_ba#0,"""アーンズゥ"""
r03_gd_hum_1ng#0,"""アムス"""
r03_gd_hum_cm#0,"""アムス"""
r05_stl_box_ba1#0,"""ラヴィード"""
r05_gd_zft_ba#0,"""ヴェノギア"""
r05_gd_zft_str#0,"""ゼフェット・ヴェノギア"""
r05_gd_zft_rai#0,"""ヴェノギア・ヴェラ"""
r04_gd_god3_str#0,"""ダークファルス・エイジス"""
r05_stl_bkt_ba1#0,"""グラッジボーン"""
r05_rem_spi_ba#0,"""ルイノ・ラグネ"""
r05_rem_dhu_ba#0,"""ルイノ・ヒューナル"""
r05_stl_leg_ba1#0,"""ドゥランゲラド"""
r05_stl_cas_el1#0,"""ヴァルザッガ"""
r05_stl_mzc_ba#0,"""ゼレヴィン"""
r05_stl_krb_ba#0,"""ドライヴェルズ"""
r05_rem_bhu_ba#0,"""ルイノ・アンゲル"""
r05_rem_ctl_ba#0,"""ルイノ・リンガーダ"""
r05_stl_ktn_ba1#0,"""ラセツ"""
r05_stl_gia_ba1#0,"""ヘルジーグ"""
r05_stl_ins_ba1#0,"""エリミネイダ"""
r05_non_myt_a#0,"""ボルガリス"""
r05_stl_pyc_ba#0,"""ヴォルガ"""
r00_unknownenemy#0,"""？？？？？"""
r05_stl_sip_ba1#0,"""マクスヴァング"""
r05_stl_pnr_rai#0,"""ハルヴァルディ・ヴェラ"""
r01_unk_emp_ha#0,"""トリト・エンペラッピー"""
r01_unk_emp_habi#0,"""トリト・グレトラッピー"""
r03_nat_bea_icbi#0,"""ケーニヒスイエーデ・ジオ"""
r01_unk_rap_wi2#0,"""スノム・ラッピー"""
r01_unk_emp_wi2#0,"""スノム・エンペラッピー"""
r01_unk_emp_wi2bi#0,"""スノム・グレトラッピー"""
r05_stl_kic_ba1#0,"""リングウェッジ"""
r05_stl_pan_ba1#0,"""ギルゼイヴァ"""
r05_stl_wic_ba1#0,"""プルティネーデ"""
EnemyTitleRareEnemyGti#0,"""Golden: """
EnemyTitleRareEnemySti#0,"""Silvered: """
EnemyTitleStrongEnemy#0,"""Despaired: """
EnemyTitleRegionBossEnemy#0,"""Battle-Hardened: """
EnemyTitleHighRankEnemy#0,"""Elite: """
EnemyTitleSeasonEaster1#0,"""Flower Dancer: """
EnemyTitleSeasonAnnivNGS1#0,"""煌星の"""
EnemyTitleFrozenAncientEnemy#0,"""遠世の"""
EnemyTitleSeasonMoon1#0,"""往古の"""
EnemyTitleSeasonWinter1#0,"""雪花の"""
EnemyTitleMobileForceEnemy#0,"""絶望の"""
EnemyTitleNightmareBoss#0,"""不撓の"""
EnemyTitleSeasonAnnivPSO21#0,"""星霜の"""
EnemyTitleGrowUpFloorBoss#0,"""奇侵の"""
EnemyTitleGrowUpBuffEnemy#0,"""変侵の"""
EnemyTitleHighDread#0,"""閃征の"""
EnemyTitleStrongRaidEnemy#0,"""深禍の"""
All#0,"""Any Enemy"""
Generic#0,"""Enemy"""
God#0,"""DOLLS"""
Alter#0,"""Alters"""
Another#0,"""Super-Dimensional Enemies"""
Animal#0,"""Tames"""
Natural#0,"""Formers"""
Independent#0,"""Independent"""
Starless#0,"""スターレス"""
Remnants#0,"""ルーイナス"""
SwordPA01#0,"""Rising Edge """
SwordPA02#0,"""Twister Fall """
SwordPA03#0,"""Nova Strike """
WlancePA01#0,"""Bind Through """
WlancePA02#0,"""Grapple Charge """
WlancePA03#0,"""Heavenly Fall """
PartisanPA01#0,"""Slide Shaker """
PartisanPA02#0,"""Speed Rain """
PartisanPA03#0,"""Rising Flag """
TdaggerPA01#0,"""Raging Waltz """
TdaggerPA02#0,"""Shoot Polka """
TdaggerPA03#0,"""Scar Fugue """
DsaberPA01#0,"""Tornado Dance """
DsaberPA02#0,"""Scissor Edge """
DsaberPA03#0,"""Rumbling Moon """
KnucklePA01#0,"""Ducking Blow """
KnucklePA02#0,"""Flicker Jab """
KnucklePA03#0,"""Pendulum Roll """
RiflePA01#0,"""Piercing Shell """
RiflePA02#0,"""Grenade Shell """
RiflePA03#0,"""One Point """
LauncherPA01#0,"""Divine Launcher """
LauncherPA02#0,"""Concentrate One """
LauncherPA03#0,"""Cluster Bullet """
MachinegunPA01#0,"""Aerial Shooting """
MachinegunPA02#0,"""Bullet Squall """
MachinegunPA03#0,"""Dead Approach """
Fire01#0,"""Foie """
Fire02#0,"""Gifoie """
Ice01#0,"""Barta """
Ice02#0,"""Gibarta """
Thunder01#0,"""Zonde """
Thunder02#0,"""Gizonde """
Wind01#0,"""Zan """
Wind02#0,"""Gizan """
Light01#0,"""Grants """
Light02#0,"""Gigrants """
Dark01#0,"""Megid """
Dark02#0,"""Gimegid """
WandPA01#0,"""Heavy Hammer """
WandPA02#0,"""ブライトネスエンド"""
TalisPA01#0,"""タリスPA1"""
TalisPA02#0,"""タリスPA2"""
KatanaPA01#0,"""Tsukimi-sazanka """
KatanaPA02#0,"""Gekka-zakuro """
KatanaPA03#0,"""Kanran-kikyou """
CompoundBowPA01#0,"""Master Shot """
CompoundBowPA02#0,"""Penetrating Arrow """
CompoundBowPA03#0,"""Torrential Arrow """
JetBootsPA01#0,"""Strike Gust """
JetBootsPA02#0,"""Gran Wave """
JetBootsPA03#0,"""Moment Gale """
DbladePA01#0,"""Destruction Wing """
DbladePA02#0,"""Dispersion Shrike """
DbladePA03#0,"""Heavenly Kite """
SwordPA04#0,"""リレントレスクリーヴ"""
WlancePA04#0,"""ヘリッシュフォール"""
PartisanPA04#0,"""トライアンフシフト"""
TdaggerPA04#0,"""リンバーフィガー"""
DsaberPA04#0,"""スカイクライム"""
KnucklePA04#0,"""バックハンドストライク"""
RiflePA04#0,"""リヴォルトエイム"""
LauncherPA04#0,"""ディバインインパクト"""
MachinegunPA04#0,"""インフィニットリコシェ"""
KatanaPA04#0,"""ヒュウガセンダン"""
CompoundBowPA04#0,"""シースレスドロー"""
JetBootsPA04#0,"""サージングインパルス"""
DbladePA04#0,"""レイヴィングファルコン"""
TaktPA01#0,"""フレドランブレス"""
TaktPA02#0,"""フレドランライディング"""
TaktPA03#0,"""ヴォルファーデモリション"""
TaktPA04#0,"""ヴォルファーレイド"""
GunslashPA01#0,"""シフティングスピカ"""
GunslashPA02#0,"""フローイングシリウス"""
GunslashPA03#0,"""リーピングレグルス"""
GunslashPA04#0,"""ウェービングリゲル"""
SwordPA01#1,"""Sword Photon Art.<br>Launch the target, setting them up for aerial combos. Charge for more attacks."""
SwordPA02#1,"""Sword Photon Art.<br>Jump and perform an aerial spinning attack, then finish with a ground slam."""
SwordPA03#1,"""Sword Photon Art.<br>Blow enemies away with a spinning attack. Charge for more attacks."""
WlancePA01#1,"""Wired Lance Photon Art.<br>Lift the target and slam it into the ground with all your strength."""
WlancePA02#1,"""Wired Lance Photon Art.<br>Grab the target and use the momentum from retracting the Wired Lance for a powerful kick."""
WlancePA03#1,"""Wired Lance Photon Art.<br>Grab the target and leap into the air, then use gravity to slam it into the ground."""
PartisanPA01#1,"""Partizan Photon Art.<br>Swing your weapon around, damaging nearby targets."""
PartisanPA02#1,"""Partizan Photon Art.<br>Take advantage of the weapon's length to fire off several sharp slashes."""
PartisanPA03#1,"""Partizan Photon Art.<br>Strike the target with the hilt. If the target flinches, launch them into the air."""
TdaggerPA01#1,"""Twin Dagger Photon Art.<br>Leap into the air to pursue the target with a powerful launch attack."""
TdaggerPA02#1,"""Twin Dagger Photon Art.<br>Kick the target into the air, then use both blades to strike your defenseless opponent."""
TdaggerPA03#1,"""Twin Dagger Photon Art.<br>After stabbing the target with a blade, kick into the air and impale them as you fall."""
DsaberPA01#1,"""Double Saber Photon Art.<br>Spin your body like a tornado and charge towards the target."""
DsaberPA02#1,"""Double Saber Photon Art.<br>Launch the target, then strike them twice as they fall."""
DsaberPA03#1,"""Double Saber Photon Art.<br>While toying with the Double Saber, strike the target with a powerful series of attacks."""
KnucklePA01#1,"""Knuckle Photon Art.<br>Evade incoming attacks and counter with a punch using the full weight of your body."""
KnucklePA02#1,"""Knuckle Photon Art.<br>Pin the target down with a quick, long-reach attack."""
KnucklePA03#1,"""Knuckle Photon Art.<br>A series of punches that lead from the waist, drawing a figure-eight as you swing."""
RiflePA02#1,"""Rifle Photon Art.<br>Load and fire an explosive shot. The explosion can hit multiple targets."""
RiflePA03#1,"""Rifle Photon Art.<br>Concentrate fire on a single point. Simple, but very powerful."""
LauncherPA01#1,"""Launcher Photon Art.<br>Load and fire an indescribably powerful<br>grenade."""
LauncherPA02#1,"""Launcher Photon Art.<br>Fire three consecutive grenades towards a target."""
LauncherPA03#1,"""Launcher Photon Art.<br>Launch a cluster bomb into the air that blankets the whole area in shells."""
MachinegunPA01#1,"""Twin Machinegun Photon Art.<br>Launch the target with a powerful kick. Charge to follow them into the air."""
MachinegunPA02#1,"""Twin Machinegun Photon Art.<br>Knock the target down and rain bullets down on them. Mash to boost number of hits."""
MachinegunPA03#1,"""Twin Machinegun Photon Art.<br>Close the distance to the target with a powerful shoulder tackle."""
Fire01#1,"""Basic Fire Technique.<br>Converts Photons into a fireball. Can graze passing enemies before expiring."""
Fire02#1,"""Intermediate Fire Technique.<br>Creates an expanding circle of fire around the caster. Hits multiple times."""
Ice01#1,"""Basic Ice Technique.<br>Freezes the air to fire a line of icicles along the ground in front of the caster."""
Ice02#1,"""Intermediate Ice Technique.<br>Quickly cools the air, launching icy shrapnel in front of the caster. Hits multiple times."""
Thunder01#1,"""Basic Lightning Technique.<br>Charges Photons to strike the target location with lightning."""
Thunder02#1,"""Intermediate Lightning Technique.<br>Fires an electric shock that leaps between enemies. Has a limited range."""
Wind01#1,"""Basic Wind Technique.<br>Fires blades of wind towards the target, which then return to the caster."""
Wind02#1,"""Intermediate Wind Technique.<br>Photons pressurize the air, creating a cyclone around the caster. Hits multiple times."""
Light01#1,"""Basic Light Technique.<br>Crystallizes Photons, raining arrows of light on the target. Hits multiple times."""
Light02#1,"""Intermediate Light Technique.<br>Creates circling blades of light around the caster. Hits multiple times."""
Dark01#1,"""Basic Dark Technique.<br>Summons an orb of condensed Photons to track the target, exploding on contact."""
Dark02#1,"""Intermediate Dark Technique.<br>Summons dark spears to stab a target from all sides. Narrow range, but very powerful."""
WandPA01#1,"""Wand Photon Art.<br>Uncharged, rush forward for several seconds.<br>Charged, knock enemies away with a strike."""
WandPA02#1,"""『短杖』用のフォトンアーツ。<br>非チャージ時は数秒間頑強＆突進攻撃<br>チャージ時は強力な吹き飛ばし攻撃。"""
TalisPA01#1,"""『短杖』用のフォトンアーツ。<br>非チャージ時は数秒間頑強＆突進攻撃<br>チャージ時は強力な吹き飛ばし攻撃。"""
TalisPA02#1,"""『短杖』用のフォトンアーツ。<br>非チャージ時は数秒間頑強＆突進攻撃<br>チャージ時は強力な吹き飛ばし攻撃。"""
KatanaPA01#1,"""Katana Photon Art.<br>Launch the target into the air and chase after them. A good starting point for combos."""
KatanaPA02#1,"""Katana Photon Art.<br>After leaping into the air, plunge to the ground and slash upward."""
KatanaPA03#1,"""Katana Photon Art.<br>Slash around you at high speed. Charge to increase number of slashes."""
CompoundBowPA01#1,"""Bullet Bow Photon Art.<br>Fire several arrows at once. Charge to increase number of arrows."""
CompoundBowPA02#1,"""Bullet Bow Photon Art.<br>Fire an arrow with penetrating properties. Charge to increase power."""
CompoundBowPA03#1,"""Bullet Bow Photon Art.<br>Target an area for a rain of arrows. Charge to increase the number of arrows."""
JetBootsPA01#1,"""Jet Boots Photon Art.<br>Launch your opponent with rising kicks.<br>Shift Action: A kick that slams into the ground."""
JetBootsPA02#1,"""Jet Boots Photon Art.<br>Riding a Photon wave, attack over and over.<br>Shift Action: A high-speed retreat."""
JetBootsPA03#1,"""Jet Boots Photon Art.<br>Kick left and right with impossible speed.<br>Shift Action: A wide-area spinning attack."""
DbladePA01#1,"""Dual Blades Photon Art.<br>Rush in faster than the eye can see and strike with crossed swords."""
DbladePA02#1,"""Dual Blades Photon Art.<br>Disperse Photon Blades and move while they attack everything around you."""
DbladePA03#1,"""Dual Blades Photon Art.<br>Slash upward with Photon Blades, then follow it with a rising slash."""
