OpenSpace#0,"""광장 부근"""
TargetName_GetItem#0,"""아이템 조달"""
TargetName_Enemy#0,"""에너미 격파"""
TargetName_Tutorial#0,"""튜토리얼"""
TargetName_Multi#0,"""복합 목표"""
TargetName_MultipleTarget#0,"""다목적"""
TargetName_Class#0,"""튜토리얼"""
TargetName_ClearedOrder#0,"""클라이언트 오더 클리어"""
TargetName_ClearOrderNum#0,"""클라이언트 오더 클리어"""
TargetName_GetCostPoint#0,"""어드밴스 포인트 쌓기"""
TargetName_Upstairs#0,"""익스트림 퀘스트 답파"""
TargetName_KillDarkerApc#0,"""아크스 모방체 격파"""
TargetName_TalkNpc#0,"""정보 수집"""
TargetName_BreakBox#0,"""컨테이너 파괴"""
TargetName_EventFlag#0,"""정보 수집"""
TargetName_AmusementAccess#0,"""놀이 시설"""
TargetName_AmusementPlay#0,"""놀이 시설"""
TargetName_AmusementBonus#0,"""놀이 시설"""
TargetName_AmusementGetCoin#0,"""놀이 시설"""
TargetName_AmusementShooterKill#0,"""놀이 시설"""
TargetName_ShowItem#0,"""아이템 보여주기"""
TargetName_CreateCraft#0,"""크래프트 실행"""
TargetName_CraftAchievement#0,"""크래프트 실적"""
TargetName_ClearedQuest#0,"""퀘스트 클리어"""
TargetName_Unconditional#0,"""정보 수집"""
TargetName_AmusementWin#0,"""놀이 시설"""
TargetName_GetRidingPoint#0,"""라이딩 포인트 쌓기"""
TargetName_TitleAchieved#0,"""칭호 획득"""
TargetName_UseCOSkill#0,"""스킬 사용"""
TargetName_HitCOSkill#0,"""스킬 히트"""
TargetName_Gathering#0,"""개더링"""
TargetName_TotalStyleLevel#0,"""스타일 레벨 도달"""
TargetName_AchievedTaskNum#0,"""스타일 레벨 도달"""
TargetName_AccountFlag#0,"""정보 수집"""
TargetName_LevelReached#0,"""지정 레벨 도달"""
TargetName_RewardMeseta#0,"""보상 메세타를 지정한 만큼 획득"""
TargetName_ReportAnyOrder#0,"""오더 지정 횟수 보고"""
TargetName_AnyIncidentClear#0,"""아무 E트라이얼 클리어"""
TargetName_SurvivalPoint#0,"""사바이벌 포인트 쌓기"""
Target_Item#0,"""「$(0)」 조달하기"""
Target_Quest#0,"""「$(0)」 클리어"""
Target_Weather#0,"""「$(0)」 관찰"""
Target_PSE#0,"""「$(0)」 일으키기"""
Target_Incident#0,"""「$(0)」 클리어"""
Target_GetItem1#0,"""「$(0)」 에너미를 격파해<br>「$(1)」 획득하기""
Target_GetItem2#0,"""Lv.$(0) 이상의 「$(1)」 에너미를<br>격파하여 「$(2)」 획득하기"""
Target_Enemy#0,"""「$(0)」 격파"""
Target_Item2#0,"""「$(0)」 1개 이상 조달"""
Target_Enemy2#0,"""「$(0)」 1마리 이상 격파"""
Target_Quest2#0,"""「$(0)」 1회 이상 클리어"""
Target_ClearedOrder#0,"""「$(0)」 클리어"""
Target_ClearOrderNum#0,"""아무 $(0) 클리어하기"""
Target_GetCostPoint1#0,"""「$(0)」 어드밴스 리스크 쌓기"""
Target_GetCostPoint2#0,"""아무 어드밴스 에어리어 리스크 쌓기"""
Target_Upstairs1#0,"""「$(0)」 스테이지 클리어"""
Target_Upstairs2#0,"""아무 익스트림 퀘스트 스테이지 클리어"""
Target_KillDarkerApc#0,"""아크스 모방체 격파"""
Target_BreakBox#0,"""컨테이너 파괴"""
Target_AmusementAccess#0,"""「$(0)」 액세스 하기"""
Target_AmusementPlay#0,"""「$(0)」 플레이하기"""
Target_AmusementBonus#0,"""「$(0)」 대박 터트리기"""
Target_AmusementGetCoin#0,"""「$(0)」 에서 획득하기"""
Target_AmusementShooterKill#0,"""메세탄 슈터에서 「$(0)」 쓰러뜨리기"""
Target_ShowItem#0,"""「$(0)」 보여주기"""
Target_CreateCraft#0,"""「직접 크래프트 하기」에서 「$(0)」실행"""
Target_CreateCraftAll#0,"""「직접 크래프트 하기」에서 아무 크래프트 실행"""
Target_CraftAchievement#0,"""크래프트 실적 해제"""
Target_ClearedQuest#0,"""「$(0)」 클리어"""
Target_Unconditional#0,"""조건 없음"""
Target_AmusementWin#0,"""「$(0)」 승리하기"""
Target_AmusementWin_Nyau#0,"""「$(0)」 냐우에게 이기기"""
Target_GetRidingPoint1#0,"""「$(0)」에서 라이딩 포인트 쌓기"""
Target_GetRidingPoint2#0,"""라이딩 포인트 쌓기"""
Target_TitleAchieved#0,"""칭호「$(0)」 획득"""
Target_UseCOSkill#0,"""スキルを使用する(仮)"""
Target_HitCOSkill#0,"""スキルを当てる(仮)"""
Target_Gathering#0,"""개더링  하기"""
Target_Gathering_Collect#0,"""개더링(채집) 하기""
Target_Gathering_Fishing#0,"""개더링(낚시) 하기"""
Target_TotalStyleLevel#0,"""지정 트래블 퀘스트에서 스타일 합계 $(0) 도달하기"""
Target_AchievedTaskNum#0,"""태스크 목표를 일정 수 달성하기"""
Target_LevelReached#0,"""지정 레벨에 도달하기"""
Target_RewardMeseta#0,"""오더 보상으로 일정 메세타를 획득하기"""
Target_ReportAnyOrder#0,"""지정 횟수 만큼 오더 보고하기"""
Target_AnyIncidentClear#0,"""아무 E트라이얼 클리어"""
Target_SurvivalPoint#0,"""서바이벌 포인트를 일정 수 이상 쌓기"""
Reward_Mag#0,"""마그"""
Reward_Skillpoint#0,"""스킬 포인트 ($arg0)"""
Reward_Myboostpoint#0,"""데일리 부스트 $(0)%"""
NewOrderAdd#0,"""$(0)에게 새로운 클라이언트 오더가 추가되었습니다."""
ErrorNotBelongGuild#0,"""팀에 소속되어 있지 않아 팀 오더를 수주할 수 없었습니다."""
AcceptMulti#0,"""선택하신 오더를 한꺼번에 수주했습니다."""
ErrorMulti#0,"""오더를 한꺼번에 수주하는 데 실패했습니다."""
ErrorLimitAfterJoin#0,"""팀에 입단 후 24시간은<br>팀 오더를 수주할 수 없습니다.<br><br>클라이언트 오더 상세의「의뢰자로부터」에서<br>수주 가능한 시간을 확인할 수 있습니다."""
MyBoostPoint#0,"""데일리 부스트가 $(0)% 상승했습니다."""
MyBoostPointOver#0,"""데일리 부스트가 연장되었습니다."""
StoryBoardReward#0,"""스토리 보드 보상『$(0)』×$(1) 획득!"""
StoryBoardRewardWithoutNumber#0,"""스토리 보드 보상『$(0)』 획득!"""
co#0,"""클라이언트 오더"""
mo#0,"""-"""
mb#0,"""마타 보드"""
do#0,"""데일리 오더"""
so#0,"""-"""
go#0,"""팀 오더"""
bo#0,"""-"""
ao#0,"""-"""
ac#0,"""-"""
Amusement_All#0,"""아무 놀이 시설"""
Amusement_SlotRappy#0,"""랍피 슬롯"""
Amusement_Shooter#0,"""메세탄 슈터"""
Amusement_Blackjack#0,"""블랙 냑"""
Amusement_Roulette#0,"""리 리 룰렛"""
Amusement_SlotArkuma#0,"""아쿠마 슬롯"""
ShooterEnemy_All#0,"""아무 에너미"""
ShooterEnemy_Bronze_Mesetan#0,"""동 메세탄"""
ShooterEnemy_Silver_Mesetan#0,"""은 메세탄"""
ShooterEnemy_Gold_Mesetan#0,"""금 메세탄"""
ShooterEnemy_King_Mesetan#0,"""킹 메세탄"""
ShooterEnemy_Queen_Mesetan#0,"""퀸 메세탄"""
ShooterEnemy_Umblla#0,"""앙브라"""
ShooterEnemy_Myau#0,"""냐우"""
ShooterEnemy_Jackpot#0,"""램프"""
Craft_Extend#0,"""무장 익스텐드"""
Craft_Technic#0,"""테크닉 커스터마이즈"""
Craft_Decomposition#0,"""아이템 분해"""
Craft_DataDrive#0,"""데이터 드라이브 갱신"""
Craft_TimeLimitCapability#0,"""시한 능력 데이터 생성"""
