Hypotension#0,"""아침형"""
5054#0,"""전기 교도관 조제프다.<br>부름을 받아 복귀하게 됐다.<br>잘 부탁한다."""
5057#0,"""전기 교도관 바르바라야.<br>전장에서도 엄하게 갈 테니까<br>각오하라고."""
5059#0,"""난 친목질할 생각 없어.<br>다커만 죽일 수 있으면 그걸로 돼.<br>쓸데없는 참견은 필요 없어."""
5062#0,"""저 같은 건 힘이 부족하겠지만<br>선배가 불러 주신다면……<br>저, 열심히 할게요."""
5063#0,"""모자라고 미숙한 저지만 조금이라도<br>선생님께 가까워질 수 있도록 열심히 하겠습니다!<br>지도 편달 부탁드립니다!"""
5066#0,"""…당신께는 큰 은혜를 입었어요.<br>언제든 불러 주세요.<br>도움이 될 수 있도록 힘쓰겠습니다."""
5068#0,"""토로는 여러 곳에 가 보고 싶은 거냥~!<br>다들하고 같이냥!"""
5069#0,"""재밌어 보이는 일이 있으면<br>언제든 불러 달라냥.<br>토로랑 같이 달려가겠다냥!"""
5083#0,"""곤란할 땐 언제든 불러!<br>선배라는 건 원래 그런 법이니까!"""
5086#0,"""제노만큼은 아니겠지만<br>전력으로 힘낼 테니까, 언제든 불러."""
5087#0,"""아직 많이 미숙하지만<br>브레이버의 선구자로서<br>전력으로 힘내 볼게."""
5091#0,"""민폐는 끼치지 않도록 할 테니까<br>언제든 불러 줘, 선배."""
5108#0,"""내 힘이 필요할 땐<br>언제든 불러 줬으면 해.<br>검에는 자신 있으니까."""
5125#0,"""당신한테 이것저것 신세도 졌으니<br>필요하면 언제든 불러 줘."""
5126#0,"""仮"""
5127#0,"""仮"""
5128#0,"""仮"""
5135#0,"""仮"""
5150#0,"""바운서 시험 운용 담당, 카토리입니다!<br>당신이 원하신다면 어디까지든!"""
5151#0,"""바운서 시험 운용 담당 사가다.<br>임무 참여는 좋은 데이터 수집 기회가 된다.<br>언제든 불러 줬으면 한다."""
5153#0,"""저 같은 힘…… 아니.<br>제 힘이 도움이 된다면 언제든<br>불러 주세요. 바로 달려가겠습니다."""
5185#0,"""음, 파트너 카드엔 뭘 써야……<br>어라, 어라라? 이것도 적혀 있어?<br>아, 음…… 언제든 불러 줘!"""
5186#0,"""육망균의 오, 클라리스크레이스다!<br>무슨 일 있으면 언제든 말해라!<br>바로 달려가 주마!"""
5188#0,"""미덥진 않을지도 모르지만<br>나도 네 선배인걸.<br>곤란할 땐 언제든 기대 줘."""
5194#0,"""여러모로 신세졌고<br>이젠 \""상관없다\""고는 못 하니까.<br>언제 불러도 괜찮아."""
5200#0,"""제 힘, 부디 써 주세요.<br>언제든 달려가겠습니다!"""
5201#0,"""내 힘이 필요하다면<br>언제든 달려가 주지."""
5206#0,"""언제든 불러 주세요.<br>기꺼이 가겠습니다."""
5207#0,"""언제 어느 때든 달려가겠다.<br>사양 말고 불러."""
5209#0,"""…이런 저라도<br>당신이 원하신다면<br>기꺼이 협력하겠습니다."""
5210#0,"""파트너! 우리 사이잖아.<br>사양 말고 불러 줘!"""
5213#0,"""나도 잔뜩 너한테 의지할 테니까<br>너도 마음껏 나한테 기대 줘.<br>약속이야, <%me>"""
5220#0,"""카렌 에라다.<br>모두를 지키기 위해 이 힘을 쓰고 싶어.<br>언제든 불러 줘."""
5221#0,"""난 이선 웨버!<br>불러 주면 언제든<br>달려가 줄게! 잘 부탁해!"""
5222#0,"""정말 많이 신세졌으니까<br>언제든 부르라고!<br>사양 같은 거 하면 가만 안 둘 거니까!"""
5241#0,"""내 힘이 필요하면<br>언제든 편하게 불러 줘!<br>열심히 해 볼 테니까!"""
5242#0,"""마이 프렌드! 우리 사이잖아!<br>곤란할 땐 언제든 불러 줘!<br>내 아이들도 그걸 바라고 있어!"""
5244#0,"""＊＊＊"""
5227#0,"""원할 때 불러도 돼.<br>신세진 만큼은 제대로 갚을 테니까."""
5230#0,"""필요할 것 같으면 불러 줘.<br>어차피 얼굴은 비출 거니까."""
5272#0,"""이젠 민폐만 끼친다는 말은 안 들어.<br>언제든 불러 줘, 선배."""
5288#0,"""저 같은 건 힘이 부족하겠지만<br>선배가 불러 주신다면……<br>저, 열심히 할게요."""
5289#0,"""모자라고 미숙한 저지만 조금이라도<br>선생님께 가까워질 수 있도록 열심히 하겠습니다!<br>지도 편달 부탁드립니다!"""
5306#0,"""저, 아직 많이 미숙하지만<br>힘이 될 수 있도록 열심히 할게요!<br>언제든 불러 주세요!"""
5292#0,"""삼대째 클라리스크레이스다!<br>전투부 차석이지만, 언제든 불러라!<br>바로 달려가 주마!"""
5293#0,"""총무부 차석이 됐지만<br>딱히 지금까지랑 달라진 건 없으니까.<br>언제 불러도 상관없어."""
5254#0,"""아이카다. 소속은 정보부지만<br>사양은 필요 없다. 필요할 땐<br>언제든 불러 줬으면 한다."""
5314#0,"""음…… RINA입니다.<br>당신의 힘이 될 수 있도록<br>최선을 다하겠습니다."""
5315#0,"""SORO다.<br>나를 고고하다고 부르는 이도 있지만<br>편한 대로 불러 줘."""
5316#0,"""난 PSO2를 통해 여러 가지를<br>알게 됐어. 보답이라는 건 아니지만<br>협력하게 해 줬으면 해."""
5318#0,"""오랜만의 PSO2니까<br>마음껏 즐겨 보고 싶어!<br>그러니까 잘 부탁해!"""
5319#0,"""너무 바빠서 고양이 손이라도 빌리고 싶을 정도라고<br>회장님께 들었으니까……<br>조금 정도는 도와줄 수 있는데?"""
5320#0,"""내 이름은 †코어†! 기억해 두시지!<br>동지여, 함께 이 유구한 모험으로<br>떠나 보지 않겠나!"""
5323#0,"""무사시다. 나 정도면<br>도와줘도 괜찮다.<br>대신 발목은 잡지 마라."""
5321#0,"""유미코라고 합니다.<br>불러 주신다면 어느 때든<br>달려가겠습니다. 잘 부탁드립니다."""
5322#0,"""소인은 라스트 사무라이이옵니다!<br>도움이 필요하다면 언제든<br>불러 주시길 바라오!"""
5346#0,"""내 힘이 필요할 때는<br>언제든 불러 줘!<br>사양은 필요 없으니까!"""
5347#0,"""곤란할 땐 불러.<br>도와줄 테니까."""
5348#0,"""필요하면 언제든 불러 달라냥!<br>사양은 필요 없다냥!"""
5349#0,"""무슨 일 있으면 불러 줘!<br>바로 달려갈 테니까!"""
5363#0,"""제 힘이 필요하다면<br>언제든 불러 주세요.<br>바로 달려가겠습니다."""
5378#0,"""나라면…… 협력해 줄 수 있어.<br>곤란할 땐 언제든 불러."""
5407#0,"""저, 아직 많이 미숙하지만<br>힘이 될 수 있도록 열심히 할게요!<br>언제든 불러 주세요!"""
5408#0,"""너무 무리하지는 마?<br>언제든 기대 줘도 괜찮으니까!"""
5409#0,"""어스 가이드 소속, 야사카 엔가다.<br>언제든 편하게 불러 줘.<br>자네에겐 다 갚지 못할 은혜가 있다."""
5410#0,"""히츠기와 함께 정말 신세졌습니다.<br>필요하다면 언제든 불러 주세요!<br>뭐, 전 그렇게 강하진 않지만요."""
5411#0,"""지구에 있다고 해서 사양하지 마!<br>내 힘이 필요하다면 언제 어디든<br>달려가 줄 테니까!"""
5412#0,"""가디언즈 총재<br>라이아 마르티네스다.<br>힘이 필요하면 언제든 불러."""
5223#0,"""가디언즈 종합조사부<br>루미아 웨버입니다.<br>잘 부탁드립니다."""
5443#0,"""손님을 놀라게 하고, 기쁘게 한다……<br>그게 바로 제 역할이랍니다.<br>언제든 편하게 불러 주세요."""
5444#0,"""제 이름은 쿠이나예요!<br>기운 하나는 자신 있으니까, 언제든 편하게<br>불러 줘! 바로 날아갈게!"""
5445#0,"""에리라고 합니다.<br>제 힘이 필요할 때라면<br>이 힘, 빌려 드릴게요."""
5437#0,"""아크스 전투부 신설 전술반 소속!<br>스트라토스라고 합니다!<br>언제든 편하게 불러 주세요!"""
5426#0,"""나는 그저 순수한 힘일 뿐.<br>함께 걸을 각오가 있다면<br>나는 그대의 힘이 되어 주겠다."""
5457#0,"""파트너 카드, 이걸로 괜찮아?<br>네가 있어서 정말 큰 도움이 됐어.<br>늘 불러 주면 기쁠 것 같아."""
5427#0,"""내 총은 백발백중이다!<br>필요할 땐 불러 줘.<br>의뢰라면 달려가 주지."""
5428#0,"""즐거운 건 혼자만 독차지하는 게 아니야.<br>날 불러 줘, 알았지?<br>후후후…… 잔뜩 즐겁게 해 줄게."""
5459#0,"""난 폴리탄이다!<br>무수한 옷을 찢어 버린 이 발톱으로<br>힘이 되어 줄 테니, 불러 줘!"""
5462#0,"""산타 찾는 김에<br>퀘스트도 도와줄 테니까<br>언제든 불러 줘!"""
5463#0,"""산타 찾기도 퀘스트도<br>열심히 할 테니까<br>언제든 불러 주세요."""
5478#0,"""이 오쿠 미러에게 맡기면<br>어떤 임무든 100% 성공이야!<br>응, 밸런타인? 몰라 그런 건!"""
5483#0,"""집필 활동엔 취재와 경험이 중요해.<br>밸런타인도 현장 취재를 해 보고 싶어.<br>협력해 준다면 힘을 보탤게."""
5479#0,"""받은 은혜는 갚는 주의라서 말이지.<br>언제든 불러 줘…… 초콜릿 보답은?<br>그, 그건 나중에!"""
5499#0,"""저, 아직 많이 미숙하지만<br>힘이 될 수 있도록 열심히 할게요!<br>언제든 불러 주세요!"""
5510#0,"""아크스 전투부 사령 휴이!<br>곤란하면 사양 말고 불러!<br>수영복 차림으로 언제든 등장!"""
5519#0,"""내 힘, 끌어내 봐.<br>그리고…… 언젠가 나와 결투해 줘……"""
5525#0,"""내 뇌검은 정의와 함께한다.<br>네 싸움에 정의가 있다면<br>네 적을 남김없이 쳐내 주마."""
5518#0,"""멋진 돌을 찾으러 가고 싶어.<br>너…… 같이 가 줄래?"""
5527#0,"""명령을 기다리고 있습니다.<br>어떤 적이든<br>흔적도 없이 날려 버려 드리겠습니다!"""
5526#0,"""엄청 귀찮긴 하지만<br>네 부탁이라면 도와줘도<br>괜찮아…… 다, 당연히 감사해야 해?"""
5532#0,"""매지컬★시에라입니다!<br>모두에게 신기한 마법을<br>걸어 드릴게요☆"""
5528#0,"""아크스 아저씨께<br>사냥하러 갈 땐 언제든 불러 달라냥.<br>난 어디든 함께 간다냥."""
5533#0,"""나도 아직 더 강해질 거야.<br>크리스마스든 뭐든 언제든 힘을 보탤게!<br>이, 이 모습이어도 괜찮다면 말이야……!"""
5534#0,"""저, 정말 열심히 할 테니까<br>크리스마스랑 상관없이<br>언제든 불러 주세요!"""
5543#0,"""이 차림과 밸런타인은<br>무슨 관계가 있는 걸까……?<br>뭐, 사교성을 의식하면서 힘내 볼게."""
5544#0,"""내 힘이 필요하면<br>언제든 달려갈게!<br>사양 말고 불러 줘, 파트너!"""
5566#0,"""이 ‘검은 늑대’의 힘이 필요한가?<br>크크크, 좋다. 그렇다면 너도<br>《망령》의 무서움을 알게 되겠지."""
5570#0,"""안녕하신가요, 마스터.<br>언제든 봉사하러 달려가겠습니다.<br>부담 없이 불러 주세요!"""
5580#0,"""나와 주토로 호의 힘이 필요츠나?<br>도와줘도 좋츠나.<br>참치 전사의 힘, 보여 주겠츠나!"""
5581#0,"""저라도 괜찮다면 도와드릴게요.<br>저기, 피지와 지스도<br>같이 가도 괜찮겠죠……?"""
5582#0,"""Sir, yes sir!<br>불초 야스미노코프 8000C<br>기꺼이 수행하겠사옵니다!"""
5583#0,"""네놈이라면 힘 쓰는 법을<br>잘못 쓰는 일도 없겠지.<br>대자연의 사자로서 힘을 보태 주마!"""
5584#0,"""날 데려가.<br>네게 힘을 빌려 주지.<br>뭐, 이해관계가 맞아떨어진다는 거다."""
5587#0,"""…당신께는 큰 은혜를 입었어요.<br>언제든 불러 주세요.<br>도움이 될 수 있도록 힘쓰겠습니다."""
5589#0,"""저, 아직 많이 미숙하지만<br>힘이 될 수 있도록 열심히 할게요!<br>언제든 불러 주세요!"""
5590#0,"""나라면…… 협력해 줄 수 있어.<br>곤란할 땐 언제든 불러."""
5591#0,"""즐거운 건 혼자만 독차지하는 게 아니야.<br>날 불러 줘, 알았지?<br>후후후…… 잔뜩 즐겁게 해 줄게."""
5597#0,"""미타라시다!<br>추천 퀘스트 갈 땐 말 걸어 줘.<br>보너스 키 금! 보너스 키 금!"""
5598#0,"""테트라입니다. 부담 없이 불러 주세요.<br>아! 스크린샷 촬영회 할 때는<br>꼭 불러 주세요!"""
5599#0,"""언제든 불러 줘.<br>그땐 내 진정한 힘을 해방해서<br>어디든 함께해 줄 테니까."""
5620#0,"""수호휘사에게 빚을 지게 해 두는 것도<br>나쁘진 않을 것 같아서 말이지. 힘을 빌려 줄게."""
5621#0,"""저라도 도움이 될 수 있는 일이 있다면<br>언제든 불러 주세요."""
5624#0,"""밸런타인의 평화와 모두의 초콜릿을<br>지키기 위해 히어로답게 힘내겠습니다!<br>언제든 불러 주세요!"""
5625#0,"""…너 같은 실력자에게<br>이 ‘검은 늑대’가 힘을 빌려 준다니……<br>크크크, 무서운 일이 되겠군."""
Pure#0,"""나를 필요로 한다면<br>언제든 그 힘이 되어 줄게."""
Bracing#0,"""내 힘이 필요하다면<br>언제든 불러 줬으면 좋겠어."""
Cool#0,"""보, 복도 최선을 다할 테니<br>언제든 불러 주세요."""
Pride#0,"""내 힘이 필요하면 언제든 불러.<br>어디든 가 주지."""
Naughty#0,"""난 언제든 임전태세야!<br>덤벼 봐!"""
Urbane#0,"""언제 어느 때든 달려가겠습니다.<br>부담 갖지 말고 불러 주세요."""
Noisy#0,"""언제든 불러 줘!<br>후다닥 달려갈게!"""
Sharp#0,"""…언제든 불러.<br>난 그걸 위해 있는 거니까."""
Boyish#0,"""난 언제든 달려갈게!<br>연락 기다리고 있을 테니까!"""
