text00#0,"""¿Que quieres saber?"""
text03#1,"""<yellow>●Características de \""Cery\""<c><br><br> Cery es una mascota de tipo soporte que se enfoca<br> en ataques de largo alcance.<br><br>＜Dulces para Cery＞<br>・\""Spirited Parfait\""<br> (Aumenta el daño de los ataques normales)<br><br>・\""Substitute Roll\""<br> (Reduce el consumo de PP mientras Alter Ego está activo)<br><br>・\""Spirita Cookie\""<br> (Aumenta su PP máximo)"""
Title#3,"""¿Qué pasa si mi mascota alcanza Lv100?"""
text01#4,"""Después de pedirle a Pietro un \""Limit Break\"",<br>podrás aumentar el nivel de las mascotas que<br>hayan alcanzado Lv.100.<br><br><yellow>Se recomienda encarecidamente usar huevos<br>de alta rareza para nivelar las mascotas después<br>del Limit Break.<br><c>"""
Title#4,"""¡El animal recibió el daño!"""
text01#5,"""Las mascotas también tienen HP, que disminuyen<br>cuando recibe daño.<br><br>Cuando el valor HP de la mascota cae a cero,<br>esta no podrá luchar temporalmente.<br><br>Si el HP de tu mascota baja, puedes cambiar<br>a otra mascota para que se recupere o puedes<br>lanzar una técnica como \""Resta\""."""
Title#5,"""¿Qué objetos puedo usar en la caja de dulces?"""
text01#6,"""Los siguientes consumibles están dedicados a la cajas de dulces:<br><br>■ Candy Eraser<br>Borra un caramelo de la caja.<br><br>■ Candy Remover<br>Elimina un caramelo para devolverlo a su inventario.<br>Disponible en \""Tienda de reciclaje\"".<br><br>■ Caramel Crusher<br>Elimina un cubo de caramelo de la caja de dulces.<br>Disponible en \""Excube Exchange Shop\""."""
Title#6,"""¡La mascota se desmayó!"""
text01#7,"""Cuando el valor HP de la mascota cae a cero,<br>la mascota no podrá luchar. Después de un período de tiempo,<br>recuperará la conciencia y estará listo para luchar nuevamente.<br><br>Las mascotas inconscientes se recuperarán después del período<br>de incapacitación independientemente de que estén activas,<br>utilícenlo para su beneficio y cambien a otra mascota o arma en su lugar.<br><br>El período de incapacitación variará según el tipo de mascota."""
Title#7,"""¿Desarrollar la rareza de la mascota?"""
text01#8,"""Pet Rarity Evolution es una característica que aumenta<br>el límite de nivel de la mascota al actualizar su rareza.<br><br>Ve al laboratorio de mascotas, luego usa un huevo que<br>tenga el mismo tipo y mayor rareza que uno de tus<br>mascotas para desarrollarlo.<br><br>El nombre, nivel, aumento de las estadísticas, caja de<br>dulces y atributos serán heredados, la personalidad de<br>la mascota evolucionada puede ser cambiada."""
Title#8,"""Quiero comprimir dulces!"""
text01#9,"""Candy Compression es una función que reduce el tamaño<br>de un caramelo para ayudarte a llenar tu caja con más dulces.<br><br>La compresión de caramelo se puede usar en caramelos fijos<br>y no seleccionados."""
Title#9,"""¡La caja de dulces no tiene espacio!"""
text01#10,"""Hay algunos lugares en la caja de dulces donde<br>no se pueden colocar los dulces.<br><br>■ Jelly Cubes<br> Se eliminarán automáticamente<br> cuando la mascota alcance el nivel 50.<br><br>■ Caramel Cubes<br> Se pueden eliminar usando \""Caramel Crusher\"".<br><br>■ Paper Cubes<br> No pueden ser eliminados."""
Title#10,"""¿La personalidad de la mascota?"""
text01#11,"""Las mascotas se diferencian según su personalidad.<br>Algunos de ellos se enumeran a continuación.<br><br>· Disfruta del sol<br> Mayor daño cuando<br> el clima es despejado.<br><br>· Fervent<br> Cambio bajo para sobrevivir a un golpe letal,<br>aumentar el poder y la invulnerabilidad de<br> ganancia temporal.<br><br>· Docil<br> Mayor daño a los enemigos<br> sufriendo un efecto de estado."""
text02#3,"""・Diligent<br> Mayor daño y mayor consumo de PP.<br>・Adept<br> Aumenta la recuperación de PP por ataques.<br><br>・Serene<br> Cura el HP de la mascota anterior al cambiar<br> de mascota después de un período de tiempo.<br><br>La \""Personalidad \"" se puede cambiar<br>usando un huevo diferente con \""Evolve Pet Rarity\""<br>en el laboratorio de mascotas."""
Title#11,"""Características de Maron/ Melon"""
text01#12,"""Maron y Melon se inflan gradualmente<br>después de ser golpeados, lo que<br>aumentará el poder de un PA específico.<br>・PA Power boost<br>\""Maron Strike\""<br>\""Melon Strike\""<br><br>La mascota se desmayará después de usar<br>el PA a cambio de daño masivo.<br>Tenga cuidado cuando Maron llegue a su<br>última etapa,<br>la mascota explotará después de un período<br>de tiempo y dañará al propietario."""
text02#4,"""La diferencia entre Maron y Melon:<br><br>・Maron Strike<br> Debido a que Maron requiere más golpes para llegar a la<br>última etapa, el daño del golpe será, en consecuencia, mayor.<br> Presta atención a la autodestrucción de Maron cuando llega<br>a la última etapa.<br><br>・Melon Strike<br> Por otro lado, Melon requiere menos golpes para llegar a la<br> última etapa, pero el poder de su golpe será mucho menor.<br> A diferencia de Maron, puedes lanzar Melon varias<br> veces usando el PA nuevamente cuando la<br> mascota golpea el objetivo."""
Title#12,"""¿Cuál es el límite de atributo de mascota?"""
text01#13,"""Dependiendo de la rareza, las mascotas tendrán un<br>límite de atributo diferente.<br><br>・★1~12  <yellow>max. 50<c><br>・★13+  <yellow>max. 60<c><br><br>Valores de atributo que exceden el límite de rareza<br>será truncado"""
Title#13,"""Características de Viola"""
text01#14,"""Puede cambiar el rendimiento de Viola usando<br>\""Viola Change\"".<br>Después de cambiar Viola,<br>se aplicarán los siguientes ajustes:<br><br>・Aumento del poder ofensivo y defensivo<br>・Animación PA más lenta<br>・Recuperación de PP más lenta<br><br>Actívelo de nuevo para regresar a la forma anterior.<br><br>Asegúrese de adaptarse a la situación y use las dos<br>formas diferentes para su ventaja."""
Title#14,"""Características de Synchro"""
text01#15,"""Synchro tiene una habilidad que aumenta su poder<br>a medida que combinas sucesivamente diferentes PAs.<br>Después de utilizar el primer PA, el segundo PA<br>del Combo obtendrá el aumento de daño.<br><br>\""Synchro Geki\"" consumirá la potencia combinada<br>acumulada para aumentar el daño de PA."""
text02#5,"""Se mostrará una marca alrededor del jugador<br>cuando Synchro llegue al tercer combo.<br>Puede usar esa marca como indicador para la<br>activación de \""Synchro Geki\"".<br><br><red>The combo chain will end if the pet<br>performs anything other that a PA.<c><br>Céntrate en tu combo de PA para aprovechar las<br>habilidades de combate de Synchro."""
Title#15,"""¡Evolución!"""
text01#16,"""Algunas mascotas cambiarán a una forma diferente<br>después de usar un huevo específico cuando<br>desarrolles su rareza.<br><br>Además de la apariencia, la evolución modificará<br>algunas Photon Arts y aumentará el límite de las<br>estadísticas de bonificación.<br><br>La mascota también heredará el nivel, las estadísticas<br>aumentadas y la caja de dulces de la mascota anterior.<br><br><c ff4f3f> ※No puede volver a la forma anterior después de la evolución.<c>"""
text02#6,"""Verifique los detalles de sus huevos para<br>saber si puede usarlos para hacer<br>evolucionar a sus mascotas."""
Title#16,"""Características de Redran"""
text01#17,"""La principal particularidad de Redran es la<br>capacidad de bloquear objetivos y usar<br>ataques de orientación.<br><br>El homing PA tiene las siguientes características:<br><br>· Redran Laser<br> Mantenga presionado el botón PA para bloquear a<br> los enemigos, luego suelte los láseres para golpear<br> los objetivos.<br><br>· Redran Burst<br> Bloquee un objetivo y luego mantenga presionado<br> el botón PA para cargar cargas adicionales."""
text02#7,"""Los ataques de Homing también se pueden usar para activar otro PA.<br><br>· Mina Redran<br>redran Laser,<br> Redran Gravity y<br>Redran Burst<br>se pueden usar para activar y liberar la detonación.<br><br>Aproveche sus ataques de regreso si surge la ocasión."""
