un_049050_0010#0,"""Ah, <%me>!<br>Perfect timing!"""
un_049050_0380#0,"""Well, It’s not like I’m with you on this<br>one though. A certain new teacher did say<br>‘There’s an absolute difference between zero and one`, right?"""
un_049050_0390#0,"""Quiet! If you’re comparing them to me, the rest of us are errors!"""
un_049050_0400#0,"""That's one too many errors, Och.<br>Didn't you say the same thing when<br>we were talking about Enga back then?"""
un_049050_0410#0,"""Why did you even mention him?!<br>He's not related at all!"""
un_049050_0420#0,"""Ah~ Sorry to disappoint,<br>my brother prefers bigger ones I think?"""
un_049050_0430#0,"""I didn't ask for your opinion!"""
un_049050_0440#0,"""I mean- all men tend to be like that,<br>right Kohri?"""
un_049050_0450#0,"""D-don't ask me!<br>I'm not interested in men at all!<br>I prefer you Histugi!"""
un_049050_0460#0,"""Now that's information worth gathering."""
un_049050_0470#0,"""Ah- come on!<br>At least give me 50% of<br>what you have already!"""
un_049050_0480#0,"""Whaaah?!"""
un_049050_0490#0,"""Och... Teachers aren't meant to<br>sexually harass their students."""
un_049050_0500#0,"""It's not sexual harassment!<br>It's skin-ship!<br>Come on, gimme!"""
un_049050_0510#0,"""Stop Och.<br>It's unsightly."""
un_049050_0520#0,"""*Grumbles*"""
un_049050_0530#0,"""True love usually transcends the form of one's body.<br>These so-called problems with breast size<br>shouldn't concern you at all."""
un_049050_0540#0,"""The important thing is your heart.<br>Everyone, you should've learnt that by now."""
un_049050_0550#0,"""You're still young after all.<br>Caring and nuturing others is the right way to love.<br>That's, what we call human nature."""
un_049050_0560#0,"""That's some pursuasive line,<br>coming from an experienced person."""
un_049050_0570#0,"""Experienced person?"""
un_049050_0580#0,"""How should I know?"""
un_049050_0590#0,"""Ah- umm...<br>Speaking of your experience,<br>how old are you Phaleg?"""
un_049050_0600#0,"""Talk about being blunt!<br>Way to go Yandere!"""
un_049050_0610#0,"""Come to think of it, that's a good question!<br>That's something we wanted to hear about!<br>Good job Kohri!"""
un_049050_0620#0,"""There's no point talking about the passing of time.<br>It's what my heart, wishes me to be."""
un_049050_0630#0,"""Umm...<br>Let's keep this confidential."""
un_049050_0640#0,"""I didn't see anything! <%me>!<br>Let's keep this a secret between the two of us!"""
