name#0,"""티아"""
11_voice_NPC_5013_107#0,"""……뭐, 뭐라고!?<br>귀여운 산타복을 입은 우리가<br>게이트 에리어에!?"""
Paty_01_20#0,"""그러고 보니 핼러윈 때<br>마토이 씨에게도 비슷한 일이 있었지.<br>패티 언니, 정보를 모았잖아?"""
11_voice_NPC_5013_106#0,"""아, 그 에테르 구현체 사건!<br>응?\u3000그럼 게이트 에리어에<br>있는 건 우리가 바라던 모습!?"""
Paty_01_40#0,"""직접 봤지?<br>어땠어, 티아는 납작한 가슴에서<br>벗어나 있었어!?"""
11_voice_NPC_5014_100#0,"""패티 언니의 지능 수준은<br>올라가 있었나요!?"""
11_voice_NPC_5013_102#0,"""내 지능 수준은 이미 최고라고!<br>「간장 공장 공장장은 간 공장장」!<br>어떠냐!"""
Paty_01_70#0,"""지능 수준이 1에서 만렙이구나……<br>그래서 산타풍 패티엔티아가<br>나타난 이유, 정말 짐작 가는 게 없어?"""
11_voice_NPC_5013_100#1,"""아!\u3000그러고 보니 크리스마스라<br>조사 임무를 잠깐 빼먹고<br>놀고 싶다고 생각했을지도."""
Paty_01_90#0,"""하지만 말이야!<br>귀여운 산타복을 입고 싶다고까지는<br>생각 안 했어!"""
11_voice_NPC_5014_102#0,"""역시 원인은 이 언니였나……<br>저희가 직접 접촉하는 것도 곤란하니<br>죄송하지만 맡겨도 될까요?"""
text100#0,"""一仮テキストトーストでマイルームの変更方法を通知する。"""
text1000#0,"""二仮テキストトーストでマイルームの変更方法を通知する。"""
11_voice_NPC_5013_100#2,"""으음, 역시 휴식은 중요해!<br>자, 쭉 기지개를 켜고!"""
Patty_01_020#0,"""패티 언니는 너무 쉬는 것 같아."""
11_voice_NPC_5013_104#0,"""그나저나 우리가<br>아크스가 못 됐다면<br>아무것도 못 하는 애들이었겠네."""
Patty_02_020#0,"""우리『들』?<br>있잖아, 패티 언니?<br>방금 『들』이라고 했어?"""
11_voice_NPC_5013_100#3,"""정보상은 체력이 생명!<br>나, 적성이 파이터라 다행이야!<br>티아, 체력 괜찮아?"""
Patty_03_020#0,"""포스인 건 불만 없지만<br>패티 언니에게 걱정받는 건<br>납득이 안 돼……"""
11_voice_NPC_5013_102#1,"""정말 아크스 제일의<br>정보상이냐고?<br>너무하네!\u3000진짜야!"""
Patty_04_020#0,"""저희 말고는<br>제대로 정보상을 자처하는 사람이<br>없으니까요."""
11_voice_NPC_5013_104#1,"""여러 사람과 알게 되는 건<br>정보상이어서 다행인 점이지!<br>……가끔 미움받기도 하지만."""
Patty_05_020#0,"""대부분은<br>패티 언니가 끈질기기 때문이야."""
11_voice_NPC_5013_100#4,"""으응?\u3000죽을 뻔한 적?<br>있지, 많아. 엄청 많아."""
Patty_06_020#0,"""정보는 신선도가 생명이니까.<br>최전선으로 뛰어들잖아.<br>사선쯤은 식은 죽 먹기야!"""
11_voice_NPC_5013_102#2,"""나랑 티아 중 누가 위냐고?<br>보면 모르겠어?<br>내가 쌍둥이 언니야!"""
Patty_07_020#0,"""……부정하고 싶지만<br>시간의 순서는 뒤집을 수 없습니다.<br>……제가 쌍둥이 동생이에요!\u3000큭!"""
Patty_07_030#0,"""그렇게 분할 일이야!?"""
11_voice_NPC_5013_100#5,"""위험하다 싶으면 바로 도망쳐!<br>이게 오래 사는 철칙이야!<br>절대로 잊으면 안 돼!"""
Patty_08_020#0,"""이걸 잊어버리는<br>아크스가 꽤 많아.<br>당신도 조심해."""
11_voice_NPC_5013_104#2,"""정보가 혼란스럽게 뒤엉킨 상태는<br>사실 굉장히 위험해.<br>10년 전엔 정말 심했다더라."""
Patty_09_020#0,"""그 이야기를 듣고 저희만은 늘<br>정확한 정보를 지닌 팀이<br>되자고 정했어요."""
11_voice_NPC_5013_103#0,"""오오, 또 찌릿했어!<br>왠지 날카로운<br>공기가 감돌아서 무섭네."""
Patty_10_020#0,"""아크스의 높으신 분들……<br>육망균형의 움직임도 활발해졌어.<br>……조심해."""
11_voice_NPC_5013_106#1,"""이번 다크 펄스와의 싸움은<br>피해가 적은 편이래."""
Patty_mb9_020#0,"""과거엔 얼마나 당했던 걸까.<br>정말 엄청나네."""
11_voice_NPC_5013_102#3,"""폭주룡, 폭주룡 하던데<br>난 정말 눈곱만큼도<br>마주치질 않네."""
Patty_mb10_020#0,"""누가 처음 그 이름을 붙였을까?"""
11_voice_NPC_5013_101#0,"""아무튼 축제나 대회는<br>어감이 좋지!\u3000기분도 좋고!"""
Patty_mb11_020#0,"""다 같이 신나게 떠드는 건<br>정말 멋진 일이라고 생각해!"""
11_voice_NPC_5013_100#6,"""행성 워팔에 가면<br>뭐랄까, 헤엄치고 싶어지지!"""
Patty_mb12_020#0,"""수영복을 입고 다 같이 휴가!<br>아, 빨리 그런 시대가<br>오면 좋겠다."""
11_voice_NPC_5013_101#1,"""여기저기서 사람들이 허둥대서<br>마음이 안 놓이네."""
Patty_mb13_020#0,"""뭔가 암약하고 있어?<br>혹시!\u3000전에 소문났던<br>처리업자 같은 거!?"""
11_voice_NPC_5013_104#3,"""행성 리리파에는 처음에<br>아크스가 없었잖아?"""
Patty_mb14_020#0,"""왜 다커는 굳이 거기까지<br>찾아간 걸까?"""
11_voice_NPC_5013_100#7,"""우리는 쌍둥이 정보상!<br>패티엔티아!"""
Patty_mb15_020#0,"""갑자기 왜 그러냐고?<br>이쯤에서 다시 홍보하는 거야!"""
Patty_mb15_030#0,"""안 그러면 우리가 정보상이라는 걸<br>다들 잊었을 것 같아서!<br>정보 싸요!\u3000정보 팝니다!"""
Patty_mb16_010#0,"""정보상의 대원칙 첫째!<br>정보를 줄 상대는 신중히 고를 것!"""
11_voice_NPC_5013_100#8,"""수상하거나 이상한 상대에겐<br>아무것도 가르쳐 주지 않아!<br>대단하지?"""
Patty_mb16zeno_010#0,"""이야, 정말<br>무사해서 다행이라는 거야!<br>무사한 아크스가 명예 아크스지!"""
11_voice_NPC_5013_100#9,"""절대령은 우리한테도 전해졌지만<br>……너와 싸우지 않고 끝나서<br>정말 다행이야……!"""
Patty_mb18_010#0,"""열심히 하는 것도 중요하지만<br>가끔은 쉬어야 해!<br>내 추천은 카지노!"""
11_voice_NPC_5013_101#2,"""정보상으로서는<br>공략 정보나 비밀 기술을<br>조사해야지…… 으헤헤."""
11_voice_NPC_5013_101#3,"""행성 워팔의 부상 시설!<br>가 본 적 없다면<br>인생 절반은 손해 본 거야!"""
Patty_mb19_020#0,"""기후는 온화하고 풍경은 아름답고<br>나타난 시설도 화려해!<br>완전 리조트 시설 같아!"""
11_voice_NPC_5013_104#4,"""……아이디어라는 게<br>좀처럼 안 떠오르네!"""
Patty_mb20_020#0,"""무슨 얘기냐고?<br>우리의 새로운 가능성을<br>생각하고 있어!"""
Patty_mb20_030#0,"""뭔가 이런……<br>우와!\u3000하게 되는<br>아이디어 없을까?"""
11_voice_NPC_5013_104#5,"""여러 가지 생각해 봤는데<br>한번 시작하니 끝이 없네!"""
Patty_mb21_020#0,"""가능성을 너무 찾다가<br>그만 길을 잃어버린 느낌이야!<br>이야, 반성 반성."""
11_voice_NPC_5013_104#6,"""으으음, 요즘<br>정보상으로서 시험받는 기분이야!"""
Patty_mb22_020#0,"""이렇게 된 이상 비장의<br>엄청난 정보를 손에 넣어야 해!"""
11_voice_NPC_5013_102#4,"""어디 좋은 정보 안 떨어져 있나!?"""
11_voice_NPC_5013_104#7,"""이야, 【쌍둥이】에게 먹혔다고<br>들었을 땐 어떻게 되나<br>걱정했어!"""
Patty_mb23_020#0,"""정말 무사해서 다행이야!<br>이야, 다행이다."""
11_voice_NPC_5013_100#10,"""앞으로도 너에게 정보를 줄 수 있어<br>더없이 기뻐!\u3000패티엔티아는<br>너에게만 정보를 제공할 테니까!"""
11_voice_NPC_5013_100#11,"""완전히 무사한 건 아니지만<br>네가 돌아와서 정말 다행이야!"""
Patty_mb23_after_020#0,"""그리고 마토이가 걱정되겠지만<br>지금 샅샅이 찾고 있어!"""
Patty_mb23_after_030#0,"""마토이의 행방은 우리<br>패티엔티아에게 맡겨 줘!<br>가장 먼저 찾아낼 테니까!"""
Patty_mb24_010#0,"""우리는 아크스 제일의 정보상!<br>패티엔티아!"""
Patty_mb24_020#0,"""우리 정보 수집력이 얼마나 뛰어난지는<br>이미 알고 있지?"""
11_voice_NPC_5013_100#12,"""당연히 네가 가장 원하는 정보도<br>확실히 손에 넣을 테니까!"""
11_voice_NPC_5013_100#13,"""이야, 해냈어!<br>무사히 구출 대성공!<br>모두가 기뻐할 결과야!"""
Patty_mb24_after_020#0,"""아, 맞다!<br>약속대로 평생 정보를 제공하기로<br>확실히 접수했으니까!"""
Patty_mb24_after_030#0,"""그런 고로!<br>앞으로도 패티엔티아를<br>잘 부탁드립니다!"""
11_voice_NPC_5013_104#8,"""【심원한 어둠】이 부활할 뻔한<br>영향이 어딘가에 나타날까?"""
Patty_mb25_020#0,"""그렇게 대단한 포톤 덩어리니까<br>어딘가에 영향이 있을 것 같아."""
st01_010#0,"""저기, 저기, 저기……<br>그, 저기, 있잖아, 있잖아!"""
st01_020#0,"""아!\u3000하고 싶은 말이 많아서<br>몇 번이고 이미지 트레이닝을<br>했는데 전부 날아갔어!"""
11_voice_NPC_5013_100#14,"""그러니까 한마디만 할게!<br>어서 와!"""
11_voice_NPC_5013_100#15,"""이야, 정말 돌아왔구나!<br>이렇게 자주 보이게 되니<br>이제야 실감이 나!"""
st01_020#1,"""그렇다면 다음은 조사야!<br>콜드 슬립을 받을 때의<br>일이나 그 밖의 일들!"""
st01_030#0,"""여러 가지 잔뜩 들려 줘!<br>시간 있을 때면 되니까!"""
11_voice_NPC_5013_100#16,"""패티엔티아가 정보부냐고?<br>아니, 아니, 노노!\u3000우리는<br>권력에 굴복하지 않아!"""
st01_020#2,"""우리는 바로!\u3000전투부!<br>싸우지 않는 전투부다!"""
st01_030#1,"""정보부조차 공개하지 않는 정보를 모아<br>제공하는 모두를 위한 정보상!<br>그게 바로 패티엔티아야!"""
11_voice_NPC_5013_100#17,"""원하는 형태의 무기를 만들 수 있다니<br>뭔가 좋겠다고 생각하지!"""
st01_020#3,"""원하는 모습으로 만들 수 있고<br>들고 다니지 않아도 된다니<br>편리하잖아!"""
11_voice_NPC_5013_100#18,"""지구 사람들은 아크스를<br>알고 있는 거지?<br>찾아오려 했으니까."""
st01_020#4,"""어떻게 아크스의 존재를<br>알아냈을까.<br>좀 궁금해지네!"""
st01_010#1,"""마더 클러스터였나?<br>우리 아크스에게 적의를<br>가진 것 같은데 뭘 했었나?"""
st01_020#5,"""왠지 오해라거나 누명이라거나<br>그런 느낌이 아주 강하게……<br>내 직감이 그렇게 외쳐!"""
11_voice_NPC_5013_104#9,"""구현 무장이 부서지면<br>어떤 기분일까.<br>으악!\u3000당했다!\u3000같은 건가?"""
st01_020#6,"""자기 마음을 구현한 거잖아?<br>엄청나게 아프기도 할까.<br>몸이 아니라 마음이."""
st01_030#2,"""소중히 여기던 무기가 부서지면<br>우리도 으악!\u3000하는<br>기분으로 가득할 테니까!"""
st01_010#2,"""전에 습격이 있었다며!<br>우린 마침 출격 중이라<br>돌아오니 난리가 났더라!"""
st01_020#7,"""그 자리에 있고 싶었는데……<br>라고 장난칠 때가 아니지!<br>여러 대책을 세워야 해!"""
11_voice_NPC_5013_104#10,"""으음, 다커 같은 환창종……<br>이것도 정말 수상해!"""
st01_020#8,"""환창종뿐일 때는 아크스도<br>지켜보자는 분위기가 강했지만<br>이제는 그럴 수 없겠지!"""
11_voice_NPC_5013_100#19,"""드디어 마더와 화해!\u3000손을 맞잡고<br>밝은 지구의 미래로 레디 고!<br>라고 생각했더니 예상 밖 난입자!"""
st01_020#9,"""충격, 그 이름 아덴 세이크리드!<br>과연 앞으로 어떻게 될 것인가……<br>다음 편에 계속!\u3000같은 느낌이네."""
11_voice_NPC_5013_104#11,"""으음, 그런데 정말<br>아덴이라는 사람은 앞으로<br>뭘 어떻게 하려는 걸까?"""
11_voice_NPC_5013_100#20,"""드디어 마더와 화해!\u3000손을 맞잡고<br>밝은 지구의 미래로 레디 고!<br>라고 생각했더니 예상 밖 난입자!"""
st01_020#10,"""충격, 그 이름 아덴 세이크리드!<br>과연 앞으로 어떻게 될 것인가……<br>다음 편에 계속!\u3000같은 느낌이네."""
11_voice_NPC_5013_101#4,"""그리고 다음 편은 지구 통째로 대진화!<br>조금 너무 건너뛰었지.<br>서둘러도 좋을 건 없는데."""
st01_010#3,"""지구의 미래는 우리가 정한다!<br>같은 느낌으로 무사히 끝나서 다행이야.<br>정말 대단원의 최종화!"""
11_voice_NPC_5013_100#21,"""이 모든 게 네가 힘써 준<br>덕분이라는 거지!<br>정말 고생 많았어!"""
11_voice_NPC_5013_101#5,"""우리도 이번엔 정보상이 아니라<br>전투부로서 열심히 할 거야!<br>좋아, 덤벼라!"""
11_voice_NPC_5013_100#22,"""난 걱정하지 않았어!<br>샤오가 정보를 별로 안 준다는 건<br>무사하다는 뜻이니까!"""
sq02_010#0,"""속보, 속보!\u3000다커 수가 줄고 있어!<br>공식 발표는 없지만<br>싸우다 보니 그런 느낌이야!"""
sq02_020#0,"""하지만 이럴 때일수록<br>긴장을 늦추면 안 돼!<br>방심은 금물이라는 거지!"""
11_voice_NPC_5013_104#12,"""아직 뭔가 큰일이<br>일어날 것 같은 기분이야.<br>정보상의 감이라는 건가?"""
sq13_010#0,"""이제 장난칠 수 있는 분위기가<br>아니게 됐네.<br>그 시바라는 게 나타난 뒤로."""
sq13_020#0,"""육망뿐 아니라 수호휘사<br>두 사람도 밀렸고<br>모두 엄청 예민해졌어!"""
11_voice_NPC_5013_100#23,"""하지만 그럴 때일수록 우리<br>패티엔티아는 밝게 활동하는 거야!<br>우선 종언의 여신 정보 수집!"""
11_voice_NPC_5013_103#1,"""이럴 수가!\u3000정보가 없어!<br>학자들에게 물어보고 다니는데<br>어딜 가도 조사 중이래!"""
ep6_sq00_02#0,"""밝은 소식을 찾아<br>모두에게 전해 기운을 북돋는 게<br>정보상의 숙명인데!"""
11_voice_NPC_5013_102#5,"""그래도 패티는 포기하지 않아!<br>정보상의 저력을 보여 주지!"""
11_voice_NPC_5013_109#0,"""잠깐, 잠깐!<br>샤오가 당하다니!<br>이제 어떡해!?"""
11_voice_NPC_5013_104#13,"""으으, 이럴 수는 없어……<br>모두 함께 최선을 다해 왔는데……"""
11_voice_NPC_5013_100#24,"""잠깐, 봤어!?<br>봤지!?"""
ep6_sq02_02#0,"""저거 누구야!?\u3000샤오야!?<br>엄청 거칠어져서<br>딴사람 같았는데!"""
ep6_sq02_03#0,"""샤오라기보다<br>샤오 씨라는 느낌이지!<br>그렇게 생각하지, 그렇지!?"""
11_voice_NPC_5013_103#2,"""A.I.S로 한꺼번에 덤벼도<br>안 통하다니 너무한 거 아니야!<br>저건 반칙이야, 반칙!"""
ep6_sq02_01_02#0,"""샤오가 돌아와서<br>이제 시바쯤은 여유일 줄 알았는데!"""
11_voice_NPC_5013_103#3,"""시바로 변신한 미트라는 쓰러지고<br>본인은 멀쩡하다니 못 믿겠어!<br>페어플레이 정신에 어긋나!"""
ep6_sq03_02_01_02#0,"""우주의 평화에 계속 공헌한<br>정보상 패티로서는<br>정말 슬퍼!"""
Kyokuya_01_010#0,"""내 이야기를 듣고 싶어?<br>패티에게 맡겨만 줘!<br>……흠흠, 쿄쿠야 얘기야?"""
Kyokuya_01_020#0,"""전에 취재했을 때 영창, 짜릿했어!<br>나도 그 뒤로 연습했거든!<br>잘 봐, 잘 봐!"""
Kyokuya_01_030#0,"""“그림자여, 어둠보다도 어두운 자여.<br>나의 힘이 되어 맞서는 자를 먹어 치우는<br>《망령》이 되어라……!”"""
11_voice_NPC_5013_100#25,"""어때?\u3000어때?\u3000똑같지!?<br>무슨 뜻인지는 전혀 모르지만<br>엄청 멋있어!"""
11_voice_NPC_5013_103#4,"""잠깐, 이상하지 않아!?<br>적이 계속 늘어나고<br>너무 힘들어!\u3000부당해!"""
ep6_sq04_01_02#0,"""저건 반칙을 넘어서<br>사기야, 사기!"""
ep6_sq04_01_03#0,"""그래도!\u3000이럴 때일수록 밝게<br>활동하는 게 정보상의 방침!<br>좋아, 정보 수집하러 렛츠 고!"""
ep6_sq05_1#0,"""들었어!<br>그 시바의 성가신 부하<br>다른 한 명도 쓰러뜨렸다며?"""
11_voice_NPC_5013_100#26,"""남은 건 무서운 대장뿐이지만<br>너라면 시원하고 화려한 대역전을<br>성공시켜 주겠지!"""
11_voice_NPC_5013_100#27,"""축하해!\u3000그리고 고마워!<br>그 엄청나게 강한 시바를 드디어<br>쓰러뜨려 줬네!"""
text02#0,"""그런 오라클을<br>구해 준 영웅에게 인터뷰……<br>하기 전에 축하 파티다!"""
11_voice_NPC_5013_101#6,"""성대하게 축하하자!<br>주인공은 너!\u3000그리고 모두도!<br>자, 준비해야지!"""
