choice01#0,"""О этуале"""
Title#2,"""Парные клинки этуаля"""
text0001#2,"""При экипировке парных клинков, этуаль выполняет<br>атаки и Фотон Арты \""Etoile Dual Blade\""<br>вместо обычных атак парными клинками.<br><br>Действием оружия парных клинков этуаля \""Parry\"",<br>блокирует вражеские атаки и может активировать<br>его во время собственных атак, позволяя свободно<br>комбинировать свои атаки, сохраняя при этом<br>возможность защищаться в любой момент времени."""
text0002#2,"""Этуаль с парными клинками может защищаться от атак<br>со всех сторон с помощью действия оружия \""Parry\"",<br>и в случае успеха при защите, активируется<br>контр-атака.<br><br>Это действие оружия также можно использовать<br>во время Фотон Артов либо при предотвращении<br>попаданий атак врагов, чтобы не останавливать<br>собственную атаку."""
text0003#2,"""Step Edge<br><yellow>・Во время Step'ов можно брсать лезвия,<br>чтобы атаковать врагов на расстоянии<c>.<br><br>Используйте это как выгодную возможность<br>для дополнительной атаки."""
text0004#1,"""После изучения классового умения этуаля<br>\""Etoile Dual Blade Gear\"",<br>появится шкала Gear над палитрой оружия<br>при выборе парных клинков.<br><br>Шкала Gear будет увеличиваться при атаке врага,<br>и при превышении определённого урона, можно<br>будет активировать мощную атаку называемую \""Connect\"".<br><br>А также, при полной зарядке Gear, вы можете<br>активировать особый мощный приём \""Full Connect\""."""
text0005#1,"""Connect<br><yellow>・При накоплении 50% или более всей шкалы Gear,<c><br>можно активировать действие оружия и израсходовать<br>50% шкалы Gear, чтобы соединить парные клинки и выполнить<br>мощную атаку.<br><br>Full Connect<br><yellow>・Когда шкала Gear полностью заполняется,<br>после зарядки Connect можно активировать<br>действие оружия, при котором израсходуется<br>весь Gear для нанесения одного мощного удара.<c><br>Старайтесь пользоваться этим."""
Title#3,"""Ванд этуаля"""
text0001#3,"""При экипировке ванда, этуаль выполняет<br>атаки и Фотон Арты \""Etoile Wand\""<br>вместо обычных атак вандом.<br><br>Основная особенность ванда этуаля заключается в том,<br>что его атаки позволяют вам свободно перемещаться,<br>а это означает, что в бою у вас будет отличное<br>чувство потока.<br><br>Кроме того, активация действия оружия во время<br>Фотон Арта изменит сам Фотон Арт, что означает,<br>что у вас всегда будут доступные варианты."""
text0002#3,"""Ванд этуаля способен выпускать мощную атаку<br>называемую \""Focus\"".<br>Используя во время действия Фотон Арта<br>действие оружия, вы сможете сжать сферу<br>создав временную наносящую урон сферу.<br>Используйте обычную версию Фотон Арта \""Focus\"",<br>и используйте усиленную в зависимости от ситуации."""
text0003#3,"""Ванд этуаля с помощью действия оружия может<br>активировать \""Charge Protection\"".<br>С ним вы сможете свободно перемещаться<br>и блокировать атаки врагов.<br><br>Кроме того, если вы изучили \""Etoile Wand Gear\"",<br>то сможете расходовать Gear для постоянной защиты."""
text0004#2,"""Gear ванда станет доступен с изучением умения этуаля<br>\""Etoile Wand Gear\"".<br><br>Выполняя следующие действия можно накапливать Gear:<br><yellow>・Атакуя врагов<br>・Двигаясь в бою<br>・Just Guard'ом<c><br><br>Шкала Gear может расходоваться на поддержание<br>защиты, а также для огромного потребления энергии<br>с последующей активацией \""Protect Release\""."""
text0005#2,"""Protect Release<br><yellow>・Активируйте Charge Protect и удерживайте кнопку,<c><br>пока не израсходуете достаточно шкалы Gear, затем<br>отпустите кнопку, чтобы совершить мощную<br>с огромным радиусом охвата атаку.<br><br>В случае выполнения Protect Release при зажатой<br>клавише движения, вы будете быстро перемещаться<br>перед использованием.<br><br>※Мощность Protect Release может быть увеличена<br>за счёт использования ещё большего объёма<br>шкалы Gear перед непосредственной активацией."""
Title#4,"""Умения и навыки этуаля"""
text0001#4,"""Этуаль обладает множеством классовых умений<br>и навыков для поддержки членов группы и других<br>игроков поблизости.<br><br>Чтобы использовать их наиболее эффективно,<br>старайтесь не забывать о людях вокруг вас,<br>и старайтесь помогать им в момент, когда<br>те нуждаются в поддержке."""
text0002#4,"""Over Drive<br>Восстнавливает ваши HP и PP, а такжи ваших<br>членов группы. Максимальное количество<br>PP временно увеличится.<br><br>Recast Save<br>Уменьшает время перезарядки для активных<br>умений других участников группы."""
text0003#4,"""Just Guard PP Aile<br>Восстанавливает PP всех членов группы,<br>включая вас, когда вы выполняете Just Guard<br>в ответ на атаку врага.<br><br>Around Mate Up<br>Увеличивает восстановление HP от расходных<br>предметов всем ближайшим игрокам, и добавляет<br>им эффект восстановления PP."""
