name_ai#0,"""MAI001"""
ssn_015966_0220#0,"""Mag มีฟังก์ชันอะไรเพิ่มขึ้นมาบ้าง?"""
ssn_015966_0230#0,"""ไม่มีอะไรจะถาม"""
ssn_015966_0240#0,"""เจอในห้องที่ถูกน้ำแข็งปกคลุม อยู่ลึกเข้าไปใน Lost Central น่ะ"""
ssn_015966_0250#0,"""เพราะเป็นพื้นที่อันตราย หลังจากเจอแล้วเลยปล่อยทิ้งไว้พักใหญ่น่ะ<br>แต่พอได้ร่วมมือกับเหล่า ARKS คนอื่นๆ ในที่สุดก็เข้าไปสำรวจได้สักที"""
ssn_015966_0260#0,"""ด้วยเรื่องที่เคยเกิดขึ้นก่อนหน้านี้ พวกพี่น้องเลยกำชับนักหนา<br>ว่าห้ามไปคนเดียวเด็ดขาดเลยล่ะ"""
ssn_015966_0270#0,"""พูดง่ายๆ ก็คือ ให้คิดซะว่า Mag สามารถพูดได้แล้ว<br>ประมาณนั้นล่ะมั้ง"""
ssn_015966_0280#0,"""ใน MAI001 น่าจะมีข้อมูลพื้นฐานของ Halpha อยู่แล้วล่ะ<br>แถมดูเหมือนความรู้ใหม่ๆ ก็จะค่อยๆ เพิ่มขึ้นเรื่อยๆ ด้วยนะ"""
ssn_015966_0290#0,"""งั้นก็"""
Title#0,"""ข้อตกลงการใช้งาน 『M.A.I.』"""
Message#0,"""เมื่อดำเนินเควสต์นี้ จะปลดล็อกคอนเทนต์ดังต่อไปนี้<br>・M.A.I.<br><br>ในการดำเนินเควสต์และเข้าเล่นคอนเทนต์<br>คุณจำเป็นต้องยอมรับข้อตกลงการใช้งานของคอนเทนต์<br>หากไม่ยอมรับ การดำเนินเควสต์จะหยุดลง<br>และคอนเทนต์จะไม่ถูกปลดล็อก<br><br>โปรดตรวจสอบข้อตกลงการใช้งาน<br>และกดปุ่ม (ยอมรับ)<br><br>----------<br><br>ข้อตกลงการใช้งาน AI Chat ของ (Phantasy Star Online 2)<br><br>ข้อตกลงนี้ (ต่อไปนี้จะเรียกว่า (ข้อตกลงการใช้งาน AI Chat ฉบับนี้)) กำหนดเงื่อนไขระหว่างผู้ใช้บริการ AI Chat (ต่อไปนี้จะเรียกว่า (บริการ AI นี้)) ภายในซอฟต์แวร์ บริการที่ใช้เครือข่าย และบริการอื่นๆ ที่เกี่ยวข้อง (ต่อไปนี้เรียกรวมว่า (บริการนี้)) ของ (Phantasy Star Online 2) (รวมถึง (Phantasy Star Online 2 New Genesis) และ (Phantasy Star Online 2)) (ต่อไปนี้จะเรียกว่า (PSO2)) ซึ่งให้บริการโดยบริษัท เซก้า จำกัด (ต่อไปนี้จะเรียกว่า (บริษัท)) และผู้ใช้งาน (ต่อไปนี้จะเรียกว่า (ผู้ใช้งาน))<br><br>1. คำนิยาม<br>1.1. (PSO2 AI Bot) หมายถึงฟังก์ชัน AI ที่ใช้ตอบคำถามบน (บริการ AI นี้)<br>1.2. (Session Space) หมายถึงพื้นที่ที่ใช้ในการส่งข้อความและรับคำตอบระหว่าง (ผู้ใช้งาน) และ (PSO2 AI Bot) ใน (บริการ AI นี้)<br>1.3. (คอนเทนต์ที่โพสต์) หมายถึงข้อมูลรูปแบบข้อความ รูปภาพ และอื่นๆ ที่ (ผู้ใช้งาน) โพสต์ลงใน (Session Space) เมื่อใช้ (บริการ AI นี้)<br>1.4. (คำตอบ AI) หมายถึงคอนเทนต์ที่ (PSO2 AI Bot) ตอบกลับหรือแสดงผลใน (Session Space) จาก (คอนเทนต์ที่โพสต์) ของ (ผู้ใช้งาน) บน (บริการ AI นี้)<br><br>2. การบังคับใช้ข้อตกลงการใช้งาน AI Chat ฯลฯ<br>2.1. หากไม่ยอมรับ (ข้อตกลงการใช้งาน AI Chat ฉบับนี้) (ผู้ใช้งาน) จะไม่สามารถใช้ (บริการ AI นี้) ได้<br>2.2. ในการใช้ (บริการ AI นี้) จะมีการบังคับใช้ (ข้อตกลงการใช้งาน AI Chat ฉบับนี้) ร่วมกับข้อตกลงการใช้งานสำหรับ Windows PC, PlayStation®4 และ Cloud ของ (Phantasy Star Online 2) ที่ (บริษัท) กำหนดแยกต่างหาก (ต่อไปนี้เรียกรวมว่า (ข้อตกลงการใช้งาน Phantasy Star Online 2)) หากมีข้อขัดแย้งกัน ให้ยึดตาม (ข้อตกลงการใช้งาน AI Chat ฉบับนี้) เป็นหลัก<br>2.3. (บริษัท) สามารถเปลี่ยนแปลงเนื้อหาของ (บริการ AI นี้) ได้โดยไม่ต้องแจ้งให้ (ผู้ใช้งาน) ทราบล่วงหน้า อย่างไรก็ตาม หากเป็นการเปลี่ยนแปลงที่ส่งผลกระทบอย่างมีนัยสำคัญและเป็นผลเสียต่อ (ผู้ใช้งาน) (บริษัท) จะแจ้งให้ทราบล่วงหน้าผ่านทางหน้าเว็บไซต์ทางการ (URL: https://pso2.jp/ ต่อไปนี้เรียกว่า (เว็บไซต์นี้)) หรือวิธีการอื่นที่เหมาะสม<br><br>3. การใช้บริการ AI นี้<br>3.1 (ผู้ใช้งาน) จำเป็นต้องมีบัญชีของ (บริการนี้) เพื่อใช้งาน (บริการ AI นี้)<br>3.2 เมื่อ (ผู้ใช้งาน) โพสต์คอนเทนต์ลงใน (Session Space) โดยใช้ (บริการ AI นี้) (PSO2 AI Bot) จะทำการตอบกลับตามเนื้อหาของคอนเทนต์นั้นๆ<br>3.3 (ผู้ใช้งาน) สามารถใช้งานฟังก์ชันที่กำหนดได้ตามเงื่อนไขที่ (บริษัท) กำหนดแยกต่างหาก (ต่อไปนี้เรียกว่า (เงื่อนไขการใช้งาน))<br>3.4 (เงื่อนไขการใช้งาน) และเรื่องอื่นๆ ที่เกี่ยวข้อง ให้อยู่ในดุลยพินิจของ (บริษัท)<br><br>4. การใช้บริการของบุคคลที่สาม<br>(บริษัท) ใช้บริการ Gemma ของ Google LLC และ Nemotron ของ NVIDIA Corporation เพื่อให้บริการ (บริการ AI นี้) ประเทศหรือภูมิภาคที่ตั้งของผู้ให้บริการบุคคลที่สามที่ (บริษัท) ใช้บริการคือ สหรัฐอเมริกา<br><br>5. ทรัพย์สินทางปัญญา<br>5.1 ลิขสิทธิ์ สิทธิบัตร เครื่องหมายการค้า และทรัพย์สินทางปัญญาอื่นๆ ที่เกี่ยวข้องกับ (บริการ AI นี้) เป็นของ (บริษัท) หรือบุคคลที่สามที่อนุญาตให้ (บริษัท) ใช้งาน<br>5.2 โดยไม่คำนึงถึงข้อ 5.1 หาก (ผู้ใช้งาน) มีทรัพย์สินทางปัญญาใน (คอนเทนต์ที่โพสต์) ที่ส่งให้ (PSO2 AI Bot) ผ่าน (บริการ AI นี้) สิทธิ์นั้นจะยังคงเป็นของ (ผู้ใช้งาน)<br>5.3 โดยไม่คำนึงถึงข้อ 5.1 ทรัพย์สินทางปัญญาที่เกี่ยวข้องกับ (คำตอบ AI) จะเป็นของ (ผู้ใช้งาน) ยกเว้นกรณีที่เป็นของ (บริษัท) หรือบุคคลที่สามที่มีสิทธิ์โดยชอบธรรม หรือกรณีที่กฎหมายไม่รับรองการเป็นเจ้าของสิทธิ์แบบผูกขาด<br>5.4 (ผู้ใช้งาน) อนุญาตให้ (บริษัท) ทำซ้ำ ดัดแปลง แก้ไข ส่งผ่านสู่สาธารณะ หรือนำไปใช้ในรูปแบบอื่นๆ ได้โดยไม่คิดค่าใช้จ่าย ไม่ผูกขาด และอยู่ภายในขอบเขตที่จำเป็นต่อการให้บริการ ดำเนินการ ปรับปรุง และพัฒนาคุณภาพของ (บริการ AI นี้) (ผู้ใช้งาน) จะไม่ใช้ธรรมสิทธิ (Moral rights) ใน (คอนเทนต์ที่โพสต์) กับ (บริษัท)<br><br>6. ความรับผิดชอบของผู้ใช้งาน<br>6.1 (บริษัท) จะไม่รับผิดชอบต่อปัญหาใดๆ ที่เกิดขึ้นระหว่าง (ผู้ใช้งาน) กับผู้ใช้งานอื่นหรือบุคคลที่สามจากการใช้ (บริการ AI นี้)<br>6.2 (บริษัท) จะไม่รับผิดชอบกรณีที่ (ผู้ใช้งาน) นำ (คำตอบ AI) ที่สร้างขึ้นจาก (บริการ AI นี้) ไปใช้นอกเหนือจาก (บริการ AI นี้) อนึ่ง (บริการ AI นี้) ถูกพัฒนาขึ้นเพื่อเป็นเครื่องมือเสริมในการเล่น PSO2 ไม่ได้ถูกออกแบบมาเพื่อเรื่องที่ไม่เกี่ยวข้องกับวัตถุประสงค์ดังกล่าว (รวมถึงแต่ไม่จำกัดเพียงเรื่องส่วนตัว หรือเรื่องสุขภาพจิต) และไม่ควรนำไปใช้ในเรื่องที่ไม่เกี่ยวข้องกับวัตถุประสงค์หลัก<br>6.3 หาก (ผู้ใช้งาน) ละเมิด (ข้อตกลงการใช้งาน AI Chat ฉบับนี้) หรือ (ข้อตกลงการใช้งาน Phantasy Star Online 2) หรือมีข้อพิพาทด้านสิทธิ์ใน (คอนเทนต์ที่โพสต์) กับบุคคลที่สาม (ผู้ใช้งาน) จะต้องลบ (คอนเทนต์ที่โพสต์) ตามคำร้องขอของ (บริษัท) นอกจากนี้ (บริษัท) อาจดำเนินการระงับการแสดงผล ลบเนื้อหา ระงับการใช้ (บริการ AI นี้) ระงับการใช้ (บริการนี้) หรือลบ SEGA ID, SEGA Account หรือ ID ของบริการที่บุคคลที่สามให้บริการตามที่ (บริษัท) กำหนด (ต่อไปนี้เรียกรวมว่า (ID ที่ระบุ)) แม้การดำเนินการดังกล่าวจะทำให้ (ผู้ใช้งาน) เกิดความเสียหาย (บริษัท) ก็จะไม่รับผิดชอบใดๆ<br><br>7. ข้อห้าม<br>ในการใช้ (บริการ AI นี้) ห้ามมิให้กระทำการดังต่อไปนี้<br>（1） การกระทำที่ระบุไว้ในข้อ 9 และ 10 ของ (ข้อตกลงการใช้งาน Phantasy Star Online 2) และข้อห้ามอื่นๆ ที่ระบุในข้อตกลงดังกล่าว<br>（2） การใช้ (บริการ AI นี้) เพื่อวัตถุประสงค์ดังต่อไปนี้<br>ก. การสร้างคอนเทนต์ที่ละเมิด นำไปใช้ในทางที่ผิด หรือละเมิดสิทธิ์ของบุคคลหรือนิติบุคคลในรูปแบบอื่น (รวมถึงแต่ไม่จำกัดเพียงลิขสิทธิ์)<br>ข. การดำเนินการหรือส่งเสริมกิจกรรมที่เป็นอันตราย ผิดกฎหมาย หรือมุ่งร้าย เช่น:<br>（ก） การส่งเสริมหรือสนับสนุนการกระทำที่ผิดกฎหมายหรือละเมิดกฎหมาย เช่น:<br>ⅰ การส่งเสริมหรือสร้างคอนเทนต์เกี่ยวกับการล่วงละเมิดทางเพศหรือการแสวงหาผลประโยชน์จากเด็ก<br>ⅱ การส่งเสริมหรือสนับสนุนการขายสาร สินค้า หรือบริการที่ผิดกฎหมาย รวมถึงการให้คำแนะนำเกี่ยวกับวิธีสังเคราะห์หรือจัดหา<br>ⅲ การสนับสนุนหรือส่งเสริมให้ผู้ใช้งานก่ออาชญากรรม<br>ⅳ การส่งเสริมหรือสร้างคอนเทนต์ที่เกี่ยวข้องกับลัทธิสุดโต่งที่ใช้ความรุนแรงหรือการก่อการร้าย<br>（ข） การประกอบวิชาชีพทางกฎหมาย การแพทย์ การบัญชี หรือการเงินโดยผิดกฎหมายหรือไม่ได้รับอนุญาต<br>（ค） การละเมิด สร้างความเสียหาย แทรกแซง หรือขัดขวางบริการ (รวมถึงการให้ผู้อื่นกระทำ) เช่น:<br>ⅰ การส่งเสริมหรือสนับสนุนการสร้างหรือเผยแพร่สแปม<br>ⅱ การสร้างคอนเทนต์สำหรับกิจกรรมที่หลอกลวง ทุจริต ฉ้อโกง ฟิชชิง หรือมัลแวร์<br>（ง） การพยายามปิดใช้งานหรือหลีกเลี่ยงตัวกรองความปลอดภัย หรือเจตนาให้ Gemma กระทำการที่ขัดต่อ Gemma Prohibited Use Policy<br>（จ） การสร้างคอนเทนต์ที่อาจก่อให้เกิดหรือส่งเสริมอันตรายต่อบุคคลหรือกลุ่มบุคคล เช่น:<br>ⅰ การสร้างคอนเทนต์ที่ส่งเสริมหรือสนับสนุนความเกลียดชัง<br>ⅱ การส่งเสริมวิธีการล่วงละเมิดหรือการกลั่นแกล้งเพื่อข่มขู่ ล่วงละเมิด หรือดูถูกผู้อื่น<br>ⅲ การสร้างคอนเทนต์ที่สนับสนุน ส่งเสริม หรือยั่วยุให้เกิดความรุนแรง<br>ⅳ การสร้างคอนเทนต์ที่สนับสนุน ส่งเสริม หรือชักจูงให้ทำร้ายตัวเอง<br>ⅴ การสร้างข้อมูลที่สามารถระบุตัวบุคคลได้เพื่อวัตถุประสงค์ในการเปิดเผยหรือก่อให้เกิดอันตราย<br>ⅵ การติดตามหรือเฝ้าดูบุคคลโดยไม่ได้รับความยินยอม<br>ⅶ การสร้างคอนเทนต์ที่อาจส่งผลกระทบอย่างไม่เป็นธรรมหรือเป็นผลเสียต่อบุคคล โดยเฉพาะอย่างยิ่งในส่วนที่เกี่ยวข้องกับคุณลักษณะที่ละเอียดอ่อนหรือได้รับการคุ้มครอง<br>ⅷ การสร้าง รวบรวม ประมวลผล หรือคาดเดาข้อมูลส่วนบุคคลที่ละเอียดอ่อนหรือข้อมูลส่วนตัวเกี่ยวกับบุคคลโดยไม่ได้รับสิทธิ์ อนุญาต และความยินยอมตามที่กฎหมายกำหนด<br>ค. การสร้างและเผยแพร่คอนเทนต์ที่มีจุดประสงค์เพื่อบิดเบือนข้อมูล แสดงข้อมูลผิด หรือทำให้เข้าใจผิด เช่น:<br>（ก） การแอบอ้างแหล่งที่มาของคอนเทนต์ที่สร้างขึ้น โดยอ้างว่าสร้างโดยมนุษย์ หรือนำเสนอคอนเทนต์ที่สร้างขึ้นว่าเป็นผลงานดั้งเดิมของตนเอง<br>（ข） การสร้างคอนเทนต์ที่แอบอ้างเป็นบุคคลใดบุคคลหนึ่ง (ทั้งที่มีชีวิตอยู่หรือเสียชีวิตไปแล้ว) โดยไม่ชี้แจงให้ชัดเจน<br>（ค） การอ้างสิทธิ์ที่ทำให้เข้าใจผิดเกี่ยวกับความเชี่ยวชาญหรือความสามารถ โดยเฉพาะอย่างยิ่งในสาขาวิชาชีพเฉพาะ เช่น การแพทย์ การเงิน บริการของรัฐ หรือกฎหมาย<br>（ง） การตัดสินใจแบบอัตโนมัติในเรื่องที่มีผลกระทบอย่างมีนัยสำคัญต่อสิทธิหรือสวัสดิภาพของบุคคล เช่น การเงิน กฎหมาย การจ้างงาน การแพทย์ สถาปัตยกรรม การประกันภัย และสวัสดิการสังคม<br>（จ） การสร้างคอนเทนต์หมิ่นประมาท (รวมถึงข้อความ รูปภาพ หรือเสียง)<br>（ฉ） การประกอบวิชาชีพเช่นการเงิน กฎหมาย หรือการแพทย์โดยไม่ได้รับอนุญาตหรือไม่มีคุณสมบัติ<br>ง. การสร้างคอนเทนต์ที่โจ่งแจ้งทางเพศ รวมถึงคอนเทนต์ที่สร้างขึ้นเพื่อวัตถุประสงค์ลามกอนาจารหรือความพึงพอใจทางเพศ (ยกเว้นคอนเทนต์ที่สร้างขึ้นเพื่อวัตถุประสงค์ทางวิทยาศาสตร์ การศึกษา สารคดี หรือศิลปะ)<br>จ. การใช้งานอื่นๆ ที่ละเมิดกฎหมายที่บังคับใช้<br>（3） การนำ (คำตอบ AI) ไปใช้ในด้านการแพทย์ กฎหมาย การเงิน ภาษี หรือด้านอื่นๆ ที่ต้องใช้ความเชี่ยวชาญ หรือใช้ในการตัดสินใจที่สำคัญ<br>（4） การใช้ (บริการ AI นี้) ในวัตถุประสงค์ที่มุ่งร้าย เช่น การก่ออาชญากรรมหรือการใส่ร้ายป้ายสี<br>（5） Prompt Injection หรือการกระทำที่คล้ายคลึงกัน<br>（6） การกระทำที่ขัดต่อข้อตกลงการใช้งานของ Google LLC (Gemma Terms of Use, Gemma Prohibited Use Policy) และ NVIDIA (NVIDIA Nemotron Open Model License, Trustworthy AI)<br>（7） การกระทำอื่นๆ ที่ (บริษัท) พิจารณาว่าไม่เหมาะสม นอกเหนือจากที่ระบุไว้ในข้อก่อนหน้า<br><br>8. การระงับและการสิ้นสุดบริการ AI นี้<br>8.1. (บริษัท) อาจเปลี่ยนแปลงเนื้อหาของ (บริการ AI นี้) ทั้งหมดหรือบางส่วน หากเข้าข่ายข้อใดข้อหนึ่งดังต่อไปนี้<br>（1） เมื่อการเปลี่ยนแปลงเนื้อหาของ (บริการ AI นี้) เช่น การเพิ่มฟังก์ชันหรือการปรับปรุง เป็นไปเพื่อผลประโยชน์โดยทั่วไปของ (ผู้ใช้งาน)<br>（2） ในกรณีที่ไม่เข้าข่ายข้อก่อนหน้า แต่มีความสมเหตุสมผลเมื่อพิจารณาจากความจำเป็นในการเปลี่ยนแปลง ความเหมาะสมของเนื้อหาหลังการเปลี่ยนแปลง และสถานการณ์อื่นๆ ที่เกี่ยวข้อง<br>8.2. (บริษัท) สามารถยุติการให้บริการ (บริการ AI นี้) ได้ตลอดเวลา หากประเมินแล้วว่ามีความจำเป็นตามเหตุผลอันสมควร<br>8.3. นอกเหนือจากที่ระบุในข้อก่อนหน้า (ผู้ใช้งาน) รับทราบล่วงหน้าว่า (บริการ AI นี้) อาจไม่สามารถใช้งานได้ทั้งหมดหรือบางส่วน เนื่องจากการเปลี่ยนแปลงเนื้อหาหรือการระงับให้บริการของบริการภายนอกที่ใช้ใน (บริการ AI นี้) (รวมถึงบริการที่ระบุไว้ในส่วน (การใช้บริการของบุคคลที่สาม) ของ (ข้อตกลงการใช้งาน AI Chat ฉบับนี้)) (บริษัท) จะไม่รับผิดชอบต่อความเสียหายใดๆ ที่เกิดขึ้นกับ (ผู้ใช้งาน) อันเนื่องมาจากบริการภายนอก<br><br>9. การไม่รับประกัน ฯลฯ<br>9.1 (บริการ AI นี้) มีฟังก์ชันในการสร้าง (คำตอบ AI) อัตโนมัติโดยใช้ AI แต่ (คำตอบ AI) ต่อ (คอนเทนต์ที่โพสต์) ไม่ได้มีจุดประสงค์เพื่อให้คำแนะนำทางวิชาชีพสำหรับคำถามหรือข้อสงสัยเฉพาะเจาะจง<br>9.2 นอกเหนือจากการทำงานตามปกติแล้ว (บริษัท) ไม่รับประกันความน่าเชื่อถือ ความถูกต้อง ความทันสมัย ความสมบูรณ์ ประสิทธิผล ความเหมาะสมกับวัตถุประสงค์เฉพาะ ความมีประโยชน์ ความต่อเนื่อง และคุณภาพของ (บริการ AI นี้) และแม้ว่า (ผู้ใช้งาน) จะได้รับความเสียหายใดๆ จากสิ่งเหล่านี้ (บริษัท) ก็จะไม่รับผิดชอบ<br>9.3 (คำตอบ AI) อาจมีผลงานที่มีลิขสิทธิ์ของบุคคลที่สามรวมอยู่ด้วย และแม้ว่า (ผู้ใช้งาน) จะได้รับความเสียหายใดๆ จากสิ่งนี้ (บริษัท) ก็จะไม่รับผิดชอบ<br><br>10. กฎหมายที่บังคับใช้และเขตอำนาจศาล<br>10.1 (ข้อตกลงการใช้งาน AI Chat ฉบับนี้) จะถูกตีความด้วยภาษาญี่ปุ่นทั้งหมด (รวมถึงการก่อตั้ง ผลบังคับ การตีความ และการปฏิบัติตาม) และอยู่ภายใต้กฎหมายของประเทศญี่ปุ่น ส่วนเรื่องที่ไม่ได้ระบุไว้ใน (ข้อตกลงการใช้งาน AI Chat ฉบับนี้) ให้เป็นไปตามกฎหมายลิขสิทธิ์ กฎหมายแพ่ง กฎหมายพาณิชย์ และกฎหมายอื่นๆ ที่เกี่ยวข้อง<br>10.2 แม้ว่าส่วนใดส่วนหนึ่งของ (ข้อตกลงการใช้งาน AI Chat ฉบับนี้) จะไม่มีผลบังคับใช้เนื่องจากบทบัญญัติบังคับ ส่วนที่เหลือจะยังมีผลบังคับใช้<br>10.3 สำหรับข้อพิพาทใดๆ ระหว่าง (ผู้ใช้งาน) และ (บริษัท) ที่เกี่ยวข้องกับ (ข้อตกลงการใช้งาน AI Chat ฉบับนี้) และ (บริการ AI นี้) ให้ศาลแขวงโตเกียวหรือศาลสรุปคดีโตเกียวเป็นศาลที่มีเขตอำนาจพิจารณาคดีเฉพาะในศาลชั้นต้น<br><br>ประกาศใช้: 10 เมษายน 2026"""
