text00#0,"""이 퀘스트 안내"""
text0102#1,"""또한 특정 조건으로 5개 스텝을 클리어하면<br>더 높은 난도의 스텝이 개방되지만<br>개방 현황과 획득 포인트 및<br>보상 획득 현황은<br><red>매주 수요일 13시에 초기화됩니다.<c><br>※칭호 획득과 관련된 포인트 집계는<br>초기화되지 않습니다.<br><br>어려운 스텝은 획득 포인트도 많지만<br>도중에 실패하면 포인트를 얻을 수 없으므로<br>자신의 실력에 맞는 스텝을 플레이해 주세요.<br><br>※이 튜토리얼은 메인 메뉴의<br>「인포메이션」에서도 확인할 수 있습니다."""
text0002#1,"""또한 특정 조건으로 5개 스텝을 클리어하면<br>더 높은 난도의 스텝이 개방됩니다.<br><br>획득 포인트와 보상 획득 현황은<br><red>매주 수요일 13시에 초기화됩니다.<c><br>※칭호 획득과 관련된 포인트 집계는<br>초기화되지 않습니다.<br><br>어려운 스텝은 획득 포인트도 많지만<br>도중에 실패하면 포인트를 얻을 수 없으므로<br>자신의 실력에 맞는 스텝을 플레이해 주세요.<br><br>※이 튜토리얼은 메인 메뉴의<br>「인포메이션」에서도 확인할 수 있습니다."""
Title#2,"""테마: 『공작전』 안내"""
text0001#2,"""테마 「공작전」은<br>디바이드 포인트를 획득하면서<br>「<yellow>가상 장치<c>」를 정지시키는 것이<br>목표입니다.<br><br><c 00ffff>■클리어 조건<c><br>탈출용 텔레파이프를 기동해<br>에어리어에서 탈출<br><br><c 00ffff>■결과 평가 요소<c><br>에어리어 조사 진행률<br><br>※조사 진행률은 「디바이드 포인트」를<br>획득하면 상승합니다."""
text0101#1,"""테마 「공작전」은<br>디바이드 포인트를 획득하면서<br>「<yellow>가상 장치<c>」를 정지시키는 것이<br>목표입니다.<br><br><c 00ffff>■클리어 조건<c><br>탈출용 텔레파이프를 기동해<br>에어리어에서 탈출<br><br><c 00ffff>■결과 평가 요소<c><br>에어리어 조사 진행률<br><br>※조사 진행률은 「디바이드 포인트」를<br>획득하면 상승합니다."""
text0002#2,"""디바이드 포인트는<br>주로 다음 조건으로 획득할 수 있습니다.<br><yellow>· 에너지 결정 회수<br>· 에너미 격파<c><br><br>일정 포인트를 모을 때마다<br>필드 어딘가에 「<yellow>가상 장치<c>」가<br>나타납니다. 찾아내 정지시키면<br>플레이어에게 버프가 적용되는 등의 혜택과 함께<br>에어리어 2에서 추가 보상을 얻습니다.<br><br>「<yellow>가상 장치 정지<c>」는 결과에 영향을 주지 않지만<br>발견하면 정지시키는 것이 좋습니다."""
text0102#2,"""디바이드 포인트는<br>주로 다음 조건으로 획득할 수 있습니다.<br><yellow>· 에너지 결정 회수<br>· 에너미 격파<c><br><br>일정 포인트를 모을 때마다<br>필드 어딘가에 「<yellow>가상 장치<c>」가<br>나타납니다. 찾아내 정지시키면<br>플레이어에게 버프가 적용되는 등의 혜택과 함께<br>에어리어 2에서 추가 보상을 얻습니다.<br><br>「<yellow>가상 장치 정지<c>」는 결과에 영향을 주지 않지만<br>발견하면 정지시키는 것이 좋습니다."""
text0003#1,"""퀘스트 시작 후 일정 시간이 지나면<br>플레이어 캐릭터의 회복력을 낮추고<br>일정 시간마다 데미지를 주는 「<yellow>장애비<c>」가<br>발생합니다.<br><br>장애비 효과는 점점 강해지므로<br>전투 불능이 되기 전에 퀘스트 시작 지점의<br>「<yellow>탈출용 텔레파이프<c>」를 찾아<br>영역에서 이탈하세요.<br>탈출용 텔레파이프는<br>파티 리더만 기동할 수 있습니다.<br><br>※이 튜토리얼은 메인 메뉴의<br>「인포메이션」에서도 확인할 수 있습니다."""
Title#3,"""테마: 『보충전』 안내"""
text0001#3,"""테마 「보충전」은<br>제한 시간 동안 배치된 「<yellow>에너지 포드<c>」에<br>에너지를 보충하는 것이<br>목표입니다.<br><br><c 00ffff>■클리어 조건<c><br>「<yellow>에너지 포드<c>」 보충 완료<br>또는 제한 시간 경과<br><br><c 00ffff>■결과 평가 요소<c><br>「<yellow>에너지 포드<c>」 보충률"""
text0101#2,"""테마 「보충전」은<br>제한 시간 동안 배치된 「<yellow>에너지 포드<c>」에<br>에너지를 보충하는 것이<br>목표입니다.<br><br><c 00ffff>■클리어 조건<c><br>「<yellow>에너지 포드<c>」 보충 완료<br>또는 제한 시간 경과<br><br><c 00ffff>■결과 평가 요소<c><br>「<yellow>에너지 포드<c>」 보충률"""
text0002#3,"""필드에 배치되는<br>「<yellow>에너지 결정<c>」을 회수하면<br>「<yellow>에너지 포드<c>」 보충률이 상승합니다.<br><br>에너지 포드는<br>필드에 네 개 배치되지만<br>보충률은 공유됩니다.<br><br>「<yellow>에너지 포드를 노리는 에너미 요격<c>」과<br>「<yellow>에너지 결정을 회수하는 지원<c>」처럼<br>역할을 나누는 것이<br>효율적인 공략법입니다.<br><br>※이 튜토리얼은 메인 메뉴의<br>「인포메이션」에서도 확인할 수 있습니다."""
text0102#3,"""필드에 배치되는<br>「<yellow>에너지 결정<c>」을 회수하면<br>「<yellow>에너지 포드<c>」 보충률이 상승합니다.<br><br>에너지 포드는<br>필드에 네 개 배치되지만<br>보충률은 공유됩니다.<br><br>「<yellow>에너지 포드를 노리는 에너미 요격<c>」과<br>「<yellow>에너지 결정을 회수하는 지원<c>」처럼<br>역할을 나누는 것이<br>효율적인 공략법입니다.<br><br>※이 튜토리얼은 메인 메뉴의<br>「인포메이션」에서도 확인할 수 있습니다."""
Title#4,"""테마: 『섬멸전』 안내"""
text0001#4,"""테마 「섬멸전」은<br>제한 시간 안에 모든 에너미를 격파하는 것이<br>목표입니다.<br><br><c 00ffff>■클리어 조건<c><br>모든 에너미 격파 또는 제한 시간 경과<br><br><c 00ffff>■결과 평가 요소<c><br>출현한 에너미 격파 수<br><br>※모든 에너미를 격파하지 못해도<br>클리어됩니다."""
text0002#4,"""「섬멸전」에서는 아크스가 개발한<br>「<yellow>스프레드 봄<c>」이 부여된<br>에너미가 출현합니다.<br><br>「<yellow>스프레드 봄<c>」이 부여된 에너미를<br>격파하면 봄이 폭발해<br>주변 에너미에게 큰 데미지를 줍니다.<br><br>제한 시간 안에 모든 에너미를 격파하려면<br>「<yellow>스프레드 봄<c>」이 부여된 에너미를<br>잘 유도해 격파하세요.<br><br>※이 튜토리얼은 메인 메뉴의<br>「인포메이션」에서도 확인할 수 있습니다."""
text0102#4,"""「섬멸전」에서는 아크스가 개발한<br>「<yellow>스프레드 봄<c>」이 부여된<br>에너미가 출현합니다.<br><br>「<yellow>스프레드 봄<c>」이 부여된 에너미를<br>격파하면 봄이 폭발해<br>주변 에너미에게 큰 데미지를 줍니다.<br><br>제한 시간 안에 모든 에너미를 격파하려면<br>「<yellow>스프레드 봄<c>」이 부여된 에너미를<br>잘 유도해 격파하세요.<br><br>※이 튜토리얼은 메인 메뉴의<br>「인포메이션」에서도 확인할 수 있습니다."""
Title#5,"""테마: 『토벌전』 안내"""
text0001#5,"""테마 「토벌전」은<br>제한 시간 안에 출현한 대형 에너미 격파를<br>목표로 합니다.<br><br><c 00ffff>■클리어 조건<c><br>대형 에너미 격파 또는 제한 시간 경과<br><br><c 00ffff>■결과 평가 요소<c><br>대형 에너미 손상률<br><br>※대형 에너미를 격파하지 못해도<br>클리어됩니다."""
text0002#5,"""「토벌전」에 출현하는 대형 에너미는<br>매우 강력해 평소처럼 싸워서는<br>제한 시간 안에 격파하기 어려울 것입니다.<br><br>가끔 출현하는 소형 에너미를 격파하면<br>강력한 「<yellow>플레이어 능력 상승 효과<c>」가 있는<br>PSE를 발생시킬 수 있습니다.<br>이를 활용하면 제한 시간 안에<br>대형 에너미를 격파할 수 있을지도 모릅니다.<br>※소형 에너미가 출현하지 않는 경우도 있습니다.<br><br>※이 튜토리얼은 메인 메뉴의<br>「인포메이션」에서도 확인할 수 있습니다."""
