msc_027170_0010#0,"""…돌아온 모양이네."""
msc_027170_0300#0,"""동시에, 지금으로부터 1000년 전 옛날의 아크스들이<br>훨씬더 많은 포톤을 보유하고 있었다는 것도."""
msc_027170_0310#0,"""그래서 바엘은 \""기다린다\""라고 생각했다."""
msc_027170_0320#0,"""그렇게 하면 이 \""먹잇감\""은,<br>다시 힘을 되찾고, 체내의 포톤을 늘릴 것이라고."""
msc_027170_0330#0,"""바엘은,<br>모든 스타레스에게 지시를 내렸다."""
msc_027170_0340#0,"""이에 따라, 스타레스의 군세는 공격을 멈추고<br>위상공간으로 들어가 우리의 거주권에서 사라졌다…."""
msc_027170_0350#0,"""바로 그 바엘은…."""
msc_027170_0360#0,"""그 때 대치하고 있던<br>\""나\""의 몸 속으로 숨어들었다…."""
msc_027170_0370#0,""" 이 정신을 전이시키는 능력은,<br>그 녀석이 가져다 준 것이었다."""
msc_027170_0380#0,"""그런줄도 모르고, 나는 \""아크스 부활\""의<br>사명을 얻었다고 생각하고 실험에 매진해 나갔다."""
msc_027170_0390#0,"""스타레스에 대항하는<br>아크스의 부활…."""
msc_027170_0400#0,"""500년 후에 스타레스가 다시 돌아온다는<br>주기의 예측…."""
msc_027170_0410#0,"""그러한 생각에 바엘의 의식이 영향을 끼쳤는지는,<br>지금에 와서는 알 수 없다."""
msc_027170_0420#0,"""하지만, 스타레스에 대한 적개심은<br>내 내면에서 비롯된 것이라도 믿고 있다."""
msc_027170_0430#0,"""결과적으로는 녀석들의 손바닥 위에서<br>놀아난 꼴이 되어버렸지만…."""
msc_027170_0440#0,"""바엘은, 다음에 무엇을?"""
msc_027170_0450#0,"""바엘의 목표는 여기?"""
msc_027170_0460#0,"""지금, 가장 포톤 감응도가 높은<br>인류 종족이 모여 있는 것은 이 땅임에 틀림없다."""
msc_027170_0470#0,"""틀림없이 바엘은,<br>이곳으로 올 것이다."""
msc_027170_0480#0,"""그것 말고는 없다."""
msc_027170_0490#0,"""지금, 가장 포톤 감응도가 높은<br>인류 종족이 모여 있는 곳은 바로 여기다."""
msc_027170_0500#0,"""녀석은 지금 위상공간에서 힘을 축적하고 있다."""
msc_027170_0510#0,"""4th 클론을 매개체로 하여,<br>완전체로의 변신을 꾀하고 있다."""
msc_027170_0520#0,"""머지않아 이곳에 나타나겠지…."""
msc_027170_0530#0,"""바엘의 힘은 막강하다."""
msc_027170_0540#0,"""하지만, 비관할 필요는 없다."""
msc_027170_0550#0,"""지금 아크스 안에서<br>가장 강한 건 너다 909…."""
msc_027170_0555#0,"""아니, 가디언."""
msc_027170_0560#0,"""나와 싸웠을 때보다,<br>너는 더 강해졌다."""
msc_027170_0570#0,"""그리고, 네 동료들도<br>너의 성장에 호응하여 힘을 키우고 있다."""
msc_027170_0580#0,"""너희들이야 말로 \""진정한 아크스\""다."""
msc_027170_0590#0,"""너희들이 일치단결 한다면,<br>반드시 바엘을 이길 수 있다."""
msc_027170_0600#0,"""………."""
msc_027170_0610#0,"""…아무래도 때가 된 것 같다."""
msc_027170_0620#0,"""제페토……."""
msc_027170_0630#0,"""뭐지? 아이나."""
msc_027170_0640#0,"""……고마워."""
msc_027170_0650#0,"""그건 내게 건낼 말로는<br>부적절하지 않은가?"""
msc_027170_0660#0,"""아니."""
msc_027170_0670#0,"""너는,<br>우리에게 많은 불행을 안겨줬어."""
msc_027170_0680#0,"""그 점은 절대 용서하지 않을 거야."""
msc_027170_0690#0,"""하지만, 그 결과로,<br>진정한 적과 싸울 수 있는 힘을 얻을 수 있었어."""
msc_027170_0700#0,"""그 점에 대해서는 감사하고 있어."""
msc_027170_0710#0,"""용서할 수 없지만… 용서해."""
msc_027170_0720#0,"""아이나……."""
msc_027170_0730#0,"""…할파의 사람들이여."""
msc_027170_0740#0,"""정말로, 미안했다."""
msc_027170_0750#0,"""그리고, 마지막으로 부탁을 하나만 들어주게."""
msc_027170_0760#0,"""세계를… 부탁한다."""
msc_027170_0770#0,"""제페토의 의식은<br>제 안에서 완전히 사라졌습니다."""
msc_027170_0780#0,"""…일방적으로 할 말만 하고,<br>정말로 사라져버렸어…."""
msc_027170_0790#0,"""정말 이기적인 사람이네."""
msc_027170_0800#0,"""제멋대로인…<br>리서전트 아크스의 고독한 총독…."""
