Title#0,"""무한 연전: 추억의 저편으로"""
Area11L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000유적)"""
Area12S#0,"""VR 공간(도쿄)"""
Area12L#0,"""아크스 쉽\u3000VR 공간(도쿄)"""
Area13S#0,"""VR 공간(라스베이거스)"""
Area13L#0,"""아크스 쉽\u3000VR 공간(라스베이거스)"""
Area14S#0,"""VR 공간(괴세 구역\u3000화산 동굴)"""
Area14L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000화산 동굴)"""
Area15S#0,"""VR 공간(어스 가이드 본부 지하)"""
Area15L#0,"""아크스 쉽\u3000VR 공간(어스 가이드 본부 지하)"""
Area16S#0,"""VR 공간(화산 동굴)"""
Area16L#0,"""아크스 쉽\u3000VR 공간(화산 동굴)"""
Area17S#0,"""VR 공간(채굴 기지)"""
Area17L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area18S#0,"""VR 공간(백의 영역·창결계 내부)"""
Area18L#0,"""아크스 쉽\u3000VR 공간(백의 영역·창결계 내부)"""
Area19S#0,"""VR 공간(달 표면)\u3000"""
Area19L#0,"""아크스 쉽\u3000VR 공간(달 표면)"""
Area20S#0,"""VR 공간(환창원)"""
Area20L#0,"""아크스 쉽\u3000VR 공간(환창원)"""
Area21S#0,"""VR 공간(마신성 주변)\u3000"""
Area21L#0,"""아크스 쉽\u3000VR 공간(마신성 주변)"""
Area22S#0,"""VR 공간(괴세 구역\u3000삼림)\u3000"""
Area22L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000삼림)"""
Area23S#0,"""VR 공간(????)"""
Area23L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area24S#0,"""VR 공간(쉽 잔해·갑판)\u3000"""
Area24L#0,"""아크스 쉽\u3000VR 공간(아크스 쉽 잔해·갑판)"""
Area25S#0,"""VR 공간(마더 쉽 내부)\u3000"""
Area25L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area40S#0,"""VR 공간(삼림)"""
Area40L#0,"""아크스 쉽\u3000VR 공간(삼림)"""
Area41S#0,"""VR 공간(시가지)"""
Area41L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area42S#0,"""VR 공간(용제단)"""
Area42L#0,"""아크스 쉽\u3000VR 공간(용제단)"""
Area43S#0,"""VR 공간(유적)"""
Area43L#0,"""아크스 쉽\u3000VR 공간(유적)"""
Area44S#0,"""VR 공간(해안)"""
Area44L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area45S#0,"""VR 공간(해안)"""
Area45L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area46S#0,"""VR 공간(채굴장 터)"""
Area46L#0,"""아크스 쉽\u3000VR 공간(채굴장 터)"""
Area47S#0,"""VR 공간(마더 쉽 내부)"""
Area47L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area48S#0,"""VR 공간(백의 영역)"""
Area48L#0,"""아크스 쉽\u3000VR 공간(백의 영역)"""
Area49S#0,"""VR 공간(부상 시설)"""
Area49L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area50S#0,"""VR 공간(괴세 구역\u3000지하 갱도)"""
Area50L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000지하 갱도)"""
Area51S#0,"""VR 공간(괴세 구역\u3000유적)"""
Area51L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000유적)"""
Area52S#0,"""VR 공간(도쿄)"""
Area52L#0,"""아크스 쉽\u3000VR 공간(도쿄)"""
Area53S#0,"""VR 공간(라스베이거스)"""
Area53L#0,"""아크스 쉽\u3000VR 공간(라스베이거스)"""
Area54S#0,"""VR 공간(괴세 구역\u3000화산 동굴)"""
Area54L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000화산 동굴)"""
Area55S#0,"""VR 공간(어스 가이드 본부 지하)"""
Area55L#0,"""아크스 쉽\u3000VR 공간(어스 가이드 본부 지하)"""
Area56S#0,"""VR 공간(화산 동굴)"""
Area56L#0,"""아크스 쉽\u3000VR 공간(화산 동굴)"""
Area57S#0,"""VR 공간(채굴 기지)"""
Area57L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area58S#0,"""VR 공간(백의 영역·창결계 내부)"""
Area58L#0,"""아크스 쉽\u3000VR 공간(백의 영역·창결계 내부)"""
Area59S#0,"""VR 공간(달 표면)\u3000"""
Area59L#0,"""아크스 쉽\u3000VR 공간(달 표면)"""
Area60S#0,"""VR 공간(환창원)"""
Area60L#0,"""아크스 쉽\u3000VR 공간(환창원)"""
Area61S#0,"""VR 공간(마신성 주변)\u3000"""
Area61L#0,"""아크스 쉽\u3000VR 공간(마신성 주변)"""
Area62S#0,"""VR 공간(괴세 구역\u3000삼림)\u3000"""
Area62L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000삼림)"""
Area63S#0,"""VR 공간(????)"""
Area63L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area64S#0,"""VR 공간(쉽 잔해·갑판)\u3000"""
Area64L#0,"""아크스 쉽\u3000VR 공간(아크스 쉽 잔해·갑판)"""
Area65S#0,"""VR 공간(마더 쉽 내부)\u3000"""
Area65L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area80S#0,"""VR 공간(삼림)"""
Area80L#0,"""아크스 쉽\u3000VR 공간(삼림)"""
Area81S#0,"""VR 공간(시가지)"""
Area81L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area82S#0,"""VR 공간(용제단)"""
Area82L#0,"""아크스 쉽\u3000VR 공간(용제단)"""
Area83S#0,"""VR 공간(유적)"""
Area83L#0,"""아크스 쉽\u3000VR 공간(유적)"""
Area84S#0,"""VR 공간(해안)"""
Area84L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area85S#0,"""VR 공간(해안)"""
Area85L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area86S#0,"""VR 공간(채굴장 터)"""
Area86L#0,"""아크스 쉽\u3000VR 공간(채굴장 터)"""
Area87S#0,"""VR 공간(마더 쉽 내부)"""
Area87L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area88S#0,"""VR 공간(백의 영역)"""
Area88L#0,"""아크스 쉽\u3000VR 공간(백의 영역)"""
Area89S#0,"""VR 공간(부상 시설)"""
Area89L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area90S#0,"""VR 공간(괴세 구역\u3000지하 갱도)"""
Area90L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000지하 갱도)"""
Area91S#0,"""VR 공간(괴세 구역\u3000유적)"""
Area91L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000유적)"""
Area92S#0,"""VR 공간(도쿄)"""
Area92L#0,"""아크스 쉽\u3000VR 공간(도쿄)"""
Area93S#0,"""VR 공간(라스베이거스)"""
Area93L#0,"""아크스 쉽\u3000VR 공간(라스베이거스)"""
Area94S#0,"""VR 공간(괴세 구역\u3000화산 동굴)"""
Area94L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000화산 동굴)"""
Area95S#0,"""VR 공간(어스 가이드 본부 지하)"""
Area95L#0,"""아크스 쉽\u3000VR 공간(어스 가이드 본부 지하)"""
Area96S#0,"""VR 공간(화산 동굴)"""
Area96L#0,"""아크스 쉽\u3000VR 공간(화산 동굴)"""
Area97S#0,"""VR 공간(채굴 기지)"""
Area97L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area98S#0,"""VR 공간(백의 영역·창결계 내부)"""
Area98L#0,"""아크스 쉽\u3000VR 공간(백의 영역·창결계 내부)"""
Area99S#0,"""VR 공간(달 표면)\u3000"""
Area99L#0,"""아크스 쉽\u3000VR 공간(달 표면)"""
Area100S#0,"""VR 공간(환창원)"""
Area100L#0,"""아크스 쉽\u3000VR 공간(환창원)"""
Area101S#0,"""VR 공간(마신성 주변)\u3000"""
Area101L#0,"""아크스 쉽\u3000VR 공간(마신성 주변)"""
Area102S#0,"""VR 공간(괴세 구역\u3000삼림)\u3000"""
Area102L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000삼림)"""
Area103S#0,"""VR 공간(????)"""
Area103L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area104S#0,"""VR 공간(쉽 잔해·갑판)\u3000"""
Area104L#0,"""아크스 쉽\u3000VR 공간(아크스 쉽 잔해·갑판)"""
Area105S#0,"""VR 공간(마더 쉽 내부)\u3000"""
Area105L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area30S#0,"""인터벌 에어리어\u3000꽃밭"""
Area30L#0,"""VR 공간\u3000인터벌 에어리어\u3000꽃밭"""
Area31S#0,"""인터벌 에어리어\u3000얕은 물가"""
Area31L#0,"""VR 공간\u3000인터벌 에어리어\u3000얕은 물가"""
Area32S#0,"""인터벌 에어리어\u3000폐허 지대"""
Area32L#0,"""VR 공간\u3000인터벌 에어리어\u3000폐허 지대"""
Area33S#0,"""인터벌 에어리어\u3000누각"""
Area33L#0,"""VR 공간\u3000인터벌 에어리어\u3000누각"""
Area34S#0,"""인터벌 에어리어\u3000비탕"""
Area34L#0,"""VR 공간\u3000인터벌 에어리어\u3000비탕"""
Area35S#0,"""인터벌 에어리어\u3000마의 숲"""
Area35L#0,"""VR 공간\u3000인터벌 에어리어\u3000마의 숲"""
Area70S#0,"""인터벌 에어리어\u3000꽃밭"""
Area70L#0,"""VR 공간\u3000인터벌 에어리어\u3000꽃밭"""
Area71S#0,"""인터벌 에어리어\u3000얕은 물가"""
Area71L#0,"""VR 공간\u3000인터벌 에어리어\u3000얕은 물가"""
Area72S#0,"""인터벌 에어리어\u3000폐허 지대"""
Area72L#0,"""VR 공간\u3000인터벌 에어리어\u3000폐허 지대"""
Area73S#0,"""인터벌 에어리어\u3000누각"""
Area73L#0,"""VR 공간\u3000인터벌 에어리어\u3000누각"""
Area74S#0,"""인터벌 에어리어\u3000비탕"""
Area74L#0,"""VR 공간\u3000인터벌 에어리어\u3000비탕"""
Area75S#0,"""인터벌 에어리어\u3000마의 숲"""
Area75L#0,"""VR 공간\u3000인터벌 에어리어\u3000마의 숲"""
Area110S#0,"""인터벌 에어리어\u3000꽃밭"""
Area110L#0,"""VR 공간\u3000인터벌 에어리어\u3000꽃밭"""
Area111S#0,"""인터벌 에어리어\u3000얕은 물가"""
Area111L#0,"""VR 공간\u3000인터벌 에어리어\u3000얕은 물가"""
Area112S#0,"""인터벌 에어리어\u3000폐허 지대"""
Area112L#0,"""VR 공간\u3000인터벌 에어리어\u3000폐허 지대"""
Area113S#0,"""인터벌 에어리어\u3000누각"""
Area113L#0,"""VR 공간\u3000인터벌 에어리어\u3000누각"""
Area114S#0,"""인터벌 에어리어\u3000비탕"""
Area114L#0,"""VR 공간\u3000인터벌 에어리어\u3000비탕"""
Area115S#0,"""인터벌 에어리어\u3000마의 숲"""
Area115L#0,"""VR 공간\u3000인터벌 에어리어\u3000마의 숲"""
Area120S#0,"""VR 공간(마신성 주변)"""
Area120L#0,"""아크스 쉽\u3000VR 공간(마신성 주변)"""
NpcComMsg1#0,"""엔드리스 퀘스트를 시작합니다.<br>제한 시간 안에 더 많은 미션을 달성해<br>스코어를 획득해 주세요."""
NpcComMsg2#0,"""「미션 오더」를 달성하면<br>제한 시간이 연장되어 더 높은<br>스코어를 획득할 수 있습니다.<br>그럼 힘내 주세요."""
UIQuestTargetOutlineSecond#0,"""한계까지 더 많은 미션을 클리어하라!"""
UIQuestTargetDetailSecond#0,"""한계까지 더 많은 미션을 클리어하라!"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 미션 1은 제가 안내할게요.<br>우선 주변 에너미를 격파해<br>무기와 진로를 확보하죠."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 미션 2부터는 자세히 안내하지<br>않으니 자신의 힘으로 헤쳐 나가<br>주세요. 그럼 무운을 빕니다."""
NPCArea2#0,"""/atime2.5 /voice11_voice_navi07_015 미션 3입니다.<br>충분히 쉬셨나요?<br>이제 슬슬 난도가 높아집니다."""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 미션 4입니다.<br>VR 에너지는 괜찮나요?<br>에너지 고갈에 주의하세요."""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 미션 5입니다.<br>마지막 미션입니다.<br>마음을 다잡고 나아가세요."""
NPCArea5#0,"""/atime2.5 /voice11_voice_navi07_018 미션 6입니다. 지금부터는<br>VR 에너지가 다할 때까지<br>온 힘을 다해 주세요."""
NPCArea6#0,"""/atime2.5 /voice11_voice_navi07_019 미션 7입니다.<br>같은 풍경이라 해도 내용까지<br>같다고는 할 수 없습니다. 주의하세요."""
NPCArea7#0,"""/atime2.5 /voice11_voice_navi07_015 미션 8입니다. 이미 눈치채셨을지도<br>모르지만 맵에 표시되지 않는<br>에너지 캡슐도 떨어져 있습니다."""
NPCArea8#0,"""/atime2.5 /voice11_voice_navi07_016 미션 9입니다.<br>남은 미션은 2개.<br>조금만 더 힘내세요."""
NPCArea9#0,"""/atime2.5 /voice11_voice_navi07_017 미션 10입니다.<br>어떻게 되든 마지막 미션입니다.<br>사력을 다해 주세요."""
NPCArea10#0,"""/atime2.5 /voice11_voice_navi07_018 미션 11입니다.<br>3회차라 난도가 더 높아집니다.<br>한계까지 힘을 쥐어짜 보죠."""
NPCArea11#0,"""/atime2.5 /voice11_voice_navi07_019 미션 12입니다.<br>이 난도도 견뎌 내는 능력……<br>정말 훌륭하다는 말밖에 안 나오네요."""
NPCArea12#0,"""/atime2.5 /voice11_voice_navi07_015 미션 13입니다.<br>온 힘을 다해 최선을 다하고<br>최심부 도달을 목표로 해 주세요."""
NPCArea13#0,"""/atime2.5 /voice11_voice_navi07_016 미션 14입니다.<br>최심부에 상당히 가까워졌습니다.<br>3회차의 최심부에요."""
NPCArea14#0,"""/atime2.5 /voice11_voice_navi07_017 미션 15입니다.<br>여기를 넘으면 3회차가 끝납니다.<br>무운을 빕니다."""
NPCArea15#0,"""/atime2.5 /voice11_voice_navi07_018 미션 16입니다.<br>4회차가 시작됩니다.<br>난도가 더욱 높아집니다."""
NPCArea16#0,"""/atime2.5 /voice11_voice_navi07_014 미션 17입니다.<br>훌륭한 성과입니다. 다음 미션에서<br>작은 정보를 하나 알려 드릴게요."""
NPCArea17#0,"""/atime2.5 /voice11_voice_navi07_015 미션 18입니다.<br>이번이 마지막 회차입니다.<br>즉, 남은 미션은 3개입니다."""
NPCArea18#0,"""/atime2.5 /voice11_voice_navi07_016 미션 19입니다.<br>남은 미션은 2개.<br>조금만 더 힘내세요."""
NPCArea19#0,"""/atime2.5 /voice11_voice_navi07_017 미션 20입니다.<br>어떻게 되든 마지막 미션입니다.<br>사력을 다해 주세요."""
NPCArea21#0,"""/atime2.5 /voice11_voice_navi07_002 인터벌 에어리어입니다.<br>시간 안에 보급을 마치고<br>이후 미션에 대비해 주세요."""
NPCArea22#0,"""/atime2.5 /voice11_voice_navi07_002 인터벌 에어리어입니다.<br>시간 안에 보급을 마치고<br>이후 미션에 대비해 주세요."""
NPCArea23#0,"""/atime2.5 /voice11_voice_navi07_002 인터벌 에어리어입니다.<br>시간 안에 보급을 마치고<br>이후 미션에 대비해 주세요."""
NPCArea24#0,"""/atime2.5 /voice11_voice_navi07_002 인터벌 에어리어입니다.<br>시간 안에 보급을 마치고<br>이후 미션에 대비해 주세요."""
