Title#0,"""The Bridge"""
st01_020#8,"""侵食性質などは及ぶべくもなく<br>アークスに対する強い敵愾心もなし。<br>あくまで、見た目の類似にすぎません。"""
st01_030#7,"""……ただ、ここからどういった変化を<br>していくかもまだ、読めません。<br>早くなんとかしないと、危ないです。"""
st01_010#3,"""ヒツギさんとコオリさん。<br>仲直りできて、よかったですよね。"""
st01_020#9,"""当初からお二人のことを監視……<br>じゃなかった、見守っている者としては<br>一安心って感じですよ。"""
st01_030#8,"""……状況としては予断を許しませんが<br>一つ一つ解決していけば<br>きっと大丈夫、絶対に大丈夫です！"""
11_voice_NPC_5239_100#1,"""またも問題山積み状態ですが……<br>今は笑顔ですよ！\u3000なにせアルくんが<br>無事に戻ってきたのですから！"""
st01_020#10,"""もちろん、アークスによる検査も完了。<br>すでにダークファルスの残滓なども<br>祓われていることを確認しています。"""
st01_030#9,"""<%me>さんに<br>わかりやすく言うなら、マトイさんと<br>同じ状態、ってことですね。"""
11_voice_NPC_5239_104#3,"""強制的な進化……<br>それは、理から外れた行為です。"""
st01_020#11,"""もっとも、アークスやフォトナーも<br>歴史の中で大差ないことをやってきて<br>いますけども……"""
st01_030#10,"""結末は、決まって良くないことばかり。<br>……そうさせないためにも<br>私たちで止めないといけません。"""
st01_010#4,"""最初は、ヘンなアークスの調査から<br>始まった地球との関わり合いが<br>ここまで大事になるとは……"""
11_voice_NPC_5239_100#2,"""いろいろとありましたけど、なんとか<br>みなさん無事に終わってよかったです。<br>オペレーター冥利に尽きますね！"""
st01_030#11,"""もっとも、この一連の騒動の報告書など<br>オペレーター的にはここからが大変<br>なんですけどね……"""
sq00_010#0,"""うう、緊張しますね……<br>自分が戦うわけじゃないんですが<br>それでも、です。"""
sq00_020#0,"""私も全力で支えます。<br>だから、頑張ってくださいね。<br><%me>さん。"""
sq01_010#0,"""反応を完全にロストしたのって<br>今回が初めてだったので<br>ずっとパニック状態でした。"""
sq01_020#0,"""本人を前に言うのはしゃくですが<br>シャオがいてくれて良かったです。"""
11_voice_NPC_5239_100#3,"""それになにより、貴方が無事で<br>本当に良かったです。"""
11_voice_NPC_5239_104#4,"""まさか、こんな形でルーサーに<br>出会うことになってしまうとは……<br>あっちに行きたくなくなります……"""
sq02_020#0,"""ああいえ、職務放棄はしませんよ！<br>それに向こうのルーサーは、なんだか<br>こっちのルーサーとは違うようですし。"""
sq02_030#0,"""……もう少し、様子を見ます。<br>油断はしませんけど。"""
11_voice_NPC_5239_104#5,"""今度はゲッテムハルトさんに<br>亡くなったメルフォンシーナさんまで<br>……もう、頭は大混乱中です。"""
sq03_020#0,"""何故、とかを考えるよりも<br>目の前で起きていることを受け入れて<br>どうするか、を考えるようにします。"""
sq04_010#0,"""私たちが向こうでやってることは<br>決して無駄ではなかったんです！<br>がぜんやる気、出てきましたよ！"""
11_voice_NPC_5239_100#4,"""向こうでは辛い出来事も多いですが……<br>頑張っていきましょうね<br><%me>さん！"""
sq05_010#0,"""オメガのルーサー……<br>見た目はああですが、ハリエットさんを<br>大事に思っていたのは間違いないです。"""
sq05_020#0,"""だから、なんていうか……<br>あのルーサーは、そんなに憎めなくて<br>……ちょっとだけ、ショックです。"""
sq06_010#0,"""ルーサーを……お兄さんを失った<br>ハリエットさんの心痛<br>私にだって、わかります。"""
sq06_020#0,"""けど、聞かなければなりません。<br>お二人の間に何があったのかを。"""
sq06_030#0,"""<%me>さん。<br>ハリエットさんのところに<br>向かいましょう。"""
11_voice_NPC_5239_108#0,"""【若人】の関係者達が<br>一斉に行方不明なんて……<br>絶対に良くないことが起きてます。"""
sq08_020#0,"""次はどんな無茶苦茶に<br>対処することになるんでしょうか。<br>今から気が重いですね。"""
11_voice_NPC_5239_106#0,"""……はっ！\u3000いけないいけない！<br>私たちが頑張らないとダメなんです！<br>頑張りましょうね！"""
sq09_010#0,"""アイカさんがこうして無事戻ってきた<br>ということは、きっと他のみなさんも<br>同じように戻ってこられるはずです！"""
11_voice_NPC_5239_100#5,"""ちょっと……色々な意味で怖いですが<br>頑張りましょうね！<br><%me>さん！"""
11_voice_NPC_5239_105#0,"""オメガでの事件は大概疲れますが<br>今回のは、特に疲れました。<br>主に、精神的に。"""
sq10_020#0,"""しかし、休んでもいられません。<br>あくまで失踪者全員を取り戻した<br>だけであって、事態は続いてますし。"""
sq10_030#0,"""次は何が起こるんでしょう。<br>……未然に止められれば<br>ベストなんですけど。"""
sq11_010#0,"""やはり、来てしまいましたね。<br>傾向的には、こうなるだろうって<br>思ってはいたんです。"""
sq11_020#0,"""でも……あっちの世界のフロー君は<br>その、悪い子に見えなかったから<br>もしかしたら……って。"""
11_voice_NPC_5239_104#6,"""悪い予想は良く当たるんですが<br>良い予想って当たらないものですね。<br>……少し、悲しいです。"""
sq12_010#0,"""ブラックホールの異常状態は<br>間違いなくオメガ側の影響です。"""
sq12_020#0,"""あちらの動乱を抑え込めば<br>……止まるはずです。多分。<br>いえ、絶対にそうです！"""
sq12_030#0,"""エルミルを止めましょう！<br>そして、ハリエットさんを救って<br>世界を、救うんです！"""
sq12_040#0,"""守護輝士の力の見せ所、ですね！"""
11_voice_NPC_5239_105#1,"""We're still attempting to track Shiva, the Goddess of Demise. For now, her location is still unknown."""
sq13_020#0,"""Or, well, it's more like our current system doesn't have a way to track her..."""
sq13_030#0,"""Is it tech, or some natural ability...?<br>In any case, her power exceeds ours by an order of magnitude."""
11_voice_NPC_5239_105#2,"""There are too many unanswered questions about Shiva, the Goddess of Demise... The fact that we can't predict our enemy's next move has me worried."""
ep6_sq00_02#0,"""However, from repeated focused meetings involving all the interested parties and the commanders, we've been able to confirm a few facts."""
ep6_sq00_03#0,"""It's hard to stay optimistic...<br>But as long as we keep talking and thinking about it, I'm sure we'll come up with a solution!"""
11_voice_NPC_5239_105#3,"""Alma... I hope she's OK. She's the type to hide away and overwork herself.<br>...I'm a little worried about her."""
ep6_sq01_01#0,"""All ships functioning independently with no abnormalities. Receiving reports from all ARKS members. Now en route to planet Amduscia!"""
ep6_sq01_02#0,"""We have to believe in Xiao, and in each other. Giving up because of one setback won't get us anywhere. I might be inexperienced, but you can leave it to me for now!"""
11_voice_NPC_5239_107#0,"""There's a hostile reading inside the Mothership! It just appeared out of nowhere...!"""
ep6_sq01_00_01#0,"""Our large-scale operations to break away from the enemy fleet are continuing. Don't overwork yourself, or you'll make me worry..."""
ep6_sq01_00_02#0,"""We're still steadily approaching Amduscia. You just make sure everyone survives to see it!"""
11_voice_NPC_5239_100#6,"""<%me>!<br>Thank you so much! I'm truly, truly grateful to you!"""
ep6_sq02_02#0,"""Everyone owes you so much. When Xiao disappeared, I thought we'd never see him again, I thought...!"""
ep6_sq02_03#0,"""...No, I can't let myself get sentimental right now! I need to focus on preparing for the next operation. Just like Xiao said, it's time to fight back!"""
ep6_sq02_01_01#0,"""I should have known it wouldn't be that easy..."""
ep6_sq02_01_02#0,"""But there's no point letting it depress us. First, I have to compile the data from that engagement so we can discuss it with Xiao!"""
11_voice_NPC_5239_100#7,"""This information must be able to tell us something. I'll gather and organise it all so we can find out!"""
ep6_sq02_02_01#0,"""If we don't know our enemy's power level, we won't be able to judge how best to fight them."""
ep6_sq02_02_02#0,"""So in that sense, it was nice to be able to get some kind of concrete estimate of Shiva's strength.<br>...Though these numbers are, frankly, ridiculously high."""
ep6_sq02_02_03#0,"""If we can't boost our power to match hers, perhaps we can swing the fight in our favor by reducing her power level instead!"""
11_voice_NPC_5239_102#4,"""I thought we'd finally beaten Shiva, but it turned out to just be Mitra in disguise..."""
11_voice_NPC_5239_100#8,"""But! You were still able to defeat a Photoner by yourself! This is a huge step in the right direction!"""
ep6_sq03_02_01_03#0,"""If we can do that, then I'm sure we can find a way to beat Shiva! Let's do our best to make that happen!"""
11_voice_NPC_5239_101#0,"""The light of hope hasn't gone out just yet. Everyone working together has opened up new possibilities!"""
ep6_sq04_01_02#0,"""This plan might not have worked, but we're still here! We can try something else! We can do this!"""
ep6_sq04_01_03#0,"""Our enemy is no less aggressive than they were before, but please, don't panic!"""
11_voice_NPC_5239_100#9,"""Good work! First of all, it seems like the fighting in Omega has stopped."""
ep6_sq05_2#0,"""A few other things have happened too, but most importantly, we've successfully erected a barrier that's sealing our enemy's power away."""
ep6_sq05_3#0,"""...What happens next will be crucial. We'll all have to do our best!"""
text01#1,"""いよいよですね。<br>これが本当に最後の戦い……<br>私は準備万端ですよ！"""
text02#1,"""正直、勝てるかどうかは<br>シャオにも私にもわかりません。<br>むしろ、勝算は低いくらいです。"""
11_voice_NPC_5239_100#10,"""それでも、貴方とマトイさんなら<br>きっとやり遂げてくれると信じてます！<br>不肖シエラ、精一杯サポートしますよ！"""
11_voice_NPC_5239_100#11,"""やった！\u3000やりましたよ！<br>ついにシバを倒したんです！<br>私たちの勝利です！"""
text02#2,"""本当にお疲れ様でした！<br>私も専属オペレーターとして<br>鼻が高いですよー。えっへん！"""
text03#0,"""とはいえ、アークスの活動は<br>まだまだ続きますので<br>これからもよろしくお願いしますね！"""
