ssc_509010_0010#0,"""หืม? มาซื้อของเหมือนกันเหรอ?"""
ssc_509010_0270#0,"""นั่นแหละคือความหมายที่แท้จริงของการ<br>ร่วมมือกับผู้อื่นล่ะนะ"""
ssc_509010_0280#0,"""มันเป็นสิ่งที่พวกเรา<br>ได้เรียนรู้น่ะ..."""
ssc_509010_0290#0,"""จากผู้คนเหล่านี้<br>และจากเธอน่ะ"""
ssc_509010_0300#0,"""ขอพูดคำนี้อีกครั้งนะ"""
ssc_509010_0310#0,"""ขอบคุณมากเลยนะ<br>ที่ช่วยไปช่วยอิลม่า (Ilma) น่ะ"""
ssc_509010_0320#0,"""ดีใจนะที่พวกเราหาเขาเจอ"""
ssc_509010_0330#0,"""เป็นความพยายามของทุกคนนั่นแหละ"""
ssc_509010_0340#0,"""อื้อ ขอบคุณสวรรค์เลยล่ะ"""
ssc_509010_0350#0,"""เป็นแบบนั้นจริงๆ แหละ<br>พูดถูกแล้วล่ะ"""
ssc_509010_0360#0,"""ถ้าไม่ใช่เพราะประสบการณ์นั้น คิดว่าพวกเราทั้ง<br>ห้าคนอาจจะยังคงต่างคนต่างอยู่<br>ในโลกใบเล็กๆ ของตัวเองต่อไปแน่ๆ เลยล่ะ"""
ssc_509010_0370#0,"""จากนี้ไป พวกเราทั้ง 5 คน<br>จะร่วมมือกันอย่างจริงจังแล้วล่ะ"""
ssc_509010_0380#0,"""แน่นอนว่า รวมถึงเธอและ<br>ทุกคนด้วยเหมือนกันนะ"""
ssc_509010_0390#0,"""เพราะงั้น ถ้าเกิดเธอต้องการ<br>อะไรล่ะก็ ไม่ต้องเกรงใจที่จะขอความช่วยเหลือนะ"""
ssc_509010_0400#0,"""พวกเรายินดีมากๆ เลยที่จะ<br>ช่วยเหลืออย่างสุดความสามารถน่ะ"""
