name_7431#0,"""Vasco"""
ssn_014890_0004#0,"""ว่ายังไงล่ะ จะช่วยเป็นธุระให้อีกสักครั้งได้ไหม?"""
ssn_014890_0101#0,"""โอ้ สิ่งที่ฉันต้องการคือข้อมูล ดังนั้นช่วยเก็บแร่ต่างๆ ที่ได้มาไว้ด้วยนะ"""
ssn_014890_0102#0,"""จะส่งรายละเอียดเกี่ยวกับตำแหน่งของ Snowks ไปยัง Mag ของเธอนะ ขอให้โชคดี!"""
ssn_014890_0201#0,"""แน่นอน เข้าใจว่าเธอก็ยุ่งเหมือนกัน ไว้จะขอร้องในเวลาที่เหมาะสมกว่านี้แล้วกันนะ"""
ssn_014890_0301#0,"""ทำได้ยอดเยี่ยมมาก ขอบคุณที่ให้ข้อมูลที่ยอดเยี่ยมแบบนี้อีกครั้งนะ"""
ssn_014890_0302#0,"""ไม่รอช้าล่ะ จะเริ่มสแกนเดี๋ยวนี้เลย"""
ssn_014890_0303#0,"""ต้องขอบอกเลยว่า การสืบสวนในพื้นที่ที่ยังไม่เคยสำรวจมาก่อนมันช่างน่าตื่นเต้นจริงๆ!"""
ssn_014890_0304#0,"""การสำรวจสถานที่ที่ไม่รู้จักแบบนี้แหละคือเหตุผลที่ฉันสมัครมาเป็นส่วนหนึ่งของกองหน้า"""
ssn_014890_0305#0,"""มีโลกทั้งใบอยู่ภายนอก Aelio และอธิบายไม่ได้เลยว่ามันยอดเยี่ยมแค่ไหนที่ได้ตรวจสอบพวกมันทั้งหมด"""
ssn_014890_0306#0,"""อา ขออภัยด้วย... พร่ำเพ้อเรื่องตัวเองซะยืดยาวเลย"""
ssn_014890_0307#0,"""ฉันแค่มีความสุขมากๆ กับจุดที่ยืนอยู่ในชีวิตตอนนี้น่ะ ไม่ใช่แค่ได้ทำสิ่งที่รัก แต่มันยังมีความหมายที่แท้จริงอีกด้วย"""
ssn_014890_0308#0,"""คงไม่ได้ทำวิจัยนี้ถ้าไม่มีความช่วยเหลือจากเธอ และถ้าไม่มีการสนับสนุนจากเพื่อนร่วมงานที่ยอดเยี่ยมของฉัน"""
ssn_014890_0309#0,"""ขอขอบคุณอีกครั้งนะ หวังว่าเราจะได้ร่วมงานกันอีกในเร็วๆ นี้"""
ssn_014890_1001#0,"""มาได้จังหวะพอดีเลย! ฟังนะ มีเรื่องจะขอร้องอีกแล้วล่ะ"""
ssn_014890_1002#0,"""การค้นพบนี้อาจยิ่งใหญ่มากเลยนะ ขอร้องล่ะ!"""
ssn_014890_1101#0,"""ถ้าเดาไม่ผิดล่ะก็..."""
ssn_014890_1102#0,"""เอาเป็นว่า จะรอนะ ระวังตัวด้วยล่ะ"""
ssn_014890_1201#0,"""อา... เข้าใจแล้ว ไว้คราวหน้าแล้วกัน"""
ssn_014890_1301#0,"""ขอบคุณมาก และขอบคุณอีกครั้งสำหรับข้อมูลจนถึงตอนนี้นะ"""
ssn_014890_1302#0,"""แม้ว่า Mag ของเธอจะซูมได้ในระดับสูงสุด แต่มันก็ยังค่อนข้างเบลอ ทว่าก็ชัดกว่าตอนที่เราพยายามมองจากข้างล่างนี้ล่ะนะ"""
ssn_014890_1303#0,"""บางทีอาจจะมีสิ่งเจือปนในอากาศน้อยกว่าใน Aelio หรือ Retem ก็ได้"""
ssn_014890_1304#0,"""จากการใช้ข้อมูลของเธอ ฉันได้ตรวจสอบว่าภายนอกของ Floating Island อาจจะทำมาจากวัสดุอะไร..."""
ssn_014890_1305#0,"""เป็นไปตามคาด ดูเหมือนว่าจะทำมาจากวัสดุที่คล้ายกับวัตถุลอยได้ประหลาดๆ ที่เรียงรายอยู่ตามรอยต่อของภูมิภาคต่างๆ"""
ssn_014890_1306#0,"""ค่อนข้างคล้ายกับ Trainia แต่ทนทานต่อสภาพอากาศมากกว่ามาก เป็นวัสดุที่ทนทานสุดๆ"""
ssn_014890_1307#0,"""ก่อนหน้านี้ฉันเคยตั้งสมมติฐานไว้ว่าวัตถุลอยได้พวกนั้นกำลังควบคุมสภาพแวดล้อมของ Halpha"""
ssn_014890_1308#0,"""แล้วถ้าเกิดว่า... Floating Island ทำหน้าที่เป็นตัวควบคุมสภาพแวดล้อม และวัตถุลอยได้พวกนั้นเป็นเพียงเครื่องมือในการขยายอิทธิพลของมันล่ะ...?"""
ssn_014890_1309#0,"""...ฮะๆๆ บางทีอาจจะแค่ด่วนสรุปไปเองก็ได้"""
ssn_014890_1310#0,"""ถึงอย่างนั้น การค้นพบใหม่ๆ มักเกิดขึ้นจากการนำข้อมูลชิ้นเล็กๆ สองชิ้นมาเชื่อมโยงเข้าด้วยกันแบบนี้นี่แหละ"""
ssn_014890_1311#0,"""แน่นอนว่า มันได้กลายเป็นหัวข้อหลักของงานวิจัยนี้ไปอย่างไม่ต้องสงสัย"""
ssn_014890_1312#0,"""ตั้งใจว่าจะทำวิจัยเกี่ยวกับปริศนาของ Halpha ต่อไป ขอบคุณมากสำหรับความร่วมมือนะ"""
ssn_014890_1401#0,"""ต้องขอบคุณเธอ ตอนนี้รู้แล้วล่ะว่าควรจะดำเนินงานวิจัยไปในทิศทางไหนต่อ"""
ssn_014890_1402#0,"""ตั้งใจว่าจะทำวิจัยเกี่ยวกับปริศนาของ Halpha ต่อไปน่ะ"""
