extra_assign#0,"""exq_$(0)"""
exq_EnemyHpUp_70#0,"""HP70%アップ"""
exq_EnemyHpUp_80#0,"""HP80%アップ"""
exq_EnemyHpUp_90#0,"""HP90%アップ"""
exq_EnemyHpUp_100#0,"""HP100%アップ"""
exq_EnemyHpUp_200#0,"""HP200%アップ"""
exq_EnemyHpUp_300#0,"""HP300%アップ"""
exq_EnemyHpUp_400#0,"""HP400%アップ"""
exq_EnemyHpUp_500#0,"""HP500%アップ"""
exq_EnemyHpDown_10#0,"""HP10%ダウン"""
exq_EnemyHpDown_20#0,"""HP20%ダウン"""
exq_EnemyHpDown_30#0,"""HP30%ダウン"""
exq_EnemyHpDown_40#0,"""HP40%ダウン"""
exq_EnemyHpDown_50#0,"""HP50%ダウン"""
exq_EnemyHpDown_60#0,"""HP60%ダウン"""
exq_EnemyHpDown_70#0,"""HP70%ダウン"""
exq_EnemyHpDown_80#0,"""HP80%ダウン"""
exq_EnemyHpDown_90#0,"""HP90%ダウン"""
exq_ResistAll20%#0,"""全体耐性20%アップ"""
exq_ResistAll20%Down#0,"""全体耐性20%ダウン"""
exq_ResistAll40%#0,"""全体耐性40%アップ"""
exq_ResistAll40%Down#0,"""全体耐性40%ダウン"""
exq_ResistAll60%#0,"""全体耐性60%アップ"""
exq_ResistAll60%Down#0,"""全体耐性60%ダウン"""
exq_ResistAll80%#0,"""全体耐性80%アップ"""
exq_ResistAll80%Down#0,"""全体耐性80%ダウン"""
exq_ResistDarkDown#0,"""闇耐性ダウン大"""
exq_ResistDarkDown_low#0,"""闇耐性ダウン小"""
exq_ResistDarkUp#0,"""闇耐性アップ大"""
exq_ResistDarkUp_low#0,"""闇耐性アップ小"""
exq_ResistFirearm20%#0,"""射撃耐性20%アップ"""
exq_ResistFirearm20%Down#0,"""射撃耐性20%ダウン"""
exq_ResistFirearm40%#0,"""射撃耐性40%アップ"""
exq_ResistFirearm40%Down#0,"""射撃耐性40%ダウン"""
exq_ResistFirearm60%#0,"""射撃耐性60%アップ"""
exq_ResistFirearm60%Down#0,"""射撃耐性60%ダウン"""
exq_ResistFirearm80%#0,"""射撃耐性80%アップ"""
exq_ResistFirearm80%Down#0,"""射撃耐性80%ダウン"""
exq_ResistFireDown#0,"""炎耐性ダウン大"""
exq_ResistFireDown_low#0,"""炎耐性ダウン小"""
exq_ResistFireUp#0,"""炎耐性アップ大"""
exq_ResistFireUp_low#0,"""炎耐性アップ小"""
exq_ResistIceDown#0,"""氷耐性ダウン大"""
exq_ResistIceDown_low#0,"""氷耐性ダウン小"""
exq_ResistIceUp#0,"""氷耐性アップ大"""
exq_ResistIceUp_low#0,"""氷耐性アップ小"""
exq_ResistLightDown#0,"""光耐性ダウン大"""
exq_ResistLightDown_low#0,"""光耐性ダウン小"""
exq_ResistLightUp#0,"""光耐性アップ大"""
exq_ResistLightUp_low#0,"""光耐性アップ小"""
exq_ResistStrike20%#0,"""打撃耐性20%アップ"""
exq_ResistStrike20%Down#0,"""打撃耐性20%ダウン"""
exq_ResistStrike40%#0,"""打撃耐性40%アップ"""
exq_ResistStrike40%Down#0,"""打撃耐性40%ダウン"""
exq_ResistStrike60%#0,"""打撃耐性60%アップ"""
exq_ResistStrike60%Down#0,"""打撃耐性60%ダウン"""
exq_ResistStrike80%#0,"""打撃耐性80%アップ"""
exq_ResistStrike80%Down#0,"""打撃耐性80%ダウン"""
exq_ResistTechnic20%#0,"""法撃耐性20%アップ"""
exq_ResistTechnic20%Down#0,"""法撃耐性20%ダウン"""
exq_ResistTechnic40%#0,"""法撃耐性40%アップ"""
exq_ResistTechnic40%Down#0,"""法撃耐性40%ダウン"""
exq_ResistTechnic60%#0,"""法撃耐性60%アップ"""
exq_ResistTechnic60%Down#0,"""法撃耐性60%ダウン"""
exq_ResistTechnic80%#0,"""法撃耐性80%アップ"""
exq_ResistTechnic80%Down#0,"""法撃耐性80%ダウン"""
exq_ResistThunderDown#0,"""雷耐性ダウン大"""
exq_ResistThunderDown_low#0,"""雷耐性ダウン小"""
exq_ResistThunderUp#0,"""雷耐性アップ大"""
exq_ResistThunderUp_low#0,"""雷耐性アップ小"""
exq_ResistWindDown#0,"""風耐性ダウン大"""
exq_ResistWindDown_low#0,"""風耐性ダウン小"""
exq_ResistWindUp#0,"""風耐性アップ大"""
exq_ResistWindUp_low#0,"""風耐性アップ小"""
exq_PPRegenerateUp10#0,"""PP回復速度10%アップ"""
exq_PPRegenerateUp20#0,"""PP回復速度20%アップ"""
exq_PPRegenerateUp30#0,"""PP回復速度30%アップ"""
exq_PPRegenerateUp40#0,"""PP回復速度40%アップ"""
exq_PPRegenerateUp50#0,"""PP回復速度50%アップ"""
exq_PPRegenerateUp60#0,"""PP回復速度60%アップ"""
exq_PPRegenerateUp70#0,"""PP回復速度70%アップ"""
exq_PPRegenerateUp80#0,"""PP回復速度80%アップ"""
exq_PPRegenerateUp90#0,"""PP回復速度90%アップ"""
exq_PPRegenerateUp100#0,"""PP回復速度100%アップ"""
exq_PPRegenerateUp200#0,"""PP回復速度200%アップ"""
exq_PPRegenerateUp300#0,"""PP回復速度300%アップ"""
exq_PPRegenerateUp400#0,"""PP回復速度400%アップ"""
exq_PPRegenerateUp500#0,"""PP回復速度500%アップ"""
exq_PPRegenerateDown10#0,"""PP回復速度10%ダウン"""
exq_PPRegenerateDown20#0,"""PP回復速度20%ダウン"""
exq_PPRegenerateDown30#0,"""PP回復速度30%ダウン"""
exq_PPRegenerateDown40#0,"""PP回復速度40%ダウン"""
exq_PPRegenerateDown50#0,"""PP回復速度50%ダウン"""
exq_PPRegenerateDown60#0,"""PP回復速度60%ダウン"""
exq_PPRegenerateDown70#0,"""PP回復速度70%ダウン"""
exq_PPRegenerateDown80#0,"""PP回復速度80%ダウン"""
exq_PPRegenerateDown90#0,"""PP回復速度90%ダウン"""
exq_RecoveryEffectDown#0,"""回復効果低下"""
