name_7211#0,"""เซียนดี้"""
ssn_019140_002_2140#0,"""ขอโทษทีนะที่เอามาโยนให้หลังเสร็จงานพอดี แต่ฉันอยากให้ช่วยรับงานจากกองเสบียงหน่อย"""
ssn_019140_002_2150#0,"""ถึงจำนวนศัตรูจะลดลงแล้ว แต่ก็ยังมีเยอะเกินกว่าที่เราจะกลับไปทำภารกิจตามตารางปกติได้อยู่ดี"""
ssn_019140_002_2160#0,"""ช่วยกวาดล้างศัตรูให้มากกว่านี้แบบที่คุณเคยทำมาตลอดทีได้ไหม?"""
ssn_019140_002_2170#0,"""ขอบคุณอีกครั้งนะ!"""
ssn_019140_002_2180#0,"""ด-เดี๋ยวก่อนสิ... ฮัลโหล? ซิทเทร?"""
ssn_019140_002_2190#0,"""...ดูเหมือนเธอจะไม่ได้เลิกเอาแต่ใจตัวเองน้อยลงเลยนะเนี่ย"""
ssn_019140_002_2200#0,"""ต้องขอโทษด้วยจริงๆ นะ แต่ขอรบกวนให้ช่วยเธอหน่อยได้ไหม?"""
ssn_019140_002_5010#0,"""พฤติกรรมของศัตรูมันไม่มีรูปแบบตายตัวหรอกนะ มันเปลี่ยนแปลงอยู่ตลอดเวลา"""
ssn_019140_002_5020#0,"""ฉันอยากจะแน่ใจว่าจะไม่มองข้ามการเปลี่ยนแปลงเล็กๆ น้อยๆ พวกนี้ไปน่ะ"""
npc_menu_0010#0,"""แลกเปลี่ยนแต้ม Seasonal (จนถึง $(0))"""
npc_menu_0020#0,"""ถามเกี่ยวกับกิจกรรม Seasonal"""
npc_menu_0030#0,"""ปิดเมนู"""
npc_menu_0040#0,"""รีไซเคิลไอเทม (จนถึง 5 เม.ย. 2023, 12:00 JST)"""
npc_menu_1010#0,"""เกี่ยวกับกิจกรรม Seasonal"""
npc_menu_1020#0,"""เกี่ยวกับศัตรู Seasonal"""
npc_menu_1030#0,"""เกี่ยวกับ Mischief Symbol"""
npc_menu_1040#0,"""เกี่ยวกับ Region Mag ประจำฤดูกาล"""
npc_menu_1050#0,"""เกี่ยวกับ Seasonal United Trials"""
npc_menu_2000#0,"""ช่างเถอะ"""
