11_voice_NPC_5026_100#0,"""Приветики-приветки!<br>Все так заняты, да,<br>ещё как."""
Risa_favs_present_080#0,"""Получен <yellow>Piercing Shell<c> от Рисы."""
Risa_favs_present_090#0,"""Получен <yellow>Synthesizer<c> от Рисы."""
Risa_favs_present_100#0,"""Получен <yellow>Synthesizer<c> от Рисы."""
Risa_favs_present_add_001#0,"""Получено <yellow><%skit_text><c> от Рисы."""
11_voice_NPC_5026_100#2,"""Приветки. Риса решила немного<br>отдохнуть! Понимаешь же?<br>Именно что и видишь. Хи-хи."""
Risa_01_020#0,"""Стрельба из винтовки - тяжёлая<br>работа! Вот почему необходимо<br>отдыхать. Хи-хи. Хи-хи-хи."""
11_voice_NPC_5026_100#3,"""Знаешь, у многих врагов есть<br>слабые места? Если направишь<br>все свои выстрелы в слабое<br>место врага, то они быстро<br>перестанут дышать."""
11_voice_NPC_5026_106#1,"""Любой заговоривший с Рисой,<br>должно быть сумасшедший.<br>Так что... это говорит о том,<br>что ты довольно странный."""
11_voice_NPC_5026_100#4,"""Не так давно Риса была совсем<br>другой. Знаешь, на самом деле<br>она была довольно застенчивой<br>девушкой."""
Risa_04_020#0,"""Что случилось, хочешь спросить?.<br>У девушек свои секреты.<br>Хи-хи. Хи-хи-хи."""
11_voice_NPC_5026_104#0,"""Риса не хочет умирать или тому<br>подобное, но она часто думала<br>о том, на что это будет похоже!<br>Понимаешь же?"""
Risa_05_020#0,"""Ты можешь прожить всего одну<br>жизнь за раз. Понимаешь же?<br>Риса с нетерпением ждёт<br>следующей!"""
11_voice_NPC_5026_105#0,"""Риса выглядит так, словно живёт<br>безрассудно? Риса просто делает<br>то, что считает забаным."""
11_voice_NPC_5026_101#1,"""Хи-хи. Рисе очень весело с тобой<br>общаться! Риса давно<br>не чувствовала чего-то<br>подобного."""
11_voice_NPC_5026_104#1,"""Ты когда-нибудь<br>задумывался(лась) о том,<br>что будешь делать, когда всё<br>закончится? Рису подобные<br>раздумья удурчают."""
Risa_08_020#0,"""Риса на самом деле ни о чём<br>не думает, кроме убийства<br>врагов. Понимаешь же? Когда<br>всё закончится, некого будет<br>убивать!"""
11_voice_NPC_5026_105#1,"""По-прежнему почти нет информации<br>о даркерах, но по какой-то<br>причине, когда ARKS захватывают<br>их, занимаются исследованиями."""
Risa_09_020#0,"""Может бояться? А может...<br>и не нужно? В любом случае,<br>это загадка."""
11_voice_NPC_5026_100#5,"""Знаешь, бывают времена, когда<br>Риса сбивается с пути. Но в<br>такие моменты она делает то,<br>что ей больше всего хочется."""
Risa_10_020#0,"""Рисе не нужно ни о чём<br>беспокоиться. Понимаешь же?<br>Она может просто пойти и убить."""
Alice_01_10#0,"""Хочешь узнать, когда Рисе<br>понравился Рейнджер? Это<br>странный вопрос, понимаешь же?"""
Alice_01_20#0,"""Это не очень интересная история,<br>но поскольку хочешь знать,<br>Риса расскажет!"""
Alice_01_30#0,"""Это было, когда Риса была<br>маленькой девочкой. Чистая и<br>невинная Риса играла со своими<br>игрушечными пистолетами,<br>как обычно. Понимешь же?"""
Alice_01_40#0,"""Но потом! Что-то почему-то<br>вылетело с одной из пушек, хотя<br>это была всего-лишь игрушка!<br>Вот тогда Риса... перестала<br>притворяться."""
Alice_01_50#0,"""Понимаешь, у рейнджеров есть<br>врождённая способность стрелять<br>своей энергией фотонов, как<br>пулями. Понимаешь же? Вот так<br>Риса устроила перестрелку с<br>игрушечным пистолетом."""
Alice_01_60#0,"""Что случилось с теми, в кого<br>стреляла Риса? Хи-хи. Почему<br>Риса должна знать что-то<br>подобное?"""
Alice_01_70#0,"""Риса просто помнит, что это<br>вызвало у неё поистине приятное<br>чувство. Понимаешь же?"""
11_voice_NPC_5026_103#0,"""А-ах, вот разочаровение.<br>Хотелось бы больше поиграть<br>с этим Дарк Фальцем."""
Risa_mb9_020#0,"""Что ж, он вроде выглядел так,<br>будто ему тоже было весело,<br>так что он, вероятно,<br>появится снова."""
11_voice_NPC_5026_103#1,"""Слух? Разбушевавшийся дракон?<br>Несмотря на буйста, делает он<br>это довольно скромно."""
Risa_mb10_020#0,"""Если спросишь у Рисы, это даже<br>не похоже на лёгкое буйство.<br>Знаешь, тебе стоит постараться<br>лучше."""
11_voice_NPC_5026_101#2,"""Турнир по боевым манёрвам...<br>Не плохо звучит. Это соревнование<br>боегово мастерства."""
Risa_mb11_020#0,"""Это означает, что все будут<br>демонстрировать свои лучшие<br>стратегии убийства. Хи-хи-хи.<br>Риса уже не может ждать.<br>Понимаешь же?"""
11_voice_NPC_5026_100#6,"""Планета Вопар, она же?<br>Знаешь ли, это любопытное место."""
Risa_mb12_020#0,"""Почему-то Риса чувствует себя<br>немного виноватой из-за того,<br>что всё разрушила. Но это её<br>не останавливает."""
11_voice_NPC_5026_104#2,"""Этот драконий альтарь немного<br>сложен для Рисы.<br>Понимаешь же?"""
Risa_mb13_020#0,"""Когда Риса безрассудно стреляет<br>во все стороны, они начинают<br>неистово злиться во время<br>уничтожения их ценных строений."""
Risa_mb13_030#0,"""Но когда всё остальное будет<br>уничтожено, они не будут так<br>неиствовать в ярости, так что<br>это довольно скучно.<br>Понимаешь же?"""
11_voice_NPC_5026_101#3,"""Знаешь ли, в последнее время<br>что-то изменилось на планете<br>Лиллипа."""
Risa_mb14_020#0,"""И ARKS и даркеры стали намного<br>активнее. Хи-хи-хи.<br>Рисе это нравится."""
Risa_mb14_030#0,"""Кто знает, что будет? Как бы<br>то ни было, Риса с нетерпением<br>ждёт этого."""
11_voice_NPC_5026_102#0,"""О Морском дне планеты Вопар<br>говоришь?.. Рисе не нравится<br>это место. Понимаешь же?"""
Risa_mb15_020#0,"""Риса не может объяснить почему,<br>но у неё очень плохое<br>предчувствие по поводу этого<br>места. Это очень обидно.<br>Понимаешь же?"""
Risa_mb15_030#0,"""Риса на самом деле старается<br>быть осторожной, когда находится<br>там! Впечатлён(на)?<br>Ты должен(на) ею гордиться!"""
Risa_mb16_010#0,"""Вот-вот произойдёт что-то<br>грандиозное. Риса чувствует<br>это своими схемами!"""
11_voice_NPC_5026_101#4,"""Риса не знает, что это такое,<br>но она точно знает, когда<br>надвигается буря.<br>Хи-хи-хи."""
Risa_mb16_030#0,"""Рисе нравится время, когда она<br>может расслабиться. Когда<br>она может стрелять, и стрелять,<br>и стрелять, и стрелять,<br>и стрелять во что угодно."""
11_voice_NPC_5026_106#2,"""Ну и нушеньки! Приятно видеть,<br>что ты в порядке. Понимаешь же?<br>Какой камбек ты совершил(а)!"""
Risa_mb16zeno_020#0,"""Знаешь, бой с тобой был очень<br>впечатляющим. Риса хотела бы<br>повторить это когда-нибудь ещё."""
Risa_mb16zeno_030#0,"""Знаешь, Риса и остальные были<br>тут очень заняты."""
Risa_mb18_010#0,"""Планета Харкотан, о ней же<br>говоришь? Хмм...<br>Ох, есть кое-что.<br>Рисе там очень нравится.<br>Понимаешь же?"""
11_voice_NPC_5026_100#7,"""В основном из-за больших врагов.<br>Риса обожает стрелять."""
11_voice_NPC_5026_104#3,"""Культура и циливизация? Что это?<br>Риса может в это выстрелить?!"""
Risa_mb19_010#0,"""Плавучее сооружение на Вопаре?<br>Риса туда не ходит.<br>Это как-то скучно."""
Risa_mb19_020#0,"""Археологи доставили бы Рисе<br>неприятности, если бы она просто<br>так пошла туда и начала<br>расстреливать всё что видит.<br>Понимаешь, же?"""
11_voice_NPC_5026_100#8,"""Риса предпочла бы пойти туда,<br>где она могла бы исследовать<br>область, не беспокоясь об этом.<br>Понимаешь же? Хи-хи. Хи-хи-хи."""
11_voice_NPC_5026_100#9,"""Вот что действительно было у<br>Рисы на уме. И всё же что на<br>счёт тебя?"""
11_voice_NPC_5026_101#5,"""Риса очень рада, что есть места,<br>в которых она ещё не стреляла,<br>и стреляла, и стреляла,<br>и стреляла."""
Risa_mb21_010#0,"""Риса считает, что искажённые<br>области намного интереснее,<br>чем Дарк Фальц."""
Risa_mb21_020#0,"""Это районы с поистине сильными<br>врагами. Это идеальные места,<br>чтобы разгрузить весь свой<br>арсенал, а потом ещё несколько.<br>Понимаешь же?"""
11_voice_NPC_5026_100#10,"""Хи-хи. Звучит весело, согласись.<br>Риса просто счастлива, что у<br>неё есть место, где она может<br>стрелять, и стрелять,<br>и стрелять, и стрелять,<br>и стрелять. Понимаешь же?"""
11_voice_NPC_5026_100#11,"""[Дабл]... [Аппрентис]...<br>Проблемы накапливаются.<br>Понимаешь же?"""
Risa_mb22_020#0,"""Ну, это же даркеры, так что<br>Рисе просто нравится стрелять<br>в них много-много раз.<br>Понимаешь же?"""
11_voice_NPC_5026_101#6,"""Риса больше всего счастлива,<br>когда обрушивает на своих<br>врагов адский дождь.<br>Понимаешь же?"""
Risa_mb23_010#0,"""Оо, приветки-приветки!<br>Это было довольно напряжно.<br>Понимаешь же? Хорошо, что ты<br>не сильно пострадал(а)."""
11_voice_NPC_5026_100#12,"""Что ж, на самом деле, если ты<br>спросишь Рису, то она скажет,<br>что быть съеденным<br>Дарк Фальцем - большая честь.<br>Понимаешь же?"""
Risa_mb23_030#0,"""Потому что это означает, что<br>ты, должно быть убил много<br>врагов. Риса очень ревнует.<br>Понимаешь же?"""
11_voice_NPC_5026_107#0,"""Ну и ну и нушеньки!<br>Риса узнала что случилось!<br>Хорошо, что ты в порядке.<br>Понимаешь же?"""
Risa_mb23_after_020#0,"""Что ж, сейчас ситуация довольно<br>напряжённая, но мне интересно,<br>что произойдёт. Понимаешь же?"""
11_voice_NPC_5026_100#13,"""Оо, Риса пыталась заснуть.<br>Скажи... Если Риса не может<br>заснуть, она может усыпить<br>кого-нибудь другого?<br>Ты же знаешь. Навсегда."""
Risa_mb24_010#0,"""Ну и ну и нушеньки!<br>Это будет большая битва.<br>Хи-хи-хи. Это интересно.<br>Понимаешь же?"""
Risa_mb24_020#0,"""Так много врагов...<br>Риса готова отдать себя<br>всю этому. Понимаешь же?"""
11_voice_NPC_5026_100#14,"""Хи-хи-хи. Хи-хи. Риса не может<br>больше ждать. Она очень хочет<br>пристрелить врагов.<br>Понимаешь же?"""
Risa_mb24_after_010#0,"""Оо, ну и ну и нушеньки!<br>Приветики-приветики!<br>Рада видеть, что ты не мёртв."""
Risa_mb24_after_020#0,"""Риса не могла ожидать ничего<br>другого. Риса воистину очень<br>счастлива. Знаешь, она хорошо<br>повеселилась."""
11_voice_NPC_5026_100#15,"""Прошло много времени с тех пор,<br>как Риса безжалостно истребила<br>столько врагов. Это было<br>действительно весело.<br>Понимаешь же?"""
Risa_mb25_010#0,"""Риса слышала, что в руководстве<br>произошли изменения, но Рису<br>это не волнует."""
11_voice_NPC_5026_100#16,"""Рису больше интересует поиск<br>способов уничтожения врагов.<br>Понимаешь же?"""
11_voice_NPC_5026_107#1,"""Оо, ну и нушеньки! Как странно..<br>Разве стоящий(ая) передо мной<br>не должен(на) сейчас спать?"""
st01_020#0,"""Оо, но-но-но...<br>Какой прекрасный способ<br>для сна. Понимаешь же?"""
st01_030#0,"""Как это было?<br>Ты про креогенную заморозку?<br>Риса думает, что для тебя<br>могла пройти доля секунды."""
11_voice_NPC_5026_106#3,"""Ну и ну, Риса очень ревнует!<br>Ты замешан(а) в чём-то весьма<br>зрелищном. Понимаешь же?"""
st01_020#1,"""Пожалуйста, поведай Рисе<br>об этом! Наверное, есть много<br>всякого чтобы стрелять,<br>и стелять, и стрелять,<br>и убивать. Понимаешь же?"""
11_voice_NPC_5026_100#17,"""Оо. Где будет находиться Риса?<br>Хи-хи-хи. Рисе, наверное,<br>не стоит даже спрашивать,<br>она права?"""
st01_020#2,"""Что действительно интересует<br>Рису, так это та группа, которая<br>пришла с Земли! Риса хочет<br>попробовать застрелить их.<br>Хи-хи-хи."""
11_voice_NPC_5026_100#18,"""Риса задаётся вопросоам, какого<br>было бы стррелять в них.<br>Понимаешь же? Хи-хи-хи-хи.<br>Это то, что было у Рисы на уме."""
st01_020#3,"""Оо, не смотри так на Рису!<br>Всё в порядке! Риса стреляет<br>только с разрешения."""
st01_030#1,"""Но! Если Риса была авторизована,<br>она определённо хотела бы<br>попробовать застрелить их.<br>Это было бы, наверное,<br>просто замечательно!"""
11_voice_NPC_5026_100#19,"""В последнее время Риса<br>обнаружила, что взрывчатка<br>была довольно замечательной.<br>Понимаешь же?"""
st01_020#4,"""Конечно, ничто не может<br>сравниться с вбиванием пуль<br>в черепа, но есть кое-что<br>очаровательное в том, чтобы<br>деконструировать кого-нибудь<br>на молекулярном уровне."""
st01_030#2,"""Ну да, Риса определённо хочет<br>попробовать. Если найдёшь<br>кого-нибудь, кто выглядит так,<br>словно может быть красочно<br>разорван на куски, пожалуйста,<br>позови Рису!"""
st01_010#0,"""Любой, кто относится к ARKS<br>враждебно, должен быть подобающе<br>встречен. Так думает Риса!"""
st01_020#5,"""Когда одна сторона думает, что<br>она права, а остальные<br>ошибаются, борьба уже началась.<br>Нет смысла сдерживаться.<br>Понимаешь же?"""
11_voice_NPC_5026_100#20,"""Именно тогда Риса начинает<br>думать о том, по кому лучше<br>стрелять. Хи-хи. Хи-хи-хи."""
st01_010#1,"""Риса была на корабле, когда<br>на него напали, но ней не<br>разрешили отправиться туда,<br>где шёл бой."""
st01_020#6,"""Враги были прямо здесь.<br>Понимаешь же?<br>Это была идеальная<br>возможность для стрельбы!<br>Это так разочаровывает."""
11_voice_NPC_5026_100#21,"""Кого волнует, что ограничители<br>военного положения не были<br>сняты? Если Риса не может<br>стрелять из винтовки, она<br>просто начнёт бить руками!<br>Хи-хи-хи."""
st01_010#2,"""Хмм. Хмм! Итак...<br>Фантомы - новый вид,<br>принявший форму даркеров?"""
11_voice_NPC_5026_106#4,"""Хотя это звучит так, буд-то было<br>бы сложно сказать, кто из них<br>даркер, а кто фантом. На самом<br>деле это довольно просто."""
11_voice_NPC_5026_100#22,"""Это можно определить, стреляя<br>в них! Знаешь, по ощущениям<br>вполне можно определить в кого<br>стрелять. Хи-хи."""
st01_010#3,"""Эволюция довольно интересная.<br>Но как именно происходит<br>эволюция? Понимаешь же?"""
st01_020#7,"""Основано ли она на том, чего<br>ты хочешь? А может на том,<br>чего не хотят? Это же просто<br>эгоистично. Понимаешь же?"""
st01_030#3,"""Риса слишком много думает.<br>Рисе нравится делать забавные<br>вещи, а не думать о путанице."""
11_voice_NPC_5026_100#23,"""Хочешь узнать чем занимается<br>Риса для развлечения?<br>Ты должен(на) знать это.<br>Понимаешь же? Хи-хи. Хи-хи-хи."""
11_voice_NPC_5026_104#4,"""Хм. Хммм... А, так это ты.<br>Как дела?"""
sq00_020#0,"""Оо, Риса просто о кое-чём<br>беспокоится. Не волнуйся, это<br>не имеет к тебе никакого<br>отношения."""
sq00_030#0,"""В любом случае, ты полностью<br>готов(а)? Имей в виду, что<br>обычная тактика не сработает<br>против этих врагов.<br>Мысли не стандартно."""
sq01_010#0,"""Никто не должен ничего говорить<br>Рисе, чтобы она знала, что<br>из этого вышла довольно<br>странная ситуация."""
11_voice_NPC_5026_104#5,"""Если не осталось даркеров...<br>Во что тогда будет стрелять<br>Риса? Знаешь на сколько это<br>противоречиво?"""
sq02_020#0,"""Ты случайно не знаешь<br>о чём-либо, что могло бы<br>заслуживать расстрела.<br>Понимаешь же?"""
11_voice_NPC_5026_107#2,"""Хмм? Хммм? Ну и ну и нушеньки!<br>Ты собираешься кого-то убить,<br>ведь так?"""
sq04_020#0,"""Риса может сказать.<br>Понимаешь же?<br>Ты особого вида."""
sq04_030#0,"""Так чем ты занимаешься?<br>Может это будет опасно?"""
sq04_040#0,"""Что ж, наверное, это не имеет<br>отношения к Рисе. Хмм. Или...<br>может быть, понимаешь же?"""
11_voice_NPC_5026_106#5,"""Ну и ну и нушеньки, что может<br>произойти? Настроение<br>изменилось, не так ли? В воздухе<br>витает какое-то электрическое<br>ощущение!"""
11_voice_NPC_5026_100#24,"""Старайся как можно лучше.<br>Риса не может помочь тебе,<br>но с тобой всё будет<br>в порядке."""
sq13_010#0,"""Подробнее обсудим позже.<br>Сяо всё ещё анализирует<br>информацию, так что сейчас<br>нет смысла гадать."""
sq13_020#0,"""Тебе нужно немного отдохнуть.<br>Когда дела навалятся на тебя,<br>времени на отдых уже не будет."""
11_voice_NPC_5026_100#25,"""Шива, Богиня Погибели. Для нас,<br>ARKS, она будет непростым<br>противником."""
11_voice_NPC_5026_107#3,"""Она не просто истинная<br>[Глубокая Тьма], но и фотонёр,<br>так что её, должно быть,<br>придётся убить!"""
11_voice_NPC_5026_106#6,"""Все ARKS слишком сильно<br>полагаются на фотоны, но<br>забывают про собственные глаза."""
ep6_sq01_02#0,"""Если хочешь предсказать, где<br>и что произойдёт, следи за этим<br>глазами. Если этим принебрегать,<br>ты никогда не сможешь угнаться<br>за Шивой."""
ep6_sq01_00_01#0,"""Армада Конца? Рисе нравится,<br>как это звучит. Похоже, что<br>она очень сильный враг."""
11_voice_NPC_5026_100#26,"""Это означает, что мы можем<br>стрелять, и стрелять,<br>и стрелять, и стрелять в них!<br>Риса очень ждёт этой возможности.<br>Хи-хи-хи, хи-хи-хи."""
11_voice_NPC_5026_100#27,"""Приятно, что Сяо вернулся!<br>Всё потому, что все ARKS<br>работали сообща."""
ep6_sq02_02#0,"""Риса тоже счастлива!<br>Если мы не знаем, где они<br>будут, это значит, что мы уже<br>скоро сможем сразиться с ними!"""
ep6_sq02_03#0,"""Мы можем стрелять больше, чем<br>когда-либо прежде. Риса<br>очень-очень счастлива!"""
11_voice_NPC_5026_106#7,"""Разведка людьми?<br>Рисе нет дела до подобных вещей.<br>Понимаешь же?"""
Popona_01_20#0,"""Оо, но есть один ньюанс.<br>Риса всегда ищет существ,<br>которые дают ей ощущение<br>свежести во время стрельбы<br>по ним."""
Popona_01_30#0,"""Если Риса услышит о большом,<br>сильном существе, которое<br>не злиться, сколько бы в него<br>не стреляли, она тут же<br>примчится."""
11_voice_NPC_5026_100#28,"""Тогда она сможет стрелять в это<br>существо, и стрелять,<br>и стрелять, и получать<br>удовольствие от стрельбы, пока<br>это существо не развалится...<br>Это просто прекрасное чувство.<br>Хи-хи-хи. Хи-хи-хи."""
11_voice_NPC_5026_100#29,"""В том другом мире было весело!<br>Стрельба по врагам из Омеги<br>отличалась от стрельбы по<br>нашим обычным врагам."""
ep6_sq05_2#0,"""Барьер Харриет работает.<br>Наши враги уже стали намного<br>слабее."""
ep6_sq05_3#0,"""Рисе не интересно убивать<br>слабых, поэтому она надеется,<br>что бы сразимся с более<br>сильными врагами!"""
text01#0,"""Ну и нушеньки, с возвращением!<br>Хорошо, что ты вернулся(лась)<br>в целости и сохранности."""
text02#0,"""Если бы тебя захватила<br>[Глубокая Тьма], вся вселенная<br>была бы обречена, а не только<br>ARKS!"""
11_voice_NPC_5026_100#30,"""Однако жаль. Риса хотела<br>почувствовать, каково это<br>стрелять по оригинальной<br>[Глубокой Тьме].<br>Хи-хи-хи."""
