11_voice_NPC_5162_111#0,"""뭐가 궁금한 거야?"""
text00#1,"""『블랙 냐크』 플레이 방법(기본편)에 대해"""
text01#2,"""『블랙 냐크 플레이 방법』<br><br>블랙 냐크는<br>최대 5명이 함께 즐기는 카드 게임으로<br>플레이어는 딜러와 대결해.<br><br><red><br>친구와 함께 플레이하려면<br>같은 테이블의 좌석에 접속해 줘.<c>"""
text02#2,"""빈 좌석에 접속하면<br>게임에 참가할 수 있어.<br>참가한 뒤 게임 레이트를 선택해.<br>게임 레이트가 높을수록 지불하는 카지노 코인과<br>게임에서 오가는 카지노 코인의<br>양도 커져.<br><br>카지노 코인은 게임마다 정산돼.<br><br>게임을 계속하려면 게임 레이트를<br>다시 선택해.<br><br>※게임마다 카드를 셔플해."""
text03#2,"""［←］ 키를 누르면 앞면 카드의 점수를<br>표시할 수 있어.<br>［Esc］ 키를 누르면 퇴장할 수 있어.<br><br>자기 차례가 되면 선택 창이<br>표시돼.<br>선택 창에 나오는<br>「HIT(카드 뽑기)」<br>「STAY(카드를 뽑지 않기)」<br>「DOUBLE\u3000DOWN」 중에서<br>하나를 선택해.<br><br><red>※도중에 종료하면 BET는 돌려받지 못하고<br>해당 게임의 배당도 받을 수 없어.<c>"""
text04#2,"""<pict Sign_LEFT>로 앞면 카드의 점수를<br>표시할 수 있어.<br><%MainMenu>로 퇴장할 수 있어.<br><br>자기 차례가 되면 선택 창이<br>표시돼.<br>선택 창에 나오는<br>「HIT(카드 뽑기)」<br>「STAY(카드를 뽑지 않기)」<br>「DOUBLE\u3000DOWN」 중에서<br>하나를 선택해.<br><br><red>※도중에 종료하면 BET는 돌려받지 못하고<br>해당 게임의 배당도 받을 수 없어.<c>"""
text05#1,"""<pict Sign_LEFT>로 앞면 카드의 점수를<br>표시할 수 있어.<br><pict Sign_CROSS>로 퇴장할 수 있어.<br><br>자기 차례가 되면 선택 창이<br>표시돼.<br>선택 창에 나오는<br>「HIT(카드 뽑기)」<br>「STAY(카드를 뽑지 않기)」<br>「DOUBLE\u3000DOWN」 중에서<br>하나를 선택해.<br><br><red>※도중에 종료하면 BET는 돌려받지 못하고<br>해당 게임의 배당도 받을 수 없어.<c>"""
text06#0,"""『HIT/히트』<br>카드를 1장 더 뽑는 거야.<br>HIT는 3번까지 할 수 있어.<br><br>『STAY/스테이』<br>카드를 더 뽑지 않고 현재 합계로<br>승부하는 거야.<br><br>『BUST/버스트』<br>합계가 21점을 넘은 상태야.<br>BET한 카지노 코인은 모두<br>몰수돼."""
text07#0,"""『DOUBLE\u3000DOWN/더블 다운』<br>첫 HIT 때만 가능한 BET 증액이야.<br>BET를 두 배로 올리고 세 번째 카드를 뽑지만<br>그 뒤로는 카드를 더 뽑을 수 없어.<br><br><red>DOUBLE\u3000DOWN/더블 다운으로<br>승리하면 높은 배당을 받을 수 있어.<c>"""
text08#0,"""게임이 끝나면 결과 화면이 표시되고<br>획득한 카지노 코인을 정산해.<br>승리했을 때는 배당 내역이 표시돼.<br>다시 게임 레이트를 선택하면<br>다음 게임을 플레이할 수 있어.<br><br>※일정 시간 동안 선택하지 않으면<br>강제로 자리에서 퇴장하게 돼."""
text00#2,"""『블랙 냐크』 플레이 방법(응용편)에 대해"""
text01#3,"""『블랙 냐크 공략』<br><br>패의 종류는 네 가지야.<br>1. THREE\u3000SP/스리 SP<br>\u3000\u3000스페셜 카드 3장 보유<br>2. 5CARD/파이브 카드<br>3. BLACK\u3000NYACK<br>\u3000\u3000/블랙 냐크(21점)<br>4. 넘버(20점 이하)<br><br>강한 순서는 1>2>3>4야.<br><br><red>THREE\u3000SP와 5CARD는<br>BUST하지 않은 상태여야 성립해.<c>"""
text02#3,"""『배틀 보냐스』<br><br>배틀 보냐스는 갑자기 발생하는<br>보너스 게임이야.<br>딜러를 이기고 가장 높은 패를 만든<br>플레이어에게 보너스가 지급돼.<br>같은 높이의 패를 만든 플레이어가 여럿이면<br>모두 보너스를 받을 수 있어.<br><br>딜러뿐 아니라<br>다른 플레이어보다도 높은 패를<br>노려 보자.<br><br><red>배틀 보냐스는 동시 참가 인원이<br>많을수록 발생 확률이 올라가.<c>"""
text03#3,"""『배당』<br><br>THREE\u3000SP: BET액×50배<br>5CARD: BET액×5배<br>BLACK\u3000NYACK: BET액×3배<br>WIN: BET액×2배<br><br>스페셜 카드를 1장 또는 2장<br>보유한 상태로 딜러에게 승리하면<br>보유한 스페셜 카드 수에 따른<br>보상을 받을 수 있어.<br>보상액은 BET액에 따라 달라져.<br><br>※위 화면은 50CC BET 결과 예시야."""
text04#3,"""<red>『DOUBLE\u3000DOWN 활용법』<c><br><br>BET한 카지노 코인과 같은 양을 추가로 걸고<br>카드를 1장만 더 뽑아 3장으로<br>승부하게 돼.<br>DOUBLE\u3000DOWN은<br>첫 번째 차례에만 실행할 수 있어.<br><br>DOUBLE\u3000DOWN으로 승리했을 때<br>THREE\u3000SP나 BLACK\u3000NYACK 패가<br>성립했다면 배당이 두 배가 돼.<br><br>처음 받은 카드의 합계가<br>10이나 11일 때 노리면 좋아."""
