Generic_001#0,"""Продвигаясь по сюжету, вы получите доступ к заблокированным<br>пунктам меню и функциям магазина."""
Dead_r01_gd_ins_ba_002#0,"""Когда Дестраграс светится и подпрыгивает в воздух,<br>он совершает серию мощных атак по области."""
Dead_r02_gd_box_ba_001#0,"""После того, как Санд Нагурус ударит по земле, он выполнит<br>дополнительную атаку с использованием песка."""
Dead_r02_gd_box_ba_002#0,"""После того, как Санд Нагурус станет красным и его руки<br>трансформируются, вы сможете их уничтожить, чтобы замедлить атаки."""
Dead_r02_gd_sip_ba_001#0,"""Имейте в виду, когда Ризентос становится красным,<br>радиус его атак сначительно увеличивается."""
Dead_r02_gd_sip_ba_002#0,"""После уничтожения обоих ног Ризентоса, он будет<br>падать при каждой попытке атаки."""
Dead_r02_gd_cas_mi_001#0,"""Снаряды, выпущенные Фортосом из его пусковых<br>установк, будут нацелены на ARKS."""
Dead_r02_gd_cas_mi_002#0,"""Когда Фортос с пусковыми установками начинает светиться,<br>можно ожидать последующие атаки сверху."""
Dead_r02_gd_cas_el_001#0,"""Фортос с лазерами в основном использует линейные атаки."""
Dead_r02_gd_cas_el_002#0,"""Когда Фортос с лазерами начинает светиться, можно ожидать<br>атаки лазерами во всех направлениях с воздуха."""
Dead_r02_gd_kic_ba_001#0,"""Набрав определённую дистанцию, Керукунд быстро<br>сократит дистанцию для атаки."""
Dead_r02_gd_kic_ba_002#0,"""После того, как Керукунд яростно обрушит на вас<br>серию атак, он временно будет очень уязвим."""
Dead_r02_gd_sna_ba_001#0,"""Когда Ренус Ритем ярко светится, он становится неуязвимым.<br>Атакуйте его хвост, чтобы сбить этот эффект."""
Dead_r02_gd_sna_ba_002#0,"""Когда Ренус Ритем станет красным, вы сможете<br>уничтожить его оружие на торсе."""
Dead_r02_gd_sna_rai_001#0,"""Когда Ренус Вера ярко светится, он становится неуязвимым.<br>Атакуйте его хвост, чтобы сбить этот эффект."""
Dead_r02_gd_sna_rai_002#0,"""Когда Ренус Вера станет красным, вы сможете<br>уничтожить его оружие на торсе."""
Dead_r02_gd_gia_hm_001#0,"""Снайдар с молотом атакует территорию вокруг<br>себя звуковыми волнами."""
Dead_r02_gd_gia_hm_002#0,"""Снайдар с молотом может использовать ками,<br>выбитые его атаками, в качестве оружия."""
Dead_r02_gd_gia_rai_001#0,"""Когда Снайдар Вера сосредотачивается на игре, он неуязвим.<br>Атакуйте его музыкальный инструмент, чтобы отменить это эффект."""
Dead_r02_gd_gia_rai_002#0,"""Будьте осторожны, чтобы не попасть в состояние шока, которое<br>может быть вызванно атаками звуковых волн Снайдар Вера."""
Dead_r02_alt_dvs_ba_001#0,"""Чтобы пузырьковый краб перестал атаковать пузырями из клешней,<br>нужно бить по его клешням в соответствии с слабостью к атрибуту."""
Dead_r02_alt_dvs_ba_002#0,"""Пузырьковые крабы используют пузыри, выпускаемые<br>из клешней, для мощных атак."""
Dead_r02_alt_cli_ba_001#0,"""Сава Курио может усиливать ближайших врагов."""
Dead_r02_alt_cli_ba_002#0,"""Оставленные Сава Курио сверкающие следы, будут гореть некоторое время,<br>нанося урон всем дотронувшимся."""
Dead_r02_alt_wlf_ba_001#0,"""Отпрыгнув на некоторое расстояние, Саваурон использует мощную вращающую атаку."""
Dead_r02_alt_wlf_ba_002#0,"""Повернув своё лицо, Саваурон произведёт мощную лазерную атаку."""
Dead_r02_alt_tis_ba_001#0,"""Возьмите в прицел (lock-on) Савуди Сайз, чтобы проще было следить<br>за его движениями."""
Dead_r02_alt_tis_ba_002#0,"""Савуди Сайз можно ослабить, уничтожив серпы на его руках."""
Dead_r02_nat_bea_ba_001#0,"""Высвободиться из рук Дюнбера можно многократно нажимая клавиши направления."""
Dead_r02_nat_bea_ba_002#0,"""Высоко подняв руки, Дюнбер испустит ударную волну дальнего действия."""
Dead_r02_gd_god2_ba_001#0,"""Дарк Фальц использует своё гигантское тело для мощной атаки с большого расстояния."""
Dead_r02_gd_god2_ba_002#0,"""При уничтожении рук и брони Дарк Фальца можно получить Resta Sign и Reverser Sign."""
Dead_r02_nat_trf_ba_001#0,"""Ракеты, выпущенные Гранмайза, попадают в ARKS. Подойдите как можно ближе к Гранмайза, либо продолжайте двигаться, чтобы уклоняться от них."""
Dead_r02_nat_trf_ba_002#0,"""После определённых атак Гранмайза раскрывает своё ядро."""
Dead_r01_gd_dra_cm_001#0,"""Получая всё больше и больше урона, тело Некс начнёт гореть,<br>а его ядро раскроется по бокам."""
Dead_r01_gd_dra_cm_002#0,"""Когда Некс начинает глубокий вдох, это значит, что он<br>собирается использовать свою разрушительную атаку огненным шаром."""
Dead_r02_gd_kpy_ba_001#0,"""Перед атакой, оружие Икса Буджина начнёт мигать чёрным."""
Dead_r02_gd_kpy_ba_002#0,"""Контратака - один из способов противостоять<br>яростным атакам Икса Буджина."""
Dead_r03_gd_phe_ba_001#0,"""スノルクの角を破壊すると、“フリーズ”の状態異常を防ぐことができる。"""
Dead_r03_gd_phe_ba_002#0,"""スノルクは、翼を破壊すると触手を使った攻撃を行わないようになる。"""
Dead_r03_gd_wic_ba_001#0,"""レリーヌが赤く変化したときは、<br>台座を破壊することで、コアを攻撃できるようになる。"""
Dead_r03_gd_wic_ba_002#0,"""レリーヌは、全身が発光した状態のときに、<br>周囲のエネミーから力を集めることで攻撃を強化する。"""
Dead_r03_gd_pan_ba_001#0,"""パンゴランの尻尾は、非常に長く伸びる。<br>身軽な動きから繰り出される広範囲な攻撃に注意。"""
Dead_r03_gd_pan_ba_002#0,"""パンゴランが尻尾を叩きつけたあと、大きな隙が生まれる。"""
Dead_r03_gd_gia_ice_001#0,"""レイダル・ソードが出す巨大なビームは、<br>地面にヒットすると爆発が起きる。"""
Dead_r03_gd_gia_ice_002#0,"""レイダル・ソードの攻撃で、<br>“フリーズ”の状態異常にならないよう注意。"""
Dead_r03_gd_tur_ba_001#0,"""クロコダラスが発射する砲弾は、<br>近づいて拾うと投げることができる。"""
Dead_r03_gd_tur_ba_002#0,"""クロコダラスの口に砲弾を投げ入れると、体勢を崩すことができる。"""
Dead_r03_gd_tur_rai_001#0,"""クロコダラス・ヴェラが発射する砲弾は、<br>近づいて拾うと投げることができる。"""
Dead_r03_gd_tur_rai_002#0,"""クロコダラス・ヴェラの口に砲弾を投げ入れると、体勢を崩すことができる。"""
Dead_r03_gd_hum_ba_001#0,"""アムス・クヴァリスは、２つの形態を切り替えて戦う。<br>装甲をまとっているときは、素早い連撃に注意。"""
Dead_r03_gd_hum_ba_002#0,"""アムス・クヴァリスが装甲をまとっていないときは、<br>球状のオーラで攻撃を遮断されないように注意。"""
Dead_r03_gd_hum_rai_001#0,"""アムス・ヴェラは、２つの形態を切り替えて戦う。<br>装甲をまとっているときは、素早い連撃に注意。"""
Dead_r03_gd_hum_rai_002#0,"""アムス・ヴェラが装甲をまとっていないときは、<br>球状のオーラで攻撃を遮断されないように注意。"""
Dead_r02_gd_god2_ex_001#0,"""ダークファルスは、その巨体を利用して強力な広範囲の攻撃を繰り出してくる。"""
Dead_r02_gd_god2_ex_002#0,"""ダークファルスの腕を破壊すると、<br>レスタサインが出現する。"""
Dead_r03_nat_bea_ice_001#0,"""ケーニヒスイエーデが腕を地面に刺すと、<br>大きな雪玉を投げて攻撃してくるので注意。"""
Dead_r03_nat_bea_ice_002#0,"""ケーニヒスイエーデは、<br>怒り状態になるまでは背部に弱点がある。"""
Dead_r03_nat_fan_icem_001#0,"""アイスバンサーが大きくジャンプすると、<br>着地したときに、爆発を発生させて広範囲を攻撃する。"""
Dead_r03_nat_fan_icem_002#0,"""アイスバンサーは、<br>爪を全て破壊すると突進攻撃のあとに転倒する。"""
Dead_r03_nat_fan_icef_001#0,"""アイスバンシーが飛ばす氷の弾は、<br>触れてから爆発するまでに回避できる隙がある。"""
Dead_r03_nat_fan_icef_002#0,"""アイスバンシーは、<br>炎属性の攻撃によってダウンさせることができる。"""
Dead_r03_nat_mam_de_001#0,"""ゾ・マルモスは、<br>背部に乗って弱点を攻撃できる。"""
Dead_r03_nat_mam_de_002#0,"""ゾ・マルモスは、<br>額を破壊されるとダウンする。"""
Dead_r03_alt_tao_ba_001#0,"""マーカライドの翼から放たれる強力な光にヒットすると、“スタン”する。<br>光から視線を背けることで回避できる。"""
Dead_r03_alt_tao_ba_002#0,"""マーカライドは、<br>翼を破壊することで攻撃を弱体化させることができる。"""
Dead_r03_alt_tao_ba2_001#0,"""マーカライダの翼から放たれる強力な光にヒットすると、“スタン”する。<br>光から視線を背けることで回避できる。"""
Dead_r03_alt_tao_ba2_002#0,"""マーカライダは、<br>翼を破壊することで攻撃を弱体化させることができる。"""
Dead_r01_nat_bea_robi_001#0,"""ロックベア・ジオは、強力な広範囲の攻撃を繰り出してくる。"""
Dead_r01_nat_bea_robi_002#0,"""ロックベア・ジオがプレイヤーをつかんでいるときに<br>腕を攻撃すると、ダウンさせることができる。"""
Dead_r01_unk_emp_ba_001#0,"""エンペ・ラッピーは、やっと見つけたあなたに夢中。<br>嬉しくなって、つい抱きしめちゃうのです。きゅきゅきゅ。"""
Dead_r01_unk_emp_ba_002#0,"""エンペ・ラッピーは、アークスを見つけると嬉しそうに抱きついてきます。<br>きつく抱きしめすぎてしまったら、ごめんなさい。きゅきゅきゅ。"""
Dead_r01_unk_emp_ba_003#0,"""エンペ・ラッピーは、喜びを表現するためによく歌うのです。<br>心と一緒に音符も跳ねるのです。きゅきゅきゅ。"""
Dead_r01_unk_emp_ba_004#0,"""エンペ・ラッピーだって、空高く跳びあがり羽ばたくことができます。<br>でもすぐに落下してくるので、衝撃波にご注意を。きゅきゅきゅ。"""
Dead_r01_unk_emp_babi_001#0,"""きゅ？"""
Dead_r01_unk_emp_babi_002#0,"""きゅきゅ!?\u3000きゅきゅきゅ？\u3000きゅ!!\u3000きゅきゅ。<br>きゅきゅきゅきゅ～！\u3000きゅきゅ～～!!!!"""
Dead_r03_gd_ksg_ba_001#0,"""ヴァーディアスが四足形態のときは、<br>連続攻撃を行う前に剣が強く発光する。"""
Dead_r03_gd_ksg_ba_002#0,"""ヴァーディアスは、<br>剣を破壊することでダウンさせることができる。"""
Dead_r04_gd_box_ba_001#0,"""ブレズナグルスは、大きく発達した角を攻撃に使ってくる。"""
Dead_r04_gd_box_ba_002#0,"""ブレズナグルスの角が燃えたときは、<br>振り上げたときに生じる爆発で攻撃してくる。"""
Dead_r04_gd_nyb_ba_001#0,"""エンゴウクが赤く変化したときは、<br>武器を伸ばして、広範囲に攻撃してくる。"""
Dead_r04_gd_nyb_ba_002#0,"""エンゴウクの全身が発光したときは、<br>武器を超巨大化する強力な攻撃をしてくる。"""
Dead_r04_gd_sip_ba_001#0,"""ブレゼントスの両足を破壊すると、<br>自身の攻撃で転倒するようになる。"""
Dead_r04_gd_sip_ba_002#0,"""ブレゼントスが赤く変化すると、<br>全身が変形し、強力な広範囲の攻撃をしてくる。"""
Dead_r04_gd_akm_ba_001#0,"""ダークマギルスが赤く変化すると、<br>一転してより激しい攻撃を繰り出してくる。"""
Dead_r04_gd_akm_ba_002#0,"""ダークマギルスは、<br>翼を破壊することで攻撃を弱体化させることができる。"""
Dead_r04_gd_gia_fl_001#0,"""フレイダル・ソードの全身が発光したときは、<br>強力な竜巻攻撃をしてくるので注意。"""
Dead_r04_gd_gia_fl_002#0,"""フレイダル・ソードは、武器を地面に叩きつけたときに、<br>爆発する弾を周囲にばらまく。"""
Dead_r04_gd_mog_ba_001#0,"""ドルドリスは、頭のドリルを破壊すると、<br>自身の攻撃で転倒して、コアを露出する。"""
Dead_r04_gd_mog_ba_002#0,"""ドルドリスが赤く変化すると、２つの形態を切り替えて戦う。<br>断続的に攻撃をしてくる形態は、背部に弱点がある。"""
Dead_r04_gd_mog_rai_001#0,"""ドルドリス・ヴェラは、頭のドリルを破壊すると、<br>自身の攻撃で転倒して、コアを露出する。"""
Dead_r04_gd_mog_rai_002#0,"""ドルドリス・ヴェラが赤く変化すると、２つの形態を切り替えて戦う。<br>断続的に攻撃をしてくる形態は、背部に弱点がある。"""
Dead_r04_gd_zrf_ba_001#0,"""ニルス・スティアの攻撃の一部は、<br>氷属性の攻撃を当てることで投擲できるようになる。"""
Dead_r04_gd_zrf_ba_002#0,"""ニルス・スティアは、赤く変化したときに、<br>頭部に溶岩の装甲をまとう。"""
Dead_r04_gd_zrf_rai_001#0,"""ニルス・ヴェラの攻撃の一部は、<br>炎属性の攻撃を当てることで投擲できるようになる。"""
Dead_r04_gd_zrf_rai_002#0,"""ニルス・ヴェラが超強力な爆弾を生成する攻撃は、<br>炎属性の攻撃を当てることで阻止できる。"""
Dead_r04_alt_vdr_ba_001#0,"""ダークレムナスは、怒り状態になると強力な属性攻撃をしてくる。<br>尻尾の結晶を破壊することで強化状態を解除することができる。"""
Dead_r04_alt_vdr_ba_002#0,"""ダークレムナスが尻尾から発射する結晶は、<br>破壊することで攻撃を止めることができる。"""
Dead_r04_alt_vdr_ba2_001#0,"""ボルトレムナスは、怒り状態になると強力な属性攻撃をしてくる。<br>尻尾の結晶を破壊することで強化状態を解除することができる。"""
Dead_r04_alt_vdr_ba2_002#0,"""ボルトレムナスが尻尾から発射する結晶は、<br>破壊することで攻撃を止めることができる。"""
Dead_r04_alt_wlf_ba_001#0,"""ダスクロンは、<br>一定の距離をとっていると強力なスピン攻撃をしてくる。"""
Dead_r04_alt_wlf_ba_002#0,"""ダスクロンは、<br>顔をそらしたあとに強力なレーザー攻撃をしてくる。"""
Dead_r04_alt_tis_ba_001#0,"""ダスクディサイズの俊敏な動きには、<br>ロックオンすることで対処しやすくなる。"""
Dead_r04_alt_tis_ba_002#0,"""ダスクディサイズは、<br>両腕の鎌を破壊することで弱体化させることができる。"""
Dead_r04_alt_dvs_ba_001#0,"""ダスククラッブの腕を弱点属性で攻撃してダウンさせると、<br>手から出ている泡を止めることができる。"""
Dead_r04_alt_dvs_ba_002#0,"""ダスククラッブは、手から出ている泡を<br>強力な攻撃に使用してくる。"""
Dead_r04_nat_bea_ba_001#0,"""ヴォルグベアにつかまれたときは、<br>移動入力を連続して行うことで振りほどける。"""
Dead_r04_nat_bea_ba_002#0,"""ヴォルグベアは、<br>大きく腕を振りかぶったあとに遠距離まで届く衝撃波を放つ。"""
Dead_r04_gd_nyb_ex_001#0,"""イクサエンゴウクは、分身と同時に攻撃をしかけてくる。"""
Dead_r04_gd_nyb_ex_002#0,"""イクサエンゴウクが巨大化したときは、<br>強力な広範囲攻撃をしてくる。"""
Dead_r04_gd_god3_ba_001#0,"""ダークファルス・エイジスは、分離するパーツを操ってアークスを攻撃してくる。"""
Dead_r04_gd_god3_ba_002#0,"""ダークファルス・エイジスがエネルギーを溜めているときは、<br>攻撃を繰り出してくる前に阻止しよう。"""
Dead_r01_alt_wlf_bi_001#0,"""ワウロン・ジオは、一定の距離をとっていると強力なスピン攻撃をしてくる。"""
Dead_r01_alt_wlf_bi_002#0,"""ワウロン・ジオは、顔をそらしたあとに強力なレーザー攻撃をしてくる。"""
Dead_r01_nat_armma_bi_001#0,"""ガロンゴ・ジオがよろけているときは、<br>ダイブアタックを当てつづけることでダウンする。"""
Dead_r01_nat_armma_bi_002#0,"""ガロンゴ・ジオは、<br>ガロンゴよりも多彩で強力な攻撃を繰り出してくる。"""
Dead_r04_nat_cry_ba_001#0,"""クォーツ・スコーディンの周囲に光の粒子が発生したときは、<br>強力なレーザー攻撃をしてくる。"""
Dead_r04_nat_cry_ba_002#0,"""クォーツ・スコーディンの頭、翼、尻尾を弱点属性で攻撃すると、<br>その部位にダメージを与えやすくなる。"""
Dead_r05_gd_zft_ba_001#0,"""ヴェノギアは、<br>他のドールズと似た攻撃を使用してくる。"""
Dead_r05_gd_zft_ba_002#0,"""ヴェノギアは、怒り状態になると強力な射撃攻撃をしてくる。<br>肩の武装を破壊することで一部の攻撃を封じることが出来る。"""
Dead_r05_gd_zft_str_001#0,"""ゼフェット・ヴェノギアは、<br>他のドールズと似た攻撃を使用してくる。"""
Dead_r05_gd_zft_str_002#0,"""ゼフェット・ヴェノギアは、怒り状態になると強力な射撃攻撃をしてくる。<br>肩の武装を破壊することで一部の攻撃を封じることが出来る。"""
Dead_r03_gd_hum_cm_001#0,"""アムスは、２つの形態を切り替えて戦う。<br>装甲をまとっているときは、素早い連撃に注意。"""
Dead_r03_gd_hum_cm_002#0,"""アムスが装甲をまとっていないときは、<br>球状のオーラで攻撃を遮断されないように注意。"""
Dead_r05_stl_gia_ba1_001#0,"""ヘルジーグの一部の攻撃は、物質化して上に乗ることができる。"""
Dead_r05_stl_gia_ba1_002#0,"""ヘルジーグの左肩の光る部位からくる攻撃は、<br>当たると拘束されるので注意。"""
Dead_r05_gd_zft_rai_001#0,"""ヴェノギア・ヴェラは、<br>他のドールズと似た攻撃を使用してくる。"""
Dead_r05_gd_zft_rai_002#0,"""ヴェノギア・ヴェラは、怒り状態になると強力な射撃攻撃をしてくる。<br>肩の武装を破壊することで一部の攻撃を封じることが出来る。"""
Dead_r05_stl_pnr_ba_001#0,"""ハルヴァルディは、<br>紫色に変化すると両肩の付近に自身を強化する光る部位が出現する。"""
Dead_r05_stl_pnr_ba_002#0,"""ハルヴァルディは、<br>下半身にある４つの大きな部位をすべて破壊するとダウンする。"""
Dead_r05_stl_box_ba1_001#0,"""ラヴィードは、懐に潜り込むと素早いパンチ攻撃を使用してくる。"""
Dead_r05_stl_box_ba1_002#0,"""ラヴィードの右腕に光る部位があるとき、<br>一部の攻撃にヒットするとＰＰを失う効果が付与される。"""
Dead_r05_stl_ktn_ba1_001#0,"""ラセツのばらまく弾は、<br>触れると貼りついて爆発するので注意。"""
Dead_r05_stl_ktn_ba1_002#0,"""ラセツの頭に光る部位があるとき、<br>一部の攻撃にヒットするとＰＰを失う効果が付与される。"""
Quest1140000_001#0,"""Опыт и предметы, заработанные в Батлдиа, будут<br>выданы сразу после завершения квеста."""
Quest1140000_002#0,"""<yellow>По завершении квеста<c> Триггеры Боёв (ТБ) пропадут<br>только у игроков, использовавших таковые."""
Quest1140000_003#0,"""С началом квеста игроки, использовавшие Триггеры Боёв (ТБ), получат эффекты<br>Boost-типа: увеличение опыта и увеличение шанса выпадения редких предметов."""
Quest1150000_001#0,"""Опыт и предметы, заработанные во время Батлдиа,<br>будут выданы сразу после завершения квеста."""
Quest1150000_002#0,"""<yellow>По завершении квеста<c> Триггеры Боёв (ТБ) пропадут<br>только у игроков, использовавших таковые."""
Quest1150000_003#0,"""В фиолетовом Батлдиа ваша награда зависит от количества<br>побеждённых гигантиксов за отведённое время."""
