Window_Titletelop_WeeklyRanking#0,"""Случайная запись события"""
WeeklyRanking_Title_Goalgetter#0,"""Удар пушечного ядра:<br>В одиночку"""
WeeklyRanking_Title_Trinites_Solo#0,"""Геометрический Лабиринт：<br>В одиночку"""
WeeklyRanking_Title_Trinites_Party#0,"""Геометрический Лабиринт：<br>В группе"""
WeeklyRanking_Title_Goalgetter_Solo#0,"""Удар пушечного ядра：<br>В одиночку"""
WeeklyRanking_Title_Goalgetter_Party#0,"""Удар пушечного ядра：<br>В группе"""
WeeklyRanking_Title_FieldRace_AelioSouth#0,"""Забег на юге Эарио （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_RetemWest#0,"""Збег на западе Ритем （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_KvarisCenter#0,"""Забег в центре Кварис （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_Teamtask#0,"""Рекорды задач команды"""
TabButton_Teamtask_All#0,"""Показать всё"""
Reward_Description_Teamtask#0,"""<yellow>※Можно получить награду, выполнив 3+ командных задачи на момент подсчёта очков.<c>"""
WeeklyRanking_Title_FieldRace_AelioCenter#0,"""У. доской в центре Эарио （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_RetemCenter#0,"""У. доской в центре Ритем （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_OrdinalTower_Solo#0,"""Прядковая Башня（Rank.7）：<br>В одиночку"""
WeeklyRanking_Title_OrdinalTower_Party#0,"""Прядковая Башня（Rank.7）：<br>В группе"""
WeeklyRanking_Description_OrdinalTower_Solo#0,"""Пройдите указанную Порядковую Башню в одиночку."""
WeeklyRanking_Description_OrdinalTower_Party#0,"""Пройдите указанную Порядковую Башню в группе 2+."""
WeeklyRanking_Title_FieldRace_HotSpring#0,"""Забег на окраине Стиа （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_UndergroundFactory#0,"""У. доской в Дрейзен Плант （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_AelioNorth_Board#0,"""У. доской на севере Эарио （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_RetemSouth_Run#0,"""Забег на юге Ритем （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_KvarisSouth_Run#0,"""Забег на юге Кварис （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_AelioWest_Run#0,"""Забег на западе Эарио （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_RetemNorth_Board#0,"""У. доской на севере Ритем （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_Trinites_R2_Solo#0,"""Геометрический Лабиринт （Ранг.2）：<br>В одиночку"""
WeeklyRanking_Title_Trinites_R2_Party#0,"""Геометрический Лабиринт （Ранг.2）：<br>В группе"""
WeeklyRanking_Title_Cocoon_HelicalLine#0,"""ヘリカルライン：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_MediolaOuter_Board#0,"""У.доской на внешней Медиоле: 2 （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_Quarterstaff#0,"""クォータースタッフ：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_FacetheDarkness#0,"""フェイスザダークネス：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_BrokenWorld#0,"""ブロークンワールド：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_FleetingFight#0,"""セツナノイッセン：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_HalphiaLake_Boar#0,"""У. доской на озере Хальфия （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_KvarisWest_Run#0,"""Забег на западе Кварис （Этап.1）：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_VanishingPath2#0,"""バニシングウェイⅡ：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_SlopeStyle#0,"""スロープスタイル：<br>В одиночку"""
WeeklyRanking_Title_Standard_Continuousbattle1#0,"""陽炎の攻防戦：<br>В группе"""
WeeklyRanking_Title_Standard_Continuousbattle2#0,"""夜寒の攻防戦：<br>В группе"""
WeeklyRanking_Description_Standard_Party#0,"""<br>Пройдите указанный квест в группе 2+."""
WeeklyRanking_Title_Cocoon_CrazyTail#0,"""クレイジーテイル：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_Narrow Cage#0,"""ナローケージ：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_Vanishing Path#0,"""バニシングウェイ：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_Parkour Master#0,"""パルクールマスター：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_Dyna Assault#0,"""ダイナアサルト：<br>В одиночку"""
WeeklyRanking_Title_Cocoon_Horrible Flapping#0,"""ホリブルフラッピング：<br>В одиночку"""
WeeklyRanking_Title_FieldRace_LimitedSeason1#0,"""南クヴァリス走破（スプリング'24）：<br>В одиночку"""
