Title_DeadMenu#0,"""Меню небоеспособности"""
Central_Revival_NoReward#0,"""Возвращаемся в Централ-Сити.<br>Вы уверены?"""
Emergency_Revival#0,"""Восстановиться здесь\u3000"""
Emergency_Revival_Count#0,"""$(0) секунд(а/ы)"""
Prologue_Revival_message#0,"""このクエスト中は戦闘不能時に自動的に復活します。"""
Non_Text#0,"""Нет отображаемого текста"""
Menu_Main#0,"""Главное меню"""
Menu_Sub#0,"""Подменю"""
Menu_Money#0,"""Меню AC и SG"""
MainMenu_Equip_WeaponAvatar#0,"""<pict ba_camouflage><pict 4space>Камуфляж оружия """
MainMenu_ACMenu_MyShop#0,"""<pict ba_task><pict 4space>Мой магазин """
MainMenu_World_WorldMap#0,"""<pict ba_worldmap><pict 4space>Карта мира """
MainMenu_World_MessagePack#0,"""<pict ba_mpack><pict 4space>Сообщения """
MainMenu_Quest_Rebops#0,"""<pict ba_task><pict 4space>Задачи """
Category_Item#0,"""Предметы"""
Category_Equip#0,"""Снаряжение/Палитра"""
Category_SubPallet#0,"""Под-палитра"""
Category_Task#0,"""Задачи/Квесты"""
Category_WorldMap#0,"""Мир"""
Category_LogOut#0,"""Выход"""
Category_Communication#0,"""Общение"""
Category_Personal#0,"""Личное"""
Category_Chat#0,"""Чат"""
Category_Info#0,"""Информация"""
Category_System#0,"""Система"""
Category_Scratch#0,"""Лотерея"""
Category_ACShop#0,"""<pict ba_acshop><pict 4space>Магазин AC/SG<pict Arcscash><pict StarGem>"""
Category_SGShop#0,"""<pict ba_sgshop><pict 4space>Магазин SG<pict StarGem>"""
Category_MyShop#0,"""Мой магазин"""
Category_RecycleShop#0,"""<pict ba_recycle><pict 4space>Переработка предметов"""
Category_BuyHistory#0,"""<pict ba_history><pict 4space>История покупок/Срок"""
Category_Shop#0,"""Магазин"""
Popup_ItemPack#0,"""<pict ba_task><pict 4space>Инвентарь """
Popup_FriendList#0,"""<pict ba_friend><pict 4space>Список друзей """
Popup_PartyCommand#0,"""<pict ba_partycom><pict 4space>Группа """
Popup_TeamCommand#0,"""<pict ba_guild><pict 4space>Команда """
Popup_Mail#0,"""<pict ba_mail><pict 4space>Почта """
Popup_ArksSearch#0,"""<pict ba_search><pict 4space>Поиск ARKS """
Popup_CommuHistory#0,"""<pict ba_commu><pict 4space>История общений """
Popup_NearCharacter#0,"""<pict ba_surround><pict 4space>Ближайшие персонажи """
Popup_CharacterData#0,"""<pict ba_charainfo><pict 4space>Информация о персонаже """
Popup_Honor#0,"""<pict ba_title><pict 4space>Титулы """
Popup_ArksCard#0,"""<pict ba_card><pict 4space>Карточка ARKS """
Popup_Honor_ArksCard#0,"""Титулы/Карточка ARKS """
Popup_PlayLog#0,"""<pict ba_performance><pict 4space>Игровые достижения """
Popup_GroupChat#0,"""<pict ba_gchat><pict 4space>Настройки группового чата """
Popup_ShortcutWord#0,"""<pict ba_shortcut><pict 4space>Настройка шаблонов чата """
Popup_AutoWord#0,"""<pict ba_autoword><pict 4space>Настройка авточата """
Popup_Motion#0,"""<pict ba_motion><pict 4space>Настройка победной позы """
Popup_SymbolArt#0,"""<pict ba_symbol><pict 4space>Символ Арты """
Popup_Information#0,"""<pict ba_info><pict 4space>Уведомления """
Popup_Help#0,"""<pict ba_help><pict 4space>Помощь """
Popup_Option#0,"""<pict ba_option><pict 4space>Опции """
Popup_CampaignItem#0,"""<pict ba_get><pict 4space>Получение предметов компаний """
Popup_ItemCode#0,"""<pict ba_code><pict 4space>Ввести код предмета """
Popup_ControlSetting#0,"""<pict ba_conf><pict 4space>Настройки управления """
Popup_MagMenu#0,"""<pict ba_mag><pict 4space>Маg """
Popup_Stamp#0,"""<pict ba_stamp><pict 4space>Штампы """
Popup_BuyScratch#0,"""<pict ba_scratch><pict 4space>Сыграть в лотерею<pict 4space><pict Arcscash> """
Popup_ScratchStorage#0,"""<pict ba_scwa><pict 4space>Хранилище лотерей """
Popup_QuestInfo#0,"""<pict ba_questinfo><pict 4space>Информация о квесте """
Popup_Equip_Weapon#0,"""<pict ba_weapon><pict 4space>Экипировка оружия """
Popup_Equip_Guard#0,"""<pict ba_unit><pict 4space>Экипировка брони """
Popup_Equip_Subpalette#0,"""<pict ba_subp><pict 4space>Под-палитра """
Popup_Equip_Fashion#0,"""<pict ba_cos><pict 4space>Редактирование стиля """
Popup_QuestMenue#0,"""Меню квеста """
Operation_MenuCommon#0,"""Общие настройки меню находятся в справочном меню."""
MenuEquipmentOpen#0,"""Экип-ка выбранного предмета"""
MainMenu_Equip_WeaponPosition#0,"""<pict ba_positioning><pict 4space>Регулировка положения"""
MainMenu_Loguin_Bonus#0,"""<pict icon_login_bonus>Бонус за вход"""
Menu_Matching_Blockade#0,"""Нельзя использовать во время подбора на квест."""
HealTank#0,"""Восстанавливает 50% от<br>максимального НР."""
RecoveryMoonAtomizer#0,"""Восстанавливает окружающих<br>небоеспособных товарищей."""
HunterWarCry#0,"""<yellow>[Активное умение]<c><br>Временно привлекает внимание<br>окружающих врагов и позволяет вашим<br>атакам легче переманивать врагов.<br><yellow>※Только основной класс.<c>"""
HunterIronWill#0,"""При фатальном уроне, спасаетесь с 1 НР.<br>С активацией временная неуязвимость.<br><yellow>※Только основной класс.<c>"""
HunterMassiveHunter#0,"""<yellow>[Активное умение]<c><br>Временно уменьшает полученный урон.<br>Предотвращает опрокидывание и отброс."""
HunterParryingPa#0,"""При получении удара, временно после<br>активации PA оружия хантера, сила этого<br>PA увеличится.<br><yellow>※Только оружие хантера.<c>"""
HunterSwordGuardCounterPlus#0,"""С использованием меча, при выполнении<br>Just Guard, после обычной атаки активирует дополнительную<br>контр-атаку."""
HunterSwordNormalAttackPlus#0,"""К комбинации обычных атак добавляется<br>дополнительная 5-я атака меча."""
HunterSwordAttackExtra#0,"""Теперь вы сможете выполнить 5 обычных<br>атак мечом.<br><yellow>※Только для меча.<c>"""
HunterWeakHitAdvance#0,"""仮テキスト"""
HunterParryingCritical#0,"""仮テキスト"""
HunterCounterBoost#0,"""仮テキスト"""
HunterJustGuardDownBoost#0,"""仮テキスト"""
HunterSwordGuardCounter#0,"""С экипированным мечом, при выполнении<br>Just Guard с помощью действия оружия,<br>автоматически срабатывает контратака.<br><yellow>※Только для меча.<c>"""
HunterFlashGuard#0,"""Снижает получаемый урон."""
HunterAllGuard#0,"""Защита с помощью действия оружия<br>защитит от атак со всех сторон.<br><yellow>※Только оружие хантера.<c>"""
HunterParryingPPHeal#0,"""Восстанавливает РР после успешного<br>Hunter Arts Avenger."""
HunterParryingPaJustGuard#0,"""На мгновение блокирует весь урон от<br>врагов во время использования<br>Фотон Артов.<br><yellow>※Только оружие хантера.<c>"""
HunterSlowFallCharge#0,"""Замедляет падение в воздухе при<br>зарядке Фотон Арта.<br><yellow>※Только оружие хантера.<c>"""
HunterTecArtsSkipAttack#0,"""Исп-е разных PA под ряд одним и тем же<br>оружием следующая атака будет 4 в<br>комбо данного оружия. Если комбо<br>меньше 4, это будет последняя атака.<br><yellow>※Только оружие хантера.<c>"""
HunterSameArtsSkipAttack#0,"""Использование одного PA несколько раз<br>под ряд заставит ваше комбо перейти<br>к 3-ей атаке.<br><yellow>※Только оружие хантера.<c>"""
HunterPartisanVolgraptor#0,"""При удержании действия оружия будет<br>совершён выстрел фотонным копьём, фикс<br>урон на цели. Взрыв через некоторый<br>промежуток времени либо при опред-м<br>уроне. <yellow>※Только для протазанов.<c>"""
HunterPartisanAssaultCharge#0,"""После использования PA позволяет<br>выполнить заряжаемую атаку по нажатию<br>кнопки действия оружия в нужный<br>момент.<br><yellow>※Только для протазанов.<c>"""
HunterPartisanParryingAssaultCharge#0,"""Усиливает Assault Charge при<br>использовании после Фотон Арта,<br>усиленного Hunter Arts Avenger."""
HunterWLanceAttackExtra#0,"""Увеличивает количество атак<br>в комбо до 4.<br><yellow>※Только для цепных лэнсов.<c>"""
HunterWLanceWAPlus#0,"""При нажатии кнопки направления<br>изменяется поведение действия оружия.<br><yellow>※Только для цепных лэнсов.<c>"""
HunterWLanceWAGuardPointPlus#0,"""При активации действия оружия<br>временно блокирует весь входящий<br>урон от врагов.<br><yellow>※Только для цепных лэнсов.<c>"""
RangerGaugeShotGun#0,"""<yellow>[Активное умение]<c><br>Добавляет шкалу, которая при атаке<br>винтовки выстреливает дробью ближнего<br>действия, расходуя её.<br><yellow>※Только для винтовки.<c>"""
RangerGaugeShotGunAway#0,"""Активированный Spread Shot, временно<br>даёт неуязвимость. Нажатая кнопка<br>направления увеличивает дальность<br>уворота."""
RangerWeakBullet#0,"""<yellow>[Активное умение]<c><br>Выстреливает пулей, временно увелич-й<br>урон по поражённой части.<br><yellow>※Только для рейнджера с винтовкой.<c>"""
RangerWeakBulletParse#0,"""Поражение WB определённого количества<br>раз продлит время действия и увеличит<br>наносимый урон.<br><yellow>※Только основной класс.<c>"""
RangerWeaponActionAvoid#0,"""При использовании действия оружия вы<br>получаете временную неуязвимость.<br><yellow>※Только для винтовки.<c>"""
RangerGrenadeTrap#0,"""При зажатии кнопки действия оружия<br>винтовки, добавляется граната. Если<br>выбрать направление, то она будет<br>брошена, иначе установлена на месте.<br><yellow>※Только для винтовки.<c>"""
RangerRangeBonus#0,"""仮テキスト"""
RangerDownChain#0,"""仮テキスト"""
RangerWeakHitAdvance#0,"""仮テキスト"""
RangerWeakBlastBonus#0,"""仮テキスト"""
RangerFallSlowAttack#0,"""Замедляет падение в воздухе при<br>использовании обычной атаки.<br><yellow>※Только для оружия рейнджера.<c>"""
RangerFallSlowCharge#0,"""Замедляет падение в воздухе при<br>зарядке Фотон Арта.<br><yellow>※Только для оружия рейнджера.<c>"""
RangerClusterBombRecastReduce#0,"""Ускоряет перезарядку после<br>активации действия оружия.<br><yellow>※Только для п. установки.<c>"""
RangerLauncherChargeConvergence#0,"""Уменьшает разброс обычных атак при<br>выстреле с нажатием кнопки вперёд.<br><yellow>※Только для п. установки.<c>"""
RangerConditionBadGuard#0,"""Уменьшает шанс наложения на вас<br>эффекта статуса."""
RangerConditionBadEase#0,"""Уменьшает продолжительность<br>накладываемых на вас<br>эффектов статуса."""
ForcePhotonFlare#0,"""<yellow>[Активное умение]<c><br>Временно увеличивает макс РР<br>и мощность оружия Форса.<br><yellow>※Только для форса с родом.<c>"""
ForcePpConvert#0,"""<yellow>[Активное умение]<c><br>Временно снижает максимальное кол-во<br>НР, увеличивая скорость восстановления<br>РР."""
ForcePpConvertReCharge#0,"""Увеличивается количество раз<br>использования PP Convert."""
ForceChargePpRevival#0,"""РР будет продолжать восстанавливаться<br>даже при зарядке техник.<br><yellow>※Только для оружия форса.<c>"""
ForceChargeEscape#0,"""Во время step или действия оружия рода<br>будет поддерживаться зарядка.<br>При следующем использовании скорость<br>зарядки сократится, а РР<br>не потребуется.<br><yellow>※Только для родов.<c>"""
ForceHeal#0,"""При использовании Resta Sign,<br>излечиваются также ближайшие игроки.<br><yellow>※Только основной класс.<c>"""
ForceOverFlow#0,"""仮テキスト"""
ForcePhotonFlareTecShortCharge#0,"""Во время Photon Flare снижается<br>мощность техник, но увелич-ся скорость зарядки.<br><yellow>※Только для форса с родом.<c>"""
ForcePhotonFlareAfterBurst#0,"""仮テキスト"""
ForcePhotonFlareBoost#0,"""仮テキスト"""
ForceRodCounterTechnic#0,"""Любая техника, использ-я сразу после<br>успешного блока или уклонения будут<br>давать временную неуязвимость.<br><yellow>※Только для родов.<c>"""
ForcePhotonFlarePpRefrain#0,"""С окончанием Photon Flare, РР восст-ся<br>в зависимости от того, сколько РР<br>потрачено во время действия<br>Photon Flare.<br><yellow>※Только основной класс.<c>"""
ForceNightmare#0,"""Восстанавливает РР каждый раз при<br>смерти врага поблизости."""
ForceReflectCounterShot#0,"""Любая техника, используемая сразу<br>после успешного блока, также выпустит<br>техническую пулю с тем же атрибутом.<br><yellow>※Только для родов.<c>"""
ForceRodCounterTecBonus#0,"""Временная неуязвимость при исполз-ии<br>техники во время успешного уворота или<br>блока с помощью действия оружия."""
ForceRodAbsorption#0,"""Восст-т РР, если вы не атакуете либо<br>не уклоняетесь сразу после использ-я<br>техники.<br><yellow>※Только для родов.<c>"""
ForceTalisConcentrate#0,"""Бросив талис после использования PA,<br>мощность техник увеличится, а их<br>расход РР снизится, но талис будет<br>активен меньший промежуток времени."""
ForceTalisQuickMarkShot#0,"""Исп-е действия оружия без клавиши<br>направления будет временно атаковать<br>ближайших врагов.<br><yellow>※Только для талисов.<c>"""
ForceTalisSetRevok#0,"""Нажатие и удержание действия оружия<br>убирает активный талис.<br><yellow>※Только для талисов.<c>"""
ForcePpRestorate#0,"""Ускоряет восстановление РР."""
ForceSlowFallCharge#0,"""Замедляет падение во время зарядки<br>техники в воздухе.<br><yellow>※Только для оружия форса.<c>"""
ForceBartaBlot#0,"""Не заряж-е техники льда достаточным<br>кол-м ударов зарядят ледяной крест.<br>Удар заряж-й версией вызовет взрыв."""
ForceZondeClad#0,"""Не заряж-е техники молнии достаточным<br>кол-м ударов введут вас в заряженое<br>состояние. Удар заряже-й версии<br>нанесёт больше урона."""
FighterLimitBreak#0,"""<yellow>[Активное умение]<c><br>Временно увел-т получаемый урон,<br>и наносимый урон оружием файтера.<br><yellow>※Только основной класс и<br>для оружия файтера.<c>"""
FighterLimitBreakPhotonCharge#0,"""С окончанием Limit Break<br>восстанавливается РР.<br><yellow>Только основной класс."""
FighterLimitBreakInsurance#0,"""Спасает от смерти, а также отключает<br>LB и оставляет 1 НР.<br>Даёт временную неуязвимость.<br><yellow>※Только основной класс.<c>"""
KnuckleDodgeHeatRevenge#0,"""После успешного уклонения с помощью<br>действия оружия кастетов, следующая<br>атака будет 5 атакой из комбо.<br><yellow>※Только для кастетов.<c>"""
FighterKnuckleSwayCounterPlus#0,"""После успешного уклонения с помощью<br>действия оружия кастетов, повторная<br>активация действия оружия активирует<br>контр-атаку."""
FighterKnuckleNormalAttackPlus#0,"""К комбинации обычных атак добавляется<br>дополнительная 5-я атака для кастетов.<br><yellow>※Только для кастетов.<c>"""
FighterPhotonFlood#0,"""仮テキスト"""
FighterUnFlatBonus#0,"""仮テキスト"""
FighterTecArtsJABonus#0,"""仮テキスト"""
FighterPPSlayer#0,"""仮テキスト"""
FighterKnuckleSwayCounter#0,"""Автоматическое парирование атак при<br>успешном уклонении действием оружия.<br><yellow>※Только для кастетов.<c>"""
FighterChaseAdvance#0,"""Увеличивает урон по врагам<br>в статусе Down."""
FighterChaseAdvancePPRecovery#0,"""Ускоряет восстановление РР при атаке<br>врагов со статусам Down."""
FighterTecArtsSkipAttack#0,"""Исп-е разных PA под ряд одним и тем же<br>оружием следующая атака будет 4 в<br>комбо данного оружия. Если комбо<br>меньше 4, это будет последняя атака.<br><yellow>※Только для оружия файтера.<c>"""
FighterSameArtsSkipAttack#0,"""Использование одного PA несколько раз<br>под ряд заставит ваше комбо перейти<br>к 3-ей атаке.<br><yellow>※Только для оружия файтера.<c>"""
FighterSkipArts#0,"""Использование PA без нажатия кнопки<br>направления позволяет перейти<br>к последней стадии РА.<br><yellow>※Только для оружия файтера.<c>"""
FighterTDAnotherDerive#0,"""Нажатие обычной атаки в нужный момент<br>после РА позволит телепортироваться к цели<br>на высокой скорости.<br><yellow>※Только для парных кинжалов.<c>"""
FighterTDSpinCounter#0,"""Кнопка обычной атаки после успешного<br>блока действием оружия вызовет<br>контратаку.<br><yellow>※Только для парных кинжалов.<c>"""
FighterTDAttackExtra#0,"""Увеличивает количество атак в обычном<br>комбо до 4.<br><yellow>※Только для парных кинжалов.<c>"""
FighterDSDodgeWindCounter#0,"""Повторное использование действия<br>оружия после успешного блока вызовет<br>контратаку.<br><yellow>※Только для двойной глефы.<c>"""
FighterDSDodgeWindWACounter#0,"""Повторное использование действия<br>оружия после успешного блока вызовет<br>особую контратаку.<br><yellow>※Только для двойной глефы.<c>"""
FighterDSDeadlyArcher#0,"""Удерживание кнопки действия оружия<br>при активном 2-м этапе Kamaitachi<br>передаст всю энергию в оружие и<br>бросит во врага.<br><yellow>※Только для двойной глефы.<c>"""
FighterDSEnhanceAttack#0,"""Удерживание кнопки действия оружия при<br>активном 2-м этапе Kamaitachi создаст<br>вихрь.<br><yellow>※Только для двойной глефы.<c>"""
GunnerChainTrigger#0,"""После заряженного PA парных ПП, счётчик<br>чейна увел-ся с каждой атакой.<br>Повторное попадание заряжает PA<br>и активирует Chain Finish.<br><yellow>※Только основным классом с парными ПП<c>"""
GunnerChainFinish#0,"""После Chain Finish, в зависимости от<br>счётчика чейна, сокращает время<br>повторной активации чейна.<br><yellow>Только основной класс."""
GunnerChainFinishTimeBonus#0,"""После Chain Finish, в зависимости от<br>счётчика чейна, сокращает время<br>повторной активации чейна.<br><yellow>※Только основной класс.<c>"""
GunnerSRollArts#0,"""При нажатии кнопки PA во время действия<br>оружия парных ПП, расходуется РР для<br>мощной атаки.<br><yellow>※Только для парных ПП.<c>"""
GunnerCounterPABurst#0,"""При успешном уклонении с помощью<br>действия оружия ПП, мощность следующего<br>Фотон Арта ПП увеличится и<br>израсходуется больше РР.<br><yellow>※Только для парных ПП.<c>"""
GunnerChainBoost#0,"""После Chain Finish временно изменяет<br>поведение действия оружия парных ПП.<br><yellow>※Только основным классом с парными ПП<c>"""
GunnerNeutralDeadApproach#0,"""При успешном уклонении с помощью<br>действия оружия ПП, мощность следующего<br>Фотон Арта ПП увеличится и<br>израсходуется больше РР.<br><yellow>※Только для парных ПП.<c>"""
GunnerPerfectKeeper#0,"""仮テキスト"""
GunnerChainFinishBonus#0,"""仮テキスト"""
GunnerNeoTime#0,"""仮テキスト"""
GunnerNeoTimeBlastBonus#0,"""仮テキスト"""
GunnerNeoTimePPRefresh#0,"""仮テキスト"""
GunnerAirAttackBonus#0,"""仮テキスト"""
GunnerReactionWeak#0,"""仮テキスト"""
GunnerFallSlowAttack#0,"""Замедляет падение в воздухе при<br>использовании обычной атаки.<br><yellow>※Только для оружия ганнера.<c>"""
GunnerFallSlowCharge#0,"""Замедляет падение в воздухе при<br>зарядке Фотон Арта.<br><yellow>※Только для оружия ганнера.<c>"""
GunnerGaugeShotGun#0,"""<yellow>[Активное умение]<c><br>Добавляет шкалу заполняющ. при атаке<br>винтовкой. При активации расх-т его для<br>выстрела на близком расстоянии.<br><yellow>※Только для винтовки.<c>"""
GunnerGaugeShotGunAway#0,"""Даёт неуязвимость при активации<br>Spread Shot, и позволяет двигаться<br>во время движаения."""
GunnerAttackPPRestraint#0,"""Ускоряет восстановление РР от атак."""
GunnerOverWhelm#0,"""Ускоряет восстановление РР при атаке<br>врагов не являющихся боссами."""
TechterShiftaDeband#0,"""<yellow>[Активное умение]<c><br>Временно увеличивается урон по врагам<br>и уменьшается получаемый урон.<br><yellow>※Только основной класс.<c>"""
TechterPartyAssist#0,"""Shifta-Deband действует на членов<br>группы, даже если они далеко.<br><yellow>※Только основной класс.<c>"""
TechterWandElementChange#0,"""При использовании заряженной техники<br>с помощью ванда, взрыв техникой<br>при атаке вандом будет от атрибута<br>заряженной техники.<br><yellow>※Только для вандов.<c>"""
TechterWandElementDiscard#0,"""Удерживание кнопки действия оружия<br>сбрасывает атрибут взрыва техникой<br>при атаке вандом.<br><yellow>※Только для вандов.<c>"""
TechterHeal#0,"""У Resta sign увеличивается объём<br>исцеления, а также будут исцеляться<br>и ближайшие игроки.<br><yellow>※Только основной класс.<c>"""
TechterWandGuardCounter#0,"""После успешной защиты с помощью<br>действия оружия ванда, при выполнении<br>обычной атаки выполняется контратака.<br><yellow>※Только для вандов.<c>"""
TechterAssistField#0,"""仮テキスト"""
TechterWandLovers#0,"""<yellow>[Активное умение]<c><br>Временно позволяет блокировать удары<br>врагов обычными атаками,<br>предотвращает отбрасывание.<br><yellow>※Только для вандов.<c>"""
TechterWandCounterReflection#0,"""При успешном блокировании атаки врага<br>действием оружия, создаётся взрыв<br>техникой.<br><yellow>※Только для вандов.<c>"""
TechterShiftaStrike#0,"""Даёт Shifta-Deband доп. эффект,<br>увеличивающий способность наложения<br>Down на врагов.<br><yellow>※Только основной класс.<c>"""
TechterShiftaAdvance#0,"""Даёт Shifta-Deband доп. эффект,<br>увеличивающий урон, наносимый<br>врагам с эффектом Down.<br><yellow>※Только основной класс.<c>"""
TechterDebandCut#0,"""Даёт Shifta-Deband доп. эффект,<br>снижающий вероятность получения<br>эффекта статуса игроком.<br><yellow>※Только основной класс.<c>"""
TechterDebandPpReStraight#0,"""Даёт Shifta-Deband доп. эффект,<br>увеличивающий регенерацию РР.<br><yellow>※Только основной класс.<c>"""
TechterExtendAssist#0,"""Увеличивает продолжительность<br>Shifta-Deband.<br><yellow>※Только основной класс.<c>"""
TechterElementWeakBonus#0,"""Ускоряет заполнение шкалы Фотон Бласта<br>при атаке врагов по слабости<br>к атрибуту."""
TechterAwakeYell#0,"""Ускоряет заполнение шкалы Фотон Бласт,<br>когда рядом находятся враги-боссы."""
TechterReverseBonus#0,"""Применяет Shifta-Deband на оживших<br>товарищей.<br><yellow>※Только основной класс.<c>"""
TechterWandGuardCounterEdge#0,"""Создаёт ударную волну при активации<br>Wand Parry Counter."""
TechterFallSlowCharge#0,"""Замедляет падение во время зарядки<br>техники и Фотон Арта в воздухе.<br><yellow>※Только для оружия тектера.<c>"""
TechterBartaBlot#0,"""Не заряж-е техники льда достаточным<br>кол-м ударов зарядят ледяной крест.<br>Удар заряж-й версией вызовет взрыв."""
TechterZondeClad#0,"""Не заряж-е техники молнии достаточным<br>кол-м ударов введут вас в заряженное<br>состояние. Удар заряже-й версии<br>нанесёт больше урона."""
FighterKnuckleAttackExtra#0,"""Увеличивает количество атак в комбо<br>кастетов до 5."""
ForceTalisTecBurst#0,"""<yellow>[Активное умение]<c><br>Добавляет шкалу, заполняющуюся при<br>атаке врагов. При активации<br>срабатывает особая атака.<br><yellow>※Только для талисов.<c>"""
TechterTalisTecBurst#0,"""<yellow>[Активное умение]<c><br>Добавляет шкалу, заполняющуюся при<br>атаке врагов. При активации<br>срабатывает особая атака.<br><yellow>※Только для талисов.<c>"""
TechterTalisQuickMarkShot#0,"""Исп-е действия оружия без клавиши<br>направления будет временно атаковать<br>ближайших врагов.<br><yellow>※Только для талисов.<c>"""
TechterTalisSetRevok#0,"""Нажатие и удержание действия оружия<br>убирает активный талис.<br><yellow>※Только для талисов.<c>"""
BraverGuardRelief#0,"""Снижает урон и расход PP при блокировке<br>атак с помощью действия оружия для<br>блокирования."""
BraverRestaHealUp#0,"""Увеличивает кол-во восстаноавливаемого НР<br>при использовании Resta Signs."""
BraverJustReversalCover#0,"""Восстанавливает НР при восстановлении<br>с помощью Just Reversal во время боя."""
BraverCombat#0,"""<yellow>[Активное умение]<c><br>Временно умень-т расход и ускоряет восст-е<br>РР при атаке. Повторное исп-е<br>активирует мощную атаку.<br><yellow>※Только для оружия брейвера.<c>"""
BraverBraveCombatShortTime#0,"""Уменьшает продолжительность Brave Combat,<br>сокращая продолжительность перезарядки."""
BraverCombatCountAfterBonus#0,"""С окончанием Brave Combat восст-т НР и РР<br>в зависимости то кол-ва ударов по врагам.<br><yellow>※Только для брейверов и их оружия.<c>"""
Katana:LockonChase#0,"""Во время Brave Combat, находясь рядом<br>с целью, вы будете автоматически<br>сокращать дистанцию.<br><yellow>※Только для катаны.<c>"""
BraverCompoundbowPaArmor#0,"""Во время Brave Combat временно после<br>использования Фотон Арта предотвращает<br>отлёт.<br><yellow>※Только для лука.<c>"""
BraverKatanaGuardCounter#0,"""При успешной защите (Just Guard) с помощью<br>действия оружия, автоматически выполняете<br>контратаку.<br><yellow>※Только для катаны.<c>"""
Katana:CounterEdge#0,"""Добавляет ударную волну<br>Katana Guard Counter."""
Katana:ComboCountSkill#0,"""Поддерживает ваши этапы комбо даже при<br>использовании разных Фотон Артов.<br><yellow>※Только для катаны.<c>"""
Katana:Ambition#0,"""Временно после использования PA либо<br>обычной атаки блокирует атаки спереди<br>и автоматически выполняет контратаку.<br><yellow>※Только для катаны.<c>"""
BraverCounterArrow#0,"""Использование обычной атаки после уклонения<br>от атаки с помощью действия оружия<br>выполняет контратаку.<br><yellow>※Только для лука.<c>"""
BraverCompoundbowHoming#0,"""Стрелы, выпущенные обычной атакой, будут<br>преследовать врагов.<br><yellow>※Только для лука.<c>"""
BraverCompoundbowSlideDodge#0,"""После нажатия кнопки направления и<br>использования действия оружия после<br>использования PA выполнит особую<br>скользящую атаку.<br><yellow>※Только для лука.<c>"""
HealTank#1,"""レスタサイン"""
RecoveryMoonAtomizer#1,"""リバーサーサイン"""
HunterWarCry#1,"""ウォークライ"""
HunterIronWill#1,"""アイアンウィル"""
HunterMassiveHunter#1,"""マッシブハンター"""
HunterParryingPa#1,"""ハンターアーツ<br>アヴェンジ"""
HunterSwordGuardCounterPlus#1,"""ソードガード<br>カウンタープラス"""
HunterSwordNormalAttackPlus#1,"""ソードアタック<br>エクストラ"""
HunterSwordAttackExtra#1,"""ソードアタック<br>エクストラ"""
HunterWeakHitAdvance#1,"""ウィークヒット<br>アドバンスHu"""
HunterParryingCritical#1,"""パリングクリティカル"""
