DetailsFormTitle#0,"""Подробности Mission Pass"""
ErrorMessageGoldPassBuy#0,"""Не удалось приобрести Билет: Mission Pass Gold."""
ErrorMessageAlreadyGoldPassTerm#0,"""Вы уже разблокировали Gold."""
ErrorMessageTierLvMax#0,"""Вы уже достигли максимального уровня."""
ErrorMessageGeneral#0,"""Произошла непредвиденная ошибка.<br>Получение отменено."""
ErrorMessage_NotPlay#0,"""Произошла непредвиденная ошибка.<br>Пожалуйста, закройте экран Mission Pass."""
ErrorMessage_Received#0,"""Эти награды уже получены."""
MPDetailSwitching#0,"""<%Function>: Просмотреть инфо предмета"""
MPDetailSwitching_Key#0,"""<%MultiSelect>: Просмотреть инфо предмета"""
MPRewardDetailSwitching#0,"""<%Function>: Показать превью"""
MPRewardDetailSwitching_Key#0,"""<%MultiSelect>: Показать превью"""
RewardAcceptanceForm_other#0,"""...и $(0) прочих"""
ErrorMessageGeneral2#0,"""Произошла непредвиденная ошибка."""
MP_Error_Inventorylimit#0,"""Не удалось получить по причине заполненности<br>временного хранилища, либо по причине<br>максимального количества одного<br>из предметов."""
RewardDetailsFormMessage#0,"""Вы можете получить следующие награды: <br><yellow>※Вы можете выбрать только одну группу наград.<c>"""
RewardReceivingFormMessage1#0,"""Это награды, которые вы можете получить<br>за этот уровень.<br><yellow>※Вы можете выбрать только одну группу наград.<c><br><yellow>※Убедитесь, что вы можете использовать<br>выбранные вами предметы.<c>"""
RewardReceivingFormMessage2#0,"""Это награды, которые вы можете получить<br>за этот уровень."""
TakeText#0,"""Получить"""
MP_PopupMessage#0,"""Выберите награду."""
MP_Group1#0,"""1-я группа"""
MP_Group2#0,"""2-я группа"""
MP_Group3#0,"""3-я группа"""
MP_Group4#0,"""4-я группа"""
MP_Group5#0,"""5-я группа"""
MP_Group6#0,"""6-я группа"""
MP_Group7#0,"""7-я группа"""
MP_Group8#0,"""8-я группа"""
MP_Group9#0,"""9-я группа"""
MP_Group10#0,"""10-я группа"""
MP_Group11#0,"""11-я группа"""
MP_Group12#0,"""12-я группа"""
AnnounceIcon1#0,"""<%TabBack>"""
AnnounceIcon2#0,"""<%TabForward>"""
MP_ControlGuide#0,"""Подтвердить:<%Decide>\u3000\u3000Отменить:<%Cancel>\u3000\u3000Переключение окна:<%NextWidget>\u3000\u3000"""
MP_RewardList_Header#0,"""Список наград"""
MP_RewardList_Issue#0,"""Получены следующие награды:"""
MP_RewardList_Close#0,"""Назад"""
Title#0,"""Инфо предмета"""
Bulk_receipt_Title#0,"""Получить все награды"""
Bulk_receipt_Message#0,"""Желаете получить все награды?<br><br><yellow>※Не распространяется на награды с выбором.<c><br><br><yellow>※Также можно получить золотые награды при активном \""N-Mission Gold Pass\"" либо при активном премиуме.<c><br><br>※Можно получить только 1 раз на аккаунт."""
MainMenu_EveryMP#0,"""*Mission Pass"""
StatusLabel_EveryMp_Title#0,"""Инфо Mission Pass"""
MissionPassOpen#0,"""<%Exception>:*Mission Pass"""
MissionPassOpen_Key#0,"""[Ctrl]＋[Tab]:*Mission Pass"""
StatusLabel_EveryMp_Season#0,"""Сезон"""
StatusLabel_EveryMp_Goldpass1#0,"""Gold билет"""
StatusLabel_EveryMp_Goldpass2#0,"""Доступно"""
StatusLabel_EveryMp_Goldpass3#0,"""Не доступно"""
StatusLabel_EveryMp_tea1#0,"""Уровень"""
StatusLabel_EveryMp_tea2#0,"""Зёзд до следующего уровня"""
StatusLabel_EveryMp_teamission#0,"""Завершена миссия уровня"""
StatusLabel_EveryMp_NotPlaySeason#0,"""Сезон закончился"""
MenuEquipmentOpen#0,"""Открыть экран снаряжения"""
MenuCustomOpen#0,"""Открыть экран кастомизации"""
MissionList_GotoMissionPass#0,"""<%Function>:*Mission Pass"""
MissionList_GotoMissionPass_Key#0,"""<%MultiSelect>:*Mission Pass"""
MissionDaily#0,"""Ежедневные миссии"""
MissionDailyLimit#0,"""Ежедневно в <utc>15:00</utc>"""
MissionWeekly#0,"""Еженедельные миссии"""
MissionWeeklyLimit#0,"""<utcdow>Сред.4:00</utcdow>"""
MissionTier#0,"""Миссии уровней"""
MissionTierLimit#0,"""<utc>$(0)</utc>"""
MissionLimitTime#0,"""<utcymdt>$(0)</utcymdt>"""
MissionPassOpen#1,"""<%Exception>:*Mission Pass"""
MissionPassOpen_Key#1,"""[Ctrl]＋[Tab]:*Mission Pass"""
WelcomeMovie_Title#0,"""Добро пожаловать в PSO2!"""
WelcomeMovie_CancelTitle#0,"""Подтверждение закрытия"""
WelcomeMovie_CancelMessage#0,"""Видео закроется. Вы уверены?"""
WelcomeMovie_CancelYes#0,"""Да"""
WelcomeMovie_CancelNo#0,"""Нет"""
